country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.2486827714383022,-0.4567144788092059,-0.666837011178556,-0.8777616786919129,-1.0936299412263595,-1.312706525615337,-1.5384851804850608,-1.7656093269642015,-1.9944392120817445,-2.2275852087431547,-2.4705714989189054,-2.713225023250254,-2.9615583460998574,-3.221898531938916,-3.492535002223418,-3.769914547329256,-4.053879769321044,-4.34149998176514,-4.631331618470047,-4.905930832977045,-5.194481281829022,-5.4874112129851715,-5.780039480923149,-6.076839457540872,-6.3729081238109835,-6.666814864876736,-6.958736521851305,-7.253965341094382,-7.555015356900641,-7.85334519118297
AGO,0.09158998122895667,0.003969102049250495,-0.08463617111552635,-0.17368491210467685,-0.26493031009734436,-0.3576455160481551,-0.45331738380571807,-0.5496830336621406,-0.6468982663224487,-0.7460775792382912,-0.8495835614075187,-0.9530916337831763,-1.0591719304386515,-1.170544166306231,-1.286498710467432,-1.4055310589927372,-1.527588364093324,-1.6514227341732468,-1.7764200166466515,-1.895044042268268,-2.019901496495957,-2.1468716051544434,-2.273931011418562,-2.403027542603986,-2.5320336703953283,-2.660323863891667,-2.787971654739818,-2.9172938623959643,-3.0494036472828334,-3.1805576977401273
ARG,-0.061711695208480674,-0.11924909461452493,-0.17744976085184025,-0.23595882106099192,-0.29592897325121126,-0.3568836249031642,-0.41980164184838287,-0.48319600417864544,-0.547169727308887,-0.6124571310170321,-0.6806155345476905,-0.7487986871359753,-0.8187005147617902,-0.8921159628083493,-0.9685808913842673,-1.0471061272137836,-1.1276592376191144,-1.209418647117246,-1.2919801129969344,-1.3703639082967949,-1.4529001866365057,-1.5368684316373615,-1.6209315084376192,-1.7063790900697,-1.7918038710997664,-1.8767913528115563,-1.9613897347380438,-2.047134985851496,-2.134767169344137,-2.2218041137348683
AUS,-0.0616049914373158,-0.11908732474985388,-0.1772415341658314,-0.23571324878256816,-0.29565483113920016,-0.35659050397897124,-0.41949954924778554,-0.4828957551240515,-0.546882390270406,-0.6121943984344467,-0.6803907781776394,-0.7486244568313183,-0.8185910663969549,-0.8920886771286678,-0.9686545407288556,-1.0472996890688113,-1.1279928873726626,-1.2099121336342702,-1.2926529944003626,-1.3712237988996054,-1.4539745145007423,-1.538179330686299,-1.6224977775567258,-1.7082239155434238,-1.793946232898917,-1.8792485919195185,-1.9641790497850589,-2.0502798007893634,-2.1382949422398436,-2.2257318359821125
AUT,-0.08346891340761681,-0.06847749063578851,-0.05346036210753031,-0.038512793038773765,-0.0233471368274501,-0.008093457689000258,0.0074813463454931894,0.022999219793189044,0.03848098558387737,0.05409641621467064,0.07019994633158352,0.08610637969280445,0.10220303668279111,0.1188791115074503,0.13599770906870465,0.153311910809525,0.17079356078351118,0.18824739082558117,0.2055763680696475,0.2217532198403728,0.23849724432510555,0.2552267342650579,0.2716669573603401,0.28806197249573695,0.30413421264062374,0.31980828780295134,0.335097705356206,0.3502758595164317,0.3654567223950891,0.38020298997804347
BDI,-0.16031535399945446,-0.18953134382026193,-0.21912249164436626,-0.24890929963843497,-0.2794803520506076,-0.3105951645081172,-0.3427564465068952,-0.37520665481237225,-0.4079996140149875,-0.44151377400293473,-0.47655319631456505,-0.5116579133922652,-0.5477020459914279,-0.5856173488660557,-0.6251721925406362,-0.6658614065066227,-0.7076735406154369,-0.7501864671611487,-0.7931926657041578,-0.8340935388237095,-0.8772356725737787,-0.921204632878541,-0.9653023026864824,-1.0102072466483152,-1.0551817423704917,-1.1000068156179128,-1.1447066488586057,-1.1900937937019413,-1.2365642697749895,-1.2828035956361195
BGR,-0.07715241751290064,-0.14377437421794442,-0.21124922588761358,-0.2791674544229157,-0.3488708497397927,-0.419810733940796,-0.4931328371562065,-0.5671096938402462,-0.6418637283550516,-0.7182572477695761,-0.7981223822871372,-0.8781309030874345,-0.9602745834583205,-1.046675899245061,-1.136805801881297,-1.2295121007509142,-1.3247676606265886,-1.4216098279827456,-1.5195651371489651,-1.6127149763894872,-1.7109581181762505,-1.8110720564175662,-1.9114664586504464,-2.013685373472937,-2.1160487139262965,-2.2180577554867704,-2.3197672633936692,-2.423025468984855,-2.528732025993157,-2.6338960120858235
BIH,-0.20422695277179811,-0.24936934072454883,-0.2951727335639147,-0.34136113508594984,-0.3888508046478053,-0.43727319391892366,-0.48741690422918554,-0.5381059956822878,-0.5894267069410688,-0.6419753428328571,-0.6970220473231368,-0.7522797678215372,-0.8091283227871181,-0.8690497243812565,-0.9316941888151254,-0.9962746304792834,-1.062783420786502,-1.130557446403226,-1.1992709371952126,-1.264762245595552,-1.333990647944264,-1.4047011499321918,-1.4757747517252815,-1.5483086569345086,-1.6211144678573621,-1.6938358500045716,-1.7665091514458207,-1.840456937693794,-1.9163322026119636,-1.9919916714313661
BOL,-0.1075739423760551,-0.2218902827586179,-0.33745252732691333,-0.4535542726438254,-0.5724795516107156,-0.6932785967404235,-0.8178855666705415,-0.9433506371292073,-1.06987557916889,-1.1989088631463733,-1.3335196028756222,-1.4680803726632803,-1.605930391948394,-1.7505976695532726,-1.9011523392383367,-2.0556344465580967,-2.213970030497134,-2.374536012131985,-2.5365333557996386,-2.6901998821259996,-2.8518664719177567,-3.016189949911996,-3.1805496127665136,-3.347463130421085,-3.5141778803631034,-3.6798862476829415,-3.844684518535848,-4.0115628046020095,-4.181953251786396,-4.351026104816883
BRA,-0.08253876142119891,-0.1672661122053571,-0.25294820615401076,-0.33906204665453266,-0.427303151101292,-0.5169688118751102,-0.6094971858922542,-0.7026999320570745,-0.7967278378400857,-0.8926589967666598,-0.9927789708647206,-1.0929048934319754,-1.19552307891789,-1.3032649299182777,-1.4154445527184376,-1.5306069173076695,-1.6487012800134302,-1.7685206065531534,-1.8894708322388873,-2.0042594680288177,-2.1250855520704865,-2.2479619628975613,-2.37093069957796,-2.4958770559663024,-2.6207420228931797,-2.7449200893581076,-2.8684823522779546,-2.9936715454341347,-3.1215655631068397,-3.2485406841449693
BTN,0.08497658614334824,0.10476570427309095,0.12472408693295911,0.14472857569560738,0.1651705596953157,0.18588372959518207,0.2071960245133786,0.22859973380338072,0.25012789671159386,0.27202445224858707,0.2948044848203768,0.3175116196626915,0.3407068712260486,0.36497618761450745,0.39015354773572763,0.41590305776908476,0.44220570454802655,0.468786432763002,0.49550951427506096,0.5207703063446978,0.5472534274710839,0.574074029844307,0.6008016774402769,0.6278431544404439,0.6547500656303828,0.6813928788471202,0.7077885634106273,0.7344146544840502,0.7614941414275656,0.7882570713579007
CAN,-0.007531375083378269,-0.031953194590067825,-0.05679282724766509,-0.08190210909958652,-0.10778190229382326,-0.13423525267786113,-0.1616977461754435,-0.18952937128128192,-0.21777922260826552,-0.2467787200826955,-0.2772359955687575,-0.30789068633251515,-0.3395113548777678,-0.37293187220033447,-0.40796951719541247,-0.44419404076615626,-0.48160935693490303,-0.5198490271112708,-0.5587333973142526,-0.5959005208820358,-0.6352998196569514,-0.675659353201048,-0.7163436040978826,-0.7579837370506561,-0.7999003897741603,-0.8418874429648359,-0.8839641540716021,-0.9268978572859559,-0.9710740327893379,-1.0152475436237933
CHN,-0.026878698255913915,-0.06490646887248466,-0.10342874191421528,-0.14221198863210494,-0.1820228276876678,-0.222548463343723,-0.26444412910156084,-0.30672337421297646,-0.34945649533201223,-0.39313694734609955,-0.43881340452328665,-0.48458318566772346,-0.5315862592353421,-0.5810385958756316,-0.6326393155262491,-0.6857303671926289,-0.740297593397482,-0.7957906986202028,-0.8519391831314373,-0.90534958630045,-0.9616978450854983,-1.0191376396122085,-1.0767572386603075,-1.1354435104574438,-1.1942325561329703,-1.2528379951912676,-1.3112911939288803,-1.3706548260796292,-1.4314474033840874,-1.4919495196431662
CMR,-0.050144335904827746,-0.12532538498883022,-0.20135577649176206,-0.2777714864369068,-0.35607719814225586,-0.435649477530577,-0.5177647636868169,-0.6004811536412401,-0.6839325555219915,-0.7690759073557923,-0.8579400406304876,-0.9468125485128945,-1.0379004367843325,-1.1335398059454453,-1.2331223191342986,-1.335356740345064,-1.440198365469543,-1.5465758894472594,-1.6539620944887088,-1.755882040594103,-1.8631671713651567,-1.9722776844692538,-2.081475107461506,-2.1924337351111456,-2.303325209002168,-2.413611756212624,-2.523356469808681,-2.6345513777861123,-2.748154176832359,-2.8609462105692036
COD,-0.024444034169771884,-0.11675887367686358,-0.21011274375855316,-0.30393577217195666,-0.4000751775753778,-0.4977652750725264,-0.5985727855496658,-0.7001134667957075,-0.8025515149989886,-0.9070613692096534,-1.0161327934431914,-1.125208786705478,-1.2369978106998476,-1.3543661650326222,-1.4765663371695943,-1.6020130313331775,-1.7306507212134403,-1.8611643895319356,-1.9929067906991431,-2.117934877744692,-2.249535845551573,-2.3833666249895513,-2.517294530046753,-2.653372733342711,-2.7893586342423955,-2.9245927706261154,-3.059152585146126,-3.1954803062082098,-3.3347494788363257,-3.4730139427043767
COG,-0.052471794013642103,-0.12444114668259676,-0.19722866522383642,-0.2703902552627646,-0.34536674894267705,-0.4215615561411701,-0.5001973718534058,-0.5794149210098465,-0.6593425735208935,-0.7408971917512441,-0.8260226845305363,-0.9111632950624116,-0.9984336300698504,-1.0900727458176718,-1.185498838390464,-1.2834754728083597,-1.3839605442156455,-1.485927887502314,-1.5888724992293213,-1.6865866413146136,-1.7894547788305126,-1.894083926161949,-1.9988072887309971,-2.105230865823371,-2.2116013058370076,-2.3174026735596653,-2.422695338840919,-2.5293906640701413,-2.6384082229533146,-2.7466595294236784
COL,-0.04729269759543995,-0.13582402127271853,-0.2253477200086531,-0.31531722708286164,-0.4075037350746272,-0.5011727814221446,-0.5978263160384162,-0.6951781033300164,-0.793385495361137,-0.8935742199281091,-0.9981306586218435,-1.1026861459734805,-1.2098367392667464,-1.3223292130656308,-1.4394463363756482,-1.559668157543304,-1.6829409805086841,-1.808004264521657,-1.934237584515913,-2.0540305589120513,-2.1801140753103696,-2.308326497640606,-2.436624528645231,-2.5669748999837902,-2.697229299838809,-2.826756198335255,-2.955629926136401,-3.086189500756807,-3.2195584733544402,-3.3519577759355603
ECU,-0.08526166289578727,-0.17323842974381187,-0.26218976726604065,-0.3515723435325157,-0.44314529766144295,-0.5361783534872723,-0.6321623834172726,-0.7288262493734061,-0.8263259011697004,-0.9257783962953956,-1.0295512310112562,-1.1333075694894246,-1.2396230743620693,-1.351221339506092,-1.4673885183184527,-1.5866151312642574,-1.708846436550612,-1.8328313562752272,-1.957954103415743,-2.076672685833085,-2.2016039192646186,-2.3286220862310634,-2.455702413921058,-2.5847924720555104,-2.7137642815584386,-2.8419928136858243,-2.969552111496944,-3.098757123973219,-3.230718651513648,-3.361697073551512
