country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.17808337885738545,-0.35818057259389136,-0.5401575108328838,-0.7228996816671329,-0.9099982227791514,-1.0999534291029067,-1.2957999972310286,-1.4928959337032977,-1.6915556805165322,-1.8940489102871716,-2.105181703557857,-2.3161202826093685,-2.5320946902183117,-2.7586185190319856,-2.9942176396368425,-3.2358103098446778,-3.48326869143214,-3.734046277851999,-3.986888839472047,-4.226569970096438,-4.478561753413068,-4.734518363716544,-4.990352777561313,-5.249979063181087,-5.5091111603841725,-5.766495172160157,-6.022283256295314,-6.2811139242545995,-6.545198391810625,-6.807046781138871
AGO,-0.08032393034326235,-0.1574156153849371,-0.23538565009053602,-0.31375837096229153,-0.3940773230920458,-0.47570348206272817,-0.5599468543913355,-0.6448156766134305,-0.7304475584008818,-0.8178248038502645,-0.909030406811473,-1.0002547225734904,-1.0937635289906766,-1.1919562391939476,-1.2942097859853674,-1.3991995415044922,-1.5068806297299675,-1.6161535391856718,-1.7264771869660578,-1.8311986087393373,-1.9414469423491676,-2.0535860683662976,-2.165829611746106,-2.2798989428892025,-2.3939148113739206,-2.507324083826612,-2.620191430814811,-2.734565687902024,-2.851432754816785,-2.9674818099686417
ARG,-0.04361737400702986,-0.09046793146829554,-0.13786846740340464,-0.18553020634577774,-0.23439259984213906,-0.28406796700596687,-0.33535483724511866,-0.3870417480064369,-0.43921298181388896,-0.49246791360581743,-0.5480780565883122,-0.603722016669118,-0.6607827228782981,-0.7207269991602463,-0.7831779777313946,-0.8473294747522758,-0.9131563956808785,-0.9799884928262679,-1.0474960348447762,-1.1116060764018318,-1.179131825995623,-1.247849522538372,-1.3166654361380972,-1.3866358592655217,-1.4566088903105197,-1.5262448238224233,-1.5955828379157766,-1.6658821070329162,-1.7377505113505716,-1.809152865363687
AUS,-0.041643161047215584,-0.08813251615440393,-0.13517628897832423,-0.18248806946231727,-0.2310007936787868,-0.2803301057089549,-0.3312696535978259,-0.3826167601569381,-0.4344553643682991,-0.48738149582001744,-0.542659839092083,-0.5979835782940147,-0.6547281063638869,-0.7143535127468533,-0.776486702287975,-0.8403270707105747,-0.9058508100340814,-0.9723916852461303,-1.0396220207970894,-1.1034845196301573,-1.1707660412639869,-1.2392525461197115,-1.3078544133604684,-1.377625092509945,-1.4474163534877331,-1.5168891971432568,-1.586082416718374,-1.656252746595264,-1.7280078800165253,-1.799316226142477
AUT,0.022723544299703594,0.047927400636945595,0.07329683267707778,0.09867399619557671,0.12455300592599257,0.15072000873985641,0.17758511760521564,0.2045048558558678,0.23151920539345883,0.25893140080325217,0.28737991078612957,0.31566582981325264,0.3444851495614626,0.3745572014019225,0.4056649791557215,0.43738422497979546,0.4696838050184764,0.5022196846918979,0.5348217173185268,0.5655387055678045,0.5976350474841792,0.6300272015753575,0.6621920721855101,0.6946160200483082,0.7267584166143704,0.7584653861043965,0.7897587441616746,0.8212029124942257,0.8530545332922639,0.8844049676784497
BDI,-0.017308299118969944,-0.040917633862905894,-0.06483613305061256,-0.08891886538111052,-0.11364198401473283,-0.13881139359132288,-0.1648342373457614,-0.1910979747038366,-0.21764634504788904,-0.24478605635468575,-0.2731689751993094,-0.30161302112604244,-0.3308267746507513,-0.36156639095969945,-0.3936453738706962,-0.42665506770086925,-0.4605870395343591,-0.495099406177616,-0.5300241607505887,-0.563250283008182,-0.5983087660336409,-0.6340514211308492,-0.6699110871790597,-0.7064398923072949,-0.7430380518617525,-0.7795272790688301,-0.8159270813437085,-0.8528993214016933,-0.8907672924924872,-0.9284601389654786
BGR,-0.036270720265751795,-0.07847792349452214,-0.12127329672540825,-0.16439829276897364,-0.2087070997835678,-0.25385405692899765,-0.3005721324483721,-0.34776388359314686,-0.395508815217659,-0.4443602453680109,-0.4954955917720164,-0.5467879619171524,-0.5995167863497594,-0.6550522496949789,-0.7130643819082191,-0.7728197110927236,-0.8343074685265576,-0.8969116685653296,-0.9603296655476976,-1.02072398035354,-1.0845125020024107,-1.149612330200787,-1.2149920025455476,-1.2816596363577064,-1.3485218571560307,-1.4152521252696384,-1.4818848147961508,-1.5496320962126078,-1.6190895825800202,-1.688294318474505
BIH,-0.030346993378690765,-0.054506822994261406,-0.07908440911543567,-0.10393324860634781,-0.12954923239254326,-0.15573771036562556,-0.18293026189621603,-0.21049346480447997,-0.2384760916189142,-0.26720666834591356,-0.29738730239262523,-0.3277694629900937,-0.3591151094950551,-0.3922515840752858,-0.4269986430853603,-0.46293034374804753,-0.5000511921477806,-0.5379981487015203,-0.5765932575857857,-0.6134916622531189,-0.6526142581012389,-0.6926988801210543,-0.7331146083774175,-0.7744886898974607,-0.8161463496551371,-0.8578826818520551,-0.8997167554087628,-0.942411607032323,-0.9863510580895669,-1.0302968744630843
BOL,-0.09888772374545061,-0.20237832226318642,-0.30701285553797775,-0.4121520996994238,-0.519865148853698,-0.6292928044224289,-0.7421884149559257,-0.855880462954283,-0.9705522365162069,-1.0875173490155092,-1.209559798785013,-1.3315789336322787,-1.4566035603456648,-1.587836031444493,-1.724436204039007,-1.86462850194772,-2.0083480318276536,-2.154123329265736,-2.3012300733039677,-2.440801429559257,-2.5876702568141017,-2.7369856187148938,-2.8863670100905705,-3.038103487958229,-3.1896934793472145,-3.3404023025919156,-3.490316977092789,-3.6421579652116556,-3.7972301280567127,-3.9511386446316688
BRA,-0.06785687350814046,-0.1396154868332404,-0.21219809362174036,-0.2851620326003637,-0.35994461223013846,-0.43595129485970563,-0.5144023830854892,-0.5934435009311175,-0.6732029705279233,-0.7545961063598693,-0.8395639691303848,-0.9245580399102832,-1.0116896841590963,-1.103195688603201,-1.1984967797720327,-1.296359483297067,-1.3967428426445658,-1.4986225895121161,-1.6014946961904053,-1.699154777557246,-1.801981514935937,-1.9065848171166815,-2.011298701300797,-2.117729405736365,-2.224123802111636,-2.3299656532136708,-2.43531505373461,-2.5420845703283876,-2.6511952402170915,-2.7595562741918322
BTN,0.030664077979669635,0.054259820467961184,0.07807914279711614,0.10197561542981681,0.12641775175619152,0.15120818345484288,0.17674110838707957,0.2024097888926102,0.22825449434735745,0.2545692825828283,0.28197588699903076,0.30932563908536714,0.33729543424056985,0.3665955179023017,0.3970302986468832,0.4281976601860915,0.4600778256449445,0.4923400402985223,0.5248212322216617,0.5555681993952177,0.5878485712912829,0.6205885105915687,0.6532638959717119,0.68637334010484,0.7193690100252503,0.7520916549300427,0.784561350904367,0.817366208800796,0.8507837317016431,0.8838649484639305
CAN,-0.008399485295355487,-0.01894196183518094,-0.02973129761394912,-0.04070479310962923,-0.052084384418935634,-0.06378772399783351,-0.07601274597780877,-0.08847892186830073,-0.10121015971765285,-0.11435926814962885,-0.12825511716920734,-0.14232814350522324,-0.15693452610736985,-0.17246968681041808,-0.18886195442568193,-0.20592070177279576,-0.22365650246609114,-0.2419026744814071,-0.26057790032110434,-0.27854051353858106,-0.2976991831663747,-0.3174474029902162,-0.3374775492358716,-0.35810360835521376,-0.3789920609148547,-0.4000391851492291,-0.4212528660886484,-0.44302160497974385,-0.46554741055643545,-0.4881981882299198
CHN,-0.025954203038297853,-0.05404720263793961,-0.08252060983883124,-0.1112021960810048,-0.14065960724045665,-0.17066237925742872,-0.20169682174828307,-0.2330332386764189,-0.2647241849472163,-0.29713642415895625,-0.3310499442554877,-0.3650533564503277,-0.3999943741217614,-0.4367793755263201,-0.4751877452776263,-0.5147322540957975,-0.555404488640712,-0.5967960035285925,-0.6387061309014036,-0.6786001567413702,-0.7207176284357134,-0.763681518437057,-0.8068107182282575,-0.8507698961391363,-0.8948378121278073,-0.9387995579653294,-0.9826782229640821,-1.0272719538041635,-1.0729719651933234,-1.1184864602546862
CMR,-0.06477664543162741,-0.13109282537530567,-0.19816786466699166,-0.26559263540975764,-0.3346952074953293,-0.40492604552459177,-0.4774125069658709,-0.5504410608598048,-0.6241301830883899,-0.6993254066976398,-0.7778196929816107,-0.8563346497518487,-0.9368205800050257,-1.0213432700050595,-1.109367129100473,-1.1997524458081368,-1.2924610671880947,-1.386546761442871,-1.4815439074675716,-1.5717234065871497,-1.6666689576318716,-1.7632498442406117,-1.8599277421516218,-1.958185513787374,-2.0564045690350348,-2.154108389707482,-2.251352560134663,-2.349902466740009,-2.4506079905689537,-2.550616348762118
