country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.35799950954821247,-0.7105641796188222,-1.0524081666790197,-1.3971380160717195,-1.743583051026365,-2.096730729091112,-2.45971039895555,-2.824106881630295,-3.186429438520866,-3.5557612651616832,-3.9350606413610545,-4.316728680140192,-4.706649307013578,-5.115960192799996,-5.538829820892655,-5.975042106450479,-6.424492254206548,-6.886113535805672,-7.354909685771016,-7.814789502104691,-8.29950214157067,-8.799011247143195,-9.30446348350179,-9.81281878218323,-10.323247474883178,-10.831750095527493,-11.338105769181716,-11.850923238623368,-12.37233881296913,-12.89556929626725
AGO,-0.15558452337234296,-0.3156910794203771,-0.4711870493291914,-0.6282543908861737,-0.7863665027684208,-0.9478109110913291,-1.1140394444770108,-1.281213729028896,-1.4477334143182863,-1.6177811175580814,-1.792742418807558,-1.9691303054138465,-2.1496804626391475,-2.3395905973125575,-2.5362049854246616,-2.739466611663033,-2.949371547979629,-3.1654665518991876,-3.3854492946066794,-3.6017704413329077,-3.830337543338236,-4.06649395968347,-4.306098333620811,-4.547732511319536,-4.791018029142746,-5.034055305584184,-5.276737151127609,-5.52320471378569,-5.774522315539377,-6.027449380284599
ARG,-0.10489184328282848,-0.20414396826837944,-0.30059932454268123,-0.3980909402278272,-0.49629358400120255,-0.5966307489738237,-0.7000098171299884,-0.804047351088195,-0.9077477110132651,-1.0137175810784806,-1.1228260149606275,-1.2329027949634401,-1.3456590821228016,-1.4643504949923205,-1.587329055954729,-1.7145693690494348,-1.846079585010609,-1.9815863613938003,-2.1196546240358645,-2.2555466491283584,-2.3992631631850476,-2.547894044222327,-2.6988433052737815,-2.8512230131527017,-3.004798398756469,-3.1583720854132182,-3.3118761846056133,-3.467933846821577,-3.6272278576986516,-3.7877111166280777
AUS,-0.09814430548068376,-0.19407506203766817,-0.2873401172097153,-0.3816445822598122,-0.47667474419716777,-0.5738096523557213,-0.6739306594500691,-0.7747315489973047,-0.8752476986156017,-0.9780067894155511,-1.083854737289342,-1.1906885996261396,-1.3001712821132263,-1.4154693453089706,-1.5349886574413232,-1.658710291569397,-1.7866481153880869,-1.918542076588962,-2.0530000733577465,-2.1854082581103857,-2.325515047161024,-2.470493185139827,-2.6178160367949954,-2.766619727681939,-2.9166767786850483,-3.0668178358679796,-3.2169760623518053,-3.36971909644007,-3.525719664061984,-3.6829763040097605
AUT,0.06176234577937122,0.12661349780694142,0.18919264701760619,0.2519986535033593,0.31480985632739666,0.3785167435790482,0.4436584685740091,0.5087061689515354,0.5730348434650969,0.6382470379324773,0.7048367176102841,0.7714476944187412,0.8390866467746334,0.9096368508705788,0.9820328941400371,1.0561850457594346,1.1320207675228133,1.2093050331469313,1.2871561788401997,1.3628987373255617,1.4420506061384875,1.5228794104243502,1.603896988078603,1.6845861378797404,1.764793616142097,1.8438805834222638,1.9218123846135868,1.9998929490010635,2.078398898685165,2.1562707831271126
BDI,-0.05268140507505061,-0.09695500403731921,-0.1401069582393779,-0.18384842538257612,-0.22803667490258855,-0.27331760067158273,-0.3201108453467224,-0.3673448676155031,-0.41456804240884315,-0.4629711644478809,-0.5129622816384687,-0.5635555337179399,-0.6155450707812989,-0.6704509416415108,-0.7275341352167195,-0.7868030695812491,-0.8482823020885386,-0.9118647699030109,-0.9768938341435349,-1.0411385701947056,-1.1093416508582894,-1.1801565814270518,-1.2523665154548747,-1.3255568754503582,-1.3996218925678592,-1.4739869383954554,-1.5486182405074231,-1.624797759811707,-1.702875305980427,-1.7818600828435223
BGR,-0.06647660347512692,-0.1291600337613944,-0.19045979655974254,-0.2528004156142703,-0.31598323180392307,-0.3809400477452014,-0.4482885704923248,-0.516497729745764,-0.5849155620822305,-0.6552727147376808,-0.7281791533283016,-0.8022098335748827,-0.8785380398136469,-0.9594239769226767,-1.0438139456291915,-1.1317502510172779,-1.223299868653638,-1.3183334590649187,-1.4158934286178073,-1.5126324745656392,-1.6157124255854052,-1.7231474344703912,-1.8331188430971865,-1.9450084002156423,-2.058662776663669,-2.173202469295905,-2.28857252040672,-2.4067621390865073,-2.528334997469553,-2.651763696151224
BIH,-0.041829597201300944,-0.06957265424098287,-0.09704378954625918,-0.12531983928760868,-0.15431929636238173,-0.18448422832420291,-0.216128377136368,-0.24855160711929009,-0.28144521724042093,-0.3156510921725708,-0.3514944923519838,-0.38829670791250287,-0.4266606498816653,-0.4677704030378351,-0.5111492953983515,-0.5568696532241684,-0.6050180078060495,-0.6555775699621462,-0.7080799739628894,-0.7607252614824109,-0.8174465099902802,-0.8772339732205356,-0.9391232201477959,-1.0027906120240033,-1.068165476981329,-1.1347486438189431,-1.2025062942679692,-1.27262203565879,-1.3454679460072378,-1.4201573675884662
BOL,-0.2201418027281177,-0.4372458398145283,-0.6479500967231623,-0.8606358010207665,-1.074586189029622,-1.2928903947384096,-1.5174997580977854,-1.7432193403419791,-1.9678879445266035,-2.197144452314207,-2.4328439315869206,-2.670278958680164,-2.91312313366068,-3.16834531508222,-3.4323491530188375,-3.7050344771144967,-3.9863717404279613,-4.275729282920567,-4.570004731672845,-4.859098822959253,-5.164253502646032,-5.479211352202011,-5.79842588821495,-6.119996021055411,-6.443410177401058,-6.766140111053509,-7.088044867297553,-7.414609997662029,-7.74722658610391,-8.081591278957633
BRA,-0.1480367868775556,-0.2915573258139723,-0.4309830221638452,-0.5718558153093204,-0.7137043220527889,-0.8585823653920583,-1.0077958399976046,-1.1579014386570072,-1.3074622977238937,-1.4602361633682108,-1.6174711725234217,-1.7760361364379829,-1.938392586655199,-2.1092201427596624,-2.2861369512400977,-2.4690977406424515,-2.658105185476907,-2.852757355902641,-3.0509853455515734,-3.2459864804897354,-3.4521048352580426,-3.665151469025099,-3.8813962303204503,-4.099562172362927,-4.319309603495725,-4.5389234520197075,-4.758306478647682,-4.981204144461058,-5.208583827950893,-5.437517283461304
