country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-1872359.6451208151,-1700025.2711671581,-2145322.5074122814,-1528105.7952616813,-1724483.1849061968,-2125627.860680717,-1793036.9467944624,-2333715.2576720016,-2121614.271337246,-2519109.759382375,-2841016.382295308,-3539430.032076574,-4074903.3425332205,-3973528.1401526174,-4980216.571890446,-7658076.472028202,-7122366.052903654,-6165700.561306193,-6636555.053362047,-6713389.209266665,-7165050.682535327,-7179636.122446112,-6198137.062522725,-6694801.9099139515,-7298527.193624563,-7312480.212453377,-7328819.50671886
ARG,,-73668225.50946644,-83403521.65118366,-98879859.57621378,-130158153.93277735,-197250150.7066783,-198834088.9739441,-375691163.0552333,-436401702.34101754,-407666007.5155399,-540709099.3256013,-617680194.6276906,-213892015.35189098,-202673602.74870795,-257026778.2141281,-309289638.8277322,-249843569.0222323,-303381368.83323544,-356080292.48891044,-164742566.52136156,-177799228.06195375,-315384873.9336968,-276096161.28883713,-135272945.99105874,-108377352.2559766,-150720798.64743245,-81679531.49084382,-123752555.22865896,-76257758.08205526,-49132267.55029691
ARM,,,,,,,,-710881.3210899128,-1133150.0576121598,-1050435.863982088,-934688.4174234836,-1353404.8263898017,-1713093.1180698273,-1441346.5592087584,-2266504.405644982,-2552312.8364779493,-1717464.6911472243,-3871338.0268594883,-4080266.925160418,-3190564.8345335172,-3075038.4976682533,-3959987.4938600394,-4215578.915066494,-5638816.80136282,-6324834.704370359,-6197963.990088767,-6345047.321839098,-3327451.7008355088,-3670609.1788328667,-2329241.2001674296
AUS,,-14517790.03503237,-12468725.35491862,-19279495.861615036,-31304620.725947823,-22325719.44411769,-52284744.83927506,-79630009.08676635,-67772909.7999881,-86972864.84816715,-97393330.49676034,-84977066.61737159,-108920765.87913844,-60554180.04083606,-190704229.18107617,-180885946.74665123,-220872320.4101208,-112733292.65573534,-150259058.91774583,-233231541.86626223,-299172733.02415335,-443442477.01165384,-513611909.97449225,-389572944.99268514,-422264972.291373,-346470064.92800397,-343023581.49415994,-528338408.6547498,-351909158.48172265,-289262761.4086578
AUT,,-987299.9721290733,-1326818.0936888612,-1160519.432835957,-1956268.7561018714,-2954449.0827619047,-3222061.364659436,-3419322.934862055,-4116302.886553138,-4663715.800538458,-4044866.0358302738,-4950691.944829117,-5490844.692057295,-6101922.344479613,-10436980.577584554,-9633960.762818761,-10067928.418501697,-11766679.819491094,-16147807.883896718,-14607313.42866584,-14849333.401331173,-19241720.101164937,-13470969.285073329,-18553653.695687782,-21973035.99757015,-18436598.934953433,-22374071.88991013,-17437611.381240025,-18018156.7352716,-20954823.308330037
AZE,,,,,-19615526.171826456,-3354604.4819595874,-3929664.135257623,-5627240.787506557,-6314421.995974388,-7034568.408877379,-9555806.889300432,-13073548.10057466,-15735296.44053687,-15458107.98533963,-17361592.269559212,-19105981.730680462,-20850892.9244351,-20754125.63802255,-29041240.759363886,-40038084.94327656,-26046862.19012358,-34917237.204229176,-41877445.88538154,-45717206.39808182,-36706832.20234891,-34370718.782591894,-25782687.939279765,-24574764.17063369,-29110316.510045517,-32458806.002521493
BDI,,-229977.0854833019,-264847.89607009734,-266672.1901700188,-315526.44589749444,-463389.0840106442,-466816.0836164326,-483147.95979804004,-471912.2398948521,-304262.3170559481,-221236.86328537966,-299181.9485027212,-283457.72397208057,-265481.18386432034,-260356.59266682435,-299044.21422646835,-349992.7970480171,-354569.60575924086,-347793.1541982667,-376007.6091400562,-423290.96458974696,-470177.1955457427,-186439.2972819158,-281654.36004605633,-260329.89999205858,-317766.8100728046,-385974.0870976656,-390185.0532636248,-1109177.7684733989,-242263.41659360737
BEL,,,,,,,,,,,-5511982.472480114,-5067219.537629167,-6801675.725499818,-8915273.7324331,-12316653.843231205,-12429756.395261532,-12706943.960943826,-14052615.408263572,-18711001.412796237,-19369720.062151235,-19134159.44997678,-19252000.384942383,-20466185.380099773,-22120915.684622046,-25650847.133180335,-22779886.13242818,-16789430.58988189,-21819243.436568122,-23110899.269116893,-26371218.671714123
BGD,,-2577173.3924380736,-3361774.2779655103,-4394781.47742056,-5589423.896750277,-7913630.484128678,-10085547.626046246,-11425157.004590964,-16349058.466784813,-18519778.097908553,-18177779.642001115,-16930981.9844666,-17388317.36217736,-18109765.436159704,-15850073.64328641,-12448114.327259228,-9436492.86989561,-10114300.408141565,-12342102.170484874,-13047864.267947763,-14696686.827737525,-15644433.137274269,-15351096.273169097,-21581207.547164027,-23650949.86903866,-25576216.88904985,-27019041.563469533,-26880521.739007406,-22552655.5835947,-21659007.98727591
BGR,,,,,,,,,-12147160.15914328,-10762338.037627764,-10611796.85623287,-16589735.06955002,-19557792.72326861,-12688320.110835806,-29755533.796320867,-28482721.965724584,-29445927.285978433,-24880185.924917158,-54769472.351077534,-47348808.18977018,-49672847.411821246,-59781172.15115841,-58439168.120814905,-79360325.03769682,-80906989.29006656,-66503345.783099286,-79794978.7140272,-92119575.96265745,-97407573.5952095,-102973165.1147234
