country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-600642.1395631396,-509428.7042541601,-603386.5419588621,-420364.77001479134,-485966.68170310376,-554296.8369539131,-468320.4735583511,-625771.353122758,-572725.0986436404,-671983.382929967,-744246.3508189428,-938225.5745291439,-1078376.9734307681,-1056106.1999829805,-1336044.9967232319,-2079663.4952064778,-1956119.9887188869,-1692719.9850842876,-1846929.2407414217,-1879157.3190786575,-2001815.4246690122,-2021314.7991749868,-1753920.9059339657,-1869524.6235829869,-2042559.8655503283,-2062105.9203612753,-2057944.3221307227
ARG,,-12042743.77646359,-15241001.06613422,-19809842.959453616,-24035734.704083744,-33804098.67567055,-33191332.035650667,-64458735.876167245,-68441478.20866658,-64031790.98237755,-87507646.82658878,-100714949.82035623,-34393897.47458423,-31912244.25597514,-41015659.99306281,-49252982.291137315,-39978288.500655554,-49060351.40715684,-58389955.09553501,-27364964.35298524,-29516774.788828127,-53181267.54148714,-46864025.94282092,-22908387.33411504,-18515414.178587407,-25899869.313712377,-13820361.275205703,-20990214.881422568,-13047976.53286611,-8364583.981299384
ARM,,,,,,,,-163992.42918053214,-240462.8158441699,-223311.11809877676,-204416.4666462705,-298168.5617319482,-372662.7705803813,-307553.86773589166,-489891.65741453524,-550797.9415457349,-372442.1637768537,-848156.7089021825,-905961.448482491,-717246.9161448234,-691170.364179345,-903457.3225772278,-968065.2421781094,-1292653.4867549362,-1462369.6642798674,-1441373.4822909457,-1455065.9531155126,-765077.5358938152,-851186.9233296283,-537827.2501353427
AUS,,-2388835.6846084483,-2295996.5228447546,-3893492.0461832625,-5834054.023250271,-3864823.6106641414,-8820713.392030666,-13809515.992671294,-10751555.053773418,-13821312.994131656,-15947783.604828076,-14021114.412969865,-17727890.48489113,-9653604.30925122,-30814649.611459658,-29172635.11918898,-35798111.417320825,-18467150.857018266,-24961471.05666958,-39250887.08698811,-50327390.18659389,-75774902.07812536,-88356028.56704687,-66875891.01738935,-73134263.9757679,-60364525.64870554,-58861148.94772609,-90893042.23932423,-61078102.50323727,-49962604.80361544
AUT,,-216525.01614024985,-323056.9223618044,-307591.8397304216,-481925.78188802983,-680243.226708233,-724578.7844997126,-788930.3677836308,-874783.405139315,-992910.5409946652,-885574.5989347928,-1091781.812444618,-1195911.8463861733,-1303984.2893185313,-2258901.776017205,-2081887.9756686871,-2186145.731727947,-2580929.5029511773,-3588888.88843512,-3286394.531718277,-3340356.2560017263,-4392521.748102367,-3095003.572794849,-4255503.095093943,-5082414.138057785,-4288867.025456266,-5133567.631408085,-4011344.8312097206,-4179754.6115179993,-4840539.795039342
AZE,,,,,-6419676.780069616,-1031815.2748767373,-1182508.8318508973,-1733184.3641329375,-1802816.0902553818,-2011226.1307433664,-2802565.427173854,-3858858.312793014,-4590326.526098161,-4429893.742020143,-5032425.422600702,-5528408.052201786,-6058080.58198533,-6084231.890978143,-8614596.29543199,-12006571.936324771,-7807063.880674735,-10604204.963332266,-12788467.382482458,-13933929.869406758,-11270270.025051747,-10604472.093565464,-7851931.026944344,-7499199.103240045,-8948480.0395875,-9935511.880141608
BDI,,-44203.99547749732,-56398.774535047734,-61867.668452914084,-67537.5719097337,-92163.32489802966,-90428.70037998706,-96040.24912836273,-85949.82786929524,-55472.45168869782,-41505.019950376685,-56517.50006912757,-52817.089216736014,-48460.05122303235,-48133.73824229616,-55164.24522721162,-64852.71086675622,-66365.04503250297,-65969.9443870215,-72206.76697063011,-81232.34705895993,-91590.85122331922,-36546.6437580658,-55084.147182680244,-51342.488116573026,-63018.67601639697,-75406.27698661928,-76403.39200155705,-219018.40756200647,-47603.39168985854
BEL,,,,,,,,,,,-950060.432205489,-879947.6473282995,-1165360.0828100385,-1496678.371121499,-2095453.9778815657,-2110932.7104845173,-2168791.3104913644,-2424093.4352138666,-3272964.9212124203,-3432271.3751322418,-3389760.76005089,-3464293.346522198,-3707922.290263297,-4000234.541856037,-4680268.939124033,-4181722.9577234914,-3036934.004504999,-3957604.9958295133,-4229438.637101654,-4804335.398707801
BGD,,-546861.1671610395,-792182.9838613198,-1128342.5470247224,-1330257.4320966904,-1756285.9066137797,-2183691.2941711047,-2538157.2923669545,-3337657.040045568,-3785968.4145605895,-3821938.3552936404,-3584631.288602967,-3633254.910297849,-3709479.9542549835,-3287452.90900091,-2576500.224399116,-1961786.8105601193,-2123434.5757041816,-2624972.252405368,-2808533.110905615,-3161284.9296980174,-3414347.933039021,-3370603.7401967873,-4727626.623578882,-5223068.716731495,-5678311.08653916,-5911321.402556919,-5893570.535567652,-4984642.181543215,-4763866.661267664
BGR,,,,,,,,,-3359679.743240399,-2981175.158996331,-3015537.19344175,-4744901.9478337625,-5529062.237629634,-3524078.0850480613,-8359532.5103585245,-7988519.025367397,-8292998.112546595,-7070467.094360487,-15749457.925793512,-13764966.931459634,-14434137.14592446,-17601611.19491272,-17302397.73096612,-23451954.830202587,-24086108.908044063,-19895249.496056892,-23564084.98549243,-27259417.744742382,-29036447.332175467,-30566499.258362718
