country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,-0.034470807667479716,-0.04524607137482042,-0.05276066208403983,-0.04318986377345483,-0.027786478834390574,-0.032242136794907145,-0.021855635838722333,-0.02446667838156838,-0.024367463757952276,-0.027827486606712602,-0.026145562072958272,-0.02429354468390069,-0.03178339097069303,-0.056933832007662194,-0.03612331186115792,-0.03251894182447433,-0.0474281380571508,-0.043957656658474474,-0.04975656533018021,-0.04256383565856709,-0.03532142049989068,-0.03463590230187423,-0.032005023950373794,-0.02937694276073725,-0.02802562157336665
ARG,,-0.003644945444022917,-0.003558096481661876,-0.004611700346876026,-0.003998752162050876,-0.007228450771726542,-0.006800121207728397,-0.007730704189159008,-0.005643538054067553,-0.0049053386450894345,-0.0062179348141485355,-0.00791807007670152,-0.009283767255842384,-0.007103946626172259,-0.006652845200105087,-0.006499189500168905,-0.005429297052264685,-0.00821434906679947,-0.011464923706349448,-0.00502392789931884,-0.005397940145823345,-0.01299596168082372,-0.011936318092803438,-0.011201894792095868,-0.007353593492735793,,,,,
ARM,,,,,,,,-0.02615434942175464,-0.030564673149210596,-0.023158517621304435,-0.0172595006577739,-0.022457587896388097,-0.020147455668201683,-0.018546323111177987,-0.026351668365407376,-0.01824680811526611,-0.011221066846977738,-0.025285755454162697,-0.028265973927664813,-0.0199297294694851,-0.023004222086102456,-0.03197657420684033,-0.03535714230999971,-0.04556364974014605,-0.042590007188706626,-0.032965781710417245,-0.0306541050378499,-0.015071768374843924,-0.015596847603156333,-0.00997407666196982
AUS,,-0.002950612015917314,-0.0030336859027741583,-0.0035460641788041996,-0.004076981018214894,-0.0030483422219831405,-0.006475450465265087,-0.007149201846369268,-0.004527071083132366,-0.004824606815768517,-0.005184432921217483,-0.004974154255134347,-0.006438240525885496,-0.003263609388591939,-0.007693452667295549,-0.006131867095199928,-0.007211405168782296,-0.0040990373644266545,-0.008294211959432727,-0.00890420694951678,-0.008381781059628142,-0.014086053261829119,-0.013560254475814769,-0.013427246282602471,-0.014099431340894772,-0.010569562696735865,-0.009076329738689515,-0.011213919206616938,-0.008473129809879194,-0.008632058359342479
AUT,,-0.003137400234899557,-0.0031112123543877664,-0.002332504210448728,-0.0027476690519273807,-0.001643774240239351,-0.001704229643605508,-0.0014110939717947462,-0.0013667003070449897,-0.001370506732370185,-0.0011118884391373934,-0.00122587390753118,-0.001141575851551821,-0.0012817837687908004,-0.0016729618770648185,-0.0013359151834099053,-0.0016619097137514592,-0.0032634005355587875,-0.003072072639126111,-0.0018994558699191547,-0.0037113505776375354,-0.0039224044546325105,-0.0035812108124794674,-0.0033715886561593595,-0.0035583538309303412,-0.0029388238673972136,-0.002833645515381521,-0.0026760822962221564,-0.002838145096872702,-0.0030105679022330994
AZE,,,,,-0.017645957856401925,-0.02186995699093113,-0.035487009457724705,-0.034014376894725605,-0.029008241985404748,-0.028618833697445965,-0.034014841867119304,-0.037509648401693525,-0.036406367892613964,-0.038838630427999433,-0.04160061221504716,-0.033440728972726354,-0.027294361310047924,-0.027669991600074273,-0.04736674572736634,-0.05415130034017933,-0.03374160571006184,-0.0523012166461252,-0.05841470601213866,-0.06409870642366806,-0.04787183282434099,-0.04340299540365048,-0.032034781731283914,-0.028879819822622096,-0.032598554828483915,-0.036053873304762826
BDI,,,,,,,,,,,,,,,,,,,,,,,-0.002135157966764371,-0.0029974136873329384,-0.0037468279454998116,,,,,
BEL,,,,,,,,,,,-0.0008992705972515105,-0.0007570975868163621,-0.0008471871484446269,-0.00115159751772066,-0.001450403977505735,-0.0011365029300306223,-0.0014404948816392781,-0.002187949578991565,-0.0027064573132233177,-0.001803976257175926,-0.002367958659669497,-0.0029318688827224835,-0.003418728892878607,-0.003186460013414107,-0.002967730118311677,-0.0023896153131236827,-0.0014527794093785892,-0.0019389734255945386,-0.0023543237513634755,-0.002402346233202383
BGD,,-0.0042637555402768,-0.004844297618950822,-0.004031266525436606,-0.004574423260533307,-0.005724140443510468,-0.005936185557615915,-0.005872537125155024,-0.007338589678231089,-0.007735789444222884,-0.006533148613893388,-0.0055443772942580264,-0.005244543581960057,-0.007174872031445871,-0.006188808332521674,-0.004492930353962808,-0.003038414873793468,-0.0037386034672546036,-0.0034445129044578505,-0.004045672713708185,-0.004967060332415907,-0.004641104528816762,-0.004712756973395632,-0.0061945645676715864,-0.0060918043391213735,-0.0060232250808348615,-0.005343051422498142,-0.004969072931887353,-0.004017258696331284,-0.0038474690183157214
BGR,,,,,,,,,-0.023458953307497997,-0.02244985867717299,-0.02711475684072986,-0.04140105710675874,-0.03312899511028539,-0.024109961575184746,-0.05858754404958581,-0.03232616987036106,-0.03509136338526036,-0.04453522711516179,-0.09444635557195243,-0.05530855873385713,-0.06417075896655665,-0.09958963710770449,-0.11658439325070938,-0.12057062236651836,-0.11929524785455013,-0.09046724696179903,-0.09189966696292408,-0.11105177698069804,-0.11475326617147615,-0.11173025782389873
