country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-0.01575638443717871,-0.012339734890038763,-0.012897808081091687,-0.008236268866199813,-0.010688970081206901,-0.011202856090329304,-0.008384414047868305,-0.010475636752623134,-0.008853377730596516,-0.009936928833188453,-0.010428893841857592,-0.012459870660874213,-0.013571023802996619,-0.012549869906633716,-0.014979989817684258,-0.021690549634127528,-0.019739670027075447,-0.01647087608491015,-0.01752509306112484,-0.017581493881609782,-0.01854303261279245,-0.018396956306681863,-0.0156165647078889,-0.016111555074129428,-0.016957694163540492,-0.016458211326656935,-0.016092829714630684
ARG,,-0.004143965578882408,-0.004861690663187682,-0.005841613256769537,-0.006698224185638227,-0.009697618710079226,-0.009024029954518592,-0.016211358912500178,-0.0165758132951716,-0.016051992694636506,-0.022112427094629634,-0.02662446086800894,-0.010204121195153284,-0.008699324791021798,-0.010255176007848048,-0.011313563097152066,-0.008499339571789317,-0.00956844140902012,-0.010944154993426146,-0.005451800880401872,-0.00533987650016366,-0.009076181480615795,-0.00808106654209708,-0.0038574878213334094,-0.003198145161211531,-0.004354747000258764,-0.0023731066701605137,-0.0035054657721095878,-0.0022376530020049696,-0.001463772643703438
ARM,,,,,,,,-0.004816702579844921,-0.006583982338947908,-0.0059203035121458275,-0.005118368635931857,-0.006812912649542841,-0.007523088687424155,-0.005446868446974125,-0.00785251370051239,-0.007752077315248882,-0.004630994932648809,-0.009276054825266644,-0.009269328436132023,-0.008543583070800229,-0.008056192170659124,-0.010058376299080279,-0.010054276799789708,-0.012997118972816177,-0.014193181935068824,-0.013556121314734052,-0.013658035049072903,-0.006680608282188923,-0.007065332992912337,-0.0041490677462462005
AUS,,-0.0003883371552739143,-0.0003713718904907025,-0.0006050281308741614,-0.000871653928496691,-0.0005557378107596316,-0.0012210181776881883,-0.0018394251570545167,-0.0013681874994944455,-0.0016745207310992463,-0.0018591354771396334,-0.0016020071937919488,-0.0019479241845936565,-0.0010288857414076861,-0.0031510090198873667,-0.0028917851658973957,-0.00345328195949592,-0.0017166157773571525,-0.0022399018052606063,-0.003456642325875174,-0.004335732696735921,-0.006374452522659001,-0.007152501577151027,-0.0052762428844597715,-0.005623921589234671,-0.00454236447141583,-0.004310215524934452,-0.006507342809925091,-0.004250362290626478,-0.003402886571658012
AUT,,-9.093337443910742e-05,-0.00013305916102962848,-0.00012610672249808086,-0.00019302207346513927,-0.0002654414285102828,-0.0002766629426077643,-0.0002949435768793535,-0.00031603176522280427,-0.0003457259385972717,-0.0002988361216148498,-0.00036364435909182885,-0.0003925103983070461,-0.0004231565212854207,-0.0007147078380273088,-0.0006437629990234889,-0.0006545955783394423,-0.0007446816740798237,-0.0010206584509179475,-0.0009693744895490525,-0.0009677586038956477,-0.001236356847473046,-0.0008656783117242022,-0.00119322065996697,-0.0014143383181559359,-0.0011781051159633984,-0.0013808437735412743,-0.0010549688362738083,-0.001072567969279938,-0.0012206548742229855
AZE,,,,,-0.06598553687902013,-0.012029840544285322,-0.01361425517302155,-0.018864927768696863,-0.01784241403360826,-0.018536508728097246,-0.023252352298967983,-0.029135443128742063,-0.031672077359259254,-0.027736409110377436,-0.02884246325688691,-0.024763224071759522,-0.020176601190401756,-0.016211906177364965,-0.02072561636125863,-0.02643058420012003,-0.01636076290801403,-0.022201289479479448,-0.026207935139070767,-0.026988467387966356,-0.021245644299355843,-0.019774855958203285,-0.015110876400288353,-0.014403644926151737,-0.0169337221928312,-0.018343442404169585
BDI,,-0.001703761482460364,-0.00218786603046398,-0.00258177070208984,-0.0029465615046217926,-0.00438289195823382,-0.004686975030617777,-0.005068483914135279,-0.0043371535997417466,-0.0028314136277592114,-0.0021390790667737457,-0.00285666017568561,-0.002557878819400667,-0.002377533525586015,-0.0022539726086870104,-0.002561498739950501,-0.0028580232291132144,-0.0028282141321164336,-0.0026819818096103687,-0.0028285991211455907,-0.0030279072880962034,-0.0032825068351180326,-0.0012543124769936027,-0.0018021791590840616,-0.001611719396137806,-0.0020588666742150873,-0.002478794665722479,-0.002499392994637274,-0.007052076063502009,-0.001505634338585039
BEL,,,,,,,,,,,-0.00026865050641168944,-0.0002461527738445808,-0.00032055792436605875,-0.0004075040353637577,-0.0005509055648239536,-0.0005424178918349688,-0.0005434433345814998,-0.0005858968510665373,-0.0007875710904309909,-0.0008419744261792465,-0.0008096151623649471,-0.0008117471731935121,-0.0008669648754469743,-0.0009324602025378824,-0.0010720417336497728,-0.0009439213346014282,-0.0006774188199748561,-0.0008699421635128067,-0.0009125402707208763,-0.0010118389710369303
BGD,,-0.0009989419366161394,-0.0013755868667690136,-0.0018734328945573021,-0.0021276213614762653,-0.0026735673688480753,-0.003181579134990625,-0.0035401433747657457,-0.0044271199554259365,-0.0047985829931062145,-0.0046013444041819685,-0.004107632529528324,-0.004010078219718004,-0.003909310059188991,-0.003292333676581221,-0.002422201861185786,-0.0017290581398046246,-0.0017482326771437338,-0.0020386557840878362,-0.0020765445291741867,-0.002214084189462948,-0.0022462013827047773,-0.0020817318610503598,-0.002754294524444972,-0.0028691101185710868,-0.002927422806021205,-0.0028452106161294686,-0.0026613239611656646,-0.0020973997627087735,-0.0018580775479533369
BGR,,,,,,,,,-0.01084109143146783,-0.010501523163918607,-0.01015669399702387,-0.015392820037614637,-0.016941818267649865,-0.01026082125172376,-0.022851907278357887,-0.02039807523463993,-0.019826530595239634,-0.01584885177135446,-0.033263773632039036,-0.03007865713243845,-0.031057219023681238,-0.03709633548544968,-0.03619387697023351,-0.04932433235184318,-0.05018044062778381,-0.04008633675488519,-0.04608267688884863,-0.051883409836123065,-0.053890364835547745,-0.05465771452319847
