country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,-0.03433633008990792,-0.04516863344869961,-0.052778387781013805,-0.043288092669553205,-0.0279009359419823,-0.03243182794804155,-0.02202076511552149,-0.02468974191537514,-0.024627134410195015,-0.028165489322940315,-0.026500633386865754,-0.024655932284398496,-0.03229694170200706,-0.05791934398804222,-0.036786409481354164,-0.033147874368034645,-0.04838792812370088,-0.04488340511890359,-0.050840989268710654,-0.04351876836801008,-0.03613359518004866,-0.035448494090482646,-0.032768848769353875,-0.03008832158552851,-0.028712553265182926
ARG,,-0.0036877576714340046,-0.0036015806869873846,-0.004670060776786851,-0.004051004244772857,-0.007325681040732707,-0.006894062158817346,-0.007840097523129563,-0.005725168290482081,-0.004977735408482761,-0.006311425890010958,-0.008039164122513254,-0.009427935452703092,-0.007215875647289765,-0.006759086163827268,-0.006604266784082786,-0.005518040901387379,-0.008349906317574651,-0.011655701301970552,-0.005108111703717842,-0.005488931418508378,-0.013216083824876317,-0.01213924947624695,-0.011392841911323323,-0.007479139683430844,,,,,
ARM,,,,,,,,-0.02946519070786032,-0.03423377804734707,-0.025792989738490604,-0.01911812341961702,-0.02474532029674487,-0.02208907693420418,-0.020231768544020413,-0.02860420887461991,-0.019710082133088423,-0.012064551759654442,-0.027065941634531614,-0.03012777560011273,-0.021158031469261308,-0.02432752555645043,-0.03369205223096587,-0.037122829686144596,-0.04768096965541382,-0.044433194247789874,-0.03429497357447808,-0.031808885879412774,-0.0156021258300756,-0.01610897187567088,-0.010279393667787693
AUS,,-0.0033868504701354963,-0.003477696562253375,-0.004060174790585167,-0.004662616581062165,-0.0034823472562260246,-0.00738942247278939,-0.008149944823612545,-0.0051557109685568545,-0.005489358033457847,-0.0058933281060713156,-0.005649269159536915,-0.00730587584140667,-0.0037002635639753535,-0.008715418648300827,-0.006940585366596164,-0.00815593850457345,-0.004632341078506396,-0.009366355351145111,-0.01004812148067059,-0.00945202837718001,-0.01587411502861496,-0.01527169531349248,-0.01511259116631207,-0.01585998373172041,-0.011882862367475398,-0.010198997383103627,-0.012594967483712732,-0.009512226308094314,-0.009686297923616777
AUT,,-0.0032741807902956473,-0.003255814454833154,-0.0024471594397950736,-0.0028898699757000995,-0.0017329111614426762,-0.001800733335494191,-0.0014942085962940529,-0.0014501876810155306,-0.0014571237724330228,-0.0011844472922925811,-0.001308305513181096,-0.0012204985485726747,-0.0013728426212115514,-0.0017949723112066027,-0.001435842141610899,-0.0017892049317594914,-0.0035189842331400482,-0.0033177644177289733,-0.0020543421624533323,-0.004019691281318526,-0.004254047602513288,-0.0038891135379231804,-0.003666029559247149,-0.003873597426630408,-0.00320266851129156,-0.0030911020608388796,-0.002921964922526698,-0.003101715006436778,-0.003292994693530977
AZE,,,,,-0.015392226869672955,-0.019079803792738135,-0.030963551615942397,-0.029681381474695935,-0.025314492278104377,-0.024975393044280165,-0.029684369965040584,-0.03273314255114294,-0.031768324604562026,-0.03388737444730222,-0.03629232018034551,-0.02916853047162602,-0.023802360545699768,-0.02412398909284299,-0.04128488894312508,-0.04718360007303834,-0.02938964737301323,-0.04553782739346274,-0.05083905399041044,-0.055760450703703675,-0.041624584043115684,-0.037720126986385,-0.027826479446192574,-0.025072916324356573,-0.028285958298089366,-0.03126623726539926
BDI,,,,,,,,,,,,,,,,,,,,,,,-0.0022048747222847987,-0.0031236739472469623,-0.003937652811850241,,,,,
BEL,,,,,,,,,,,-0.0010673798661308958,-0.000898351686686828,-0.0010049697657464665,-0.0013657143558601006,-0.0017196595472757919,-0.0013471870827348042,-0.0017072034009191748,-0.0025926207240643787,-0.003206581451977154,-0.0021370911353760257,-0.002804961858419136,-0.0034727088218554107,-0.004049198715825825,-0.0037740107270165767,-0.0035149418859817968,-0.0028302753626234987,-0.001720734134350044,-0.002296706082603662,-0.002788849814669049,-0.0028459382659301487
BGD,,-0.004560089836576269,-0.005134978904829695,-0.004237526044594171,-0.004769175753929792,-0.0059209322571504765,-0.006092997808043467,-0.005983231789815064,-0.007423438032910723,-0.007770579344937569,-0.006517506468900163,-0.005494099530242683,-0.005163534767288725,-0.0070177804626240705,-0.006013570815458324,-0.004337048427451426,-0.0029142888042802727,-0.0035636661152125574,-0.0032635264559414015,-0.0038109656127591277,-0.004652026214996544,-0.004322543100179313,-0.004365231453624901,-0.005707501437615584,-0.00558475329600498,-0.0054955145964485815,-0.004853435240815693,-0.004494495786782091,-0.003618438857438801,-0.0034514011108163186
BGR,,,,,,,,,-0.025563649803657048,-0.02438434602530756,-0.02935663252776581,-0.044683166879173196,-0.03564663088473795,-0.02586151280447716,-0.06264675328284831,-0.03445670750763618,-0.03728852697399102,-0.04718052887886387,-0.09975881959172961,-0.058251850596279096,-0.06739076256540202,-0.10429151333024866,-0.12174559570023033,-0.12556372797457932,-0.1239094321277576,-0.09372805071457338,-0.0949864072460938,-0.11451579220808307,-0.1180611425477734,-0.11469017338784286
