country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-0.014784734712474401,-0.011569175178696975,-0.012085897377530361,-0.007714934090468801,-0.010009808594243217,-0.010489124762708324,-0.007849226230677728,-0.009806078779984507,-0.008287022414860033,-0.009300951323426603,-0.009761301867215574,-0.011662331612378514,-0.012702646128093405,-0.011747267017014387,-0.014022665841412438,-0.02030560357097374,-0.01848056657138202,-0.015421501254314633,-0.01640998842771418,-0.01646438243501327,-0.017366598220027236,-0.017231610283013597,-0.014628937468782636,-0.01509425571380849,-0.015888735216607077,-0.015422518545098244,-0.015081927760288548
ARG,,-0.004285528782404512,-0.005038639088094486,-0.006061207380159265,-0.006955258168790812,-0.010075098091192102,-0.009379106214045686,-0.01685464464902226,-0.01723814823392063,-0.016697218307789086,-0.02300592982382543,-0.027705335397629482,-0.010620124183570905,-0.009055422527889968,-0.01067660290845151,-0.01178024776088666,-0.008851203161516058,-0.009965937834063807,-0.011400331875911683,-0.005679778648197172,-0.005563897438578853,-0.009458161525533854,-0.00842224956126807,-0.004020860747638921,-0.003334004574864128,-0.004540288389939602,-0.002474500660548356,-0.003655656646837962,-0.0023337913344375545,-0.0015268370684638239
ARM,,,,,,,,-0.004280143592621986,-0.005854384476115871,-0.005267376542832095,-0.0045564118608870646,-0.006068086128531942,-0.006703936281857153,-0.004856215729640303,-0.007004522465773762,-0.006918458148011831,-0.004135085195615915,-0.008286881476996385,-0.008285030037295351,-0.0076401371011078825,-0.007207956995054203,-0.009003939624756114,-0.00900497705905902,-0.011646784764206044,-0.012725143236957837,-0.01216019137086003,-0.01225761404549678,-0.005998550891042548,-0.006347143698263888,-0.0037291836394488503
AUS,,-0.0003763926217411289,-0.00036104246859845746,-0.0005891612318973978,-0.0008497129724225221,-0.0005421680965767141,-0.0011919222797158373,-0.0017964618224090363,-0.001336777691552147,-0.001636665474792953,-0.0018176966683530137,-0.0015667651281127046,-0.0019055922292676823,-0.0010067970934477853,-0.003084176850106158,-0.0028311921204360216,-0.003381781906097164,-0.0016814903902486974,-0.0021946059677324294,-0.003387549298659848,-0.0042500980660670805,-0.00625005819273696,-0.007014636266515163,-0.005175797073218005,-0.005518166719182436,-0.004457991128602859,-0.0042310987525494385,-0.0063893160622134175,-0.00417420769316589,-0.0033426714632191234
AUT,,-8.384987072244177e-05,-0.00012295491997929212,-0.00011667104087224283,-0.00017873169788067407,-0.0002459502730197968,-0.00025648846843799963,-0.00027356549196115305,-0.00029325087458124987,-0.00032093319678976696,-0.00027751272641763155,-0.00033782218175837223,-0.00036476910968357036,-0.000393394443782052,-0.0006646907203552809,-0.0005989427362553393,-0.0006092573103848968,-0.0006933739378018317,-0.0009507103549345245,-0.0009032947446483852,-0.000902154506737935,-0.001153016620756371,-0.0008076641850983374,-0.0011137263338304932,-0.001320664595429848,-0.0011005348656623376,-0.0012904398215912946,-0.0009862944277294807,-0.0010031551521583512,-0.0011421276205287262
AZE,,,,,-0.06186134594714347,-0.011280841154706607,-0.012769280636861838,-0.017697194250778925,-0.016740600789001407,-0.01739434130771697,-0.02182258259463155,-0.027347481392280014,-0.029732131210190717,-0.026040817251520704,-0.027082725529763162,-0.02325540544584801,-0.018950521414332115,-0.01522872848069789,-0.01947124802001119,-0.02483415629889241,-0.015374617045138856,-0.020865920956447282,-0.024634980473124214,-0.025372187680655394,-0.019976030363892713,-0.018595670995628914,-0.014211668791487601,-0.013548300511269996,-0.01593025367915414,-0.017258762726469357
BDI,,-0.0018238595288056448,-0.002336995905313059,-0.002754730306667952,-0.0031418506225197105,-0.004671333902867872,-0.004993905013530836,-0.005399236256453608,-0.0046194587938545835,-0.0030153631251520962,-0.0022778567903724645,-0.0030418096755155614,-0.002723553406535307,-0.0025314614512060964,-0.0023998710521488573,-0.002727302713249647,-0.003043053291592867,-0.003011373978099554,-0.0028557510058210165,-0.0030119713723353336,-0.003224333953509799,-0.0034956144742588706,-0.0013358159442749275,-0.0019193920437150889,-0.0017166478824909967,-0.002193043250941875,-0.0026405030374640243,-0.002662617275658998,-0.007513122757666504,-0.0016041810727806737
BEL,,,,,,,,,,,-0.0002395225831290954,-0.00021960385224348248,-0.00028615258268995794,-0.00036398001304704356,-0.0004923507995214166,-0.0004850456405229847,-0.0004862368661300193,-0.0005245121385393597,-0.000705444445423056,-0.0007545804964687225,-0.0007259781531342732,-0.0007282884953106951,-0.0007782614796178511,-0.000837518761369488,-0.0009634111145325639,-0.0008487280791562228,-0.0006094138884966745,-0.0007830094704833791,-0.0008217741990251458,-0.0009116695784027116
BGD,,-0.0006922674358951432,-0.0009553539624483307,-0.0013025987577621374,-0.0014804261007229226,-0.0018612527664811508,-0.0022157664788144266,-0.002466216483811814,-0.0030848682250965345,-0.0033443884907117523,-0.0032074888979011346,-0.0028637781467421818,-0.002796147122270079,-0.002726236864251761,-0.0022962568986039412,-0.0016895755547751148,-0.0012062136782743746,-0.0012197158132993562,-0.0014224799662629693,-0.001449052487177555,-0.0015451734665885366,-0.0015677287810900971,-0.0014530676902524066,-0.0019226900545885133,-0.0020030076189448743,-0.002043884367156306,-0.001986638019248429,-0.0018583822018161285,-0.0014647095124192438,-0.00129767848115634
BGR,,,,,,,,,-0.010536873090124441,-0.010208303508396948,-0.009874442696710405,-0.014966990157611448,-0.01647515729051869,-0.00997943398655189,-0.022228037143258123,-0.01984374610692976,-0.01929019565379935,-0.015422083146952016,-0.032372210604397815,-0.029276177060129062,-0.03023258289408577,-0.03611610265250568,-0.035242240503119575,-0.04803395046103743,-0.048874184295148185,-0.03904801755878465,-0.044894750378653175,-0.05055238598910345,-0.052514633955825195,-0.05326935043175597
