country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-1450.2495869095997,-3048.5793310264694,-4268.1760530969,-6602.227183961207,-8713.306202237676,-10736.6113713224,-13813.262627179118,-18731.430329268136,-22204.099969999246,-21963.263567614904,-14362.786675758194,-17238.340589976266,-31759.95015107035,-45000.007580638725,-33708.30554522606,-65460.03294984118,-55889.91136784123,-80386.40568225403,-50557.11669428316,-104495.70886906456,-99983.58026121257,-79689.60122386906,-126431.45710347727,-137348.00277141752,-150920.57127707856,-138496.66692704533,-141758.36581340188,-139618.07614741047,-123362.17328915813,-174531.59177276035,Afghanistan
ALB,-430.49774006949485,-420.65903572714916,-522.262236258862,-1267.8676243270443,-1432.3735394206024,-1663.4133318515596,-1307.4375815749245,-2155.0712874885708,-2486.517996748965,-1920.7064894707992,-2680.2644918555634,-2448.6759605905027,-2807.5699984191656,-2702.9223741494748,-2875.0428577813855,-3210.35000618205,-3088.7338649403687,-3601.256687053121,-5199.955364535209,-5537.008655307341,-5242.586153369288,-5551.328339195472,-6055.716423817528,-6300.477535309521,-6348.313355496511,-6577.396286818879,-6908.7561785334765,-7239.657386575018,-6626.653783895548,-6725.889632025123,Albania
ARG,-3679.6688430638046,-8152.113433546706,-10831.752247668886,-14258.891938604233,-17358.0928150222,-24472.59002205611,-24057.22919055831,-46733.01057950604,-49656.171978262515,-46533.97495487059,-63611.38196025886,-73279.0652813069,-76720.01624539438,-67449.69191569727,-87304.626958502,-104246.14143546968,-89027.490650972,-110719.07470295722,-133883.73486227012,-73994.95700265805,-83863.0075983868,-159390.2011666086,-155084.08348977595,-91213.63729776809,-109009.18583058099,-174348.62472558618,-148757.78360021356,-253542.11062859916,-267259.61688909377,-293714.03024607967,Argentina
ARM,-79.53222250287843,-160.78461554991537,-235.9566356700094,-478.69372963715,-419.9324963607698,-508.4888694195517,-782.6246741998078,-821.7492706272237,-1239.98854911987,-1221.162600451621,-1127.1357164766941,-1692.590178212717,-2185.1155427235735,-1820.0198459805597,-2672.291108841182,-2577.9108537899865,-1584.583732849835,-2967.2075299470334,-2834.109669198689,-2664.088909013361,-2639.9005626106473,-3439.7621326136205,-3975.004064830824,-5409.750312921624,-6214.162526632109,-7034.537675768452,-7139.339667204349,-3770.0016628319286,-4195.657776561626,-2637.042221200897,Armenia
AUS,-5806.8843935320865,-11742.22797600919,-12075.457560690871,-22204.863237139118,-31035.16876670678,-20312.50539097744,-43970.2027203112,-72681.97923773472,-66880.17975886416,-83799.90935278917,-107569.05236330176,-106086.79024744939,-127778.30417679733,-58286.779774936076,-164036.29966915067,-149668.00543881225,-186191.27340509358,-86461.2065896181,-116601.58730664743,-197137.2978848831,-214937.49360778797,-287812.980873621,-334374.7295061551,-271351.24030078744,-317879.87592656293,-314697.0573204893,-310164.7644693289,-464557.3050005269,-320178.9534141307,-281415.7441499762,Australia
AUT,-808.8786368029661,-1593.2277931802719,-2249.790460227139,-2274.3495569568495,-3503.6895928553126,-4371.824311554229,-4893.5291849410205,-6143.423019730086,-6915.576688291398,-8190.278859355463,-8451.006946283558,-10722.506378833337,-11173.563452068003,-10155.240525035952,-15987.320450955884,-14712.125084470497,-15319.69165038454,-16570.452404027543,-21523.13225608745,-20786.33646388375,-22155.240314715436,-27746.309394642074,-21152.767643643758,-28138.762410420106,-33624.652293593026,-33943.35395483716,-40719.37873448753,-31145.079232928125,-31030.745533788326,-37918.0550313389,Austria
AZE,-730.2837718297504,-1467.2231658242472,-2148.678405750619,-2520.044167916018,-2766.952392557202,-2816.865988027883,-4013.925712383622,-5455.7746313865155,-5509.925347049017,-6551.198303466017,-9910.454276149365,-14209.400079853673,-17642.152760957735,-17207.65185498887,-19559.664796680594,-20661.871103867055,-21403.9228467074,-20644.56865289726,-27985.525349978896,-38167.636436243,-24773.41808135187,-33103.9549801909,-39720.1438136987,-43204.27947910319,-34933.73210351789,-42933.24391964071,-49492.5170178089,-51006.50640989593,-60105.060649338106,-66713.48107279859,Azerbaijan
BDI,-3.753955752156253,-7.7514864368451075,-11.49738543022565,-14.798754799759477,-16.880998637769157,-22.837930116975134,-27.214307394848646,-33.69017463045709,-38.36628075124033,-31.19228328185686,-29.868427090948675,-46.88942299821943,-49.14230482265473,-52.47427293159168,-53.01101785914632,-59.715552562513146,-66.7839972367813,-71.8782405494871,-78.3349712879707,-88.96037766943657,-100.13467917127213,-115.69206866133248,-52.81451053594173,-85.82836852569531,-79.56356414795577,-99.25281769407403,-125.00142639839233,-132.3522653768659,-391.2091033635562,-88.00779408473794,Burundi
BEL,-575.7943039336046,-1250.1493577794959,-1800.013704207626,-2540.9555228938384,-3265.444398335699,-3874.283600760345,-5675.440809992221,-5880.047077732519,-7116.07755625562,-6663.187652192719,-8189.623041310379,-7811.788800989777,-9840.191609124438,-10544.538781571451,-13421.312252482086,-13505.273426435946,-13754.942728756418,-14091.004412933378,-17782.954750323242,-19661.669861004364,-20372.089855856902,-19832.456395006797,-22961.623961906287,-23973.38342902134,-28060.45933943138,-29980.52873339085,-21841.46856523473,-27857.38317378006,-28479.34245874116,-34105.870104798356,Belgium
BGD,-425.1208189545476,-965.225583393606,-1499.7724326000005,-2178.535643268693,-2618.211589430228,-3467.362592058732,-4479.655948935559,-5474.392602160287,-7697.484396366021,-9139.149315966211,-9806.465337731115,-9844.720132970155,-10353.459720806546,-10623.842071983814,-9640.476528654206,-8168.49602898748,-6663.175233048999,-7208.42491436975,-8876.461098823967,-9561.206499075335,-10855.216344854149,-12481.766953761367,-13605.112770170574,-18209.043543039297,-19998.867207627034,-21822.62041126273,-22922.035360301157,-23372.172808051346,-20511.54696347134,-19836.39684684929,Bangladesh
