country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-1409.0599248990734,-2923.585240003944,-4076.4698042991995,-6292.544424372767,-8293.877195430425,-10211.082988720264,-13129.22238792819,-17796.14807505223,-21088.64637155001,-20854.838960699522,-13635.406547229619,-16363.049366445315,-30144.239430860718,-42707.492479735214,-31989.390853058565,-62120.132443071336,-53037.783285046586,-76284.74900783118,-47978.533993480225,-99169.47895767972,-94891.75314674608,-75635.57055288818,-120007.57081948253,-130379.2119410555,-143274.6647401125,-131491.42962432033,-134599.82492722463,-132579.65437424745,-117154.45658964611,-165765.569499554,Afghanistan
ALB,-403.7363072468718,-389.7384290599704,-482.0463799891516,-1167.999240149481,-1317.9982880836435,-1529.4194863560003,-1201.47929279323,-1979.679602378172,-2283.535765718055,-1763.5674821399787,-2460.6354045778294,-2247.8038360003206,-2577.095425470256,-2480.9485702640513,-2638.9035785262486,-2946.703082120425,-2835.1614772894945,-3305.7652739123673,-4773.5847683512475,-5083.378750357608,-4813.499397548797,-5097.472674817039,-5561.232101776916,-5786.686434469833,-5831.336097097795,-6042.53347353118,-6347.753510289234,-6652.657050212701,-6090.188628856216,-6182.265928328998,Albania
ARG,-3465.7362918270005,-7443.192921446411,-9792.649621823748,-12825.445474491036,-15563.081880016784,-21894.59140404336,-21489.347915499224,-41696.46875184139,-44265.03480707949,-41452.406276916015,-56632.32630375597,-65208.75114753792,-68244.79510854252,-59978.879650215385,-77613.07641997961,-92652.24974006116,-79111.10633759807,-98371.42806843799,-118938.04849912378,-65728.4853934882,-74488.54960164925,-141565.4167090889,-137735.80410153323,-81008.49471916183,-96812.4538776373,-154842.15581547032,-132116.50819879142,-225184.17974068195,-237375.00043191423,-260881.5581127175,Argentina
ARM,-70.05696314949155,-138.14405979867968,-201.15481472696558,-406.47054593474024,-355.6994231283633,-430.0143014096628,-661.0887949262807,-693.5731332024011,-1045.946420431882,-1029.60163057722,-950.0006120634206,-1426.2308856975674,-1840.9165351572876,-1533.1316601964002,-2250.875170096542,-2171.293549446261,-1334.644742155151,-2499.266614330114,-2387.305448193878,-2244.2799975100784,-2224.1469540454473,-2898.415351285001,-3349.9236840159697,-4559.80653785854,-5238.758391873012,-5931.467569087507,-6020.965791959914,-3180.055121716596,-3539.8304457794707,-2225.3208401854317,Armenia
AUS,-5382.358614022282,-10594.492890076446,-10802.922466560958,-19778.186373628672,-27567.843117018627,-18010.096559119993,-38934.70764465084,-64295.96128134341,-59119.58063057583,-74032.68525120267,-94986.86558953242,-93642.71409092806,-112755.95816669581,-51421.22907431195,-144684.42072463152,-131988.88117877484,-164176.48991647747,-76230.75123132534,-102797.47455009917,-173790.634387179,-189477.59442693304,-253718.5177999652,-294766.7390777275,-239213.9034712098,-280241.52255900635,-277447.9230707969,-273466.1664177141,-409615.205590148,-282330.9674460774,-248168.1914245113,Australia
AUT,-764.5594404553277,-1475.8376286404975,-2070.8073545438433,-2086.6035487631602,-3207.9554134915893,-3997.442131815371,-4470.194371979023,-5608.085936921157,-6309.680295335108,-7469.731766030222,-7705.143524895239,-9773.844813834936,-10183.17049178735,-9253.809914669684,-14566.695539777755,-13403.866143541169,-13956.84575791878,-15096.123414030464,-19608.30431977856,-18937.569077207718,-20185.625375744574,-25281.166657088423,-19274.88069927373,-25642.910491431787,-30645.15685481588,-30938.836634497744,-37119.045440402355,-28394.49986657519,-28293.666788968978,-34577.86077794142,Austria
AZE,-677.8107795362121,-1344.1573640193715,-1960.462953110222,-2294.5656860478716,-2516.2005246472204,-2559.4861687199004,-3645.0872950177795,-4952.466603199887,-5000.183985678779,-5943.888648208519,-8990.39445976507,-12888.924940930125,-16001.65464145375,-15607.013285850699,-17740.104495167852,-18740.090153905752,-19413.86162680928,-18726.165041746448,-25386.80356916689,-34626.368312736275,-22477.144812641185,-30038.871669385786,-36046.939673377026,-39214.078636008875,-31711.757461073557,-38979.06174466475,-44940.640689247986,-46322.21305112166,-54593.55967461342,-60605.6314656938,Azerbaijan
BDI,-3.4156645418021356,-7.043769789205495,-10.443807189782552,-13.440464035628482,-15.330375273933637,-20.739434780873758,-24.713534299920894,-30.59469213077805,-34.84201618745327,-28.327986185666045,-27.126848151923227,-42.58759500546591,-44.636179290650134,-47.66552653839581,-48.15633702308322,-54.2508951441699,-60.67723862902982,-65.3110174093662,-71.18393645362588,-80.84649068738382,-91.01011051956974,-105.1600129901997,-48.01137533353463,-78.03088508860235,-72.34272385204002,-90.25447429552821,-113.68019837227769,-120.37760023586539,-355.85146212690415,-80.06216869917898,Burundi
BEL,-528.4883451475981,-1124.4596097476344,-1608.8226623352207,-2263.7318415746863,-2903.3398110291328,-3440.08630442637,-5034.617199510403,-5212.556735343968,-6305.0387699668145,-5901.444629721704,-7251.161536802379,-6914.998455796473,-8708.996639314753,-9331.077172263987,-11875.57262030139,-11949.025124085118,-12169.437375114663,-12466.58147717036,-15733.038962525745,-17395.642704782083,-18024.976031531045,-17548.550286316116,-20318.8602850803,-21215.9863216341,-24835.315143315634,-26537.41438637341,-19335.11754935532,-24663.438598751345,-25217.07247712086,-30202.855903999895,Belgium
BGD,-418.21286824604294,-934.1267364344712,-1443.9749567639915,-2091.91782865441,-2509.9260938262532,-3320.247419144819,-4286.131257250484,-5234.785631752195,-7357.217617737922,-8732.00964785811,-9366.87985042832,-9401.218722233118,-9885.183306990162,-10141.715139528802,-9201.751015648422,-7795.904005180258,-6358.695923574654,-6878.568117572757,-8469.844186194316,-9122.891326176803,-10357.323094321147,-11909.10454674108,-12980.85701707683,-17373.620061526097,-19081.554058680245,-20822.03259320093,-21871.53281278822,-22301.645562062356,-19572.66435124865,-18929.09273899425,Bangladesh
BGR,-3906.411599231948,-6575.936209841213,-7339.615567976762,-10126.41202051189,-13106.382229441619,-14413.694160033747,-8876.808818529706,-20250.821387000215,-20573.157067217275,-19036.989373768898,-22284.66488827998,-36068.19475814736,-39949.23890222284,-21237.21198659676,-45790.19331519681,-43748.63333773545,-44988.556600704964,-35143.539642315474,-73223.59034249514,-67316.85114207084,-74119.70729806296,-86067.65320661983,-91562.16999069629,-120107.94875743646,-123423.83029887971,-122032.17467652692,-144833.39748222812,-164432.8846178706,-167170.37832656692,-185540.76857816897,Bulgaria
BIH,-204.63824217186334,-406.72080238836804,-593.6858577723618,-756.9432934834645,-895.9831292033075,-821.7339399719566,-669.7569965648019,-1336.2884343029693,-1797.8686177732766,-1524.9481602723054,-2212.3636742930066,-1855.2424581280459,-2168.7971991377785,-1400.574584262583,-3032.745770979056,-2569.8615602334626,-2607.0430904988043,-3111.500705629338,-3131.0178448181787,-3567.4015981853468,-2168.9802396840614,-3341.613880945604,-3815.221434992824,-4771.832579993219,-3248.318186422282,-4281.281660402785,-6474.747843574607,-6474.805036110921,-6861.525242746554,-6424.796902796999,Bosnia and Herzegovina
BLR,-177.6035013212443,-350.1074710691235,-509.70140416526715,-717.0343075444144,-581.4685604565344,-1331.2930805216458,-2137.9063674671174,-3046.842238545208,-3657.7554342497924,-3705.152050925605,-5595.910982273448,-5547.747110987577,-7127.974544528152,-6099.255845543503,-9375.04342909228,-10693.543758269288,-10604.438889582883,-14863.469699229854,-23411.766529141412,-24264.224962572265,-22808.284760669583,-29831.469059152132,-38043.66595766679,-33241.553745724435,-48971.21634875915,-51169.53459746493,-43430.640035191274,-50999.75012701756,-36995.44133183053,-49232.37426477298,Belarus
BOL,-29.412786531849054,-116.02101803457748,-148.81039751831133,-296.059797601288,-209.43965600733688,-375.4532710239265,-354.6104199255543,-695.5810967995944,-820.7027254155063,-787.1315261077415,-592.4844216897626,-725.9306122799942,-840.672360301832,-871.7555148912493,-977.0352070302883,-1202.126723093143,-1426.0588925901268,-1789.3654812282,-2302.951651701539,-2484.891439543167,-3183.3622031308228,-2572.6906868230817,-2173.5114098497556,-3318.197769815937,-2685.534916854333,-5990.028258097991,-6139.625728349617,-3014.793397856707,-6172.421511448742,-5073.518051463673,Bolivia (Plurinational State of)
BRA,-1484.0069507890425,-2759.7578419550478,-3851.2207710721937,-3971.0646894854767,-4723.17221546932,-4152.566689925028,-10462.96935179732,-9094.685842440358,-9401.43975701452,-11435.305763917017,-8916.667983237148,-19201.396318555504,-19402.960023580144,-42045.37096177784,-43367.1722742498,-37781.16658354972,-21828.32941042995,-38990.49731903442,-61425.77084367033,-55171.50779652874,-72023.7654431637,-70818.2024108518,-58547.778015006166,-80727.91408737075,-93197.29345726373,-86489.8675100444,-112716.48851065144,-75088.69653406003,-99018.2594836687,-105854.94079313388,Brazil
BTN,-1.5691046452958965,-3.0164268339971376,-4.355770224835055,-7.965449122162884,-14.149564329983411,-22.062994664618188,-33.82318639110083,-45.7168823434243,-51.79206431868175,-58.05361350958554,-14.040692174279958,-16.029473299995168,-17.875783511961192,-20.319359814309507,-19.50131717553448,-57.24525801298507,-49.9084094342488,-52.546794867345994,-37.090763457878076,-30.54226037561249,-35.52417627352943,-48.725461493495814,-41.71950853678458,-46.69348481963921,-48.128024537909226,-36.635579164781106,-26.009151492142127,-42.00562271521114,-16.37618322422669,-15.626468471222584,Bhutan
CAN,-22418.8638942966,-44208.41636052449,-60292.10440594666,-72212.76309567256,-75753.58075881371,-99283.5404408123,-139021.72447529418,-130382.61244247376,-146526.59859230724,-183995.49220726502,-201492.00421943542,-172964.5591499534,-146620.710923214,-231604.794769301,-271824.94972493005,-307216.4986234386,-326613.3474819965,-280264.62368793675,-429414.9662110426,-433103.4055028983,-400528.17275095446,-463693.52500211867,-532021.3287950864,-779420.9408173083,-646028.8006437991,-640127.1025998811,-781807.4643693719,-774839.5791243082,-864272.9527820385,-912928.0043667742,Canada
