country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.09140896106295236,-0.18316045644171938,-0.2679874505962129,-0.35240599118594057,-0.44002593874839313,-0.5291989779560202,-0.6215223823649552,-0.7149807812403998,-0.810731228473221,-0.9093349034080948,-1.0115977785717822,-1.116769725991969,-1.223319726137138,-1.3377946357685506,-1.4591014561831042,-1.5874717144857595,-1.7193226581559862,-1.854671262467662,-1.9939691307853786,-2.1347680016005235,-2.2824160158964615,-2.4334173492917164,-2.5900615913419878,-2.7489396430210182,-2.9074448757430105,-3.066259519649776,-3.2198217334893076,-3.374527892360001,-3.5323841601031822,-3.692939001986345
ALB,-0.07022327809850822,-0.14177662876828487,-0.20795456415254313,-0.27383743684222256,-0.3422436854265706,-0.4118885031569394,-0.4840214710479708,-0.5570699187011949,-0.6319398199903268,-0.7090724339167056,-0.7891014359504863,-0.8714431267754598,-0.9549010713575706,-1.044608297728459,-1.1397166676402428,-1.2404161069087416,-1.3439028299500653,-1.4501947594861824,-1.559651596634763,-1.6703533412699616,-1.786510876178131,-1.9053814478890976,-2.0287742991442657,-2.154010139167493,-2.279035799009543,-2.404389399006811,-2.525677101720056,-2.6479477859073897,-2.7727903828517197,-2.899852446780149
ARG,-0.03682228526129818,-0.07438473542253167,-0.10912476155649796,-0.14370938048341828,-0.1796181013109092,-0.21617646537272225,-0.25404039232348347,-0.2923843473410656,-0.3316838849633262,-0.3721706111808535,-0.4141771228441066,-0.45739702558421425,-0.5012023372087447,-0.5482872525163062,-0.598206559535292,-0.6510599156955733,-0.7053757260963622,-0.7611634383596579,-0.8186118923419952,-0.8767134452768595,-0.9376782448007559,-1.0000668571135773,-1.064828966775615,-1.1305584939736946,-1.1961779780424326,-1.261969987099498,-1.3256285192692425,-1.389803613531897,-1.4553293962142488,-1.5220210636272378
ARM,-0.05674402152017646,-0.1132583086462387,-0.16554727240897488,-0.2176224530948728,-0.2717125852940993,-0.32680343897177166,-0.3838851907241114,-0.4417149313796709,-0.5010112072212287,-0.5621255110608013,-0.6255625564099989,-0.6908623985770375,-0.7570780683096489,-0.8282862527705108,-0.9038205869399829,-0.9838388028271214,-1.0661184352960835,-1.1506775176296435,-1.2378063516571582,-1.3259797135046447,-1.418556447938672,-1.513356739207681,-1.611829095487976,-1.7118403931853876,-1.8117522664081567,-1.9119947688434764,-2.009051143059504,-2.1069590352668435,-2.2069935618098997,-2.30887614624408
AUS,-0.03848497276041327,-0.07749524538857835,-0.11357950488343367,-0.14950730138827684,-0.18681585354105773,-0.22480484042008206,-0.2641562882255963,-0.304012638917352,-0.3448685378413686,-0.38696527630467653,-0.43064934500185975,-0.4756028098288135,-0.5211729648647724,-0.5701635989136472,-0.6221132249603875,-0.6771273013122683,-0.7336754607154117,-0.7917684913852218,-0.8516040800145763,-0.912133493605704,-0.9756604648772043,-1.040686607484876,-1.1082031636290308,-1.176745513959925,-1.245190392428262,-1.3138325234752017,-1.3802652109430957,-1.447253321275985,-1.5156682299140034,-1.5853179326482514
AUT,-0.05655458934440982,-0.11373301960498153,-0.1666354044754247,-0.21932048091809805,-0.27404303414504716,-0.3297768873211456,-0.38752368322124764,-0.4460259485692615,-0.5060105150909375,-0.5678328510212641,-0.6320033780315241,-0.698056691354538,-0.7650347978540697,-0.8370611082647569,-0.9134612441203394,-0.9943943843294539,-1.0776123655009398,-1.163133229054821,-1.2512503638401289,-1.3404210823165434,-1.4340419673404783,-1.5299082984290924,-1.6294845804041511,-1.730613513368598,-1.8316383580270603,-1.9329939580059399,-2.031124666287909,-2.130112953903896,-2.231247866174656,-2.334247563340327
AZE,-0.07910336257491687,-0.15861857099104684,-0.23215099315259782,-0.30534674624626196,-0.3813366616235169,-0.45869272247050313,-0.5388020782493342,-0.6199174202283045,-0.7030441648842759,-0.7886713116844415,-0.8775011172174142,-0.9688844396816594,-1.061492624843983,-1.1610195867452389,-1.2665212042111593,-1.3782050049314243,-1.4929588510577598,-1.6108008820728983,-1.7321279810272212,-1.8548104968590455,-1.9835127914017252,-2.1151930805596764,-2.251852991493285,-2.390522833757628,-2.5289286058191838,-2.6676659945757324,-2.801873451319898,-2.937138826545316,-3.075218631172394,-3.2157212794646988
BDI,-0.04530263615297736,-0.0898277880370113,-0.13100625161936996,-0.1719994677910064,-0.2145610415894339,-0.25789146592034573,-0.30276806464231143,-0.34821231695095767,-0.3947877638419195,-0.44276877887275967,-0.4925493704436068,-0.5437662904837492,-0.5956752538881283,-0.6514686254743163,-0.7106184655768955,-0.7732424689560924,-0.8375966813117364,-0.9036920744511123,-0.9717521382891725,-1.0405829170577419,-1.1128023987119873,-1.186705058803983,-1.2634155086096,-1.341267952060421,-1.4189861146038596,-1.4969046441543177,-1.5722926681365323,-1.6482886455084222,-1.725880167131666,-1.8048481564018615
BEL,-0.04304776561208227,-0.08578559220103732,-0.1253287886080565,-0.16471098335133483,-0.205617718414139,-0.24728203648943542,-0.2904528710210843,-0.33419028741685625,-0.3790377987772637,-0.425261347405125,-0.473242793963118,-0.5226343867739122,-0.5727199552842417,-0.6265833074418844,-0.6837207168771482,-0.7442518357658441,-0.8064957319953845,-0.8704662694932612,-0.9363833146761664,-1.0030931710345543,-1.0731373611997568,-1.1448669980878141,-1.2193784441857876,-1.2950579675846257,-1.370665957510484,-1.446527946027115,-1.519982418484007,-1.5940850960293276,-1.6698013131727665,-1.746920533443867
BGD,-0.04979893529432502,-0.09993624806426993,-0.14629681012828802,-0.1924409575900949,-0.24034225135341103,-0.28910019025919115,-0.3395887694542792,-0.39070645233376783,-0.44308659935640915,-0.4970369622340648,-0.5529995089886285,-0.6105647703363527,-0.6688954654970999,-0.7315772227285933,-0.7980141420708924,-0.8683356338690986,-0.9405811713258015,-1.0147615499833227,-1.0911259255046752,-1.1683334099084222,-1.249318635433693,-1.3321665910346498,-1.4181357609201255,-1.5053572584216526,-1.5924007204403503,-1.6796409522003226,-1.7640216384306036,-1.849056646244587,-1.9358499200226071,-2.024154873191404
BGR,-0.07659610030701068,-0.15371458975118923,-0.22503177654161852,-0.29602353805875103,-0.3697264921848227,-0.44475569701166295,-0.522456677720042,-0.6011347505042979,-0.681765201526558,-0.7648224635187086,-0.8509878728189544,-0.9396319188000616,-1.0294658855755443,-1.126013361699202,-1.228358894906196,-1.3367042119168069,-1.4480305320859646,-1.5623556822870084,-1.6800649527190963,-1.7990923898149647,-1.9239636881114093,-2.051727981754988,-2.1843277182134897,-2.3188817520859715,-2.4531836629431165,-2.587811490416898,-2.718047515729732,-2.8493140930185774,-2.9833159879771536,-3.119673426328197
BIH,-0.06308282076498146,-0.12728447955808825,-0.18667693374574887,-0.24581785219490604,-0.3072379242802168,-0.3697847126265529,-0.43458162104340387,-0.50021702041662,-0.5675058414014856,-0.6368460392513992,-0.7088090678240291,-0.7828719239567452,-0.8579597186614932,-0.9386934929463554,-1.0243146351650505,-1.1149988186134325,-1.208224845673238,-1.3040114261594427,-1.4026855188203629,-1.5025183689007346,-1.6073107419342803,-1.7145923984920655,-1.8259999911399956,-1.9391178810073062,-2.052092393282724,-2.16540976598895,-2.2750959167901175,-2.3857150271424667,-2.4987064724053507,-2.6137538297329983
BLR,-0.056863537001081745,-0.11461131803631615,-0.16803074108489188,-0.22122145701861368,-0.27645942780825883,-0.332708009044544,-0.39097727781393665,-0.4499976243053722,-0.5105016970728306,-0.5728470907259456,-0.6375473039023088,-0.7041318005054367,-0.7716340212408872,-0.8442076999169392,-0.9211700983361941,-1.002678331578677,-1.0864656962744768,-1.1725486031133203,-1.2612204475234876,-1.3509274004393634,-1.4450842094411518,-1.5414707012437647,-1.6415567450286102,-1.7431716880252537,-1.8446502880439193,-1.9464293765170269,-2.0449399304088436,-2.1442814438701965,-2.245746321951155,-2.3490500909369953
BOL,-0.059181032864235,-0.11942784457978815,-0.17514248422558013,-0.23060285941920033,-0.288181264221167,-0.3467957701721526,-0.4074975563443581,-0.4689627217644179,-0.5319532143042028,-0.5968397062753483,-0.6641545188842297,-0.7334059108211785,-0.8035871481640952,-0.8790135142874228,-0.9589699385442834,-1.0436141514830388,-1.1305878794601443,-1.2199051749630254,-1.3118671915461806,-1.4048600103635336,-1.5024196143378832,-1.6022407718922005,-1.70584133534029,-1.8109704979455845,-1.915904505526848,-2.021095124229861,-2.122856225272518,-2.2254246522802577,-2.3301326786152092,-2.4366838121738463
BRA,-0.05131369576165925,-0.1033164656896571,-0.15140851612744205,-0.19928231603894747,-0.2489857130101988,-0.29958486739439394,-0.35198732818860434,-0.405050312543852,-0.45943170086034374,-0.5154516436402931,-0.573569900331612,-0.6333620984415881,-0.69395914527025,-0.7590872979472257,-0.8281295830536388,-0.901222674363099,-0.9763305077162305,-1.0534654909947407,-1.1328880016360066,-1.2132044212871762,-1.2974690798204827,-1.3836913400321198,-1.473182690306456,-1.5639992406208774,-1.6546520336250539,-1.7455313854408534,-1.833452475120283,-1.9220757640973347,-2.0125526205131723,-2.1046271582182943
BTN,-0.03146215135632956,-0.06561497465123434,-0.09721009038385202,-0.1286719901535237,-0.16134701077848781,-0.19462213707399278,-0.22909510733952024,-0.2640149917763347,-0.29981543411401973,-0.3367082657025187,-0.37499766166956094,-0.4144054928525882,-0.4543599364939022,-0.4973200799763575,-0.5428825952617473,-0.5911413313543035,-0.6407549249798237,-0.6917335914968716,-0.744251628041434,-0.797389176460269,-0.8531696095423726,-0.9102784713261601,-0.9695874341859798,-1.0298109307860437,-1.0899622811598044,-1.1503005173927021,-1.2087094861585523,-1.2676196216949074,-1.327797785663515,-1.3890758567670807
CAN,-0.07820496084222822,-0.15691952674182488,-0.22972504639384253,-0.3022100869916889,-0.377475715285771,-0.45410863000898555,-0.5334841365627832,-0.6138719758713475,-0.6962693978920065,-0.7811624197521527,-0.8692489879358992,-0.9598871662269443,-1.0517603147411236,-1.1505198328114308,-1.2552333436361842,-1.3661112837268095,-1.4800674998157446,-1.597122407511525,-1.7176728679347708,-1.8396048132681093,-1.9675571600121629,-2.0985097320018182,-2.234456623637736,-2.3724467886628355,-2.5102180711673983,-2.648363330669752,-2.7820396750324035,-2.916811108848708,-3.054429395171924,-3.194506579704234
CHE,-0.04933984118860875,-0.0999897396835794,-0.1468627949518108,-0.19355377249793593,-0.24206145665223985,-0.29147713135595393,-0.34268982320870245,-0.3945852144721133,-0.44780876740410946,-0.5026769778194057,-0.5596442765124473,-0.6182989828611632,-0.6777914047131577,-0.7417863416694576,-0.8096883235497984,-0.8816425429551852,-0.9556532173740553,-1.0317384356748007,-1.1101614566121645,-1.189550994920962,-1.272933701724996,-1.3583492732656093,-1.447105593637235,-1.537282501804139,-1.6274033683535114,-1.7178561250413509,-1.8054659501969383,-1.8938762633357007,-1.984239862370325,-2.0763069927977993
CHL,-0.0329590351502143,-0.0664846989679919,-0.09749917350930447,-0.1283824546339317,-0.16045609269226632,-0.1931183217830307,-0.22695583021738489,-0.26123149638406357,-0.296370932970026,-0.33258201674212384,-0.3701632450878051,-0.4088415710475592,-0.4480557179376048,-0.4902191178155679,-0.5349357731908573,-0.582297640152411,-0.6309881618493135,-0.6810172804058667,-0.732555957759576,-0.7847014211920815,-0.8394391583301001,-0.895479152929806,-0.9536766369612437,-1.012770026359779,-1.0717911307349388,-1.1309941129689707,-1.1883027037396243,-1.2461016067296065,-1.3051431556815876,-1.365262323776936
CHN,-0.05516979471612914,-0.11077842005656227,-0.16220644574900195,-0.21340230598746396,-0.2665560101447296,-0.3206689958218331,-0.37671193902485134,-0.4334627613661279,-0.49162514206757385,-0.5515416097285688,-0.6137040589740417,-0.6776587485705078,-0.7424761880740278,-0.8121423991952151,-0.8859978267905723,-0.9641890757456504,-1.0445383846681133,-1.127059237430858,-1.2120304219942457,-1.2979611224569274,-1.3881194405615511,-1.480375844995824,-1.5761339091927358,-1.6733138844374376,-1.7703225285941677,-1.8675774955365918,-1.961670332699792,-2.056518282639776,-2.1533537109952654,-2.251902931332829
