country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.08939927528775196,-0.17803748380596643,-0.26000121178745844,-0.3415846238943377,-0.4262770517908775,-0.5124864826081595,-0.6017583563131119,-0.6921450764533748,-0.784766612785539,-0.8801672646047789,-0.9791287261868169,-1.0809270640915793,-1.1840816811626484,-1.294933792641705,-1.4124299677510983,-1.5367994316296383,-1.6645750240305732,-1.7957758673301016,-1.9308426520545467,-2.067403647380351,-2.2106494634274405,-2.3571928304428,-2.5092596715122384,-2.6635440101014964,-2.817515351157441,-2.971836285941117,-3.121099992608656,-3.2715218474637706,-3.4250543055627642,-3.5812607813723654
ALB,-0.06137864255704631,-0.12074715110683484,-0.17567249514773825,-0.23036904062236105,-0.2871774947626027,-0.3450322886237579,-0.4049729012649314,-0.46569381958122125,-0.5279492256861049,-0.5921077123598086,-0.6586985582209235,-0.7272383546369499,-0.7967327432872721,-0.8714593709804906,-0.9507174520864179,-1.0346709891877635,-1.1209870222444978,-1.2096836439841014,-1.3010644627480477,-1.3935291433407668,-1.4905989371418098,-1.589986904484221,-1.6932104325012636,-1.7980323772784328,-1.9027352973074143,-2.0077698606864223,-2.1094518639249373,-2.2120119350783427,-2.3167851771973647,-2.423478990070252
ARG,-0.035072667147026906,-0.06921905244141294,-0.1008061270224678,-0.13225803370396463,-0.1649205758828981,-0.1981808015347032,-0.23263600207441285,-0.2675354708487556,-0.3033124585586627,-0.3401784504352543,-0.3784371311673501,-0.41781030991276064,-0.45772647782369413,-0.5006419396800309,-0.5461530800636706,-0.5943529349014421,-0.6439012087295124,-0.6948077127888257,-0.7472460717001642,-0.8002974996305398,-0.8559815844011811,-0.9129855083082434,-0.972178760081358,-1.0322777576793614,-1.0922977309663857,-1.1524971363682022,-1.2107650080239172,-1.2695261674540206,-1.3295452447778546,-1.3906541693083665
ARM,-0.04125285753200803,-0.08313639192941677,-0.12191945788722644,-0.1605735025118168,-0.20075435630158261,-0.24171118280449536,-0.28418275215748573,-0.32724673440868673,-0.3714402249553235,-0.4170282695952276,-0.4643913722092467,-0.5131903058294468,-0.5627202035129464,-0.6160367577216433,-0.6726514880742158,-0.7326931006822129,-0.79450231599533,-0.8580984295939398,-0.923706078260711,-0.9901815063056543,-1.0600644384378253,-1.1317187197827154,-1.206247717703578,-1.2820446333285478,-1.3578696958849923,-1.4340493260224105,-1.507906272918425,-1.5825092233543838,-1.6588339899396811,-1.7366738100254688
AUS,-0.033836727721151,-0.06704701900761373,-0.09777697220002442,-0.12838382728556214,-0.16017765364528005,-0.19256253407601498,-0.226120787280488,-0.26012194388329035,-0.29498867382063276,-0.33092795481525167,-0.36823697472610123,-0.4066456322025408,-0.44559721391281276,-0.48749045186902834,-0.5319343130475233,-0.5790226234621352,-0.6274483641848013,-0.6772227499805598,-0.728517327180775,-0.7804346872940577,-0.8349533479552538,-0.890790604305424,-0.9488005583428312,-1.0077274518447734,-1.0666062530201887,-1.12569050546501,-1.1829070058862006,-1.2406357205630245,-1.2996290301649016,-1.359723365834875
AUT,-0.04681694649281309,-0.09346573121026995,-0.13665328473327007,-0.17968952498434637,-0.22441761060524293,-0.2700010611926392,-0.3172614154099236,-0.3651717082879408,-0.41432894781806784,-0.46502714955575597,-0.5176884234765697,-0.5719345104999736,-0.6269811278061351,-0.6862226781128776,-0.7491136885102463,-0.8157944112432162,-0.8844199207586091,-0.9550101369485823,-1.0278127563743322,-1.1015573477192229,-1.1790594146368834,-1.258501988486637,-1.3411061385258314,-1.425088963040109,-1.5090762695506268,-1.5934295728025205,-1.6751855377980538,-1.7577420053216182,-1.8421777052100798,-1.9282623755137756
AZE,-0.06584986438028317,-0.1311387734953122,-0.19153447712941724,-0.25167195819122207,-0.31412442717554595,-0.37771986275320935,-0.44360028954029407,-0.5103302708473744,-0.5787381639427835,-0.6492282918002726,-0.7223812524825288,-0.7976650565667907,-0.8739868641167783,-0.9560431450261228,-1.0430620030126843,-1.1352211209575782,-1.229957613275268,-1.327290024312138,-1.4275500765236806,-1.5289808456603142,-1.6354433274166227,-1.7444271556789395,-1.8575942597905024,-1.972490226284868,-2.087232095127035,-2.2023137129395165,-2.3136995136612066,-2.4260247231711087,-2.5407505801865247,-2.657555338386022
BDI,-0.041302194167858186,-0.08372791695461235,-0.1229718347470099,-0.162045964087687,-0.20262215375550507,-0.24393877532018493,-0.2867376292936319,-0.3300860575782272,-0.3745220645094305,-0.42030812001671025,-0.46782112253939134,-0.5167153202056185,-0.5662808147655962,-0.6195672851929346,-0.6760728972966978,-0.7359124652410176,-0.7974214764120857,-0.8606117208387998,-0.9256982924975343,-0.9915404667350081,-1.0606442420286522,-1.131379787898401,-1.204825449865965,-1.2793880596870588,-1.353845691758182,-1.4285189494486539,-1.5007896064827997,-1.5736654537780392,-1.6480944766099181,-1.7238678315907752
BEL,-0.033091193143338936,-0.06614745233873856,-0.09675460397494799,-0.12725795665077128,-0.15896409800794067,-0.19128039099080874,-0.2247895931543952,-0.2587638550137538,-0.29362678462759484,-0.3295872887124742,-0.36694526972180436,-0.40543291522438524,-0.44449413732791937,-0.4865384024990059,-0.5311798825930624,-0.5785194474621731,-0.627248372403515,-0.677381560636012,-0.7290957610415881,-0.7814891946628885,-0.8365631913688499,-0.8930278324450014,-0.951752165834628,-1.0114697642927122,-1.0712038243534054,-1.1312115647212293,-1.1893844028982614,-1.2481396368749849,-1.3082456379925302,-1.369539354515326
BGD,-0.03214381699195818,-0.06399416551973637,-0.09344908254287054,-0.12277012592685589,-0.15321152881132538,-0.18420134186042814,-0.21629538929757675,-0.24879376541574408,-0.28209938542264434,-0.3164083156895726,-0.3520021218835044,-0.38862089290913887,-0.4257323663522644,-0.4656185996796218,-0.5079017166102494,-0.5526653965776389,-0.5986627062906712,-0.6459012515669501,-0.6945404998474345,-0.7437270011092705,-0.7953312715627276,-0.8481342478596009,-0.9029391212280257,-0.958555479887615,-1.0140715237645992,-1.0697263268901225,-1.1235695380646857,-1.1778428759100619,-1.233251490467706,-1.289638730207359
