country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-19499944.42604762,-16866787.989816777,-8381389.8050768655,-2322524.896153134,-1921952.1418560995,-9276037.937797774,-2123814.156019149,-14076316.113098547,-6063596.695015067,-11507617.316605514,-9907149.010840032,610386.9788950977,3958833.726387239,1271862.9156473714,-18493424.75819193,-16349044.468238275,-5480048.625580635,2123322.4228616543,-4447516.6312309895,-18626800.04910565,-4107645.813020176,-2514434.4248157144,-8297911.816184079,-5681651.75642067,-12049029.743542783,-6539849.944862257,-6254957.261221723
ARG,,-12577385.040159116,255803346.15441233,-125913676.41654365,141542532.914205,152477634.2645398,-226505858.58754984,-1639715361.1259181,2770256804.333329,1024858647.1733146,733801905.6529899,300235721.22984874,439092865.04512846,120524644.42152026,-122811386.73417026,242249783.30267435,-26562816.121644195,363239208.81354046,-191039537.6864001,-614226420.2830707,30620003.20982255,-50786427.32262473,-305812791.1842112,-6944324.614852141,59454373.64947293,-89755753.95203115,61777347.787191756,11487147.91529459,-59261264.50185538,21713592.08626519
ARM,,,,,,,,1158916.8086263782,-2500707.4431252535,1458251.0572093872,-1918582.3279883042,-2401576.5862324685,4207324.741348298,1649863.4005073295,2780847.0287891002,-1775537.2385828695,-2010700.3879065595,3173613.774034002,-492463.9666708506,2161237.8601011843,-4050091.755669439,682221.4098897652,-1498897.3733506112,-1338342.203824656,-3634629.1912964997,-4699158.3715102915,236567.13308461342,-1693714.361065801,-1113173.062071501,-1693951.940662535
AUS,,-121708007.3013899,112669571.0888814,-8589738.9472341,-251397013.18346247,-15595410.788826194,-17989148.648398183,-188870362.3508222,-17432434.328589138,-53848714.0263859,-189055893.37429065,15829177.645390624,-314931698.9105283,-25484449.072338074,-180923709.30186233,-25675559.158995386,-516226227.6690866,-143335201.41153556,-2750494.4695495367,-273885205.53405446,61596601.68522089,18508986.755120892,-599359533.2014802,-603586938.5354651,-718694175.4082216,-467533227.8046947,-27255012.278851233,-661210676.5962228,-309331408.4382165,-510428257.9049129
AUT,,7050600.074200619,-17077692.41450331,-11027855.45709491,-18599058.915833272,-8875907.804586416,1401598.8629371193,773505.3417585314,-14086434.208214445,-1647859.1145273866,-16653365.793628957,-10241952.27748875,-17263252.390436348,-18127873.62914609,1663302.300591638,-12588147.77696598,-30463242.7473972,-40930794.49881764,-13333806.29252313,-15629430.133703541,-14827554.685900174,-21558085.690326206,-32501931.069390323,-25781167.0226064,-35231124.61598716,-30848413.24131452,-17615520.299416218,-29639577.501853812,-39852047.96719957,-28030639.93876862
AZE,,,,,94606008.28038608,3120606.581828493,5744689.999992709,1934199.7569406526,-16849732.745748404,-12157611.360547412,-32443710.74733712,-17425437.47232615,20179053.061047148,18412174.665406443,12775815.44850662,-19403060.215045527,-25031212.625414286,-722280.689970937,-44847474.970326096,-7929919.025250786,-28017066.164203856,-31850938.817813747,-50091272.10927534,-35870174.844680555,-63458820.625704795,-49292418.993030235,-10776367.554773321,-19472464.450692084,-36302450.485731125,-35136822.43198365
BDI,,-3884571.529240344,-2225685.4393261326,-1292628.0862571164,-1886833.5272958337,2213833.3038442405,-1580131.1964293672,-1272996.452869794,2061806.2635949256,-1093962.9589083632,-1359904.00145218,-780545.6291903334,317740.1900988704,-1131556.8640006788,-541067.9871734048,72798.95951564984,-377724.73250631214,-237659.82425218305,-8470.804467311598,-358089.72212246386,-505579.6138226163,-165211.04227815196,-36129.714637079414,915949.6694712085,-631445.0015052051,-76717.88195302442,-201020.71183091943,-309067.08245088084,1014587.7703614777,-46679.54000953888
BEL,,,,,,,,,,,-5465094.3578853365,-11019569.942922797,-12915071.905805945,-28159965.910043772,-5026837.7038274715,-22711097.119782362,-31696525.745102145,-21163602.79477754,-26457402.971686997,-26503240.81259292,-22638422.437965393,-24152912.591650967,-1900875.4379449007,-16011085.175000187,-26085064.525823582,-21092850.27277609,-11235338.277569758,-44259791.75489959,-53179728.33002057,-55609782.65793674
BGD,,32303128.20614068,-11485020.01130293,27318046.67125215,-48799764.58436676,-10613827.135607794,-22987306.762356263,5349869.01729906,-15238538.957583139,17721840.27564069,-1676597.8570349538,-40002466.818475194,11405349.570138378,-45906380.036251076,4047248.3191788103,-11712163.223678641,-20213925.177939065,-11114709.06478121,-15507666.951188734,-40094679.595490366,-37857113.49785334,-21717653.396827232,-24496518.324543186,-18336280.851870637,-25758477.776540074,-15327365.668623991,-38717904.20331072,-17933259.262672246,-22695095.47667755,-24076990.47435111
BGR,,,,,,,,,-30560038.563515045,-37070933.81698009,-58923091.17263058,-87677210.66292907,-71996625.52127042,-39327173.17524789,1704610.3356212191,13169215.685463017,-16316522.735077644,-120633312.57055849,-124471240.77334633,-123211433.11273211,-46687616.58517306,-107431766.38535991,-164779728.6767031,-149725518.09647706,-63624555.12430523,-40759479.77571939,-114495436.31271942,-161249500.59265098,-127736518.61482026,-214991579.67495367
