country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-6622268.880974399,-6899199.2400908675,264691.65275218996,-245752.48039828628,1878319.0667034106,-3752358.1687335777,-2495487.492857402,-8989970.351605657,-1635962.3270737978,-8636407.374668466,-5029735.583349125,2475483.0695738145,68708.17575512755,-2695795.4944130927,-16408556.721711058,-4613959.961832759,-5186493.573644938,-2532231.5332955457,-2095555.2082210975,-8782675.26956775,-5637484.215526992,1179727.3454751216,-3904304.0377223,-3172099.6823612764,-7994120.8009196995,-6079043.145974356,-2529502.0720590535
ARG,,-8644679.932320897,-57255313.98077066,-188897053.85068366,21614029.19057624,210508234.51301157,-186426840.75507432,-1630160547.1815765,1790551414.08261,516528719.65980214,602549714.6812645,-154082021.49478543,184079171.8606969,-45588247.91770944,-131541033.85678422,212886422.04411414,-58529984.80878686,199419954.97498846,-323327000.1122341,-671393150.1623358,-33396183.96496351,-16353226.670037536,-226119142.8750871,-42378493.693850994,59309548.25002951,-77161350.12844568,43861700.83744521,-22911657.072255712,-93571505.10733618,9813654.578861082
ARM,,,,,,,,685979.3314532439,-848099.3175669996,87239.78526614311,-1822242.4841765142,-8095384.293973031,-532238.344109986,-1083311.1652792364,1367582.9682559106,-457372.70439727226,-888349.74098517,1040092.7508614003,-443367.66163906327,-1771394.5149931966,-2407276.1313751214,-253043.23337989076,-5163137.826012012,-1461390.6539549513,-9409302.476236623,-3496487.4529504674,-288313.1835206231,-2938123.7475587507,-2254622.392965692,-1440935.8164792424
AUS,,-72947449.94071756,100371148.92235342,32088004.314244952,-175227085.2731123,11240847.041033313,61575879.37701076,-64452639.34980504,32739195.759800386,-13703514.318440445,-83032569.1906974,29915631.83195678,-220330109.55034393,-21689124.809125975,-91837078.78827992,67531621.58370678,-376934854.9903788,-82413789.59364434,45256180.7193651,-133088339.25238498,3893569.089940119,-74829346.87739888,-439952017.0295879,-363513881.3244868,-504353320.468839,-332956519.01786315,23318811.79213458,-440840268.6695911,-328678468.09689415,-509440428.63887984
AUT,,9279324.026803214,-6808386.690460438,-5498429.290131319,-8731808.003127046,-3280840.0839430126,-1260422.2508268424,3775701.843311003,-6257194.455942474,-2059.4052147103366,-8705803.596033806,-6432472.010055734,-9090192.871166827,-16149742.13955403,7410479.499058792,-5476692.544304194,-16364581.510153363,-47768192.87793955,-8389741.952150991,-9630674.322455097,-8368222.086924069,-33286548.950482525,-27721874.98941037,-14892505.015745716,-38205644.637030944,-38077494.76877994,-5562069.907504018,-26898587.986549243,-28542060.860882804,-13559131.852507286
AZE,,,,,107082230.63312998,5672134.198757837,5727869.918563973,-6062699.359792943,-14781810.325050335,-20820389.00681488,-25896628.43258352,-24250476.810891133,11633553.62968993,16500832.037322288,13688517.90962036,-12211401.532867081,-36871103.70136061,-2312203.892114435,-37481150.58480045,-5289812.822523225,-30050746.094397407,-27090465.632210545,-41397738.77445212,-32634579.792136326,-80570192.35951157,-40159699.65728565,-6948366.06739556,-17244654.520712264,-32238747.99170704,-32690241.577432625
BDI,,-1307469.3737928576,5599.014710102642,513477.4874265567,-431273.29610521044,-1169651.7106280602,-153.97090096255909,159797.7030684145,-277785.92423229566,-445037.24256662047,-918558.2986361722,-193786.5611920027,-391132.0585443062,-740255.6561897772,-171819.1856499648,-230730.33034832348,-36124.777062477115,-95459.71797966363,136019.54194045532,-77633.58225949355,-150482.6849829481,-327083.11629901396,37625.469990893915,68268.3214871235,-634652.717663838,157630.69411683618,29903.81061045291,-37579.305035864105,129680.23038600983,47959.91562265932
BEL,,,,,,,,,,,3468309.217291462,-2200901.5718171266,465719.7446297431,-10664852.734059194,-5861012.715762947,-9023782.599685684,-20878244.688646488,-8443582.270330984,-2687691.343311841,-7354305.537634901,-11781245.284732405,-18282117.303677138,5976397.448015458,-676459.003308061,-11079025.13254352,-9484603.318975447,-143747.25505628044,-65008379.45822043,-44859374.929740965,-41663699.37381127
BGD,,17126638.904704094,5789217.980847531,11671173.813824318,-39141490.61440607,200623.97611796894,374993.06163034734,14037801.577108597,-21283685.35900925,13746329.28670905,3562303.135213062,-16407082.91020914,3527315.9796818965,-25191354.260352377,3332486.390284988,-7607894.563064902,-15709737.224117221,-5575938.544820207,-5188830.45848586,-33171271.673098035,-51282844.179927394,-10469012.656543074,-23559538.722062,-14947336.685746863,-15274327.754070815,-3670790.317618287,-23271953.606929548,-11701629.131598728,-17135097.813209113,-13756551.986860592
BGR,,,,,,,,,-14546623.42673814,-17830028.135279465,-36382067.75540771,-65094866.631145,-42111681.94755072,-20920598.59598461,15399864.261363903,2192184.379463277,-23356886.26180927,-119736622.29234253,-75386091.40963756,-57769624.955838464,-51896466.9381618,-49915940.43663292,-102350830.62647544,-71263101.07475564,-37681891.70675352,-63748882.00016685,-72632322.71172853,-92852020.56592037,-95695872.57363796,-128101281.58745743
