country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,-0.07014079058645573,-0.041522212127835884,-0.038854774123034556,-0.14666660217671396,-0.027776704262059755,-0.17159685371653707,-0.05864745914619927,-0.11208579867458372,-0.09232969917531833,0.005455732434428082,0.029592823738851703,0.00894892500845589,-0.1507836506801659,-0.15982038258387038,-0.037740538859335274,0.015119331236963887,-0.045101939275673936,-0.17685870335947246,-0.04325704663819599,-0.02258107131555625,-0.07302935137943256,-0.04699121474478152,-0.0859871717944526,-0.043272717247271976,-0.04017778713097142
ARG,,-0.00022040305907362195,0.005169305214034117,-0.0032083594227481516,0.003131985161431203,0.005068295006312726,-0.008069542844216808,-0.038022348924413536,0.04852578142667229,0.018086505347559872,0.012928857219214463,0.006098098867909816,0.03320413201554756,0.007910698966794928,-0.0062521607907483675,0.010533171201451405,-0.0012269285796954446,0.021782995035290766,-0.014013947438734652,-0.04353506304162926,0.002196549580412921,-0.005139278504070159,-0.0330642742464393,-0.0014831571182313558,0.010560483299780665,,,,,
ARM,,,,,,,,0.032312984898921496,-0.06111769559037544,0.03153290472416996,-0.03618382214235295,-0.04358732414683227,0.05736694136727305,0.026602769632126395,0.04226713351329041,-0.01763566884414643,-0.01885865895170287,0.030690767637826348,-0.005107775754374707,0.020962365826564595,-0.04880256018887003,0.008891982019443669,-0.02126263656318646,-0.018636674812349954,-0.044140692744576986,-0.04469538975037698,0.0021900795746404647,-0.014476396850351833,-0.009073360576672343,-0.014066840193264332
AUS,,-0.008529011567757375,0.011886044245012769,-0.0007449200764959973,-0.021408611981508164,-0.0017237495183573435,-0.002122688042476287,-0.017517868146231356,-0.0014366270003797403,-0.0040178291131696174,-0.014130289370780586,0.0014269251478133376,-0.029738881640696352,-0.002361221746712655,-0.013100852950880865,-0.0016270507055597882,-0.03317069281467452,-0.010572501968373399,-0.00028744265256300385,-0.022296256696785966,0.0038058497521474147,0.0011871903549069197,-0.03617059929854224,-0.04894285789933753,-0.057332866528696125,-0.034679651149913095,-0.0018242911343068545,-0.03590428003566993,-0.01920987960145379,-0.040126510835961034
AUT,,0.005242224105666923,-0.0118790551099508,-0.007638082232244192,-0.011753154412345729,-0.002758476145349895,0.0004719226502432101,0.00020715285616590138,-0.00391624318753937,-0.0004393208138022266,-0.004348628047391672,-0.0025572704105145984,-0.003888977318193521,-0.0044694248485647676,0.0003304824354236853,-0.002234696392018375,-0.00668665310851248,-0.01561835043379369,-0.003594559322994697,-0.002936232084425701,-0.005560186710869515,-0.006665541716669962,-0.013441247880880788,-0.0075073532712660864,-0.009268876524683011,-0.008150611088553797,-0.0038284480537580305,-0.007906908564881429,-0.011024890800361248,-0.007243560126805635
AZE,,,,,0.034716990737861705,0.010143450803571279,0.0300445144746032,0.007134640363716684,-0.05803069727349209,-0.040017840699386846,-0.09864796406173666,-0.0452240842938339,0.045298605936392476,0.048406559011167936,0.03325136691402342,-0.03923980772888386,-0.03936460506219699,-0.0012187457109600723,-0.0925373594095248,-0.013985726429397561,-0.04875629235878982,-0.06556610829530156,-0.09790372851282661,-0.07293495003370226,-0.12122430182422328,-0.09335702940231137,-0.020782894423927827,-0.036046958919295616,-0.06477689391867804,-0.06336293313344855
BDI,,,,,,,,,,,,,,,,,,,,,,,-0.0008934359433901658,0.0214883393181752,-0.0204692121384761,,,,,
BEL,,,,,,,,,,,-0.0010660002523179975,-0.0020961504136739824,-0.0022017649275905588,-0.005354461142603678,-0.000889956720158111,-0.0033493440442096604,-0.00603254124453743,-0.005686526446902481,-0.006800791616008298,-0.00447433451573058,-0.005250924180484322,-0.006984642372065556,-0.000618014300560354,-0.0046441613453681784,-0.006129019688262044,-0.004596958326269453,-0.00209001029389038,-0.008556447686179035,-0.011902664138485702,-0.011364241487448228
BGD,,0.016485296563909322,-0.00647633694141496,0.01134243689334142,-0.02345542732230677,-0.005622622721307699,-0.0115721331686117,0.0025664028228379945,-0.007515976639187349,0.008908060560598726,-0.0007073858102775731,-0.017427968047739644,0.004951167719394255,-0.028091005428212638,0.002635896507929454,-0.00713243187227898,-0.011427313521018613,-0.007467768722807327,-0.008103083083001634,-0.02370304793023612,-0.02495226208925589,-0.01297533607677338,-0.01535382698807576,-0.011056139363047652,-0.014287441624177727,-0.007908449555234552,-0.01736813684044202,-0.007642594309615957,-0.009387315948216894,-0.010181071037435992
BGR,,,,,,,,,-0.042795922639356054,-0.06073239511263161,-0.12427181346931089,-0.19159198650511194,-0.11464868742806827,-0.07574839632501178,0.003598761403312636,0.01599131399337767,-0.02285128642876218,-0.25798505736427685,-0.2641714785889545,-0.18150435835252068,-0.07963932463372449,-0.2379358389801167,-0.44758373808381646,-0.31853920198661395,-0.13366692195140858,-0.08149212201684895,-0.19756610725121287,-0.29672739113338253,-0.23172962443240014,-0.3675866668635901
