country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,-0.04213693693988292,-0.09483065150545555,-0.09090721701465534,-0.11232708547514092,-0.058384262077963225,-0.18266339732982126,-0.04674786181001807,-0.12017925619566402,-0.10056243204745317,0.007022502359560419,-0.0010276134404198379,-0.014017694167113185,-0.15801736555676377,-0.148609960186107,-0.05480844364333296,0.023029153127574895,-0.07219777140077739,-0.17516900798025103,-0.0664961944821829,-0.0427012190606089,-0.08881167677819016,-0.06130433209514405,-0.07831557192091232,-0.0670093694161928,-0.04300457745258362
ARG,,-0.003335673046804638,0.0031242431739115766,0.0010468538429764945,0.000262440444491103,0.006971799154299678,-0.008447469396611139,-0.0468825402345995,0.06069108890393572,0.020022083562019746,0.01965307556126952,0.011797744843524674,0.03732657752497962,0.011032295711488527,-0.0002743954786332886,0.008832989862411832,0.0018334126787708572,0.021509584362014916,-0.03227138973549058,-0.043401644686079474,0.004898122735297518,0.001317979585961925,-0.029192814593194952,-0.0006270396637290188,0.018300593689495204,,,,,
ARM,,,,,,,,-0.020159479060935525,-0.048754099582635935,0.00477515286061008,-0.028569438663050784,-0.02188571942938445,-0.03029614422797759,-0.025606487735971663,-0.01099430719516703,-0.038148494185855183,-0.008069395961676055,-0.025144414121833925,0.006548324802449061,-0.008464193489250205,-0.043948934984877716,-0.0231054974146573,-0.04554770387514488,-0.03705782366104899,-0.09460419426384249,-0.06430686551091344,0.0006475536869053518,-0.02461488993194733,-0.02437188395390916,-0.025975937137562393
AUS,,-0.011818160524996409,0.017769183767228754,0.005948681651020832,-0.024377823620239637,-0.005810703903872077,-0.0010221709454738567,-0.01669428808894347,-0.001185339387565674,-0.006183328814299808,-0.01082393836484266,-0.0029307914250293163,-0.031785292899618164,-0.004899542743705307,-0.013445083914705936,-0.0034771471044444547,-0.035195547084605906,-0.015110457011783448,-0.006879418298410998,-0.020036584438112383,-0.00037410705691890957,-0.022900670971339073,-0.0352799740412417,-0.055780906491570685,-0.07258780727236022,-0.04300649772831396,-0.003372786883234939,-0.037339558084522564,-0.029022548592487166,-0.044789771472338855
AUT,,0.005474455930037253,-0.010570693297245715,-0.008003047536495432,-0.012602736186358241,-0.004403491556046568,0.001176233055035453,-0.0010170331909787123,-0.0037270899061543307,-0.00025624330862592925,-0.004392042030663399,-0.003669626893705431,-0.0039889982907303344,-0.007297985137819477,0.0007595088682046437,-0.0026674584963873324,-0.0039009976154320224,-0.017953065831236216,-0.004790969744191391,-0.002953205332429051,-0.005226839118836374,-0.00896377615230129,-0.014602110869263066,-0.007726671445219104,-0.008864104155982237,-0.0088433183311221,-0.006978711948419481,-0.010044964582151044,-0.012502063437191638,-0.008116677325329143
AZE,,,,,0.029998737503686083,0.010785702408298,0.008658451168788503,-0.044049287910847584,-0.061409609216891245,-0.07594707788628072,-0.09411792387320081,-0.06571028783622684,0.03652947894789805,0.018030770283593997,0.011138285583419689,-0.046423794854114346,-0.06252966954134055,-0.014742838135988999,-0.09598789952422933,-0.014605949279604435,-0.0320202745653103,-0.06514809129627479,-0.12142259441763052,-0.0959251269470842,-0.14421772020933263,-0.08978664900576976,-0.032311054747334006,-0.03473128713892799,-0.0704112996183753,-0.0991400514839214
BDI,,,,,,,,,,,,,,,,,,,,,,,-0.0018828801871334916,-0.0017048322432152293,-0.009659880742886776,,,,,
BEL,,,,,,,,,,,-0.0008205322552105791,-0.001722394486129726,-0.001357294601591609,-0.007091158182164992,-0.002588849565913996,-0.0030273076641550672,-0.008129677343580239,-0.005086932178410921,-0.008503009014650625,-0.002249036368008936,-0.008603602153935602,-0.005373830482893605,-0.00016894021025758193,-0.005957314330568027,-0.007333179769456366,-0.003349097367605928,-0.002319774938805087,-0.009054373629395552,-0.015336867470416553,-0.012752558481791652
BGD,,0.008095424581104153,-0.0006091221403651209,-4.427622878520091e-05,-0.024001854714413892,-0.006405209452488266,-0.005622060511154263,0.0010147113675586488,-0.01509752683985346,0.0003762648262777929,-0.008451097635822096,-0.01450017867401912,-0.0024053924461935362,-0.02029934038221082,-0.007948401265440993,-0.008278549599003444,-0.00963002311083612,-0.007262906587206037,-0.005108788888389796,-0.0212945766961709,-0.01577604758244769,-0.009707243040449462,-0.016253778504203915,-0.010275041228718364,-0.010620618464635379,-0.004643647262701297,-0.013670834627070269,-0.005858474651949112,-0.007604286485233433,-0.0069839879501258735
BGR,,,,,,,,,-0.05873508506679396,-0.08796123432432315,-0.1172869725169155,-0.20543722250910323,-0.12501735300101913,-0.0986699952039574,-0.03767655945897,-0.0055032405049480065,-0.03874629157731035,-0.2524953328733118,-0.32012206665859844,-0.19023905737241048,-0.10406068626494208,-0.24274757183626886,-0.4370477412717076,-0.3608413687457649,-0.2105519676930754,-0.1715477857507976,-0.2560502533360549,-0.2897907127999764,-0.3384665832364165,-0.36427005708983023
BIH,,,,,,,,,-0.03169508772391465,-0.014959527781708561,-0.05172899340954556,-0.023430194831964367,-0.03308640417825048,-0.046060537604641766,-0.00535113750132862,-0.022750423213403596,-0.018592268139848857,-0.07359509130712881,-0.04461496884742807,-0.046025800267994854,-0.006850127994569246,-0.04300821146523173,-0.08427645508487659,-0.03919749203170198,-0.014527590073040239,-0.02942700331774741,-0.03632134666924262,-0.04739198370428638,-0.047675581308447776,-0.027478369772911706
BLR,,,,,-0.005442784522451657,-0.03265982692582006,-0.010047986427619372,-0.018110330743398538,0.039058887510318,-0.06924731209520779,-0.0029414791297901004,-0.022553515463678474,-0.06715231272395572,-0.016496840269526355,0.00844937669837863,-0.0173396570145874,-0.02040685139899087,-0.06365554301499743,-0.0192389841348827,-0.0038804339840705433,-0.06576161887176141,-0.056592485716400666,-0.04723475942601455,-0.0983505523426909,-0.11810590400080302,-0.11949883729887563,-0.06104237404478359,-0.020184403103220453,-0.07612514267644019,-0.10985268514330747
BOL,,-0.005377960149248005,-0.0049801259676199635,-0.01021343860442525,-0.007567169526394205,-0.003275352040283654,0.005006864917016607,-0.0010676731102088443,-0.008258022349500316,0.004396359596330613,0.002111388694640568,0.0037712343912135893,0.0014236325869150753,0.0020132885797984807,0.001500810598586947,0.0010086364545276187,0.0005774492323145885,0.0052871440518133025,0.014883746673015978,0.011109180439006383,0.001593673620848135,0.006300828065769899,0.0066977499943388875,0.006018063265917285,0.009642041441583248,-0.007722888357367278,-0.004398034501630934,0.0005001943663836667,-0.0025652505421945673,
BRA,,-0.0007316042247144953,0.0002743451316449142,-0.000993179977591316,-0.00128671486589654,-0.00040396320190735685,0.001587336241912147,-0.0005999607250882706,0.002534858483703042,-4.9645689272591535e-05,-0.00039170309161159323,-0.0018819156086394145,-0.0020602998214912373,-0.002561449974646149,-0.0017347631151668024,-0.0031624935103825164,-0.0011272221759248402,-0.0020058195637935716,-0.0013942711915518684,-0.004160340638933483,-0.00035245446145474885,-0.0023824808470927477,,,,,,,-0.004327566023282857,-0.004919723194510973
BTN,,,,,,,,,,,-0.002011369219983959,0.0012443420073734535,0.0003415252460438217,0.0013835574668741592,-1.097660965264202e-05,-0.002015000593388309,-0.008486430945757755,-0.018392726499690065,0.0008647936312376741,-0.007511432822806559,-0.009468046654700087,-0.0024998934046350863,-0.0047993899276904005,-0.002389187164418879,-0.005222335397123395,-0.001438915668964791,-0.0011614239514506717,-0.008104067243083686,,
CAN,,-0.015331700798580568,0.022235709062517352,0.04200443106107078,0.004277531450756845,0.000598354683863883,0.012147449459496648,-0.004808206004414721,-0.021843135678550864,0.024647195112199687,0.013005750381489241,-0.01261787526029743,-0.005535931028460452,-0.023448124589759915,0.02951499307937108,0.0113981497877007,-0.022510483118850934,-0.0015265604867894574,-0.002443703023745285,0.002177659841434234,0.026436420262334833,0.00682465079436764,-0.020671242013682516,-0.006970810750369963,0.011914682912217475,-0.020032677409512926,-0.004056704151766121,-0.038079029131042746,-0.04016331157169373,0.012072297317015097
CHE,,-0.0003291840189142973,-0.005212649600178206,-0.00018047363890411367,-0.005771480615251285,-0.0016121703787408536,-0.0012747865900315468,0.0028725656829175703,-0.0045623338812719625,0.003963170436753415,-0.0007966654584050417,-0.002085663261300148,-0.0011446542644136988,-0.004559029510440854,-0.0005401733803886599,-0.0034533131671199975,-0.004559903282084299,-0.004091355823937767,-0.0014530097223822195,-0.0006090551718833394,-0.001823224617652451,-0.0010821573401647946,-0.0019501754585653842,-0.0016270534869158564,-0.002251357591119162,-0.004750054295637062,-0.0008509264574358842,-0.006797288386081027,-0.0041428337820945136,-0.004424655819395592
CHL,,-0.010940627017738845,-0.009134733712366519,-0.004745021674976695,-0.0007058878503853883,-0.005965297613716393,-0.0021702364219137135,-0.017453583442926864,0.010583728931311563,-0.018023153092385433,0.006975848264847672,-0.0007181839197024503,0.0006452823518016423,-0.003502222974822732,-0.006976682601558217,-0.0017874173752906156,-0.004367302661577852,0.0010587143488487044,-0.024191502103728894,-0.009257415910058922,-0.003439481665083572,-0.00700554305140871,-0.003879528484947735,-0.004380834994655738,-0.001100074852115889,-0.01288288159907764,-0.004343571906848126,-0.011066977825166937,-0.006200897018055046,-0.012413514008456885
CHN,,0.048538086700703295,-0.013465846909114131,0.026960243631190865,-0.05804954551264284,0.004361013622429137,0.03111911429422412,-0.031537916604137774,-0.002182254341828811,0.0034556349398306117,-0.032912071113784955,-0.020116714312412486,-0.00892535672321363,,,-0.03505310640328301,-0.02582990941196792,-0.024647335906085664,-0.007938573456900865,-0.026135058355861725,0.00025423773063310636,-0.028204677801699614,-0.028006282003345213,-0.01781409931167473,-0.019504108963695234,,-0.010226871682571907,-0.025739902573428737,-0.026070298220201217,-0.024138643542295023
CZE,,,,-0.01803615302509183,-0.031791869078946454,-0.02091688465064422,-0.007857022261196719,-0.016866068520562275,-0.020813236156938773,-0.006659099691829417,-0.021240313384306604,-0.01581564638429551,-0.026789877673520462,-0.037292466441219904,-0.0006494189389000055,-0.018238885654050893,-0.03346101967465293,-0.07421245349963466,-0.042891233149249794,-0.01797648671024169,-0.019976682924219946,-0.034684898388053775,-0.056006701142425265,-0.05432891324820809,-0.09003832835756682,-0.05416169552049921,-0.052119972606944745,-0.05218696080737581,-0.07938223859101856,-0.07173934510990565
DEU,,0.0028530709172048096,-0.014750407011938148,-0.0027600752054054464,-0.004442125929053254,-0.005593326095677242,-0.0038799970662027534,-3.77402627902768e-05,-0.00121042632092007,0.0003527027937480812,-0.0024330527638022647,-0.0029466583236897543,-0.0015631890970147528,-0.011355192124519561,0.002318646900689037,-0.004164938766618364,-0.012235780639123213,-0.012149180988654678,-0.014798756002734196,-0.003110283983283965,-0.00901543698456759,-0.006392721310769621,-0.008218287925549371,-0.012048889975198228,-0.016816457071371443,-0.007264830436395968,-0.0064850927210529175,-0.013670095200955757,-0.020434237283739182,-0.02083482401756185
DNK,,-0.0017580782202820898,-0.0466615153920586,0.004106649143481104,-0.004763912080454795,-0.006150774010192937,-0.020582624686913586,-0.0068128898416843055,0.014725313920950433,0.009520270531041312,0.00029130616918022725,-0.004808903561614184,-0.004776807409070385,-0.01043965630700019,0.02091469037030606,-0.006229636833166621,-0.019689483228244202,0.0072227383870707125,-0.02362552021701162,0.002850692351988171,-0.007098941418016244,0.00580658731300333,-0.007057953005117468,-0.014704852480333791,-0.01998059807746841,0.01110738135324227,-0.011083577767420288,0.003832929262454589,-0.019066348278276003,-0.014671693496440071
DZA,,-0.004074797000728907,-0.01663536965500855,-0.029383266807760003,-0.027949852530210685,-0.04463289487962953,-0.006386140968147495,-0.02347468915403562,-0.05362474602243482,-0.05477629369563272,-0.02698416649449185,-0.04540374193003133,-0.040502290955347894,-0.06758706896802542,-0.0208090468622588,-0.06024901332920598,-0.07877144738629205,-0.03727699003334067,-0.04324088747852042,-0.12179537752550235,-0.07249885852623802,-0.10328636603395391,-0.14713630912646042,-0.018269085569809208,-0.06828912580353484,-0.09397545556330388,-0.05296265756181396,-0.09978139209141723,-0.06143711681483971,-0.0729566914525368
ECU,,-5.532144241697319e-06,-1.6310989687432753e-05,-3.346618845318667e-05,1.2484153661237542e-05,-2.103013969241927e-06,3.3130205756040945e-05,-8.094026526468154e-05,-8.815430303962947e-05,8.939700768272957e-05,0.0002422264067692041,9.446823312894218e-05,-9.120139575987131e-05,7.10188448779154e-05,9.766362894621317e-05,2.1957294798880602e-05,4.7289160139973975e-05,0.0001794961159048131,-3.7984093938530963e-07,-2.846719099971657e-06,-8.834737835869241e-05,4.4103150972205394e-05,-0.00012228597516230298,7.552821083928711e-05,-4.2448674087237896e-05,-2.0755822237508393e-05,-0.0001320360845758232,-0.00010242003214474456,1.084056618423526e-05,-6.371794154399762e-05
