country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-29498.097706279987,-18993.292493449364,70711.19559832966,35229.66804227844,-16844.556679112135,24134.94542069442,89065.1701498648,-38187.77408254091,-137846.3461877376,-136323.211878012,-126404.04899666636,-153306.60281655198,-100561.10997142736,-33614.77372532417,-116681.15312034033,-110657.35108264144,-381781.2930704099,-273939.81656655134,-447452.1861181676,-353176.2064061759,-377343.5413631219,-542228.6928567962,-504824.01092876546,-548742.9789266099,-640307.4190934475,-479839.55617413035,-561219.8408942537,-479276.96151572524,-645126.3630527329,-612252.2496257507,Afghanistan
ALB,-6007.480646740437,13120.905367865358,10513.300327127932,-11330.991376559285,-17663.151816225225,754.2808224222218,-6797.166048836067,6396.046628823875,-18841.033818426644,-19969.687844701006,-40550.2514669258,-9759.320349915255,-36789.670744406634,-22646.261730034203,-791.5927380200166,-18831.314776866842,-28524.432973258346,-47466.64789325458,-20655.704690968847,-41293.570991310036,-36308.926737093876,-23039.395238598892,-38204.53436334194,-50444.097666665635,-9752.297354278526,-28549.69088914834,-30017.44387980377,-40685.13353580474,-47545.00664788904,-22510.953503269775,Albania
ARG,604002.6297749513,-89932.92970509084,-195245.0766865705,-298567.65242639714,-96357.31254345104,130202.80775350836,-128467.62438969001,-1233803.0955938108,730227.2490248592,240499.5434860325,103294.27034914673,-655123.550424096,-199536.9212847933,-592685.6085429649,-520081.9588434782,-42208.25766658095,-410931.3449267445,-241044.3751704781,-1157805.968808467,-1925479.126441792,-660052.5239694514,-616253.3857063766,-1275277.4109926724,-651395.0473239659,-118190.45288074602,-1287403.7249437284,-221982.016436993,-1476806.8391136187,-2749554.9417563546,-1048341.0488685035,Argentina
ARM,2124.1709109971766,2380.4972287845326,9714.66270237595,9949.540476287028,5635.752128832599,3181.4155983507867,2952.700782933285,1928.0703951728897,-8069.383752985998,-1558.25643167406,-11848.576067738108,-41499.5790904151,-5598.191047186144,-11063.81318957143,-320.3488194159813,-9416.93523068386,-9091.946930480784,-4302.271079033612,-8667.061084112513,-10752.834858348368,-19509.50492486146,-9486.217199744191,-28684.82396225104,-19663.640477674926,-50417.571957783795,-38561.22414833165,-22712.545381345917,-22561.44338517502,-21065.599924128954,-13304.111776409676,Armenia
AUS,20798.88209028821,-261377.56822173248,313348.9157655173,-135188.94004291977,-868029.530383129,12081.091846501356,55851.998483729614,-501143.8786804607,-41573.71342034257,-667424.1968656642,-1265615.4174983841,-96884.67846136953,-1841084.3417791883,-298360.32388506754,-952947.2570569133,-261188.8859810912,-2569451.893308609,-634564.3029226925,-269275.630563264,-1329326.6659461735,-1030127.2677481216,-1850555.7215615392,-2916728.2989751254,-2334969.172684752,-3150652.7880594227,-2714083.8805389907,-1250635.803097593,-3938320.873066958,-2655368.207242539,-3552205.900755443,Australia
AUT,30230.533115472695,75777.18285102776,-40946.726005480996,-34725.27790564915,-68495.00696064584,-20954.948566223895,-61782.78385070138,0.6911956153364521,-57531.99597852176,-44670.31160924287,-95380.54597243668,-71467.93741661884,-103462.76414588247,-176707.50852550686,7221.857180043383,-72939.37250502197,-195594.75485662548,-305380.51728668984,-109426.76966785597,-149506.30680537285,-124476.10916311349,-246717.3322516458,-212990.6458360752,-201732.1724163674,-297914.24479211617,-342397.36083582946,-152622.04436755186,-256126.12725456542,-272856.44180193497,-194333.55133683715,Austria
AZE,3569.302985334817,10865.927650760603,96268.5694731355,31367.81800072068,30987.87738112498,13505.664294589675,15735.418630244434,-20700.7621095205,-50679.31527139966,-68024.84780574858,-104237.2427473639,-103902.05064496523,18496.467538686178,21899.650701690676,13470.57757499563,-80336.74514605715,-158762.7261340035,-39491.277572967556,-161795.42824586958,-70620.05716706534,-177712.8953546646,-137165.1652974077,-206696.19365144375,-171892.39824131053,-295322.1218610764,-238796.08113529152,-140012.8423878288,-225593.3743067383,-316836.9947870997,-330616.67281520093,Azerbaijan
BDI,185.31480620919237,-170.15308687471028,63.60283269135487,155.53262421956097,-65.33008623119541,-800.4726308510179,-24.665519633303248,27.67956913254529,-761.1569526234617,-296.0049701590179,-670.5710073158788,-276.4260292518391,-894.9444334765478,-874.0598803450463,-302.80995360147506,-651.0193592451319,-194.95005466808965,-427.36525974141534,-133.9805979386636,-411.75526415960303,-521.9520165298304,-1082.943298578668,-121.55744897895184,-981.9605435979657,-1090.0670397809427,-66.45104120735415,-372.7577686794703,-468.3626708004803,-2098.340623876338,-173.32739328257128,Burundi
BEL,-55357.31856438468,75346.39273664953,-42813.102174541316,-7691.497133224293,-113648.65116387847,-56893.80523563477,-173198.54980138247,37108.54803347856,12556.817694760945,-93912.41455180936,-8715.04058503557,-68419.33105775907,-53357.551114568974,-115317.14799721414,-67237.22051659827,-94948.57422705526,-166407.9537172041,-99900.38576577693,-78461.35875252675,-106984.66179985648,-128225.50065349395,-159283.59798382793,-39891.12993467495,-88207.99074983264,-158453.98870651086,-156534.66511297796,-91817.26230632195,-469610.35699466855,-366985.73486534535,-365348.90017287753,Belgium
BGD,9376.124287605966,17182.52721410515,18713.165199135183,2586.4710217857937,-70277.47759705507,-7106.041214352449,-3991.435195366604,16250.722903940312,-90022.73783134123,-5890.132533024218,-25618.39329437172,-66456.98223282066,-40434.86098057984,-97475.07348589165,-27092.139773856346,-52903.41341263785,-68437.85075848014,-43104.8965548585,-41848.385213107904,-135312.28166865034,-196034.40261565743,-71588.0679162304,-126828.84301246138,-102544.87644571859,-108720.18682643301,-79705.90291035418,-153361.4067852784,-123724.59962236065,-124571.13476470552,-112360.75358211563,Bangladesh
