country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-42109.52178308751,-29832.224801807693,60941.818270862634,26091.457366790626,-22491.794284178995,22643.956348731692,91307.94756410543,-30638.48316675485,-119846.10119864304,-115084.39450248836,-112283.11533906093,-134278.10328899798,-64155.47091594605,21461.826247582634,-73069.75333149287,-23880.49350397759,-301015.58048791566,-162479.6453905579,-373574.25627500244,-205833.50158766247,-231285.6323349817,-425812.249446322,-322046.18167335266,-344946.3962408115,-414950.0497687964,-273358.53953135683,-342415.6146677256,-262866.6935469926,-452185.49056563573,-339003.9010879973,Afghanistan
ALB,-12405.31859312144,10217.484849481356,8293.45504823185,-14703.509268861944,-19821.198229589223,-668.3343285498978,-7133.933648993499,6190.168909571567,-17462.920251213432,-18428.93558780784,-37987.92474593535,-7449.295595348056,-33356.04469939165,-19028.31319745591,2942.6780727658875,-14130.093929927452,-23672.380893867296,-41495.90133882772,-12518.22205504988,-32282.27521249276,-27547.097903453297,-13947.71132344409,-27981.25305714996,-39415.87406552382,903.4359343887868,-17188.092418264558,-17625.35712608212,-27454.094537055284,-35322.53068800782,-10200.88304110297,Albania
ARG,634997.0821597333,-42037.82733702662,-141737.06103543594,-238985.93414486988,-18753.092745552993,246342.95866447606,-11581.94213183236,-1019968.425351172,982034.095890117,474792.4722564371,410807.1389717164,-306956.1972697122,170757.7924913805,-261625.76821998868,-99897.15376963349,459832.76323931024,13849.14530750457,280804.1374627849,-539295.2889882645,-1589189.78013252,-279783.16669926065,93357.86541849627,-594594.3031351586,-248882.81422830775,358603.17734332284,-532547.316477114,434499.5447168536,-363031.88293732656,-1591567.4186564141,236337.1322157935,Argentina
ARM,2367.1625940606154,2819.6957849541664,10276.974566024162,10993.30901343254,6659.537565700625,4541.031921973085,5127.362133506119,4150.712393070222,-4323.87398533556,2130.713826167508,-8562.762492815986,-36478.22908496748,863.1045592573574,-5544.464260900958,7624.392233951907,-1708.4157425123208,-4390.900826696499,4394.797403883949,-479.2999294020554,-3212.5442364078544,-11995.335649127883,120.4969358338224,-17713.82457374376,-4645.074826173869,-33403.47115607636,-19330.718702611503,-2840.5111685972806,-12122.297982078378,-9557.469021166231,-6025.92600962226,Armenia
AUS,-66230.33205471595,-322273.4633168793,275669.18218491104,-174494.1201602847,-873209.9077002519,25253.445265804603,111631.87301695751,-389197.3934160992,108890.24237360213,-453219.99460653006,-981916.3386823449,186276.4646724062,-1462326.170418952,-115526.24838088627,-430942.2244691965,224888.61997561567,-1935719.6583138453,-343153.9185173088,118894.38651744097,-667354.3300554348,-294886.22680575645,-877398.2494803588,-1772680.6816981358,-1391956.4804633714,-2047286.2571781478,-1623394.0117058498,-154857.7220948283,-2272001.953935181,-1517650.547567814,-2526905.409264633,Australia
AUT,6782.063078996211,53822.170158509,-58997.60607585832,-47450.24531638911,-81725.05605816004,-32584.20654360393,-69458.96903113373,-8122.549903773026,-60490.808507535796,-45458.64364768329,-93200.35469130013,-66871.26101607978,-95178.83531938412,-165305.81033296676,22142.311820830073,-55213.38723212661,-173028.85220557128,-277741.14073456614,-77771.9093794473,-116826.33531608043,-88285.2263728736,-200180.74033240823,-174659.72486768634,-150922.32867002412,-236246.53836639918,-277601.8228432054,-75561.71222781378,-193889.40882296965,-210323.73647836436,-118000.19300299209,Austria
AZE,13782.985828848648,22486.458891691946,109537.61297318328,43285.46385295302,43001.41705946431,24934.350415944227,31122.695826913183,-1887.838784338243,-31536.264010259518,-46275.233369160735,-73157.5020346926,-60474.46946171218,72646.22383996121,74594.3903118757,71235.24840933115,-21294.678897439433,-99697.72844080509,17164.847088481518,-88134.20534746828,28608.90959534116,-115245.81406653087,-55091.75147241946,-110150.9587929375,-67231.93147074393,-213533.99881735526,-138516.04206154018,-22013.101206063264,-105807.44782755173,-178267.02091557204,-176564.30887449524,Azerbaijan
BDI,-6.494293698825531,-346.0467546416961,-111.87935566644762,-11.976577915369,-198.37244776794734,-913.4666938551233,-140.77801583916303,-86.58946942842778,-826.0209012838143,-336.1545603829185,-687.562552409468,-301.7066630789615,-885.1574873682329,-842.5104503211244,-271.8114724405626,-591.9087774126933,-127.1423467895753,-337.63456585983744,-34.43423390112027,-283.0914123300731,-360.5626334617567,-877.3937665554727,-31.622916894282454,-806.8693589117261,-918.6735378509444,122.84953479508609,-109.67200536204994,-180.12590629410676,-1218.3126997748325,24.76597864224181,Burundi
BEL,-71211.64445165145,58319.96454353172,-56545.34903348614,-21849.276821328258,-123699.59791553213,-64279.23252343679,-177246.701626273,32779.920508997966,14211.332139460877,-88203.5070353536,-1647.2473775154917,-58868.18558652426,-38899.622171739524,-95752.95453546185,-41821.83061590293,-66617.59943097949,-134869.35598819217,-67508.91992233253,-37391.031773330535,-60479.331665932405,-77877.88829642099,-109528.63838104406,16654.774232802538,-26667.053671321515,-85043.57303953945,-77465.33342462106,-32057.099893084167,-387415.1800846247,-284601.1413887539,-265751.4929336712,Belgium
BGD,10693.229112809493,20107.361728054235,22754.612927271766,7967.211287829367,-62914.581198857144,3717.695155353622,10574.25826857375,33484.48506201749,-62655.499705882714,26613.599490830795,8004.529519116522,-32881.15325865449,-4410.483883984845,-59541.75144707826,6837.555887008926,-23992.319984554357,-44964.30566586072,-18008.840338987236,-11445.1337803727,-103006.64067091412,-159483.4188372328,-30072.693181221523,-82023.91610060626,-42195.04087306061,-43091.46235679234,-8625.865348323296,-77107.11354866778,-46177.74752767776,-57190.78278764894,-46843.032571277094,Bangladesh
BGR,-212668.81336861942,86373.09802331575,-54805.48531970704,-187016.14459226915,-350527.85312111705,-125242.49542443124,-60737.40487125515,-50373.43132440539,-190231.92786531567,-189727.10191489029,-314286.9754873417,-540760.5894463076,-375308.6254167339,-180837.21540858393,-38910.00867346123,-217658.9029626665,-320849.6350735878,-606581.0882578942,-459583.977269712,-354370.93971952476,-546812.528060808,-335231.23577829555,-647187.8159388928,-526677.0870759792,-438329.82352180354,-670502.8639171224,-624776.8832580114,-690018.8436142751,-815969.550052974,-892026.2284339131,Bulgaria
BIH,-15221.84315215699,10962.475010834061,-493.2515464093405,-19618.88663015716,-22090.859534747462,-7535.073694331495,-4501.541277982078,-228.48504817539572,-7567.61807524715,-7730.361865493753,-30549.23928097419,-11942.728309339504,-21311.773869884353,-20671.507173928396,-4459.534685906827,-8572.35165501491,-24183.328200876764,-55048.72415438381,-10444.397539384947,-21808.96074649199,-19016.06234953907,-21660.448558698376,-31047.17324414429,-23806.927831842197,-5793.8072458663555,-19635.32256247331,-15789.492390372996,-27019.07456025626,-36208.64049254207,-15321.147193660763,Bosnia and Herzegovina
BLR,17054.268001219036,-2859.441776388922,-59969.324086913504,11479.837326501147,-9994.773496785294,-27456.961837577954,-10472.833379958836,-5688.078721087757,-16718.345154526698,-83168.57188938632,-7104.430270476978,-48886.09718056908,-173111.88800461244,-36427.45055881719,-8507.178830242634,-41403.08010936943,-50915.45375191504,-141220.57086523212,-43406.63016042823,-49032.64795348054,-249500.0421709747,-152969.15461056802,-168650.21642097444,-160495.1611277118,-232778.5320573101,-430898.5716993811,-173212.6618879986,-125644.84749994153,-265524.6296153995,-293484.2450857859,Belarus
BOL,1726.4819559854122,-2416.2412278279485,-592.7124140669152,-2183.0050012779525,-3602.9708379619838,244.1753425059803,4618.0092761486885,3011.093313383329,-4293.904285236292,6978.823074865109,2821.611933635091,1871.1238430957965,3027.159528239057,3440.832156568323,2079.7671265888284,2514.6820426358436,1967.914321040373,8879.933299531835,10485.121073031713,14338.416121118697,5082.826488885508,9698.645512439678,8204.817235996537,8153.908035014473,2713.3101839683363,262.8984328462735,-2621.352763841113,3403.9237848335238,5410.041745693362,-1332.3705050847593,Bolivia (Plurinational State of)
