country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-68706.58710239347,37269.09921345176,172266.96266413786,86552.14971896747,-46490.85564283206,13792.292651483996,35687.63392014257,-56939.88269592754,159823.79652597115,-147018.4374686326,-139258.11248822123,-150863.1582758508,-74937.46463437597,-11940.75853654683,-103374.92700014588,57300.376330239786,-304371.1705839295,-107763.39775989112,-348106.1068666225,-181616.00840931808,-160117.9166307058,-378580.5699504039,-167028.660062622,-224657.7441479055,-355902.81002862065,-165471.80711464692,-245872.07698175646,-302202.55537797796,-224575.21241522316,-7042.724053909945,Afghanistan
ALB,-33915.12495601398,13064.368139860198,1176.1973573858634,-32913.78597322826,-33507.295074600515,-12353.28204404906,-14654.002025025617,-17833.371095476243,-28290.748148334864,-16257.459759548374,-56798.366308887824,-18329.082052536647,-45479.35313236521,-34768.009762391215,2144.7565993702547,-354.8970481601053,-4790.184628814156,-46156.7638432102,-33668.94605016242,-20120.617085604084,8601.024806193123,-18982.907790539764,-52657.04044416747,-17887.25077240115,-13202.289890207676,-33519.57302599148,-24291.14491245755,-34538.25659177485,-28951.932764535715,-19439.78189982354,Albania
ARG,741271.968982867,-109836.62976867458,98914.43745814588,26449.87925435429,7707.539549236399,137226.0243273974,-152912.82061765288,-1302173.2490868003,2234723.6945774825,731865.9457263596,719302.6865077354,365433.13265202375,972856.5729511019,312224.3634656152,-10179.076979757168,381067.4295701706,77267.1017459478,714696.5071716644,-893900.595344469,-1463980.2380334556,168579.03841788307,34722.85334729404,-791454.5267829538,-10372.51048845966,537812.2502781652,-781493.689974356,923353.2651807438,120069.05076976061,-1437227.875873669,903510.7815025125,Argentina
ARM,-1684.6272468404966,5349.1597234852925,7890.838237854386,9466.637964125592,8191.909485678543,4712.547027551662,-2884.2148410803584,-3018.2430276174214,-8582.698253470728,1005.8310938550921,-6918.565332317796,-5721.308807494743,-10737.747971584786,-7759.647177452421,-3264.572810715443,-15012.801574044179,-3032.6157747350017,-7530.591146851732,1612.1622922815395,-2681.9624161024494,-11562.411699479362,-5524.521743404495,-11054.80604837977,-9246.428224787962,-28304.042232354404,-27509.203749003893,296.30118236400284,-11871.465354713506,-12418.174710512312,-12791.628555864636,Armenia
AUS,93020.51619441036,-720885.4606630099,765395.0842754177,316633.35701636743,-1305729.5866111515,-234077.2066410253,-36925.45371230027,-810731.074820981,-76182.29353325922,-430180.3502604882,-835148.3390262856,-217446.1060575806,-2067842.0808937754,-271070.49702705926,-842166.0762796835,-237217.50351857988,-2426923.931924631,-816421.0992087781,-238360.89262361603,-1055575.8049791337,-22080.453231718086,-1044264.5661185124,-1885896.4513363042,-2379058.9389920114,-3370273.8037773613,-2578284.133257936,-227459.80630046187,-2996104.8307013945,-2086879.8055294063,-2732501.639578951,Australia
AUT,690.9286722023394,45565.12405877298,-88602.69090222633,-71113.80165305073,-121294.30121911272,-75977.12237673039,19286.51080609835,-22707.424179876503,-88096.74526999771,-6586.736416395404,-133320.82413168,-119927.27057340543,-137465.47390264188,-192393.16663758724,22903.57759837419,-88196.27019725672,-103160.63698966047,-250818.74009064076,-88858.86224348197,-82597.987852229,-77132.30821246002,-151977.69230784997,-200791.9567420485,-146143.28362846404,-185222.8412005143,-220818.8789318776,-212476.2442722342,-243083.698463869,-279207.6581312664,-205333.69097483438,Austria
AZE,-13644.114883419656,21887.441067441152,103600.29116675153,109846.12525309663,32197.67519295171,8173.720666023646,5072.536632444872,-32866.736800608385,-49427.143107776996,-67838.04203443081,-99356.82285922956,-84382.07264912104,56548.52292146036,24119.453220378076,14995.810982810748,-78149.44336015929,-127662.84252228809,-27467.88251120685,-136269.39113734834,-23883.121285405676,-52756.57516984656,-89725.56962577451,-174511.9595341133,-133046.5515125907,-211322.94373301938,-174370.19079195778,-96056.97831473495,-115846.79010794198,-240875.44350026708,-334718.8417175246,Azerbaijan
BDI,-75.96233549607147,-379.6623729132885,33.254913953276024,105.20868789039535,-148.93455217601758,584.2267656505251,-66.43207311272887,123.3019914383625,999.9009640035839,-389.8660025874726,-877.6137426472745,-423.7907780710143,291.7358950338286,-1142.4934493472128,-299.73379123757974,97.07644499463333,30.00611503364857,-450.6042759334212,-133.89601835028316,-428.3786562429041,-386.408118841204,-363.0514179276346,-96.9899708390436,-98.9797055459014,-405.89500345028534,217.89275625603477,-136.75763483822712,-243.38757845706877,2261.4374593100147,135.0949567500542,Burundi
BEL,-114514.74230410006,57139.1207894322,-100470.36258619232,-49390.22284094358,-97373.77237699012,-138224.18936373107,-187896.2619943162,3564.130995354571,2914.706155443543,-67793.62179338175,-29616.26872870463,-65890.78513681864,-55076.57464150948,-214369.6807545731,-75004.68891768705,-107159.51580511035,-220950.8817467502,-89432.43454405651,-146742.53703727713,-62157.42879755511,-181542.89317232784,-86445.71879511466,-2620.985568361877,-100785.48643870473,-152137.34418370147,-90139.16038131207,-73325.53170829939,-268414.51864432916,-376066.8818388474,-360884.05240590754,Belgium
BGD,-21679.83913105399,27097.591700221106,-1971.3160600872914,-196.60109197987757,-93471.18491817972,-22686.77568447844,-21833.72352519205,4371.305908584398,-66652.18088640076,1722.6396713243846,-45640.77973002994,-86657.38475754498,-15059.728766363207,-90084.16190214426,-35190.10979728287,-40698.219957388035,-54562.96530595134,-34700.15295858214,-31387.83555717798,-115836.45005821224,-76757.2933456221,-56353.67668543228,-98382.95622894508,-61650.07623913112,-69443.80257711097,-32761.822726201677,-111930.73254216375,-51612.90903896605,-71444.95754246444,-65156.521744356585,Bangladesh
