country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-56126.83753377324,-48133.374237064345,-57736.45949369846,-40657.56226036544,-47367.4315782444,-54120.911503981944,-45718.60626416385,-60746.27404601633,-55155.10800368681,-64250.189938369615,-70507.47149171164,-87973.68215470055,-99984.16028977012,-97071.38770538445,-121991.04074854671,-188987.87440736414,-177417.71338241515,-153298.92887303894,-167358.00616128204,-170334.94657242304,-181417.03556230967,-183532.0898891153,-159516.25515169904,-170765.0065916223,-187528.7349190878,-189800.17564864075,-190049.40689842592
ARG,,-990042.8733194206,-1357068.1862198452,-1837879.466361868,-2259691.2783378214,-3223326.6326843165,-3202597.2292877063,-6273102.516339245,-6676622.221011396,-6248798.960586138,-8495698.861666022,-9704019.325584296,-3291253.8699869583,-3026733.1729812296,-3851382.9143233206,-4574339.89680191,-3681690.5712861666,-4489242.09060321,-5318683.531541743,-2488310.4098230265,-2680469.5399493044,-4833018.598938512,-4261046.348903688,-2082825.7189634794,-1686864.1429400751,-2363859.802656269,-1266987.1943935868,-1934411.193619171,-1205645.4826718564,-775565.9361519761
ARM,,,,,,,,-17223.98032066285,-25195.976150648254,-23317.22199667073,-21167.36957214435,-30560.9195694553,-37848.22858050457,-30894.43644443296,-48627.50002331417,-53981.106242441994,-36134.93893411443,-81639.87051058524,-86683.39934472987,-68415.06484803135,-65756.16022904709,-85908.77179556529,-91989.0553327006,-122690.87874127198,-138936.5713435143,-137050.86092024218,-138839.21806048488,-73320.29354678102,-81717.89746992789,-51768.92984264311
AUS,,-210251.66562443617,-215148.82246286643,-377036.7975849591,-569749.5596544822,-381546.2951827272,-879036.6048177496,-1385525.0369270875,-1079780.96072942,-1387016.038084017,-1590668.4022463073,-1386834.514770118,-1740303.9929028016,-938693.6583688895,-2964793.4474261436,-2774683.1209817035,-3374524.4422672237,-1728912.430805754,-2325302.2131976327,-3648596.4903891506,-4670279.022835135,-7034262.115750928,-8203321.367159138,-6206651.559222249,-6799180.308196068,-5620336.208529823,-5503178.431330329,-8540324.743909605,-5752525.022540131,-4720658.665242853
AUT,,-19789.06451709771,-31189.777974509798,-30570.07601675892,-48189.04453842463,-68645.39920323313,-73717.0976908431,-80728.46249983,-89530.8067226146,-101474.37247212863,-89901.06286298408,-109853.15933150462,-119370.49644487198,-128866.22706900843,-220788.48000050013,-201071.86818283025,-209174.22687493032,-245160.86729162454,-339078.1841752259,-309713.58773265366,-314143.6298421608,-413084.5581675365,-290992.2856583936,-399800.7361372967,-478137.6223791307,-403939.5590576244,-485345.7174820283,-381009.9464654005,-397816.07693505305,-462025.2843031289
AZE,,,,,-620139.3079145224,-100398.00955614411,-115848.63613101214,-170626.55759168277,-177409.23808888186,-197551.33597555262,-273374.2245492172,-373022.5248775846,-440160.08674672764,-420561.7460174876,-472556.0792847543,-513029.8465011583,-557031.2347707673,-555491.1429233272,-782465.4386232555,-1088059.651580773,-706210.2309834416,-959491.1060152862,-1157223.13267326,-1260361.0561099893,-1021173.4020089114,-962286.9982979271,-715493.2403730992,-686780.2044685415,-821497.5997833809,-915085.269696368
BDI,,-4468.052442588967,-5737.929048427946,-6325.696867081664,-6851.38431221481,-9344.542565356589,-9178.585261876031,-9753.998753334818,-8697.558089412385,-5588.561203689564,-4143.982006966168,-5582.715515715906,-5167.804496692431,-4688.518891087993,-4601.025190493015,-5205.90197415967,-6058.58612883807,-6150.9939207944535,-6078.19585810974,-6632.819755720821,-7443.41052227545,-8389.583556306232,-3345.9773556358396,-5038.510723370492,-4702.068323767892,-5777.565521433965,-6939.4172507325675,-7063.815900391189,-20291.64831833863,-4423.351233822672
BEL,,,,,,,,,,,-99251.61637094378,-90990.30369408471,-119404.60166984572,-151676.59915087037,-209841.55336584648,-208716.27982649513,-212284.03415379947,-235398.53586644086,-315930.6719650397,-330280.9142633593,-325337.4008774623,-332316.77049843484,-355438.732632407,-383013.3975454602,-448563.3021888262,-401097.3803452072,-292313.73381081194,-382587.42924900964,-409591.6254264743,-466479.18274605175
BGD,,-47328.32248203975,-72025.76543059717,-105350.44286940947,-124812.1665293325,-166181.4781251908,-208225.41950722475,-243376.33580994196,-320085.74073161354,-362576.4609330231,-363633.0614734076,-338105.02061243687,-340040.3973733291,-343832.451914402,-301478.443846033,-233567.1462905561,-176257.681924568,-189482.91964462757,-233087.68787281401,-248873.12556532465,-279688.36551457166,-302226.5671058679,-298445.3664365812,-418520.56093925936,-463269.57366037887,-504504.82286308275,-527505.5879875792,-528659.6532150237,-448297.4869814982,-429918.7027060446
BGR,,,,,,,,,-329863.1364879655,-292189.5547454886,-293534.7819888534,-457745.43332639703,-529129.8390248388,-333922.1000249835,-783497.660020212,-739950.2796059841,-761136.8250247362,-644373.9256345943,-1427989.7558212741,-1245225.8606504977,-1303422.6574209847,-1589906.5149717582,-1563032.8641202883,-2117722.982256446,-2178740.9192753546,-1802364.9081023883,-2143685.984538478,-2492322.4293562146,-2661259.8130104057,-2810641.390276434
BIH,,,,,,,-13995.412858529995,-24283.296492253787,-32238.257081393105,-26205.371625541145,-32668.019746866124,-26382.82225545769,-32209.136658930227,-24707.85863443632,-58246.12137948544,-48887.62930934961,-49577.3589078473,-64115.650776070346,-68703.09221051741,-74079.93645170458,-42872.38070528092,-69341.849344441,-73195.42960021098,-94543.34368642773,-64428.80154243299,-71103.83520381857,-107666.32902253266,-110261.77517565028,-122687.09778108241,-109239.21721290566
BLR,,,,,-27020638.336804472,-27557503.436395437,-32607250.309791308,-23314038.01126258,-15460846.469664339,-2900218.299291109,-1240901.4776835886,-768945.0227256536,-762468.3705631068,-563688.9925199142,-814399.2184226727,-920276.503298257,-909419.6688952162,-1264045.2322655094,-1990827.4443990882,-1574838.0474081598,-1385637.0540351656,-1086006.7772199053,-825957.7925642054,-677628.4292889155,-868488.6699068598,-583208.1982344919,-398052.13736590365,-483711.10705770715,-333511.5738425685,-433744.20883894287
BOL,,-5833.445558743986,-7384.230371568149,-13938.411231603137,-9204.910289406922,-16079.122871343354,-14524.367631846391,-27735.653090312477,-31249.67155753221,-28410.18596774326,-19985.756680651026,-22745.80692330475,-24097.15680752547,-23171.355825892497,-24807.562003032097,-29704.026553695316,-35186.17733120049,-44750.39934347294,-62168.56678262456,-69062.54395938615,-88370.14671194695,-72289.89852333399,-61336.37650713017,-93627.26891274187,-75929.94931353693,-169693.4276765959,-174688.68469754778,-86231.28271433817,-177024.00053021032,-146008.49465127446
