country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-55785.60493166599,-47015.83208005852,-55720.32268324632,-38893.354728663,-45017.18471656527,-51182.45301040147,-43065.893115448656,-57042.51308703003,-51659.14911965392,-60046.624567433064,-65767.80140095312,-81920.55379753122,-92964.29619157824,-90132.75104359412,-113130.74122670828,-175062.9251855536,-164174.57005932243,-141720.0321320122,-154579.80000758258,-157202.2299724368,-167309.45476661864,-169147.98900378004,-146927.41419454513,-157203.08317498362,-172548.6014577925,-174561.24215441695,-174717.4957774635
ARG,,-1253832.280985586,-1526519.2397824966,-1945930.8812420028,-2307530.65753119,-3208862.02561519,-3128777.3379099006,-6042983.909307623,-6363337.747896516,-5904592.884255852,-7972899.36978816,-9055607.420008818,-3056632.672902011,-2799059.0233242633,-3548319.976824063,-4200324.703003796,-3370417.5849316414,-4098368.462666448,-4843334.270945315,-2260669.0235735374,-2430025.6238482036,-4372739.193624412,-3848243.346515311,-1878002.4350409892,-1518711.1935406078,-2125380.4818077534,-1137768.8264660037,-1735143.057453515,-1080361.8235096976,-694313.7789624985
ARM,,,,,,,,-15196.114905845081,-22139.25008839727,-20421.366967932714,-18490.11600959866,-26638.140122273024,-32929.70344080805,-26836.078825758563,-42179.202557475466,-46763.26968153194,-31267.155325113676,-70567.9109812187,-74855.48130223324,-59027.826057035316,-56687.596494001504,-74005.13988648982,-79188.60632654288,-105553.83028148254,-119463.37924710212,-117783.01410407001,-119265.2538000189,-62956.651575888696,-70141.10416364009,-44419.35111394328
AUS,,-242725.93895330722,-227959.82054788098,-382406.4805781112,-563000.0323026236,-370190.2278662229,-841424.1844361331,-1312939.8488204416,-1015407.7192196188,-1296319.2298363484,-1479382.0001037589,-1284612.5368225581,-1606507.6622419667,-863900.9910357895,-2721253.3693474014,-2540688.9530798676,-3083259.13914207,-1576577.8964997984,-2116601.10833197,-3315636.7779737427,-4237595.111667498,-6373516.316728713,-7423156.075626672,-5609909.271630705,-6138947.5043412745,-5069756.705681262,-4959745.987234341,-7690743.308859498,-5176571.315517595,-4245154.156261957
AUT,,-23062.13873582456,-33717.30567791522,-31804.711287177775,-49001.763907972294,-68690.91134146166,-72895.89084657446,-79125.80481130151,-87165.3881924846,-98260.71405681428,-86679.9090192806,-105542.4041874877,-114341.39259085355,-123108.74331337026,-210427.76603216818,-191235.35982726887,-198563.5096329615,-232322.90894044374,-320814.3461561222,-292606.3541098283,-296393.57696701895,-389259.36658226023,-273898.0619901925,-375934.5849391492,-449176.8307573004,-379157.1169789117,-455220.60632678866,-357107.2862566283,-372625.85823400767,-432513.82938441786
AZE,,,,,-580867.536078492,-93193.13805437772,-106820.44434819835,-156550.61732006897,-162162.17013866024,-180028.1408756885,-248527.05158210295,-338448.3914205215,-398693.4268375602,-380376.89221618033,-426843.3856949624,-462862.76931121945,-502031.3004650964,-500163.757662197,-703914.1143296836,-978043.9373052117,-634333.2765587381,-861243.9792354248,-1038080.1573435275,-1129971.1341682828,-915060.5467011323,-861899.657257335,-640583.7168121843,-614638.513875674,-734954.1304548413,-818419.7683334766
BDI,,-3331.264207423978,-4566.257056135014,-5200.237033701843,-5741.252081090156,-7935.592299801136,-7871.4112555212605,-8425.986696928212,-7554.9220205397205,-4875.892164637218,-3628.270683945615,-4902.113101155239,-4548.940783649999,-4136.017029653178,-4066.6289630594424,-4609.1055161796585,-5372.347971975941,-5461.9678260609035,-5404.282414950439,-5904.392876735929,-6633.219044658192,-7483.99963466647,-2987.5745709143152,-4502.531947787837,-4205.083662406421,-5170.436344153775,-6214.099720730398,-6329.194306300059,-18190.748998225263,-3967.315167156651
BEL,,,,,,,,,,,-91005.533499058,-83349.7868216574,-109288.10331438444,-138724.86202297735,-191799.62073450015,-190662.04293335616,-193820.66133464387,-214823.62944040739,-288192.808972452,-301164.31457631895,-296548.5947405379,-302808.32485191873,-323777.9044045934,-348801.3571449743,-408393.9336676451,-365097.1664482621,-266022.97344133415,-348111.64448605466,-372620.6035247133,-424307.1444843788
BGD,,-50998.24981602439,-73642.21426852906,-104884.92730478592,-122308.9597293389,-161051.90058672306,-200153.70988944394,-232520.54672261144,-304396.9562490049,-343525.6953706271,-343508.9813772478,-318617.1945495451,-319779.12950160267,-322754.7017664616,-282539.9901213859,-218580.45159220282,-164733.2770414695,-176884.08103827212,-217353.66300628573,-231842.6702724857,-260309.5365563842,-281046.254707963,-277314.29148368584,-388618.39656343224,-429895.7323645806,-467893.1685948676,-488968.25524977327,-489799.42903993133,-415166.1866332064,-397984.40739151987
BGR,,,,,,,,,-320234.8630717487,-282666.74942027393,-283175.90531424456,-440577.90348381264,-508292.0759666692,-320218.96698196424,-750200.2323422506,-707543.7531586234,-726907.9563160789,-614708.7861268154,-1360857.0170316359,-1185572.5912125402,-1239905.8219936981,-1511214.2234336676,-1484583.144314947,-2010121.8356900297,-2066797.8309291592,-1708841.9565644774,-2031450.2713896197,-2360752.778923759,-2519755.7453336422,-2660182.429284657
