country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-54318.45081287453,-45202.10427314029,-53089.80659792063,-36809.06961306647,-42390.44427786581,-48010.87715251781,-40272.04416458761,-53209.8861912023,-48089.81045343644,-55800.59212208054,-61023.1354759895,-75906.98833649434,-86035.57327902163,-83323.21430957568,-104479.00844861851,-161526.7186910653,-151352.87794640168,-130550.42724006221,-142294.10144303026,-144613.17915888017,-153821.16127390845,-155427.9510133192,-134944.97906438206,-144319.12400216926,-158342.40266045544,-160131.91747938364,-160221.16867103332
ARG,,-1188209.5813568635,-1484671.1080326242,-1919664.4728552625,-2296528.372053222,-3213889.258188064,-3148672.6958934334,-6103400.506245195,-6444793.600389865,-5993632.750335743,-8107730.545839165,-9222503.321219482,-3116937.9471834125,-2857517.5384798096,-3626074.216444685,-4296224.959968885,-3450193.3295827336,-4198509.7065756675,-4965086.162358973,-2318964.318990178,-2494152.5461920365,-4490587.719513413,-3953935.007543514,-1930445.91177954,-1561768.5662712788,-2186451.888230913,-1170864.2439896902,-1786187.6206169594,-1112460.0007577972,-715134.9486281553
ARM,,,,,,,,-12414.734977280721,-18218.889850249943,-16903.697232370778,-15376.56662274862,-22237.731316888487,-27579.893958480305,-22541.34712840037,-35519.92955934186,-39470.27056544734,-26445.721096331516,-59799.28653160221,-63542.858312009776,-50187.377549893696,-48269.23009861803,-63102.163338602884,-67607.45012735961,-90218.9456282556,-102214.89667955042,-100872.32139596266,-102230.8951572062,-54008.72819483597,-60215.632125431504,-38159.93896966651
AUS,,-217108.00177537696,-208308.90662842835,-353461.84096371976,-524043.04438065,-346302.45240043226,-790078.4280761331,-1236298.943783498,-958199.2665263597,-1225421.5428056326,-1400429.096848789,-1217461.8224522325,-1524035.0287929813,-820270.7352774085,-2585835.4415799673,-2415938.8213099493,-2933731.2842189386,-1500989.7669679844,-2016198.2741767445,-3159913.653593891,-4040423.259824296,-6079562.53050659,-7083573.7508167755,-5355163.899413582,-5862097.402679679,-4842554.066336918,-4738769.9815560365,-7349975.140802041,-4948332.452116702,-4058865.057920688
AUT,,-17700.680560250366,-27031.553915697696,-26085.481025725247,-40747.122288693376,-57679.23039678018,-61655.588418519896,-67289.77350397814,-74435.02268322867,-84191.5416929287,-74468.12087296812,-90874.08379421433,-98636.16459824334,-106377.3311298244,-182099.68925705604,-165710.88493455347,-172269.29460048198,-201781.05303148038,-278922.5902011556,-254636.7733145984,-258157.77349601898,-339319.8083207818,-238937.26627166427,-328169.9111811806,-392350.9126968021,-331375.9147486019,-398061.5392114887,-312420.4606887185,-326139.16950697335,-378713.21847263025
AZE,,,,,-526385.3678544121,-84730.84136708501,-97358.3071264745,-142944.47430935642,-148274.70880534698,-164795.6481324022,-227702.8923610926,-310319.3385238275,-365787.97141602077,-349178.46490229765,-392028.3590705767,-425298.1866312087,-461474.04791670217,-459926.66238741705,-647504.8979500897,-899947.8262233087,-583851.6537186848,-792918.9147297515,-955963.5747103316,-1040817.4841183483,-843037.5238749929,-794209.0063459458,-590376.4985020306,-566556.5646049998,-677557.7946582552,-754608.8631116921
BDI,,-3243.3551256908177,-4573.362161229875,-5277.293985940965,-5870.052033700202,-8155.066930466255,-8118.97329059815,-8714.543496478578,-7829.550104688546,-5061.333498272955,-3771.0961586893636,-5100.438629020075,-4737.189044114933,-4310.555873225516,-4241.173190275412,-4809.8864254355585,-5609.498735697008,-5705.95854373744,-5648.309068795581,-6173.62315893331,-6938.408917666902,-7831.189435424733,-3127.2124600936804,-4714.379884697082,-4404.146033275823,-5416.531961346228,-6511.349391774752,-6633.35407234344,-19068.509753766975,-4159.489885055698
BEL,,,,,,,,,,,-76277.31525754654,-69964.27065197813,-91853.20205873797,-116724.98991810637,-161544.1111977905,-160729.4328382242,-163525.3960975763,-181380.66166462665,-243495.32291548778,-254616.86759125188,-250863.3277459656,-256301.01896627396,-274190.25450427615,-295517.56281496864,-346155.55091563764,-309577.8612676572,-225651.58700096596,-295383.7074322915,-316277.30631599994,-360254.3699563476
BGD,,-33093.361199742125,-48769.35977741387,-70197.91763555612,-82382.52121174715,-108967.50174923765,-135876.68046185732,-158244.24528202153,-207555.23709176417,-234595.15472414764,-234871.1775353493,-218071.74892813625,-219055.2395769344,-221262.00094019808,-193823.85966170012,-150037.44892038446,-113137.61793853984,-121543.17513583238,-149419.43008638182,-159446.82130707023,-179094.2484645248,-193431.19300567557,-190925.8050689969,-267635.73723109794,-296143.73206748324,-322398.2187302677,-336996.0355947233,-337640.03024473245,-286245.4837860586,-274447.64323514776
BGR,,,,,,,,,-297119.4901808596,-262570.57342456817,-263289.8738243073,-409955.079198072,-473274.47721877997,-298332.61453262693,-699288.3559452823,-659832.344822785,-678177.0080903675,-573720.5905589227,-1270566.7718678482,-1107274.2968478373,-1158371.6509091263,-1412240.192312012,-1387714.9973639513,-1879402.3607685321,-1932812.8094770545,-1598375.7926434928,-1900475.0606941248,-2208922.870418428,-2358057.8333031293,-2489833.80171146
