country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-425722.9747377268,-364204.0670256681,-433757.9266147955,-303241.7057810794,-351234.0315080223,-400472.4271771891,-337903.7454753247,-451276.99990768457,-411762.6198918889,-482347.837502917,-532405.3762465501,-668178.6026419776,-763128.0142675193,-743106.6443712194,-934568.7554371094,-1445263.532184642,-1346520.8746552242,-1155202.5075632895,-1250225.9680934993,-1260103.144309983,-1331015.5169851074,-1333876.4740509454,-1149124.6782009895,-1218602.4495813826,-1325410.8532686823,-1332515.3950275993,-1323351.4403950393
ARG,,-8023339.70543278,-10456554.919741178,-13829929.971135596,-16919184.985775314,-23921004.22225565,-23565553.105216064,-45847598.79450437,-48659149.975069426,-45461085.32319496,-62094250.22820465,-71246567.66490898,-24290998.026087943,-22461698.636002026,-28740553.64202058,-34294444.6587073,-27678169.34745858,-33767357.86433758,-39927927.845001794,-18535706.305768237,-19822143.536942717,-35425668.86417166,-30925586.31402385,-14990050.15106125,-12024813.062083837,-16700591.572024312,-8866244.647591354,-13405847.177554809,-8298860.531439755,-5294357.327204416
ARM,,,,,,,,-117171.91294395788,-171675.13579051459,-159161.3137976004,-145575.22196194262,-211636.00446865257,-264021.9928676639,-217104.4670729506,-344199.6583689861,-384458.2391415196,-258429.11206320484,-584947.4692280384,-620621.4506397427,-486587.24668673443,-464774.9534988518,-602477.5430009516,-639365.3763268489,-846350.1046459762,-950073.1435901057,-929526.8826417027,-933380.0740190988,-488476.80000952655,-541085.9903037087,-340156.7708966017
AUS,,-1629553.829907774,-1609565.7654099895,-2774417.612573763,-4188747.6446081884,-2788187.8077576295,-6382358.655514482,-10007273.322393028,-7786087.813682654,-9993373.36756977,-11522620.376008345,-10097946.101275057,-12745130.50628137,-6915808.070222621,-21974453.35090808,-20669539.245920453,-25216719.171740226,-12931085.974773962,-17363285.606633037,-27042149.62148957,-34373054.11965007,-51330084.712561764,-59286490.09742642,-44491211.24373654,-48285659.93377113,-39566301.671741605,-38381217.31901802,-58998190.32867996,-39477752.203359224,-32134054.0987699
AUT,,-154120.1402715012,-235386.5361419332,-227347.16872972745,-358440.2034469626,-507916.8782016992,-542260.7211909196,-591011.2496128174,-654613.2383321719,-741572.3792144521,-660724.2157927051,-811726.1894991075,-887363.8569812936,-963912.0987880613,-1661767.162576811,-1521343.2178127477,-1587924.2685778255,-1863134.9418913668,-2573164.3861403186,-2333300.191758372,-2350599.9671334852,-3065115.396468152,-2138843.5266535296,-2915192.5166897764,-3454577.0553466766,-2893550.336378506,-3444904.6387985847,-2679108.2475177296,-2779291.2825704813,-3202236.401345221
AZE,,,,,-4490985.24236856,-725765.0060026255,-834634.7462178363,-1225629.4317827267,-1274402.5502532553,-1419841.8397829595,-1977509.0804109867,-2714589.3151363167,-3224036.06241155,-3100889.333638237,-3507073.300881404,-3828482.8879595497,-4171544.351386203,-4165180.627868863,-5859330.062002712,-8089457.413159368,-5215166.731682032,-7026665.772914699,-8395025.38034294,-9070290.908815388,-7281692.400058349,-6802847.021493039,-5011621.312108016,-4765275.6884024255,-5662849.73872315,-6257266.427426953
BDI,,-28825.601408545812,-38373.377973475974,-43119.273965523746,-47655.51759825177,-65555.2219272686,-64664.602546779824,-68903.57217388945,-61708.571479244034,-39808.97534919708,-29792.258937014183,-40469.561667008464,-37778.930663032705,-34561.2182598528,-34190.00045552661,-38950.68575178093,-45545.95726610853,-46348.90512827376,-45785.61232926344,-49651.324360587336,-55390.755192591096,-61960.88724144905,-24496.508260748633,-36616.71226617529,-33878.58672997722,-41291.50927624143,-49162.41314107709,-49595.2430787621,-141594.9579569727,-30629.326386599936
BEL,,,,,,,,,,,-701590.5384647441,-647920.2719700937,-856777.8969145181,-1096704.9988849997,-1528677.4906037915,-1530234.4904776153,-1563193.0448544442,-1736905.537332463,-2329746.283183519,-2419794.6089304793,-2369085.0363717545,-2401291.6168687996,-2545717.769872522,-2722837.5688223997,-3161313.0931438683,-2803897.0629429277,-2025596.9488587205,-2627425.9961430337,-2795754.916615884,-3159789.0121270376
BGD,,-368578.0794351368,-549052.2899038988,-795211.4840389296,-944866.0062917693,-1253698.5162223165,-1563668.515828332,-1820506.044567241,-2392661.1395436805,-2710086.4229255025,-2734179.311575426,-2556446.077195008,-2586849.6680269474,-2632110.665593675,-2322256.3951637805,-1808552.6889145256,-1369249.1385098703,-1473444.9440207155,-1809699.747703559,-1918035.762961447,-2140574.0422809063,-2293380.7955773682,-2242968.5761463735,-3119739.409358294,-3421112.5280081835,-3693018.675697535,-3825272.1688949433,-3797022.56700428,-3198360.9942023,-3042144.5117159258
BGR,,,,,,,,,-2455473.376500114,-2175626.4596968973,-2199327.4736601845,-3449748.6973086204,-4013111.2123043556,-2549020.674867757,-6019337.8605764145,-5715563.043536106,-5899416.709953782,-5000157.603044743,-11065213.782039259,-9579275.860278465,-9958753.43627338,-12045779.222042082,-11730040.950380044,-15765060.547220236,-16069928.408703644,-13178970.126339378,-15529769.471264988,-17884838.128483355,-18971747.371553496,-19874735.653783593
