country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,-88573.16520086298,-177539.30646654908,-233997.2261171092,-250070.18518074183,-210432.9485587373,-296126.53623551043,-241230.64744625558,-309190.3911300302,-352501.77394381736,-456787.88910813397,-482840.12549105927,-503239.34561595804,-734393.8213606608,-1479636.659051601,-1006382.8244684071,-972760.3999396835,-1501754.455453903,-1451127.034933068,-1702008.0038181636,-1516917.1988100908,-1314209.1221058164,-1358579.67124516,-1328142.4857753995,-1291122.1969123438,-1277293.9742060432
ARG,,-320714.65660984814,-588920.3529372333,-1156277.632929462,-1350825.1530944728,-2855439.9299323787,-3297031.3476209603,-4587120.168137646,-3858989.5847401945,-3545709.752603882,-4834988.075434786,-6308895.240684473,-7018139.67756543,-6190264.280104732,-6660214.039678017,-7420923.787187209,-6989849.952180009,-11978779.646428918,-18002614.767881583,-7628262.615936419,-9267094.593701096,-24230868.65002533,-22493899.300182514,-22045165.262764428,-14365226.398714315,,,,,
ARM,,,,,,,,-322621.6354320438,-411632.0172053329,-327392.2104084632,-262480.57182651217,-379456.35274698766,-390509.3835353595,-414835.5915875674,-658657.2437072529,-524509.3859950264,-368466.9780331219,-951818.4350832854,-1145439.086513085,-696689.9195699941,-825372.3430576771,-1205891.6357853883,-1432919.9401547033,-1912123.2110143255,-1856061.6727515904,-1485569.8585228275,-1387945.3080557853,-735608.8243703919,-802968.6146979149,-553535.7007962671
AUS,,-1740478.954801304,-2216096.8555057812,-3173934.153018462,-4340729.4608688755,-3774578.209649881,-9184813.901817344,-11462249.227296978,-8172213.263739523,-9760040.425425023,-11570713.568968823,-11931772.578045193,-16846508.739597455,-9202288.985481761,-23549798.456016947,-20082710.5397277,-25100346.616386242,-15263981.31298769,-32877744.83127908,-36749454.186266415,-36108333.020707615,-63353076.11378779,-64434822.7773774,-66487504.358628385,-72666355.48221964,-56396383.58115637,-50409916.961669646,-64487759.16120945,-50718991.01954218,-53332027.2779804
AUT,,242165.54779320894,35050.94083328926,-122063.14891846784,-318637.97657116846,-295678.84310794144,-415539.8140621567,-432860.6869278556,-510784.424358814,-607790.435883182,-571405.5809867879,-703196.4096816371,-723722.7582516207,-887373.359600332,-1272547.6196838985,-1104956.333064038,-1499547.915832767,-3208933.5551413475,-3200564.752896422,-1975946.434482176,-4064143.168172408,-4558218.883298517,-4300866.858707199,-4140032.8051779,-4503354.265580282,-3845757.233855469,-3861763.944163562,-3799717.4550258615,-4203227.894916035,-4607916.769208582
AZE,,,,,-134951.90315635942,-178632.48052058168,-342910.2986948274,-394772.95366349444,-411820.3637326321,-478205.92632783775,-685587.9843746842,-891542.5689349357,-1009168.4043899892,-1257470.928570994,-1551477.7799984326,-1672972.490618356,-1917291.9253011511,-2525392.1664240616,-4956046.804929753,-6366156.019974922,-4279023.15661426,-6803088.544780715,-7928325.571685992,-9388051.691792222,-7335986.177950058,-6834900.495083882,-4966616.979706964,-4554468.461923125,-5293214.830843028,-6076350.757627488
BDI,,,,,,,,,,,,,,,,,,,,,,,-7939.209994474978,-13395.613820113887,-19531.048784222025,,,,,
BEL,,,,,,,,,,,-840096.4312638108,-756642.5283775107,-906898.2626127099,-1306499.8846107847,-1780692.2610341979,-1484971.9072890442,-2001285.0259783952,-3256264.9906827845,-4166007.227893044,-2788077.310136965,-3844451.156865126,-4953663.150448614,-5893183.339479397,-5602729.166760493,-5393385.445950701,-4469170.552368753,-2787800.8683207193,-3825719.677013513,-4792358.781369122,-5064872.31130159
BGD,,-711842.9647217168,-875189.5935861586,-781166.9607728628,-941443.7216611842,-1263978.4336273537,-1396652.8137128411,-1469345.8514350392,-1962066.5403117414,-2196640.6050565955,-1981333.6824454966,-1788592.5459255865,-1777757.3824173054,-2575093.75634261,-2360683.1548421686,-1841026.053183711,-1338432.7454516636,-1775264.2513581277,-1743973.0502095951,-2158300.6061666175,-2806107.9973783637,-2799014.548662171,-3031618.73465532,-4229913.258796258,-4417401.580390544,-4658103.850325377,-4433371.497466715,-4402130.557735155,-3825520.6879377286,-3955759.360200205
BGR,,,,,,,,,-2010008.7121014975,-1839674.338619078,-2420132.6307325256,-3975912.8348902324,-3482688.0150260115,-2751400.8602059027,-7328736.948271683,-4441873.892415585,-5274328.279263223,-7295621.7981662005,-16740629.559147548,-9617032.889826337,-11496478.265639225,-18459263.62617139,-22014666.85333992,-22882289.527215265,-23079197.38987172,-18255887.76978169,-19277659.125146247,-24140304.22830981,-25790630.73698857,-26243030.594928376
