country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-777404.167124476,-660947.3110979799,-784563.2319189055,-547003.9022165483,-632182.7103880636,-718537.9561250577,-604809.0024657005,-804981.0182786616,-732984.4517807596,-857051.4916025148,-944614.0227881445,-1183482.7247512164,-1350362.070500349,-1314504.2987257515,-1654382.654017092,-2561500.6296169837,-2393978.158081634,-2060352.1066940548,-2238325.630714809,-2265466.1220559985,-2401178.2101393035,-2414754.6962976987,-2087344.0537243818,-2220746.8155504717,-2422970.688548422,-2442954.352068206,-2433945.2618034063
ARG,,-15031561.264098229,-19416618.71040284,-25597400.566938847,-31142300.621425617,-43903157.596571095,-43146456.49654835,-83776244.44068938,-88648031.62442759,-82631263.33085084,-112490249.53092243,-128814006.2865029,-43839578.38708968,-40480565.8179544,-51709443.14162367,-61643984.84151603,-49735583.3723936,-60721426.72068149,-71885760.6792056,-33475720.51792749,-35912120.839827694,-64424550.55674136,-56475232.17819368,-27467723.659159597,-22110721.22521506,-30811600.581375048,-16410439.149511106,-24889885.338137507,-15451823.53526941,-9889027.314841343
ARM,,,,,,,,-213394.9458858554,-311834.06773942104,-288532.3732037616,-263107.60987068503,-381850.0049649729,-475643.4637183039,-390668.9290823766,-618492.8590522332,-690364.9562518068,-464031.3569754025,-1051362.813428256,-1117116.5318634626,-878822.9730573539,-842309.8055199528,-1096315.0356708118,-1168622.6059234857,-1552662.2648248186,-1749489.7748988278,-1717890.8693525665,-1731053.9871469063,-909003.4389993214,-1010050.0498913153,-637174.7417142292
AUS,,-2985192.0045295684,-2927699.719364328,-5034901.039474703,-7564104.784956703,-5022554.0387907745,-11472992.626089906,-17958104.39774467,-13933375.757432297,-17845517.163091335,-20511551.66534537,-17942379.531006202,-22608535.131487094,-12252118.06909436,-38869739.920221075,-36531663.55833911,-44559659.19119523,-22869377.186071124,-30748393.08472901,-48043527.742388606,-61267640.80087186,-91849832.50708479,-106541610.71739498,-80235521.53680542,-87390592.0950119,-71858498.28987925,-69938638.99326307,-107853216.48724905,-72381500.28064549,-59110974.15994597
AUT,,-270825.06536525,-412250.67686084454,-398039.56833909865,-625244.4054613017,-884581.521945692,-943062.0866386925,-1026619.8716227039,-1134440.712368599,-1282908.1800022784,-1139829.8062632328,-1398172.134347698,-1526354.2166155956,-1656333.0478557833,-2851785.5867559747,-2609313.0301349247,-2723627.0245962986,-3199119.223192822,-4425113.971835001,-4026487.5770827695,-4070537.08159964,-5329813.450776977,-3735937.475551529,-5111085.175586427,-6079811.726103927,-5111237.436818903,-6106747.75460273,-4765528.703083136,-4959387.119858521,-5734125.475741349
AZE,,,,,-8324739.408494716,-1340999.5199703514,-1538069.0527385203,-2253700.3925764924,-2336040.3409570153,-2596338.369720172,-3603734.227688865,-4936685.463076109,-5852194.959255089,-5620261.059274657,-6345361.267697724,-6919953.608102384,-7537211.576566048,-7530757.376958912,-10605987.078510916,-14687786.781710008,-9498466.841788663,-12845655.889879012,-15410429.846244859,-16706000.504294489,-13457604.741344338,-12614305.387032982,-9322415.834307542,-8891307.323672995,-10595564.205706503,-11744415.68880201
BDI,,-55064.93590609561,-71743.33932334876,-79846.37869440264,-87420.19977456622,-119597.81542847485,-117466.74240244717,-124743.61972720032,-111263.5079975402,-71550.05821594136,-53330.386351456415,-72256.29862668067,-67297.24655651192,-61450.328142659324,-60664.28251588106,-69022.45226169114,-80659.34818955221,-82118.61784232297,-81198.54548069873,-88311.33352210798,-98811.99818410112,-110932.11083553947,-44033.405257900944,-66035.04446895196,-61301.15101548798,-74956.68139730536,-89522.8219619914,-90582.59666674069,-259324.63060026697,-56269.645073611966
BEL,,,,,,,,,,,-1222033.979902101,-1126244.8987684045,-1486602.6553291092,-1900238.1888957464,-2644390.458965354,-2644800.4465081044,-2701185.14475188,-3003914.1994719077,-4034631.836937911,-4204355.31778695,-4130006.3750846167,-4202867.396239271,-4475191.929060387,-4803955.557137578,-5598218.966141595,-4983158.496253171,-3612418.2398793483,-4701442.887885637,-5018143.073795942,-5691085.2960365955
BGD,,-682998.9061785098,-1009624.7589363687,-1458380.9548122168,-1723836.8498087656,-2281133.379222781,-2838624.466677281,-3298566.6425078227,-4322489.614656666,-4884784.696170916,-4911916.76573083,-4583454.363371578,-4629577.979135863,-4703759.41050254,-4142917.948566961,-3223297.7673250097,-2439452.222632585,-2626836.885102507,-3229971.940349666,-3433782.8503817213,-3843989.3250116636,-4133654.431531865,-4059279.6326555773,-5664791.9349133,-6232998.790970777,-6750365.887715382,-7013970.499883746,-6983118.2461451795,-5898229.710986409,-5627390.786246138
BGR,,,,,,,,,-4354408.560635493,-3849280.7117215325,-3878328.702814077,-6071265.956910279,-7050116.406719349,-4471702.751112295,-10541933.466930935,-10000554.78304222,-10319017.072924042,-8752440.76498045,-19392213.819743652,-16840527.56725935,-17562964.45211946,-21324080.198220287,-20851666.106104888,-28119970.114218734,-28763126.455197625,-23667854.96856602,-27979342.49662956,-32322290.5724823,-34383737.45187333,-36134464.166839086
BIH,,,,,,,-183240.82894521582,-315679.4818810348,-417201.3966229073,-338122.6019766483,-422457.93379455194,-342321.8330310174,-419670.6035817612,-323471.3092074318,-766008.5237256074,-645720.9028548786,-656818.8437338619,-850989.2497220866,-911685.0840963159,-978993.2148880833,-564528.4445572555,-908924.5464238921,-954422.4715152879,-1227225.5616937682,-831629.5512853743,-913081.1618146519,-1374494.0994328225,-1398953.6438556232,-1551140.5825219299,-1374645.868391593
BLR,,,,,-359173567.45686805,-362994861.0188958,-425690617.2798286,-302172945.0839675,-199464470.73294356,-37302111.77756348,-15994669.757954042,-9943677.008536747,-9900392.122764379,-7353678.342975452,-10671686.977864545,-12110417.057197787,-12002968.479079828,-16712948.050255751,-26314950.38388183,-20729485.730326526,-18172013.6173573,-14176923.495626435,-10725154.958466142,-8758825.606203234,-11162133.815388827,-7456683.690431626,-5059199.58953612,-6109650.024171272,-4197464.1699217865,-5433030.616667547
BOL,,-87658.03065693867,-105344.72302953254,-194257.69654010166,-127205.51961471688,-219910.03871250118,-196682.71512038645,-372580.0969512945,-417576.57059185684,-378255.5909565909,-266529.3794959324,-304184.7604623528,-323437.5945819496,-312337.4521658689,-335741.39380773704,-403553.961069655,-479251.563169723,-610347.3045244385,-847332.1752812328,-936999.601672556,-1194068.720263719,-971899.9229867897,-819943.2109792054,-1245386.8906604627,-1003859.9058665944,-2230983.222023124,-2282183.0346119176,-1119111.0072559656,-2288335.427176888,-1877724.5765438015
BRA,,,-1746729086.8587253,-80601990.98269227,-5523374.973733291,-3524063.043960345,-8111271.297247524,-6570706.809802751,-6287435.623344286,-4875819.664603727,-3754154.811401915,-6262107.419468683,-5076813.239605458,-10380821.496501511,-11202009.267752862,-11633624.739160633,-7479353.096184811,-14851791.906007487,-24708577.08105846,-20221230.367454663,-29845927.767661575,-30723378.885815248,-21646251.801965855,-26897507.39253687,-28338609.83210642,-18525429.94778899,-22960207.258037783,-16712592.135103285,-19229511.068673134,-19086340.51486577
BTN,,,,,,,,,,,-13396.807200003317,-14502.41476036898,-15652.467055318388,-18485.98257988508,-18126.99303555768,-54318.93661637928,-45818.90053532507,-52609.092468398965,-35108.32492342461,-25828.096161636735,-31624.197698786946,-42334.42745630943,-31496.413178060295,-31989.15964077528,-31528.400817553447,-22750.71029287754,-15392.196249601748,-25617.95338704852,-9499.482248309809,-8788.6735642422
CAN,,-11227034.665872416,-14797663.086178474,-16844530.153620485,-16724835.949303215,-21880191.935567275,-30858825.774998143,-28480752.777077094,-29779256.431035247,-37205752.60028762,-40599874.18230396,-33230950.32849048,-27721263.675803933,-48813345.213459454,-61290640.21524136,-73838185.02732068,-83303876.06458479,-75157006.51458214,-115278956.08163612,-107824002.98397642,-110088355.21771333,-132087514.44875206,-149290626.51798052,-211167382.86003453,-162299582.9694088,-138508018.62395746,-163012461.4283168,-164726984.77792707,-183761035.44226128,-189229736.88807583
CHE,,-198888.44662713973,-276507.4089057335,-375571.5383403261,-501819.5083228401,-756200.1891349046,-923658.0760356341,-794049.0190669456,-927076.2900605566,-821057.5291830649,-929972.8950178772,-909433.2674088405,-1098862.6012789088,-1171638.3115306695,-1699333.7411105358,-1806734.909596687,-1978969.075474325,-2220656.499233587,-2659587.005218352,-2823264.868960174,-2987855.415358575,-3936308.9498846666,-3684005.7561525265,-3664859.772130408,-4490639.651109537,-4303993.827863385,-3235501.010937787,-4654355.027780433,-4728158.52983287,-4729269.607866512
CHL,,-557417.5932142518,-779375.3275000062,-789652.4704048285,-911531.7591999278,-1265144.82734954,-1267899.2985497974,-1957957.256273898,-2021443.142956988,-1453270.4297309457,-1894522.7952623297,-2108777.852766814,-2169846.9805679494,-2323072.487608263,-3056196.2134664995,-3465763.445536894,-2986138.0207053153,-2540190.3379864986,-3069654.2925975197,-2815510.0473306132,-4382142.5801690845,-5077564.513764009,-4117790.923101342,-5192919.895220278,-4378492.711080859,-4379985.473531492,-5186224.050371569,-4416697.364319954,-5088862.750437057,-4620015.458181235
CHN,,-53593980.81397332,-81397736.414043,-108457689.56779094,-84608317.49994741,-108217707.10155751,-138145030.1908182,-177620979.9381511,-178735111.96061,-207304908.48575792,-201043141.02891496,-208070419.3657635,-218418713.60573938,-227680154.40497285,-262396862.57030126,-303483815.9883691,-373764723.58580226,-423700282.23095185,-510600120.633819,-565638738.6880285,-607497280.9573392,-688800246.0794555,-769963639.7436867,-834794450.8318151,-918252498.5985,-1000610461.8026006,-987788324.3990006,-1024122823.5310559,-1071225185.2786207,-1088819594.4364762
CZE,,,,-969750.8049446221,-1381514.6332320918,-1857644.101312009,-2082268.063716682,-2002792.4734780476,-2347463.6915828316,-2566992.053503415,-2583607.480174367,-3159096.38449035,-3462079.2716093417,-2984890.389106906,-6797901.887733219,-6476543.330718635,-6260876.177794665,-8407278.56954384,-12579380.547214197,-11280242.838699954,-11444615.832251433,-15499144.714500744,-10633016.117507448,-15019247.58323099,-17287825.77234174,-14871894.627276009,-16237841.132197458,-15386944.065998148,-16212290.622424195,-17482085.036696278
DEU,,-3069741.7094201813,-4527227.0374439545,-5769349.347953491,-7679338.71304223,-11286030.351166455,-13452165.077487271,-14073336.944248497,-15949693.403331531,-16585668.465572562,-17524470.2560164,-19748150.196796477,-20685491.749376558,-24967763.19408841,-39354161.895623185,-39676177.49057826,-40807903.9925528,-44417689.2888872,-63493132.538277954,-62144150.280233756,-59524912.49538402,-63584081.91700893,-61256363.58649983,-74685218.26576245,-87390052.27153608,-73426604.93303058,-70796723.6095254,-75785756.23905851,-68622763.51074606,-77358860.73702118
DNK,,-358297.6124340504,-548859.8275189438,-821033.2204480352,-898867.1846194573,-1516649.2322136888,-1780845.3569347248,-1874955.6300816694,-2073761.9615250865,-2018551.9002053153,-2027153.783174292,-2148625.327386738,-2151170.8747082846,-3254511.305387139,-3926739.4353791643,-4355612.531165465,-4647498.747827238,-5132024.7512649745,-6514595.147736897,-7806330.328718429,-6746371.731482009,-7169149.527409027,-6594208.119712653,-6584538.785653795,-8636869.101386398,-7396696.444461766,-6478844.609374628,-7962941.58258222,-4728172.808608104,-8276120.269757789
DZA,,-7272493.693277633,-8989882.65912139,-6194708.727237899,-3623005.7279784386,-6742968.902802439,-13714436.345565278,-3317906.61314915,-12696137.98233812,-8068900.392349695,-4091642.1409837147,-11747330.276588954,-9149709.637127236,-20245721.58489198,-21714526.92096504,-20396229.047398776,-24657301.073655006,-23938626.54284724,-13163068.526816124,-33092580.58169234,-30329553.307078604,-36698675.937282704,-43110945.736517474,-42762620.35019102,-32775836.535560433,-30058640.94638845,-26633485.11172652,-27455539.99704063,-44659152.3322756,-44347039.01865115
ECU,,-254882.05567912917,-364259.04225793254,-411698.05370036175,-349868.09163227485,-359937.79502013425,-351404.0870717739,-304812.65412952565,-259055.1685304958,-128432.50724393953,-45742.39020000357,-52848.5454828152,-37435.27971100419,-50904.98023096953,-50997.87438329687,-45447.38635948849,-43990.4719517165,-57588.81932498224,-54264.99359157143,-80203.99046871174,-57332.11371311558,-47526.331487049305,-63139.38364297789,-51511.76078020938,-64261.48805300271,-20338.743435026667,-70061.32424151315,-63093.665831489045,-61367.87583318517,-60205.83913813813
EGY,,-6601709.511171018,-9555102.851728506,-13181709.307102872,-14984253.812015623,-23229328.601923924,-27347263.693241965,-32079705.168283533,-37762588.911896355,-43836331.95959996,-49136937.71912421,-44921898.22586498,-45869344.78062838,-39656306.75330126,-42569368.649635635,-55898935.03658676,-61665216.80417858,-60023312.73532346,-71982447.16068554,-80169006.90148447,-70806377.58384885,-83451220.5795035,-90548687.63615698,-90656959.49588567,-86258615.46760966,-91031594.84514274,-71199276.36970335,-37868843.414201014,-39277306.908927545,-44537666.34595674
ERI,,,,-68956.99018933625,-197439.75991610932,-149653.7685192882,-139492.6260649835,-182717.14332124463,-635179.8591261992,-551917.1578242959,-259375.4675870276,-641707.4310333041,-67890.54808263367,-80940.0104348594,-168033.17142996175,-387753.5058079053,-417401.9696778505,-566320.320093523,-119668.904610513,-617395.6230213474,-828518.1068979263,-772823.5435391843,-931094.5752204501,-893882.1109078777,-941479.362874476,-824199.005670223,-865201.1680757133,-921990.6669497484,-963849.5659056159,-1005871.536089437
ESP,,-2564263.9557725308,-3084805.2623207998,-3771366.0555347446,-3874592.8943983587,-3659783.2256500074,-8144945.334346302,-6274077.990082521,-8078383.988357401,-8076107.745530579,-11103978.639992753,-8130863.536011202,-12723065.638330549,-15318601.368071675,-20608817.000803124,-12654693.969031688,-18845979.953149326,-25737862.63001065,-30751510.49448515,-22208244.1188997,-27850067.242625345,-35937000.54772532,-26551699.52325687,-43258717.89348546,-38070470.64055104,-32895756.002836335,-42564280.98966389,-28194108.496817507,-52618603.9794007,-37806721.05634993
EST,,,-99529.81228297453,-38475.372509644796,-26466.125359056034,-48830.407623250714,-71743.9259480709,-78600.24852232702,-92926.77382404686,-74636.24533750209,-118825.66595790852,-114836.55059351346,-147195.78281143014,-187594.3297925728,-303756.0696815145,-440229.3949893792,-399002.8707640016,-735361.3884420171,-833462.4271883152,-842960.0546332751,-818207.6223057124,-1003093.2396969552,-1321214.360749114,-1211025.7736962624,-1930447.3250613327,-2239608.021088485,-1313735.0367197355,-2199777.2934124786,-1519361.1570063874,-2828293.101935524
ETH,,,,-3700937.0896700933,-3795432.285443015,-5475964.189267807,-6690935.804722047,-6845966.199004107,-7626839.61040589,-7681289.506599267,-8836430.069847364,-12182555.13948894,-11882710.035843236,-14433452.918461088,-15548452.350934114,-22557552.918590497,-24687879.40681879,-28532137.136209235,-26780640.8742414,-30867567.674433526,-24912392.09902432,-23037606.17166195,-27433037.173210025,-31477699.053950977,-34005186.21858945,-37382939.294226065,-36220040.813685805,-35327824.565248415,-33495671.80697264,-36249735.29369774
FIN,,-107938.29517538921,-71390.77248202756,-125788.9109024325,-161902.76593971532,-262458.0107602029,-354801.32028364175,-364749.21272996865,-342395.9775778319,-234713.42673480423,-476490.6061922894,-461733.1927213175,-616883.0907807224,-962149.2609706975,-1322715.328917881,-1466214.6182708617,-1360086.7458148561,-1856881.6851269247,-2102346.490588759,-2390503.7085140953,-1980658.705347405,-2972634.7537919385,-2648846.373451192,-2836087.6050903494,-3738747.05059843,-2996281.1792888404,-2603441.795722097,-2711362.650235181,-1855276.2309055272,-3348813.922906667
FRA,,-6342692.530497689,-9501546.637411961,-10623574.380397616,-14157405.545429718,-19205079.155154724,-25634811.033565387,-24351061.19702691,-32007354.116985295,-31823776.548406668,-30831091.42822304,-27780074.123525824,-39409000.90349078,-40256883.56953045,-62557848.79657453,-62941624.971960105,-65540005.848959945,-71157792.28435843,-97018970.68060029,-96280773.15460712,-97362336.99601711,-102259402.25403383,-105434961.46755284,-117464418.05547969,-124736816.96998866,-120314737.62808959,-86291457.60247236,-121792793.79319167,-122069403.52876444,-138503803.32735747
GBR,,-1274695.2167487903,-1848451.9209223108,-1922163.337421159,-2532021.3003887013,-3381466.185582931,-4410766.689257574,-4972922.996088609,-5850348.860595556,-6148104.252405689,-7159564.234792703,-5187803.748923481,-8135513.0767195765,-8626796.17618646,-11374654.018756052,-11721042.206931002,-12685069.608796947,-13276687.143036911,-17010233.122065946,-12539616.67062647,-13994528.954237698,-15807728.627645003,-14357425.419489436,-13501246.64654633,-20870525.449293397,-20174107.882569633,-16361648.946287185,-16861676.521831777,-16702942.076530496,-19986899.259206537
GEO,,,,,-186716.10207880245,-93731.48375290539,-167265.54242682146,-508397.3505126432,-265912.236757519,-318876.07971375313,-143175.89857391414,-513931.9201725315,-345214.56722695794,-434229.7144915958,-434482.53318585263,-507838.43238675885,-204152.83629653737,-251080.06424835688,-322711.9882622715,-205791.52178128745,-184233.82320562136,-413700.6519085358,-373182.0220276141,-392925.03888442303,-228767.02175807123,-494956.6633655672,-501582.91653731687,-383054.34319203545,-434115.2906354988,-383054.375601261
GRC,,-2151953.3845819966,-2212342.9922232814,-2224278.142517637,-3122056.1848657844,-3689839.609407659,-3760292.492255829,-3802623.6620574784,-3933585.525655425,-4072509.664375882,-4369547.123225957,-4422175.1173047945,-4711451.058793864,-5135629.609328313,-7530476.09672848,-7860342.423228317,-7522728.589231485,-8072364.597451789,-11770404.58148098,-12251959.982523987,-11153707.544464903,-12023837.649569085,-11635107.55837508,-12673832.54933139,-11442011.329067472,-9340377.185872858,-10450798.009270877,-9713838.83237801,-8401713.176965214,-7589225.721384575
HND,,,,,,,,,,,,,,,-1750.0873863680465,-1852.5480753141683,-2016.6251642630907,-2191.022509400036,-2371.478531795385,-2556.13559802765,-2749.682662554602,-2993.739773911632,-3084.0539079864534,-3155.8974724930795,-3243.79522810337,-3311.6707714025215,-3367.8415842120926,-3455.386924216582,-3577.845436039007,-3706.4912553852614
HRV,,,-6387160.966446194,-843553.816352843,-532705.1149494752,-859638.3681982481,-822331.4943940315,-938113.2936649323,-1256874.1715339865,-687256.6945755342,-1014356.9207085461,-1037620.4407873778,-1216498.7414378317,-956736.7676314916,-1825337.4403762773,-1502766.9719842921,-2205273.591684459,-2600573.5992132463,-3196497.9283463135,-3466035.445596796,-2577709.209575059,-3237078.782114523,-4002721.5531293596,-4334702.748785291,-2945511.323453646,-3034525.6137969783,-4096395.07061331,-3126698.6424889495,-3780403.434484974,-3991278.0487195775
HUN,,-5716087.05522612,-4625824.19218949,-4628439.226691,-8166115.962648177,-7794236.890225916,-6394227.036371305,-8075730.577950914,-7412936.413961497,-4032305.1792074298,-5253508.229646775,-8000842.127984408,-7308405.34898676,-6879421.947975172,-16848409.273232862,-15667722.003971431,-13769557.13522211,-15428394.3222258,-24881514.36799996,-17672448.86765149,-15507186.496014563,-18681610.27768424,-17261909.07935683,-23152597.26390909,-24406997.43884383,-21654133.429637473,-23671924.258584484,-23824950.440336037,-25356365.386481628,-25176844.548647158
IND,,-62497607.04429487,-82290981.90076455,-95611008.44882196,-121500738.13000968,-155494820.97508663,-157821900.48897257,-197781931.16747233,-188022447.65417656,-216222435.20859453,-245759059.7097353,-234557311.58469373,-259585134.07763124,-266313836.94850513,-325730231.89390695,-343752895.295769,-363902553.6045864,-467598940.48819876,-492592142.55104643,-483732438.12458956,-545314503.8533102,-609721308.9815615,-615710235.2876986,-584356584.196216,-605910970.8519889,-546796279.4109323,-583492258.516697,-672624251.7070503,-678665503.7259071,-713703009.5981946
IRL,,-59783.34278562444,-99405.06839532951,-86627.07116223783,-116365.14338350666,-153163.5041566001,-237478.30225239118,-243454.11055715856,-239733.0258543916,-225877.43309205386,-267520.7139942962,-297777.7712964839,-385549.1843578832,-460876.560696992,-705995.3005565063,-601955.7652709528,-652550.9928973588,-681199.2343296896,-1086011.9565679226,-762277.0124227644,-750028.850899886,-1161415.7497562456,-866526.6062170839,-729159.9629845883,-1010187.6943404857,-862659.3112413106,-839606.7899140103,-945108.1900883174,-736478.0081802177,-894368.7850489945
IRN,,-387919372.31294346,-522810854.44434375,-541441230.0818522,-497767548.97958755,-439124473.44954145,-362448719.7713181,-329618045.7626155,-384009725.20294213,-239494768.46392757,-179830923.7145589,-214794044.13056022,-275608639.40995914,-272986976.49959624,-305072479.1403732,-310939108.4303525,-335297768.3564589,-385197425.01844764,-178722253.6684473,-314082402.17954135,-322490475.5183688,-236369369.15063488,-221790809.3635904,-163410657.00264075,-138956817.7757558,-142213689.82653686,-177165362.1453782,-150257411.7926173,-78367801.90422018,-71018968.73379992
IRQ,,,,,,,,,,,,,,-16364551.111057665,-11932312.647846544,-15474237.951812912,-15561735.764933737,-20730254.50069095,-12477113.224705474,-22486905.14851321,-33547385.120826863,-36392601.073990904,-42145655.03733425,-60732651.75432601,-77383988.6284744,-42493154.1234205,-50774750.38953075,-51678512.61695545,-39598246.86921419,-82467673.12081173
ISR,,-90001.83729839855,-174450.21459696782,-172004.0826004352,-96038.48608997713,-270882.43288720207,-229412.0202043338,-152965.29236131202,-209449.3942784547,-40201.0022422939,-146565.89152494547,-262090.390991489,-284974.96849403874,-335400.2823882135,-309264.4029464951,-434097.63860379683,-307589.2946891395,-433661.23372496886,-253091.9179465562,-431263.24843171344,-407555.5242732623,-571109.0185717375,-880167.2818206334,-795122.5275179027,-663273.2511089916,-793704.2617989036,-818036.8604353684,-392643.6167368495,-401841.6022162356,-508050.424119946
ITA,,-3915477.963274216,-5560701.676626268,-5298139.844520765,-6529719.914139371,-7498869.819214988,-9350353.776314063,-8239636.185187859,-11269863.314548725,-11172583.495261952,-10324122.803229034,-9466226.45986208,-12791864.919843106,-13782789.797153858,-22797625.8493873,-22048285.86176874,-22280740.804554313,-26064769.25938913,-36861870.082774885,-27460310.926968366,-29186260.728777383,-31556957.86414789,-35607042.87434845,-37146397.847824186,-38216224.02480525,-34762435.330206186,-39525619.30152572,-36652095.868272185,-40861985.92902748,-38383774.98043283
JOR,,-47907.47193001171,-86630.30417458386,-85466.85204213091,-86786.5136175179,-130036.50827955575,-110097.77446326996,-123842.10380646167,-120406.62581760884,-34572.88764668885,-105315.662348949,-87735.97176148172,-217225.56759899005,-229650.32090231392,-77064.7270882632,-217236.72182668012,-155999.05233854448,-153331.645781944,-61127.920317387645,-103560.96738377759,-195171.0408832157,-185488.59614677884,-190480.59879283782,-298730.12205561134,-302954.15870274475,-254292.60505092554,-378638.94229286246,-154111.70140604957,-218045.9375640607,-366097.5177915476
JPN,,-60811.347271060724,-94957.13739181217,-120295.4816532063,-144453.73302283275,-148235.53101419174,-162134.1762386025,-200808.42424300945,-208346.53669290105,-273971.7654433726,-378856.28287003905,-375432.0079962554,-470147.1136040005,-572620.5983124102,-669183.7288467153,-722137.1474348105,-706044.7535198479,-814499.0807703089,-962241.0875211832,-866346.8013927651,-833339.2911649498,-1273182.7244644726,-1552579.397235218,-1270456.3946366513,-1296600.869674609,-1407051.0958253427,-1294411.5149151245,-1509378.433124018,-1354860.234086293,-1945856.345583363
KAZ,,,,,-74638196.43873459,-25242261.589271374,-25726593.623011902,-30760962.546997525,-17758495.835369445,-30764605.436518308,-23148504.08327886,-34530323.46231674,-36025137.64064284,-36538303.47967945,-37524633.69682074,-46724209.81407079,-63801307.44773976,-86169639.36066395,-71507375.10874388,-84400964.97013986,-50786284.23644563,-127907143.96082805,-57653992.84364489,-84569890.90235221,-70556956.78297411,-63407121.90763068,-46939925.18398613,-50974052.25317329,-47496629.25025166,-36678669.978870526
