country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,-274505.38751921034,-478815.4039318185,-580960.559942409,-586503.3049812578,-473696.98035876785,-644710.8359117804,-512341.0319968854,-643556.6541830766,-721421.5766157195,-921079.8501138459,-961976.2212940489,-992861.9165727452,-1438338.9997454719,-2881310.965306062,-1954889.9349848074,-1885681.4404905515,-2908526.0413844567,-2810438.335359346,-3294772.1057462245,-2936313.294209681,-2544308.65539323,-2630929.209236763,-2572845.5258496637,-2501619.19416519,-2476654.66241607
ARG,,-772446.631475354,-1263946.736918802,-2368296.0948135783,-2685141.4807654712,-5573869.205590905,-6352299.086728954,-8752669.550031474,-7298123.794929707,-6659110.432097211,-9015049.81450834,-11703016.573625945,-12960809.984842254,-11389078.336303549,-12207931.974475829,-13565138.524159875,-12752961.5312249,-21840908.656569164,-32823368.831698712,-13937612.002820404,-16969004.64005419,-44497861.52286656,-41446635.869472384,-40727097.36070362,-26612027.15343449,,,,,
ARM,,,,,,,,-425597.4788089248,-552510.6339325216,-446480.0471811559,-363015.1885967102,-531731.0486069154,-553894.997862391,-595299.6896344211,-955377.9871522379,-768750.5754955608,-545529.3517650058,-1423543.0281770723,-1729986.3042360444,-1063030.7642941445,-1272180.894856442,-1877837.78340373,-2254077.7137635066,-3035758.9034984335,-2973091.2841657954,-2399815.681949905,-2260145.492670612,-1207145.9501361712,-1327380.864825884,-921797.7258765413
AUS,,-2585373.3150443444,-3453725.8307336215,-5101535.031176497,-7106050.152016977,-6267084.989678166,-15412730.654692193,-19390729.31351237,-13896455.48585766,-16669296.536058893,-19810761.033490643,-20485282.587751105,-28989823.83516018,-15870510.727318045,-40678167.07318499,-34755023.61238888,-43532931.93869421,-26549646.533870634,-57363819.74485819,-64417596.89948368,-63585188.96503753,-112129596.73282643,-114651529.88295141,-118835877.16720271,-130457671.94976461,-101678632.81132434,-91252164.401681,-117187067.28341241,-92494412.30819277,-97631797.97579253
AUT,,-118572.72054630423,-483114.8746881352,-622227.6420524822,-1042734.2320065557,-811818.9994371623,-1035064.2787789511,-1014357.6741449309,-1145823.973157011,-1320419.6532568964,-1208621.7565031564,-1458108.5063589364,-1476395.1648965592,-1785678.4833388554,-2529927.030697298,-2175495.8799224156,-2929485.035502669,-6233933.720442951,-6191500.824445156,-3817971.5929998835,-7846392.0014426615,-8802638.922319412,-8314549.065406535,-8008057.018727925,-8718789.64915667,-7453548.692987375,-7493108.19900994,-7381385.001813633,-8173571.400547608,-8974288.18137919
AZE,,,,,-272215.74817506195,-352589.52849564474,-666431.6267986163,-758489.5000794955,-783170.0504442736,-902111.77382773,-1282797.5185696238,-1658305.576626973,-1867442.6265895984,-2316700.5256192847,-2845977.8293176903,-3058754.296653102,-3496969.8781707245,-4600754.784703047,-9024352.25645291,-11611219.446023239,-7818008.37447082,-12459921.526863122,-14562869.031416588,-17281877.66814754,-13535535.566862505,-12639437.139505249,-9204404.000074947,-8458089.824399147,-9847906.871377196,-11329657.5096854
BDI,,,,,,,,,,,,,,,,,,,,,,,-30652.30478984959,-47691.35508129634,-65282.563152114526,,,,,
BEL,,,,,,,,,,,-1473411.1289141274,-1328580.951546327,-1593901.9353093219,-2298546.8299172306,-3134403.136278794,-2616479.7919195592,-3531193.481430078,-5758549.611911692,-7386378.931843507,-4964458.014340986,-6874687.539065857,-8900920.046282075,-10643309.521154076,-10162406.421609651,-9824872.953173526,-8175022.657067383,-5119635.558068276,-7052482.141201957,-8865518.030434765,-9405423.398043826
BGD,,-790255.2073760504,-1008340.9495145287,-929623.2831894028,-1151276.3409579142,-1583983.4855272223,-1789114.5537416828,-1919095.0890703998,-2605412.2965462254,-2961368.036055609,-2706846.8153628637,-2473984.3897809256,-2487136.013657047,-3642050.2823396996,-3372134.446602717,-2655143.558765992,-1948239.738680265,-2608058.0714491755,-2584933.0412593177,-3228814.863714018,-4236346.261130536,-4264654.9332141755,-4660993.400769139,-6556502.888592656,-6900797.900787173,-7330577.103738743,-7025402.18762728,-7022172.8998081265,-6140456.901258371,-6389122.619644133
BGR,,,,,,,,,-3085128.1701985737,-2854790.4693324436,-3787850.06068438,-6272289.038756297,-5532230.878262255,-4398608.981675388,-11779707.154682595,-7177236.3826722605,-8566274.953838546,-11913746.387763046,-27483204.706140522,-15888662.647812646,-19111169.79082116,-30883425.86260758,-37070189.20594698,-38745567.17946927,-39288738.90107511,-31234441.363268197,-33138109.3992136,-41682015.339825414,-44713762.0385788,-45690928.92638762
BIH,,,,,,,,,-503345.2023252078,-404479.8252795505,-477149.72958627454,-404094.682047848,-494650.8901089406,-398014.5880544786,-975418.0622384165,-697596.7665933168,-744353.973560145,-1092941.9719837715,-1880233.1868218703,-1150414.6336328986,-727409.3608721732,-1527887.8474793562,-1686838.7771692965,-1707345.9289700189,-1232959.4360049346,-1327777.0074369188,-1849010.6402267923,-1850923.7790293482,-1741244.6043649728,-1733289.0240390894
BLR,,,,,-224842.7076729673,-431405.08652877976,-832050.0855919517,-1286255.574600743,-1225200.960435869,-1116770.0339049688,-1540761.6333594744,-1144740.447096808,-1289455.2499062873,-1102837.2002642318,-2009141.4445590065,-2326964.6427333043,-2424384.828156507,-4325195.363748365,-9726558.844452465,-6358981.697640425,-6080112.7133166585,-8378316.662568683,-11843737.43320686,-15003813.40680016,-19138680.723040525,-12581204.636484731,-10421134.254050935,-14165147.861007234,-11006222.209369363,-15211986.777700005
BOL,,-123563.14974597868,-124877.53552166908,-208898.75020292538,-138133.8850062407,-228775.86000858527,-207310.00324389798,-397017.7909177713,-441922.3509667791,-401529.4171899631,-272773.28237393906,-304135.15740057296,-337723.18487753667,-323438.3497580907,-345593.1243458794,-414373.0929694151,-477168.04993066704,-607234.7716424528,-1119583.6396693485,-1073116.2765882125,-1744305.8848603647,-1406463.2269831058,-1176949.628927587,-1792172.4210910262,-2009821.0584925455,-3161237.76958899,-2930087.842126959,-2033701.7960630746,-3556093.487106611,
