country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-738924.5588153963,-627872.069533207,-745034.9883726111,-519323.2540879087,-600101.9458583215,-682011.4373846883,-574031.8970266987,-763996.7295371137,-695662.1507039521,-813421.9147142321,-896551.7149484372,-1123312.6661102069,-1281775.0718106746,-1247817.2626286924,-1570566.5791473982,-2431921.2998556946,-2273063.069764059,-1956468.9969994454,-2125680.86207317,-2151680.318604062,-2280823.057671593,-2293974.8080662256,-1983165.4690775552,-2110153.0396399014,-2302578.8987064515,-2321853.3563736663,-2313578.2464882485
ARG,,-15544692.732367635,-20126101.457843266,-26565227.207996026,-32344696.158393763,-45623238.00839673,-44855782.53130335,-87124256.85215074,-92215948.5926696,-85977419.28526904,-117070427.98067832,-134084349.63652866,-45641283.768708475,-42151367.82384143,-53852445.59699144,-64208762.11196631,-51812786.77291779,-63266862.13173279,-74910033.51088394,-34888829.474503264,-37433296.96516855,-67162840.45957063,-58883755.89265002,-28643033.327965286,-23059890.27704329,-32138486.099962484,-17119345.176594224,-25968427.082302477,-16123473.463357292,-10320202.38029309
ARM,,,,,,,,-188222.81000345355,-275280.58035048423,-254903.12522119237,-232605.29727573556,-337802.1706239881,-421038.6314252186,-346033.24592876463,-548160.7528731623,-612228.5923318052,-411758.3969261223,-933484.6395047128,-992452.8370440156,-781194.9569013253,-749178.1824245602,-975680.10248332,-1040649.8247619383,-1383451.586985862,-1559744.3069939758,-1532460.8718132281,-1545088.2297097098,-811817.7602993693,-902586.7891304363,-569714.4804293456
AUS,,-2953684.57217199,-2902453.7360294037,-4996805.286596483,-7512134.569656031,-4990656.335913451,-11404960.928749401,-17857934.302005682,-13859882.07197122,-17756319.349435065,-20414341.059032522,-17861686.881649543,-22512117.512378786,-12202710.749490933,-38721922.456991635,-36401083.258790426,-44410555.17523199,-22798077.240554824,-30659508.81551105,-47915155.79262756,-61117842.67507582,-91646465.02184027,-106330320.59410901,-80094860.92058408,-87257414.13470457,-71765284.34996998,-69863617.91092326,-107761932.31530091,-72336825.03435814,-59088035.89806899
AUT,,-260164.93504432216,-397179.6134052603,-384106.7337799137,-604008.5587934264,-855236.1460806397,-912390.3408954508,-993797.2611139942,-1098718.6062572696,-1243082.241277153,-1104926.472566471,-1355914.3657948866,-1480811.0939062969,-1607553.5099357564,-2768899.8354905606,-2534481.295202969,-2646571.5694465516,-3109855.847960247,-4303358.069983596,-3917207.7046133336,-3961647.3272146145,-5189352.064828025,-3638966.1507025305,-4980446.29004111,-5926814.914196271,-4984614.353306806,-5957829.0973152155,-4651178.820109549,-4842347.844135134,-5601071.536336102
AZE,,,,,-7713240.4163867505,-1243221.198854231,-1426572.1317016424,-2091094.7205876072,-2168158.153812886,-2410401.7003781013,-3346477.483565008,-4585302.59245039,-5436792.860158326,-5222395.887670748,-5897341.962262638,-6432619.310734363,-7007751.811344569,-7003077.411154487,-9864660.011809956,-13663576.1976216,-8837729.946349572,-11954278.474782139,-14343699.086771576,-15552400.3576045,-12530560.186797127,-11747424.291414881,-8683270.092036927,-8283164.856803408,-9872595.04477188,-10944980.330786686
BDI,,-57437.98579512967,-75735.53581330641,-84807.84314266332,-93199.36556073259,-127829.56028161815,-125787.00187533838,-133767.59436294247,-119442.86947132349,-76878.86795545342,-57345.647355639856,-77746.07070635873,-72450.42950352436,-66188.96912109746,-65371.727075458264,-74408.7859840327,-86986.11906655146,-88590.04309715015,-87624.77535225844,-95326.99304611371,-106690.49806820431,-119807.47419311223,-47567.73537611093,-71351.26943957488,-66250.19285087757,-81024.16500233539,-96787.39743526638,-97950.7344679458,-280467.3376302442,-60867.48483595629
BEL,,,,,,,,,,,-1135357.8154787875,-1047108.1255149182,-1383067.773078112,-1769045.951425098,-2463373.659696028,-2465270.700983482,-2519348.468748165,-2803365.605799181,-3767465.2448504325,-3928128.290056617,-3860862.3643720583,-3931228.63837539,-4188332.732191861,-4498549.038774683,-5245230.816199422,-4671502.584870102,-3388311.96792844,-4412153.429204625,-4711924.902096074,-5346692.935963327
BGD,,-474253.5512708432,-703703.9213123709,-1018466.3408413681,-1205286.9469496699,-1596255.868436962,-1987582.7197472628,-2310706.96327107,-3029094.963075472,-3424183.85763881,-3444106.66838962,-3214521.321723966,-3247517.9128892263,-3300162.5182528226,-2907167.7626948915,-2262207.0581259085,-1712332.069007258,-1844118.2433290563,-2267831.1687074425,-2411217.307276102,-2699583.576806526,-2903344.0695228474,-2851419.6386897983,-3979624.618933302,-4379248.10125319,-4743211.501726675,-4928903.453810064,-4907681.545384042,-4145614.8048434174,-3955613.928696651
BGR,,,,,,,,,-4335356.530404684,-3832991.938395798,-3862437.7838489227,-6047149.229890786,-7022957.152615629,-4455010.216031889,-10503823.818393115,-9965572.486180384,-10284125.131012557,-8723866.52778297,-19331147.093578964,-16789370.402524333,-17511638.882524975,-21264261.660334125,-20795614.0410815,-28047655.640598502,-28692491.680435516,-23612444.340150572,-27917008.576501153,-32253969.450880308,-34315028.231801406,-36066424.13367888
