country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-0.0036910938471579452,-0.003064408369583553,-0.0033925766953762995,-0.0022111718929641363,-0.0028063518988408567,-0.0031554675361097698,-0.0023543650552152176,-0.002861941262308248,-0.002395090425499894,-0.002709766942030223,-0.0028823010188395266,-0.0033925057285255204,-0.0036859956961017657,-0.0033839700307625445,-0.003993711793351235,-0.0057051695374958356,-0.005131448784873944,-0.004279813303264049,-0.004494333569672452,-0.0044831027006441305,-0.004735253782569572,-0.004665411767593364,-0.003942306926842991,-0.004123850245951625,-0.004337708745219212,-0.00418227272866249,-0.004109782788045615
ARG,,-0.0018893798835384796,-0.0019822321181626077,-0.002177440193189396,-0.002678978580021302,-0.0041504726061675195,-0.003953739583857914,-0.006913482088792182,-0.007684312840195061,-0.007419031083677139,-0.00990962690530564,-0.011815769827583408,-0.00457870834275134,-0.003972960291551886,-0.00461158883506596,-0.0050840154972266426,-0.0037935298090917588,-0.004220074438397924,-0.004755822445059349,-0.002337891445653624,-0.0022896949818161727,-0.003832408498922874,-0.0033896520793606872,-0.001621145615091531,-0.0013328085014294873,-0.0018047666564544697,-0.000999007012030456,-0.0014734102654093237,-0.0009328995312871893,-0.000613542894493232
ARM,,,,,,,,-0.0015516212625625323,-0.0022916085740867847,-0.0020543778408609213,-0.0017248345094796568,-0.002273250395277343,-0.0025339519720385915,-0.0018631066869622122,-0.002644755197433504,-0.002606191897382738,-0.0015455681724907046,-0.0030590794469411427,-0.0030128575763651456,-0.0027415302096187866,-0.0025835485167836833,-0.003178763303482342,-0.0031566686518280365,-0.004085908523453719,-0.004425996781701673,-0.004204297481423361,-0.004297104262387781,-0.0020987308476328385,-0.002202379766670118,-0.001299482182632067
AUS,,-0.00017212408420353415,-0.00014732082843081255,-0.00021957796600970977,-0.0003392575067363382,-0.00023135307969475883,-0.0005202616199368318,-0.0007629681004006709,-0.0006165244085990547,-0.0007522217812476897,-0.0008098270169982191,-0.0006909785833333919,-0.0008493009833273342,-0.00045645275421319893,-0.0013763191032151287,-0.0012619806490652735,-0.0014966113645212347,-0.0007350695722829588,-0.0009449706639326742,-0.0014389901650183562,-0.0018045276786826064,-0.0026124548901069427,-0.0029116391834756567,-0.0021516166696008746,-0.0022740319865788387,-0.0018263513402794816,-0.0017599496120742314,-0.0026527024033839637,-0.0017184712915012683,-0.0013830016307421614
AUT,,-2.953242319210506e-05,-3.916367171839898e-05,-3.431635868283291e-05,-5.599261313919457e-05,-8.192524667950424e-05,-8.72681585394605e-05,-9.08095348980094e-05,-0.00010494341679876663,-0.00011444158977747245,-9.609556634309557e-05,-0.00011577575869110973,-0.00012609855666598102,-0.00013798418998925343,-0.00022949229239418274,-0.00020629807921714434,-0.00020823440942809672,-0.00023410089417266579,-0.000316294728189406,-0.0002966287729630853,-0.0002959529566210649,-0.0003727083869137063,-0.00025929568128215823,-0.0003578707044815989,-0.00042086411388221216,-0.0003487165614819856,-0.00041457456328238023,-0.00031631588851707335,-0.00031917331732117277,-0.0003649778263671294
AZE,,,,,-0.015461019817621284,-0.0029810876885069657,-0.0034421500454840026,-0.004668477891536573,-0.00472743994525912,-0.004896679646685851,-0.005979920212173222,-0.007420193839101332,-0.008127569370728496,-0.007209346269766654,-0.007386855899558076,-0.006325369840618595,-0.0051165717059584,-0.004065611610202626,-0.005129391702848286,-0.00646719445160518,-0.004001650458095642,-0.0053618151742993525,-0.0062949752838734096,-0.006492227949270117,-0.005077072264785756,-0.004705352209237304,-0.003644894005045708,-0.0034729918674122496,-0.004057624972858831,-0.004417475604619882
BDI,,-0.0006264554192401827,-0.0007316213905926337,-0.0007981673002493382,-0.0009854086386947359,-0.0015757334432536286,-0.0017304208609767704,-0.0018267579474513882,-0.0016996125593494046,-0.0011076447578737116,-0.0008126251273805072,-0.0010755948445960587,-0.0009739819764770943,-0.000921308774980638,-0.0008605538984137145,-0.0009774339422471067,-0.0010835846762402897,-0.0010601356402497812,-0.0009911883226435844,-0.0010323215325936778,-0.0011052860143315306,-0.0011809158573264239,-0.0004485040577145846,-0.0006457700850652429,-0.0005730391802303054,-0.0007283198411289767,-0.0008905477548067658,-0.0008969555941688203,-0.0025116707048515826,-0.0005391919623863524
BEL,,,,,,,,,,,-0.00010911891723239123,-9.897478909535024e-05,-0.00013021222253291093,-0.0001683015546711257,-0.00022397054049763245,-0.0002202217132471142,-0.00021904385483572132,-0.00023328663677389653,-0.00030891608756701067,-0.0003258534117009513,-0.0003131538040815258,-0.00030916745523757225,-0.00032791867884476676,-0.0003531858167138843,-0.00040257526338508557,-0.000352402504049925,-0.00025671008053820474,-0.0003290660872292963,-0.0003423181395664976,-0.0003814179450253027
BGD,,-0.000350014493279186,-0.00043529032049973327,-0.0005466020604483005,-0.000662771464379527,-0.0008874214173278601,-0.0010799141516929834,-0.0011723577673975849,-0.001584600659854267,-0.0017126629407685908,-0.001595118571925669,-0.0014103487261437546,-0.0013904465464921539,-0.0013772447520485713,-0.001142563179320687,-0.0008395139426923151,-0.0005952155303398018,-0.0005949663874211166,-0.0006841526910776533,-0.0006883133391464687,-0.0007338878674407359,-0.0007340915903701514,-0.0006762852920275162,-0.0008965275223278685,-0.0009269221745826081,-0.0009411758800807053,-0.000928604964392468,-0.0008678093639739009,-0.0006790165789136195,-0.0006048063219078202
BGR,,,,,,,,,-0.0028653126169157998,-0.002767155065850984,-0.002605516169567465,-0.00391034668085719,-0.004336363330871458,-0.0026600165150299443,-0.00583724013221376,-0.00519658017635124,-0.005014489876433105,-0.003964093498357164,-0.008210954173213747,-0.00734077863796479,-0.007576626825377911,-0.008936302669714983,-0.00867161438675283,-0.011835471591081474,-0.011961906560131236,-0.009515022546424392,-0.011088365110996203,-0.012479765617119665,-0.012882271517737374,-0.013131492560245555
