country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,0.002237430593666957,0.00270745629029813,0.0029040206069542336,0.0021826483747558953,0.001284448836575692,0.0013600692163424084,0.0008387511597305041,0.000850764184080889,0.0007609428598398117,0.0007730950583960622,0.0006390655325667177,0.0005149773299594607,0.0005736372310858354,0.0008526245174117292,0.00043288468164427257,0.0002938488430659095,0.0002911229210636534,0.00014648691105738205,3.431878812791072e-05,-7.985721961196465e-05,-0.00015153960916671058,-0.00022948631359056526,-0.0002850372242105981,-0.0003230443960297604,-0.00036596592116437714
ARG,,4.224347936872355e-05,2.9357727089273938e-05,2.3665748861021355e-05,9.050963382328518e-06,-3.9417819277378905e-06,-2.2392948313754504e-05,-4.5550925612959674e-05,-4.680758530402824e-05,-5.18770825819401e-05,-7.868936788125824e-05,-0.00011539343046177131,-0.00015209508688203302,-0.0001287645624888474,-0.00013166581778858896,-0.0001389130575920994,-0.00012450270334063413,-0.0002009438172736345,-0.00029781208648698863,-0.00013811042461593873,-0.00015646914830173258,-0.00039628720231322113,-0.00038134762662489274,-0.0003731387329011835,-0.0002549781965041522,,,,,
ARM,,,,,,,,-0.006363307273284093,-0.0072645712537508424,-0.005377806594478421,-0.003914319560862967,-0.004974007156167443,-0.004360301669212767,-0.003917999170229785,-0.005430682625094304,-0.003666186935062844,-0.0021993357773495525,-0.004837501093667181,-0.005281172882494343,-0.003640812359847419,-0.004108773638570038,-0.005588790405053535,-0.0060479304155549906,-0.007631835699780199,-0.006995539224641361,-0.005313934841924406,-0.004859305989844036,-0.002351416902573156,-0.0023942282640724856,-0.0015074068885910185
AUS,,-0.00014540467070875085,-0.00015380400653845715,-0.00018452813535338897,-0.0002167718245530269,-0.00016562527201104013,-0.0003593130492350097,-0.0004044985945695512,-0.00026043104958712655,-0.00028176771112597363,-0.0003064272008272971,-0.00029690616266327466,-0.00038776904783845736,-0.0001980625610823903,-0.0004698953140077096,-0.0003764658134806316,-0.0004452407166361862,-0.0002546034030670031,-0.000518504871855752,-0.0005608173158722112,-0.0005318574997455499,-0.0009012850526340249,-0.000874523700545123,-0.0008721257256924925,-0.0009232146342914204,-0.000697304185610443,-0.0006041274531474387,-0.0007533054780520024,-0.0005732740613689674,-0.0005884581563253793
AUT,,0.00024073252350435462,0.00022046293784154066,0.0001525268257832647,0.00016557802043348077,9.089262647595874e-05,8.5989376916372e-05,6.47385850500103e-05,5.6835722442644296e-05,5.13704409790972e-05,3.741030339240981e-05,3.682629747484031e-05,3.0398545912983373e-05,2.984017641980314e-05,3.3510458811432805e-05,2.256100396559961e-05,2.2986736711623387e-05,3.544509374195294e-05,2.445676958076129e-05,9.743652771640108e-06,8.687419763593937e-06,-1.5974764084989743e-06,-1.0981765045893192e-05,-1.877558871086247e-05,-2.8485427907530226e-05,-3.0260066202268624e-05,-3.548639464662461e-05,-3.934004809291337e-05,-4.7363274969070645e-05,-5.6150802590154455e-05
AZE,,,,,7.936744375829115e-05,4.2937912839775265e-05,-1.8289877610532685e-05,-9.729570963679487e-05,-0.0001459209548466898,-0.0002029946609801609,-0.0003053739311108127,-0.00040207352134523063,-0.00045008683672301286,-0.0005417635167853185,-0.0006434439684336947,-0.0005655891312027312,-0.000500440375404903,-0.0005459597486558411,-0.0009999209203467143,-0.0012177316984373849,-0.0008046862685596363,-0.0013188413490072214,-0.0015502462600807604,-0.0017804835005424567,-0.0013889890672065881,-0.0013098568530787837,-0.00100438273851351,-0.0009390942736802531,-0.0010936921389180193,-0.0012469572736946643
BDI,,,,,,,,,,,,,,,,,,,,,,,0.0005587992179563667,0.0007493604987462038,0.0008952617819525623,,,,,
BEL,,,,,,,,,,,-4.327875341423786e-05,-3.722406474548079e-05,-4.2476695822024265e-05,-5.876446193904829e-05,-7.519081039327788e-05,-5.975050447016394e-05,-7.680679256550378e-05,-0.00011831497923971139,-0.00014844308834207267,-0.00010042902969503575,-0.00013376294984610877,-0.0001681541033137475,-0.00019892055098655667,-0.00018784823332221724,-0.00017737751215348986,-0.00014465529603306697,-8.91661362042437e-05,-0.0001206714599278926,-0.0001481956412107163,-0.0001529863673807266
BGD,,-0.0011606803567726879,-0.0012843460833831676,-0.0010422990504199527,-0.0011530438439241058,-0.0014078732472900383,-0.0014250218550293456,-0.0013769291236974657,-0.0016807791181745874,-0.0017308985034248776,-0.001427570200744298,-0.0011831078540108177,-0.001093495010929854,-0.0014602399194857014,-0.0012287220451301238,-0.0008696828748445536,-0.0005737348434933072,-0.0006890719243689169,-0.0006200222994963345,-0.0007120331448330549,-0.0008547089644112995,-0.000781484107388269,-0.0007766399326183133,-0.0009996384517935639,-0.0009640136325026146,-0.0009354285280613261,-0.0008160189270878656,-0.0007468973252022596,-0.0005941346138797816,-0.0005602269270050767
BGR,,,,,,,,,-0.002702892658498512,-0.0025606303499432002,-0.0030585409517581664,-0.004616176081835763,-0.003652348857945849,-0.0026257993224824837,-0.006299624208192538,-0.0034296845002812267,-0.0036763357471185443,-0.004610556744858304,-0.009669034147639128,-0.005606856360322144,-0.006442799085800753,-0.009913694676539813,-0.011508041255454547,-0.011803635461574292,-0.011599088618778706,-0.008739174962257335,-0.008836697139929328,-0.010637007037400224,-0.010938653882541966,-0.010606150852880596
BIH,,,,,,,,,-0.0007548152691563779,-0.0005263927748315475,-0.0005618924019318015,-0.0004454332651866024,-0.0004995434834139263,-0.0003732092437084164,-0.0008320038701042152,-0.0005553615582794451,-0.0005467572615892317,-0.0007396966827956676,-0.001181105108933487,-0.0007328847118660024,-0.00045223985498013617,-0.0009279916731191902,-0.0010209104081641183,-0.0009986873371888652,-0.0007067402524374435,-0.0007238730389738611,-0.0009702965469226645,-0.0009359019987507889,-0.0008424774076773878,-0.0008111300867785299
