country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-0.0014054160954704627,-0.001079881867127342,-0.0011192142501780123,-0.0007112662142800147,-0.0009195281345780922,-0.0009569524627181343,-0.0007110429482562724,-0.0008784540794011296,-0.0007331252212138363,-0.0008137590789217786,-0.000843298305005393,-0.0009941585070430338,-0.0010678019431198786,-0.0009764989944815385,-0.001155307401025163,-0.0016615149460917058,-0.0015063367087282669,-0.0012528580317790982,-0.0013316627514906266,-0.001334453450315254,-0.0014053405961878286,-0.001395262329108324,-0.001185094579907207,-0.0012267522602989155,-0.0012966476790468573,-0.0012606326273219288,-0.0012358451138800726
ARG,,-0.0004095938422058863,-0.0004741536627410755,-0.0005665769569708627,-0.0006404292426484528,-0.0009224992628356352,-0.0008564466648219988,-0.001535587617175587,-0.001561365203413518,-0.0015029450699683468,-0.0020492382539847647,-0.002438508280444159,-0.000924908956928356,-0.0007790817093241483,-0.0009067477364904655,-0.0009869649937947597,-0.0007335755443628098,-0.0008189164484801924,-0.0009306769297271684,-0.0004620214173485088,-0.0004512358144512182,-0.0007664109109842538,-0.000681818441125104,-0.0003250680753014132,-0.00026976458842643754,-0.0003676258117253287,-0.00020104934567317625,-0.0002982990835782275,-0.00019077781362666397,-0.00012514376166554493
ARM,,,,,,,,-0.00036804537153511024,-0.0005033685709435774,-0.0004521115161279939,-0.000388353548953248,-0.0005124456708163194,-0.0005614402122656576,-0.00040251858630551785,-0.0005740052829582375,-0.0005600027672306581,-0.0003314584202769758,-0.0006591878295709062,-0.0006552427425281181,-0.0006024719226310753,-0.0005669722262562777,-0.0007079278208707469,-0.0007075294192483868,-0.0009140024754028697,-0.0009995489406851884,-0.0009558333675953745,-0.0009667732250239594,-0.0004751141191986347,-0.0005035324875608681,-0.000296560733024114
AUS,,-3.462313058595086e-05,-3.3078231090946215e-05,-5.394467048712288e-05,-7.691685798503406e-05,-4.892754500474496e-05,-0.00010747401725063517,-0.00016183999626777018,-0.00011984616078715851,-0.00014593182503198335,-0.00016047973905719293,-0.00013674371756737403,-0.00016462617879194142,-8.594911651503303e-05,-0.00025996576496456036,-0.00023545853064051945,-0.0002782559134540612,-0.00013718798701257355,-0.0001778973212734425,-0.0002736332882811226,-0.00034228256969568555,-0.0005029215752199631,-0.000563890750952063,-0.00041548818028761827,-0.0004433140932340925,-0.0003583635807634332,-0.0003412663891482076,-0.0005175171813657436,-0.0003386673088983535,-0.0002718873857508494
AUT,,-7.150845705226411e-06,-1.0696464542375262e-05,-1.0268007914637162e-05,-1.5663014334447558e-05,-2.1595478329386156e-05,-2.2583847059872755e-05,-2.4129808860734002e-05,-2.5791206961601144e-05,-2.8114138873291737e-05,-2.4098561258222304e-05,-2.9025418913605018e-05,-3.1043842559049224e-05,-3.310234162330011e-05,-5.524825510487576e-05,-4.913583224319188e-05,-4.9463377755690725e-05,-5.582935325065903e-05,-7.60675975865995e-05,-7.202748068403342e-05,-7.172593384507962e-05,-9.159440136322796e-05,-6.409493368550365e-05,-8.825286853595536e-05,-0.00010472121839633857,-8.730847638939726e-05,-0.0001027038457382571,-7.881668150853251e-05,-8.028319251327972e-05,-9.16170869590293e-05
AZE,,,,,-0.00547973095698352,-0.0010000652964478529,-0.0011343587071702458,-0.0015741970665418391,-0.0014844518767022754,-0.0015361743012377795,-0.0019105097056269554,-0.0023691461355800974,-0.0025517648185303717,-0.0022102651489171853,-0.002271317519670319,-0.0019256371033933176,-0.0015534808804664364,-0.0012386174789408432,-0.0015743914967915138,-0.002002079397408849,-0.001236444951704428,-0.001677517157781094,-0.0019795951459628328,-0.0020369657080823926,-0.0016057283370892563,-0.001496355197458308,-0.0011479029503890276,-0.001099389705426683,-0.0012953546649951654,-0.0014074740093153971
BDI,,-0.0001294723878174838,-0.00018073983610020894,-0.0002224395355674162,-0.0002572782222306842,-0.0003881711858263298,-0.000420057796542825,-0.00045815596715363086,-0.00039296283785285053,-0.0002566187020478856,-0.00019285384605689356,-0.0002555821401317879,-0.0002272739815184457,-0.00020936768526466198,-0.00019649958665255538,-0.00022086112962037984,-0.0002443492572670817,-0.0002402574733740998,-0.0002268035168086292,-0.00023879254917978337,-0.00025529247186876575,-0.0002769723360200212,-0.00010589398765029648,-0.00015214681495855897,-0.00013635243231362157,-0.00017450147464760182,-0.00021103884947037228,-0.0002139235136161523,-0.0006052097578204687,-0.00012966652152620456
BEL,,,,,,,,,,,-2.073893882450515e-05,-1.8815596464113905e-05,-2.4287655132742102e-05,-3.054714196301798e-05,-4.081866837891496e-05,-3.9691289221642394e-05,-3.9376709878889074e-05,-4.21272481380823e-05,-5.6302304748270134e-05,-6.0018097988029746e-05,-5.757291119410299e-05,-5.770645541897042e-05,-6.160129854841187e-05,-6.619061642818537e-05,-7.618749360018633e-05,-6.714702845808916e-05,-4.836627782295479e-05,-6.239273585847227e-05,-6.557453913344212e-05,-7.291126801432752e-05
BGD,,-6.050590536449423e-05,-8.456438215101289e-05,-0.00011624385876768064,-0.0001313126581552076,-0.00016522580496525373,-0.00019711255162643888,-0.0002196964189878234,-0.00027397305891493386,-0.00029584915122618256,-0.0002813068446550833,-0.00024856565826350145,-0.00024046919245013663,-0.0002319005929615786,-0.0001930293504430527,-0.00014025540955420757,-9.914639531843019e-05,-9.948988267776959e-05,-0.00011537004366858358,-0.00011719955042101283,-0.00012469350745225282,-0.0001264982119909993,-0.00011721559644672816,-0.00015498985415545412,-0.0001616984102383126,-0.00016520820957047585,-0.00016122027618255386,-0.00015154140819592093,-0.00011971201595329265,-0.00010639224158881615
BGR,,,,,,,,,-0.0009362622222303458,-0.0009032301084871721,-0.0008659800111817493,-0.0012987138216118926,-0.00141615059910151,-0.0008482580641457359,-0.0018667727007803184,-0.0016453425006816582,-0.0015833757776207709,-0.001255921933486217,-0.0026207364127049564,-0.002363014381851487,-0.0024341997755517784,-0.0029069188999447746,-0.002835206421225208,-0.003860714886796088,-0.003933089277411001,-0.003145666236840356,-0.0036303327414867787,-0.004106768260876461,-0.0042750451052463966,-0.004349165217244752
