country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,-0.004197403766283918,-0.006307585693490897,-0.00823113529161743,-0.007412192650306523,-0.005181717984761795,-0.006482470870239107,-0.004688601804600298,-0.005567048248011345,-0.0058522372380166955,-0.007021487868636341,-0.006894860677777094,-0.006670571055561516,-0.009050872997772037,-0.01674875173325488,-0.010907112755842132,-0.010068097661799754,-0.015027019187888502,-0.014208496851083588,-0.016386108551515798,-0.014261343310883589,-0.012021015932200481,-0.011968782362792767,-0.011220918976294927,-0.010442547612697573,-0.010083428583080617
ARG,,-0.00016696165137835666,-0.0002386753945471416,-0.00040145006239708595,-0.00042439988356816373,-0.000898151241021428,-0.0009637256520488468,-0.0012227370023505956,-0.0009798732364344727,-0.0009239246172944496,-0.0012609149392412565,-0.0017113206060631015,-0.0021261342105545495,-0.00171578645997447,-0.001686921441822929,-0.0017212334549877352,-0.001496314383149687,-0.0023466804919120847,-0.0033820652557433584,-0.001520553924944924,-0.0016746406119340406,-0.004124645338608522,-0.0038636354832832366,-0.0036932501159468705,-0.0024660405084072135,,,,,
ARM,,,,,,,,-0.00421659420265592,-0.005391972303828896,-0.004420478266758809,-0.0035393504562298644,-0.004899675579847176,-0.0046508233066406834,-0.00450912915887126,-0.006718354845589039,-0.004853914530571161,-0.003103463507195183,-0.007243423539901554,-0.008355140826983876,-0.006040524112130987,-0.007142754293459761,-0.01015182843019294,-0.01144258816364442,-0.01501269996583414,-0.01426752837887223,-0.01121026551745318,-0.010578215478089166,-0.005273983097383284,-0.005530627024129585,-0.0035780623224670235
AUS,,-0.00013602709749524825,-0.0002042442195188154,-0.00030939473054413517,-0.0004333360264292181,-0.00037910735163838866,-0.0009181752179130805,-0.001130991423645384,-0.0007859973124390514,-0.0009085131871294869,-0.0010509249040555927,-0.0010744900915883582,-0.0014735097813647158,-0.0007876510274929025,-0.0019491152780013075,-0.0016224152335155642,-0.0019854134850714154,-0.0011697156083422485,-0.0024438317274383123,-0.00269158885207582,-0.0025968987546393465,-0.004464406769227181,-0.004382895168656238,-0.004420218534231504,-0.004720793365106375,-0.0035935621168181006,-0.0031324223740492713,-0.003925555346610909,-0.0030065440606174302,-0.0030994584209866377
AUT,,-0.00013697616428967352,-0.0002022207243932723,-0.00019832071810318134,-0.0002861939062886048,-0.00020107194326813506,-0.0002383086714191335,-0.0002205733882126304,-0.00023480775639737338,-0.0002556781589315313,-0.00022350914710595466,-0.00026280328741026604,-0.00025946392913894724,-0.00030738536818426506,-0.00042135479667142266,-0.00035154093968172036,-0.000455222721839171,-0.0009268085146610877,-0.0009010849902794903,-0.000571708563673659,-0.0011451679911362467,-0.001238289478315398,-0.001153147574090639,-0.0011058923903355098,-0.0011872363896470815,-0.0009957799971832243,-0.000974721003165247,-0.0009337862032244007,-0.0010039203689876123,-0.001077688316384807
AZE,,,,,-0.001861808567806053,-0.0027058700926702924,-0.005013941757768843,-0.005368279249686532,-0.005029189871114992,-0.0053854325872028505,-0.006894688801341649,-0.008106489832973855,-0.00834006517875987,-0.009386138026380605,-0.010557671794898736,-0.00886642098139121,-0.007532613203770328,-0.007917292036154275,-0.013997750031141488,-0.016421820751402152,-0.010490401254480785,-0.016637906192902174,-0.018955327304079433,-0.021189576940426356,-0.016099259784355266,-0.014824963688512112,-0.01110924585870415,-0.01016052554245215,-0.011627462208552245,-0.013015820030571959
BDI,,,,,,,,,,,,,,,,,,,,,,,-0.0006881278673740327,-0.000984283079820186,-0.0012518412109370953,,,,,
BEL,,,,,,,,,,,-0.00018073079781425242,-0.00016224578876142506,-0.00019245375721661724,-0.00027598627557432284,-0.00036502060482968896,-0.00029880375563650605,-0.0003941870437982378,-0.0006207114578478824,-0.0007929197448140997,-0.0005422922646765433,-0.0007296793237815216,-0.0009242716914112741,-0.001099182074979395,-0.0010435233541649562,-0.000988540621651884,-0.0008082901135406871,-0.0004988309435163197,-0.0006753184795385014,-0.0008311692722488925,-0.0008582393825042956
BGD,,-0.0002114863302355747,-0.0003426380154887397,-0.0003651269426924684,-0.0005010810276458519,-0.0007301351705475659,-0.0008603136245855241,-0.0009471557343037188,-0.001296504648834766,-0.0014800341519671972,-0.0013438394146532797,-0.0012141123525379299,-0.0012157852029774621,-0.0017527002555246466,-0.0015860726874672036,-0.001201947709630145,-0.0008454457238041564,-0.0010778732120943803,-0.0010250946036488278,-0.001234976734516041,-0.0015538159680357304,-0.0014849736386625342,-0.0015376259440505074,-0.002058351012389656,-0.002058683879319179,-0.002066879579835023,-0.0018610914320732932,-0.001755589847482296,-0.0014386611505289835,-0.00139431496514225
BGR,,,,,,,,,-0.004112811258091901,-0.004266778190818966,-0.005545315581793572,-0.00902026840475864,-0.007645735702815233,-0.005866512833529685,-0.014962754983337273,-0.008621347145624805,-0.00973773313372748,-0.012809034661422629,-0.028047594184534425,-0.016851392241607636,-0.020040485380412858,-0.03181779244969405,-0.037988703914084605,-0.040018692076788896,-0.04027615596923662,-0.03101857343009012,-0.03198858296408874,-0.0392131076092733,-0.04107759701489688,-0.040477916930314876
