country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-0.010854325821636004,-0.008571884424881854,-0.009007303607074073,-0.00577115554057679,-0.007503343234992819,-0.007860641455260034,-0.0058748827206943485,-0.007336136298617251,-0.006180969008756901,-0.006926144519046217,-0.007244272589165326,-0.008616386770302785,-0.009325311938238011,-0.008574445774713666,-0.010174797665709185,-0.014636954783298814,-0.013194316523452683,-0.010914989001571087,-0.011519595049737914,-0.011448357841799605,-0.011972663888582313,-0.01178923172847522,-0.009935914769735484,-0.0101986101704814,-0.010686193514701936,-0.010328391153984113,-0.010050122813426404
ARG,,-0.002782344928754931,-0.0033539984863101974,-0.004096193347925228,-0.004732449998943427,-0.006884532654591067,-0.006425446376203622,-0.011560924229554879,-0.011813309710179165,-0.011422330956185734,-0.015724065109861556,-0.018872331504424845,-0.007220600212301367,-0.006134344387632802,-0.007198694856714166,-0.007890918309897682,-0.005894002808520789,-0.006596258951433637,-0.007495343423441996,-0.0036983532358969714,-0.003591299969473578,-0.006054626371130906,-0.005340220767839099,-0.002527631719536831,-0.002079856394070249,-0.0028117589176616794,-0.0015244387104579597,-0.002241752368201308,-0.0014250338302999187,-0.0009276685795951505
ARM,,,,,,,,-0.00346031961313598,-0.004726042057575259,-0.004242341924488063,-0.0036645901462858156,-0.004861505772488794,-0.005358224353007293,-0.003865318486898773,-0.005546263322344841,-0.00543934867001927,-0.003230133535415995,-0.006430724370451087,-0.0063828366496237006,-0.005826029625100119,-0.005445288274086567,-0.0067419869626117925,-0.006674448768944881,-0.008553205874071027,-0.009268039776837782,-0.00878665894321073,-0.008805669261936147,-0.00428695015185688,-0.004514021761083583,-0.0026373765079623964
AUS,,-0.00025460571371773165,-0.0002507657794261954,-0.0004157329617309139,-0.0006039025341537271,-0.00038705885493256286,-0.0008532297488959997,-0.0012876574875095013,-0.0009573374754088135,-0.0011700354381554098,-0.0012982875669234396,-0.0011152629893652292,-0.0013538415241112823,-0.0007126417769358123,-0.0021726988389619744,-0.0019812767935505427,-0.0023524275478669413,-0.001162499930082888,-0.0015069613661797571,-0.0023034638587855543,-0.0028644054387267325,-0.0041770487564161095,-0.004642781630464612,-0.0033958607112535345,-0.0035923242732171915,-0.0028805951401865895,-0.0027193306574285242,-0.004086962683259594,-0.0026582595242046537,-0.0021178129719022706
AUT,,-5.833524778989352e-05,-8.779792646058655e-05,-8.461367453410266e-05,-0.0001305199837814856,-0.0001803722942244277,-0.00018856950367275596,-0.00020134529230911546,-0.0002156040918517225,-0.00023549447449023784,-0.00020341169970396097,-0.00024672850517453847,-0.0002658462233283727,-0.0002855897604982331,-0.00048014288645902855,-0.00042968564996000554,-0.0004343693767852944,-0.0004911901819484175,-0.0006687592937135369,-0.0006290547536445245,-0.0006225338447447094,-0.0007887673697787356,-0.0005470245060101689,-0.000747529614884835,-0.0008792783222957625,-0.0007270692546292562,-0.0008477319655222434,-0.000644685753037481,-0.0006526318052847654,-0.0007390325544233348
AZE,,,,,-0.04711086860908252,-0.00862998607926654,-0.009795586360312867,-0.013594231526364403,-0.012848968559046,-0.013327967177264168,-0.016707061669516708,-0.020867221400441685,-0.022644795315640124,-0.019761614472005834,-0.020456357070260788,-0.01745084003158766,-0.01413680602550108,-0.011291891081796644,-0.01434139606275442,-0.01811541154737116,-0.011117233967130477,-0.01496358981448721,-0.017498386774458752,-0.01786752553312364,-0.013959990697245161,-0.012900669536798113,-0.009807773362778882,-0.009306944662205921,-0.010896396948822513,-0.011746372544077515
BDI,,-0.001188501270948451,-0.0015406414372834817,-0.0018311036185847387,-0.002093667937563182,-0.0031171603026991924,-0.0033339478598227858,-0.0036032884713782043,-0.003076337996092695,-0.002002554241220189,-0.001510185579453739,-0.0020085367663299084,-0.0017939881602307493,-0.0016605558802041428,-0.0015661766242504407,-0.0017675501045158514,-0.001959921193241681,-0.0019272599482156015,-0.001815021172364157,-0.0018954976248762932,-0.0020110592844135695,-0.0021619383363037418,-0.0008181867603473435,-0.0011654042711183015,-0.0010342309749139431,-0.0013115005630362983,-0.0015707214890302889,-0.0015764810725902721,-0.004429069835227131,-0.0009409299084363694
BEL,,,,,,,,,,,-0.00018357022109638545,-0.000167620019261319,-0.00021786295534764367,-0.000275930471253503,-0.00037126325279624844,-0.00036313333416509454,-0.00036165738239942916,-0.00038753584219787193,-0.0005174282524895153,-0.0005478131750210195,-0.000522128887626968,-0.0005191553800090385,-0.0005491535989892027,-0.0005855335764743364,-0.0006679929343691208,-0.0005838339761675451,-0.0004167820824282169,-0.0005327375434660388,-0.0005564000323841931,-0.0006138354213306998
BGD,,-0.0006690747724100875,-0.0009456278040402543,-0.0013082312717273123,-0.0014964188786416297,-0.001888959962581878,-0.002254187856856938,-0.0025117922084814358,-0.003138830612457549,-0.003396721665554784,-0.0032547238958320545,-0.00289617041757762,-0.0028224787763950674,-0.0027419528524273065,-0.002298759221668934,-0.0016804439563077624,-0.0011926978740067862,-0.0011988503290125277,-0.0013889270035276058,-0.0014013845071094583,-0.0014814482004760095,-0.001490840960310013,-0.0013688133760756216,-0.0017958936340451948,-0.0018568479827337683,-0.0018811731324091313,-0.0018191471066731212,-0.0016940780835075207,-0.0013296631212299896,-0.0011723233283132753
BGR,,,,,,,,,-0.007533661369836859,-0.007287673356239067,-0.007044610462672875,-0.010643703085060971,-0.011695970222329655,-0.007059717274072952,-0.015652950248096847,-0.013884093080152596,-0.013418606669340713,-0.010664076934176358,-0.02223727246272994,-0.019918469781428003,-0.020391137779101787,-0.02416032427324969,-0.023352960697263076,-0.03155844778568355,-0.03186715934548918,-0.025276292938347406,-0.02891076980609511,-0.032406119194154634,-0.03352183660931425,-0.03383627677735651
