country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,-0.0018672576720228588,-0.0034306140232225725,-0.005075838116192215,-0.004984397156521041,-0.0037154027628186885,-0.004888820149704078,-0.0036775414605518665,-0.004509028996448158,-0.004871335210154493,-0.005982579151447525,-0.0059926098538744125,-0.005897668723529504,-0.008120775930816575,-0.015220010928974678,-0.010016006382562732,-0.00933532509870704,-0.014054204987644668,-0.013390629331816787,-0.015549882233323088,-0.013617225280766079,-0.011541460217865155,-0.01154830098934848,-0.010876005685710632,-0.010164311980444622,-0.009852240687696249
ARG,,-0.00011055520045761694,-0.00018808121266533065,-0.0003412681080169374,-0.0003767024785212298,-0.0008196116974855385,-0.0008968005805005783,-0.0011540984278323202,-0.0009349084596881476,-0.0008891113643751659,-0.0012220488169560448,-0.0016681255347956421,-0.002082537528416374,-0.001687731260287517,-0.001665474462059231,-0.0017047971341858348,-0.0014861726558102588,-0.0023364527822376233,-0.0033744869054342223,-0.001519825327565342,-0.001676579479057746,-0.004135494789536811,-0.003878858738551667,-0.003712188669954714,-0.0024813083518218514,,,,,
ARM,,,,,,,,-0.009564392626596344,-0.011372955320459763,-0.008756533353709727,-0.006629260230908597,-0.008744181789860373,-0.007949547286653317,-0.007407677763174146,-0.010643960791505572,-0.007441720145004515,-0.004618194452637992,-0.01049221762932824,-0.011811565742926014,-0.008363380112932651,-0.009694855167105087,-0.013528604928280917,-0.014995877099006417,-0.019371600232878594,-0.018150235817989097,-0.014076777663281685,-0.013125468182221815,-0.006471141801463473,-0.006714548527032473,-0.004301813829252888
AUS,,-0.00027756153454229444,-0.0003519031667575151,-0.00048439976311327054,-0.0006371142124168473,-0.0005332934951700148,-0.001249406150895022,-0.0015004869020504906,-0.001022134350346148,-0.0011622943304940095,-0.0013259258169027698,-0.0013401610706806095,-0.0018197589342690225,-0.0009642287286412719,-0.0023675680485835513,-0.0019572703883284723,-0.0023806951622754287,-0.0013951026957074422,-0.0029009362868265176,-0.0031823255613607085,-0.0030589005703063003,-0.0052407765648100745,-0.005129360105724727,-0.005158529732555272,-0.005495306078418412,-0.004173502181987856,-0.003630311326721347,-0.004540630779611079,-0.003471242962117576,-0.0035725024770425426
AUT,,9.783174502790844e-05,1.3869759280928672e-05,-4.804762380821443e-05,-0.0001224830347324539,-0.00011070407848493012,-0.0001522082239223076,-0.00015522188729432537,-0.0001769831770921018,-0.00020295987431375763,-0.00018491204337208852,-0.0002246027637073355,-0.0002277778688483624,-0.000276131538410727,-0.0003860854228375582,-0.0003276365885012907,-0.000430562539863023,-0.0008878568245945736,-0.0008728560547842303,-0.0005589233706889352,-0.0011291717466790194,-0.0012304242772163524,-0.0011537077509943434,-0.0011133554858056114,-0.001201976930091539,-0.0010132516870037264,-0.0009963735988776751,-0.0009585835697668161,-0.0010346765608523951,-0.001114732443317296
AZE,,,,,-0.0014048645091409076,-0.0021083721311473706,-0.003995378459051407,-0.004347495267723359,-0.004122938542470258,-0.004457688434431372,-0.005752331402676832,-0.00680651950969267,-0.007040035844606832,-0.007959666613388306,-0.00898888710868809,-0.007574774598520792,-0.0064542661969273895,-0.006801073158655615,-0.012050500269703904,-0.01416254302404358,-0.009061850808375517,-0.014392767719084223,-0.016417858621944174,-0.018373191893566624,-0.013972807322128425,-0.012877515613911593,-0.00965687878654312,-0.00883783906770144,-0.010119565560325994,-0.011333428721706859
BDI,,,,,,,,,,,,,,,,,,,,,,,-0.00026883833952326305,-0.0004323156018378733,-0.0006046815857701803,,,,,
BEL,,,,,,,,,,,-0.00022841271268972128,-0.00020348501240519365,-0.00023980037439233845,-0.0003419133938488474,-0.0004499420396640825,-0.0003667060128156338,-0.0004819069192524295,-0.0007562960792340998,-0.0009632867100685121,-0.0006572035025842571,-0.000882298130352462,-0.0011153226893318552,-0.0013239994504988346,-0.001254910515962289,-0.0011870632091838117,-0.0009693571789505427,-0.0005975386794496479,-0.0008080916830227634,-0.000993611340980637,-0.0010250708758714113
BGD,,-0.0013014907370052465,-0.0015175484686367592,-0.0012935691673005509,-0.001500603232051044,-0.0019165517315006368,-0.002026085704415364,-0.0020399479376933,-0.002589929212945788,-0.0027701947182972586,-0.002373057146757369,-0.00203869912415704,-0.0019515437427919515,-0.002698907930372147,-0.0023510064074484193,-0.001720996090957703,-0.001172914760851426,-0.0014531530206634256,-0.0013465601283795259,-0.0015864340138144262,-0.001953739170759772,-0.0018304717571181477,-0.0018612098980191854,-0.002449574357496817,-0.002411959922118472,-0.0023869765786436927,-0.0021209429837359124,-0.0019757878332671065,-0.0015998882761983936,-0.0015334877740489276
BGR,,,,,,,,,-0.0063337993153830974,-0.006328390995152162,-0.007959996532269153,-0.012595460366771696,-0.010421036747947896,-0.007823140527305393,-0.019564298404110926,-0.011076152836706557,-0.01231425356651551,-0.015970720914532083,-0.034530084076388946,-0.02052353883233083,-0.024158675492353093,-0.03799607361842135,-0.044977625047135976,-0.04700536599601431,-0.04696396016224459,-0.03592830299686461,-0.03682464376863693,-0.04488098545240065,-0.046757169453700495,-0.04584051986927727
