country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,-0.007823333591779736,-0.011696183750776233,-0.015202025758964254,-0.013627064429118829,-0.009492422140018613,-0.011823091142566489,-0.00852676680033051,-0.010098480129881477,-0.010593511304787964,-0.012680950875108135,-0.012433810778500188,-0.012019672863946233,-0.016313422085207537,-0.030212440472754294,-0.01972968606210788,-0.018263464255727814,-0.02735362488000403,-0.025963804184764176,-0.030036651724676965,-0.02622546032775979,-0.02217426823003533,-0.022143617188241753,-0.020819479213299723,-0.01942569356120779,-0.018812933761427713
ARG,,-0.0003179517677032497,-0.00044774971396747216,-0.0007484414526541148,-0.0007854106712667597,-0.0016553385962751951,-0.0017703353800558278,-0.002240176237170585,-0.0017889143262986213,-0.0016821682391141572,-0.002287263860753528,-0.003097165604805802,-0.0038399854711593374,-0.0030937154997027804,-0.0030358997015865734,-0.003094131392392451,-0.0026884783301484028,-0.004218726541184823,-0.006086460863660233,-0.0027446166877197037,-0.003031893569581735,-0.007494914815298569,-0.007049043055574538,-0.006760375955594969,-0.004529161068899628,,,,,
ARM,,,,,,,,-0.007633153558399408,-0.009742312964408353,-0.007975660527990706,-0.006369539293607856,-0.008805563094512935,-0.008347850706605094,-0.008085910563664051,-0.012032539662403774,-0.008688506245949445,-0.005555356880655153,-0.012979502757913599,-0.01499374615655283,-0.010876501610312951,-0.01290477123645942,-0.0184147596890304,-0.02084686385375941,-0.027449756536772695,-0.026182564218617504,-0.02064482587487451,-0.019546806235406864,-0.009777274445046074,-0.010283757393717365,-0.006675244526483674
AUS,,-0.0002580634390925442,-0.00038223525000809385,-0.0005758189421843155,-0.0008008961166728304,-0.0006979970049020819,-0.001685289858878206,-0.0020707473465624666,-0.0014342261677798855,-0.001653446578274386,-0.0019057753300648203,-0.0019442074598090473,-0.0026609279989211598,-0.0014201173755010465,-0.0035077897725796334,-0.0029167083901722184,-0.0035677464654426416,-0.0021032617883196725,-0.0043991133954287024,-0.004859857404796369,-0.00470334371856091,-0.008115733406450797,-0.008000246858582874,-0.008095396171220896,-0.00867537913601916,-0.006625703102575912,-0.005793778920534184,-0.007282964172592945,-0.005593517055307671,-0.005784433916576763
AUT,,-0.00026695055522625734,-0.00038505063503469465,-0.00037383877166057244,-0.0005342839345675751,-0.000373282160004066,-0.0004404916165490472,-0.0004063226655944223,-0.0004307762423821167,-0.00046757660772623266,-0.00040709172671401036,-0.0004774265577388812,-0.00047028097183335284,-0.0005561054571838021,-0.0007607218608737241,-0.0006338735460776801,-0.0008203309574014487,-0.0016709500753075807,-0.0016261759507385026,-0.00103480244437906,-0.0020789898882447033,-0.002256246353045359,-0.0021096050259334417,-0.0020298175965647847,-0.002186450210323573,-0.0018398440436475365,-0.0018065786588572106,-0.0017359422688910835,-0.0018714764614491093,-0.0020152319918804607
AZE,,,,,-0.003459643502101631,-0.0050033447353439635,-0.009234929493741224,-0.009856804264665151,-0.009198339397912621,-0.009820027125321512,-0.012522428358895872,-0.014686259515886086,-0.015075310443204648,-0.016934838778273845,-0.019009140155230014,-0.015943334981245897,-0.013536156969885964,-0.01423336982384888,-0.02518751457040997,-0.02963401408892866,-0.01898532119829821,-0.030217370451531667,-0.034561163349981355,-0.03875728930104474,-0.029541943932049054,-0.02728879838086443,-0.020510467562369065,-0.01881298843667849,-0.02158546922967617,-0.024234284810981416
BDI,,,,,,,,,,,,,,,,,,,,,,,-0.0012594159069776178,-0.001807042854977684,-0.0023055797517514552,,,,,
BEL,,,,,,,,,,,-0.0003290390088976576,-0.00029465239682357157,-0.0003487432890989041,-0.0004992250489056193,-0.0006589674216734962,-0.0005387820336105848,-0.0007103920927772047,-0.0011192392190812464,-0.0014312607679800476,-0.0009818164420163852,-0.0013251235774541584,-0.0016847379786274301,-0.0020117840767078198,-0.0019163224226568724,-0.001821569733301913,-0.0014943766542812294,-0.0009251905027286056,-0.001256388445667508,-0.0015507029369173143,-0.0016062793764909818
BGD,,-0.00038787882511282813,-0.0006269285938326373,-0.0006680700629333835,-0.000913564167653542,-0.0013290311195537524,-0.0015636183123185574,-0.0017191395730872742,-0.0023473235267531087,-0.002674412335876053,-0.0024209684515212075,-0.002183378319093615,-0.002182829962070289,-0.003142735552545246,-0.0028394533096656027,-0.0021498881365387477,-0.001511796238848209,-0.0019288245039417453,-0.0018365535514685734,-0.00221939786670853,-0.0028010531536925825,-0.0026869018540675474,-0.0027935278252721723,-0.003751988273767374,-0.0037652431000705622,-0.0037925377792335144,-0.0034255616797485297,-0.003241035216721438,-0.0026631640469660096,-0.0025889406553533494
BGR,,,,,,,,,-0.007479410432635927,-0.007740439234374547,-0.010025098204811407,-0.016272606555278953,-0.013766344263723605,-0.010546302498016871,-0.026849697137069736,-0.015453625872427938,-0.017446542819813577,-0.02296222017636353,-0.0503319417304242,-0.0303296271610658,-0.03617706127039052,-0.0576445692014718,-0.06909834944215197,-0.07302529192394654,-0.0737360430352739,-0.05696753375915606,-0.058926994546724086,-0.07244569299524392,-0.0760906130133503,-0.07520271033310018
BIH,,,,,,,,,-0.004669562657393489,-0.0034538998303356933,-0.0038914293907022423,-0.0032359301740557873,-0.0037899381159826632,-0.0029488233995332066,-0.006823115165807163,-0.004712913191591311,-0.004785301234231418,-0.0066560504278188855,-0.010886682251658637,-0.00688233858018422,-0.004323301066242766,-0.009011864236851514,-0.010049506653082544,-0.00995418518740906,-0.007116971598902651,-0.007357296970382895,-0.009936248582173275,-0.009645466192486985,-0.008749314503549451,-0.008473976016290996
BLR,,,,,-0.0007270520119034429,-0.0015859146996106911,-0.003016469453069347,-0.004229558631976035,-0.0037467239437735493,-0.0033247898113726204,-0.004359880761071081,-0.0031076455871517027,-0.0033459429154553922,-0.002683185308095603,-0.004400333336967968,-0.004672172716023898,-0.004436990347450224,-0.007306489660244005,-0.014942681227555417,-0.009768479575822225,-0.008684301703135302,-0.01135727858709443,-0.015810647181250595,-0.019860685271189595,-0.02495721245021849,-0.01708152119585092,-0.014533095057977756,-0.01928886067695698,-0.014545952806045068,-0.01983879818649514
BOL,,-0.00021844341467051263,-0.000287716854518202,-0.0005544835291004834,-0.00039919724739629264,-0.0006979244663748744,-0.0006563196056067329,-0.001276710873172859,-0.0014254604505634031,-0.0013481469197020315,-0.0009285035865664097,-0.0010523997298433655,-0.0011741048552012614,-0.0011243485846923087,-0.0011813153761148758,-0.0013863181395589396,-0.0015537899307646306,-0.001925400936135917,-0.003399294359015883,-0.00319794985392828,-0.00506064425987231,-0.003928139982901423,-0.0031635263647471533,-0.00455890315302244,-0.004895422616925084,-0.00740921934338809,-0.006640884785419752,-0.004457850308043272,-0.007533495269926167,
BRA,,-3.196887812070546e-05,-6.209037991105172e-05,-5.9818635381576355e-05,-8.697087959033151e-05,-8.798808451099991e-05,-0.0002625750519171849,-0.0001642297881894978,-0.00015980885363076855,-0.00015886124188042747,-0.00012910766645092997,-0.0002457027033887013,-0.00028687982293841124,-0.000708536505414709,-0.0006514614141810189,-0.000552948085920324,-0.00033619788058583525,-0.000817641874737734,-0.0014920507319784628,-0.001026421314868624,-0.0013511370443742145,-0.0013375885010890125,,,,,,,-0.0014081039918409136,-0.0014241077706891793
BTN,,,,,,,,,,,-0.0005326397181329274,-0.0006044084172546457,-0.0005253129481444232,-0.0006474786652377347,-0.0005434925343934748,-0.0015231462581490642,-0.0014417534201243897,-0.0013587724359902672,-0.0012135937359196722,-0.0008330497697506476,-0.0012185045164869878,-0.0016356155175082075,-0.0012368820947816512,-0.0016668022894781886,-0.001896250234050724,-0.0013214671597287359,-0.0009210354856577931,-0.002410152085050174,,
CAN,,-0.0006452218961420592,-0.0007011543479050523,-0.0007600684180939958,-0.0008226458720603663,-0.0015559314951703784,-0.0026226400704432704,-0.001925434697531776,-0.002151949161481472,-0.002404796958646868,-0.00239068975124498,-0.0022032803812315235,-0.0020474652436336307,-0.0033800965905475084,-0.003686105528132885,-0.0033456132866726968,-0.0037702186579895527,-0.0052419603777593285,-0.012122061295673928,-0.008742379206905248,-0.007215527624169514,-0.0107940050376926,-0.012961981922894744,-0.018379871297389546,-0.011227973233945499,-0.010379608550485983,-0.012023185384986066,-0.01197022655369123,-0.013621041611071522,-0.01337775779700034
