country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-0.05308283730544677,-0.044284585081350594,-0.049099949874844236,-0.03200925207751726,-0.04062350190044507,-0.04568754452947405,-0.0341014181778702,-0.04152778919628714,-0.03482105813551801,-0.0394735340403179,-0.04206835343032212,-0.04961284780179308,-0.05399670376962678,-0.04963752832559005,-0.058638862455807794,-0.0837979220155427,-0.07530282066385274,-0.06274699889337125,-0.06582130820527703,-0.06556279629270603,-0.0691595998062805,-0.06803071641883833,-0.05740016395538677,-0.05993344743111627,-0.0629238890620906,-0.06060572162574943,-0.05946898855600424
ARG,,-0.026424956394646315,-0.027969956432966053,-0.03089212043929697,-0.0382790134871182,-0.059516835655498986,-0.05679147493056058,-0.09938291051310162,-0.11062196632314482,-0.10688955019965984,-0.14297993433130188,-0.17075035393166588,-0.0662727387481493,-0.057593861464669736,-0.06694736256617617,-0.07389950870920131,-0.055196227563118226,-0.061449071941866176,-0.06927520879744815,-0.03404028973226163,-0.03332415253756787,-0.05574601620181795,-0.0492677064589469,-0.023546467939193138,-0.019341131512239262,-0.026167850451376408,-0.014470004473548962,-0.021318409271892623,-0.013489872123815047,-0.008864612138361887
ARM,,,,,,,,-0.022528952015884816,-0.033265788403190076,-0.02982747482185371,-0.025078608613184793,-0.03310270051067315,-0.036954949119497864,-0.027211827391367453,-0.038690687439845405,-0.03817856854636701,-0.02266590489108143,-0.044899627856339185,-0.04423739949362584,-0.040227292872890785,-0.03788264998745792,-0.04657497885834711,-0.04620170513599918,-0.05974273168138365,-0.06463859642155448,-0.061332373886728554,-0.06259596063655057,-0.030529154236782943,-0.03201373695211686,-0.01886866382243435
AUS,,-0.002411924707760275,-0.0020819654438170715,-0.0031195389779839836,-0.004852972342704725,-0.0033206276468848114,-0.0074791286206660566,-0.010976318839266514,-0.008881298563586158,-0.010844608220944766,-0.011692356914493387,-0.009992313430779791,-0.012301632902073032,-0.006621772465155079,-0.019995675580176356,-0.01835838345407785,-0.02179392212099473,-0.01071267238861357,-0.01377703129331726,-0.020970729928322197,-0.026286393063868065,-0.038034745072844656,-0.04235780176786802,-0.031279156453932005,-0.03302910151288938,-0.0265043587734864,-0.025513932619566634,-0.038414385973836285,-0.02487113699488273,-0.01999936419727111
AUT,,-0.0004217528275009094,-0.0005618619718787257,-0.0004939702065099166,-0.00080947123757101,-0.001185996612353871,-0.001263711596017668,-0.0013150809638158415,-0.0015201302941398114,-0.0016583776556410546,-0.0013947803305128564,-0.001683334887594668,-0.0018366030974292654,-0.0020131277818388185,-0.003354102576951539,-0.003019678101199624,-0.0030516798757572036,-0.003433942238437556,-0.00464153339860653,-0.004350067553027103,-0.004337123859364778,-0.005457661985918468,-0.0037927255318396212,-0.00522923365838327,-0.006142068219093851,-0.005083218799518672,-0.006034234452554322,-0.00459724943385633,-0.004635221769408871,-0.005294385371905786
AZE,,,,,-0.22383266208247007,-0.04320656485899585,-0.049887319949748946,-0.06764579948249225,-0.06850193681595666,-0.07097399424964884,-0.08683193852222658,-0.10795759773336978,-0.11848629876391768,-0.10530868429360679,-0.10812061896518398,-0.09274529309197103,-0.07512162405033332,-0.05974983525377572,-0.07540766272099317,-0.09497774805190101,-0.05870749280670926,-0.07856768028715651,-0.09209608490911915,-0.09484506397178405,-0.07404130002816989,-0.06850753197792969,-0.052962475837911006,-0.05036225197413627,-0.05877192490415432,-0.06388299125129084
BDI,,-0.009621658649923944,-0.011083832546254696,-0.012011346492232995,-0.014715822745303643,-0.02338535006832852,-0.025575273409851055,-0.026936170255321003,-0.024977697059861765,-0.016255958699718815,-0.011929288255891022,-0.015794288937703543,-0.014306053570662992,-0.013536523495907404,-0.012653273859267062,-0.01437887805428549,-0.0159460508562932,-0.015604394427394657,-0.014587366776367957,-0.015177385354469046,-0.016232519621540313,-0.01732492181573596,-0.00657107627150119,-0.009449257374208273,-0.00837339179245068,-0.010628465083760228,-0.01297508046592529,-0.013048373768610367,-0.03650480147671665,-0.007826965779291397
BEL,,,,,,,,,,,-0.001575662766799531,-0.0014317180927087112,-0.001886944740123034,-0.0024431193614647237,-0.003256574217501267,-0.00320672583852815,-0.0031932828385966504,-0.003404033074572953,-0.004509781707371056,-0.004755242301109413,-0.004568080157659187,-0.004507660014157675,-0.004777432675601409,-0.0051419908747739485,-0.00585584597807618,-0.005121759202071146,-0.0037269618899813096,-0.004772210228831347,-0.004961703557201807,-0.005523855306762963
BGD,,-0.004962494959874215,-0.00620871994209246,-0.007827636377169647,-0.009540663579572124,-0.01280036778921618,-0.015587156642654502,-0.016924603693135462,-0.022889268559394157,-0.024750184176568674,-0.0230856691492061,-0.020444448616527368,-0.02018899100888069,-0.020029393260949158,-0.01664261303952061,-0.012245095053955343,-0.0086908408672099,-0.008693859761053234,-0.009999774176713098,-0.010053243295104422,-0.010710903512299433,-0.010704436783618071,-0.009850070191097697,-0.013044056832030708,-0.013468718323577175,-0.01365904589424079,-0.01345691874952155,-0.012556812503790754,-0.009816370338274476,-0.008733214843585007
BGR,,,,,,,,,-0.04148726949338649,-0.04007994187349669,-0.037808868481626276,-0.056857806756947814,-0.06318178602277082,-0.038835794996304004,-0.08539810978916304,-0.07616027097068859,-0.07359141687176336,-0.058233910911157594,-0.12066149635681879,-0.10776439043324358,-0.11111187352699095,-0.13089392506961903,-0.12681665641194223,-0.1728368113512087,-0.17437674204679915,-0.13847816028407745,-0.1610556704757271,-0.18089629096114512,-0.18651290283722696,-0.1898197386577832
