country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-0.02042287693417037,-0.016034223944400662,-0.016796786792536197,-0.010734602816338451,-0.013927487219664969,-0.01454600074043372,-0.010845772079798085,-0.013497924436593752,-0.011349510756790492,-0.012694700483124825,-0.013258659734456042,-0.015743210099510945,-0.01702230716638433,-0.015646621260064345,-0.018580344737633172,-0.026760828000916247,-0.024198715021414748,-0.020081708766309228,-0.021274564130816163,-0.02123132939952776,-0.022279614123268256,-0.02201460869419308,-0.018616360511071975,-0.019170330208833193,-0.020149456241615363,-0.01953030316656812,-0.019064717151390104
ARG,,-0.005162549160223024,-0.006183541645894328,-0.007536968460593152,-0.008666307196246587,-0.012577500190681084,-0.011714919955881474,-0.021042059951411996,-0.02144186064861316,-0.020688177904850186,-0.02838934617300664,-0.034009837715821396,-0.012990302754729507,-0.011021405727976932,-0.012913040488727438,-0.014142475432313173,-0.010560842362804242,-0.011828379093873386,-0.013457420187632093,-0.006661187653576713,-0.006489060116637903,-0.010981864485803189,-0.00972677533852168,-0.004619723215736354,-0.0038146290118006507,-0.005174466686275665,-0.002814526673072725,-0.004151837251762456,-0.002646787741439064,-0.0017285175690864832
ARM,,,,,,,,-0.006345177489232835,-0.008640339746629257,-0.007738533723855482,-0.006662938709916332,-0.008822361682399589,-0.009707369571035128,-0.006993607055702292,-0.01001946608940078,-0.009818540261183513,-0.005829790816974204,-0.011616713546598557,-0.011546182793548543,-0.010573939159868713,-0.009916207464652242,-0.012326859651328419,-0.01225709164748334,-0.01576454540420932,-0.017145430889324898,-0.016313449422532062,-0.016405391552473055,-0.0080135860623586,-0.008464137325579933,-0.004962272419910735
AUS,,-0.0004849422022246766,-0.00047321779487065883,-0.000781857543485668,-0.001129376036772102,-0.0007217334826418783,-0.0015871233528648376,-0.002390465487623493,-0.0017719514518603847,-0.002160696119628691,-0.002389649876025468,-0.002048748295603606,-0.0024826470225150677,-0.0013050205885896408,-0.003972222685892965,-0.003619014939707255,-0.004295809253625528,-0.0021245116816349294,-0.0027574848818831144,-0.004228362719745641,-0.005274992792408439,-0.007721977286014521,-0.008619336404791993,-0.0063263729958238,-0.006716080863856707,-0.005403947550748881,-0.005118230551673089,-0.007716814993371909,-0.005033840406823522,-0.004023477198975429
AUT,,-0.0001157884588740365,-0.00017208444389197182,-0.00016500589431793034,-0.00025285247242518385,-0.0003481853753249334,-0.0003629642315359242,-0.00038666531715039873,-0.00041272080729223484,-0.0004496910912349567,-0.0003870982875611865,-0.0004685668499378463,-0.0005039511405679655,-0.0005406023986127273,-0.0009073592257580426,-0.0008112661088764689,-0.0008198868495139194,-0.0009278690419800876,-0.0012649148398915463,-0.0011936452312098335,-0.0011851292056661742,-0.001507463948498999,-0.001049949663747082,-0.0014398847226306261,-0.0016997755310401504,-0.0014104619163310007,-0.001650084028376946,-0.0012589532935111105,-0.0012782919171879274,-0.0014523615527946125
AZE,,,,,-0.08605191901006552,-0.01571822507991687,-0.017798401191605445,-0.024651645139321297,-0.023230638898442915,-0.024041280178826795,-0.030036680638302133,-0.037441346311253204,-0.0405579355273422,-0.035343622788884796,-0.03652457694320063,-0.031128814121674467,-0.02520908840777026,-0.020150407069788726,-0.02562273608582971,-0.032466279233821456,-0.01998689570783107,-0.02700357028768331,-0.031709058451292335,-0.0324879077788744,-0.025470610291002387,-0.023616508110609686,-0.018012037598952584,-0.017145019230118918,-0.020129641348201367,-0.021768324999429312
BDI,,-0.0021781037620294333,-0.002833935633293395,-0.003378880055725792,-0.0038570521829826452,-0.005741053614745054,-0.006137189836360836,-0.006629190076591114,-0.005648945680780064,-0.0036719505220416684,-0.0027619589897087756,-0.0036682649124071204,-0.0032722126583791485,-0.0030258737634408857,-0.0028502092858926145,-0.0032147431830010257,-0.0035645463153696835,-0.0035085936637280274,-0.0033089754595655644,-0.0034671423531032965,-0.003690781848767964,-0.003983337966560796,-0.0015139882324084278,-0.0021641091502269862,-0.0019274002678394409,-0.002452572984477152,-0.0029470478889801603,-0.0029672746759704036,-0.008360725274686268,-0.0017819440050318243
BEL,,,,,,,,,,,-0.000345880468326721,-0.0003153584244594147,-0.0004093363352915615,-0.0005179204254671481,-0.000695963393008808,-0.0006803349412146014,-0.0006775928928913289,-0.0007268490371886243,-0.0009719481182729244,-0.0010325526535847262,-0.0009875527154245966,-0.000985952068500172,-0.0010475866947429041,-0.0011211255895837123,-0.0012838189202722076,-0.0011261608743887595,-0.0008067458243711088,-0.001034682417201123,-0.0010840046466735007,-0.0012000312779538436
BGD,,-0.0012570114743290137,-0.0017618470751592397,-0.002430163850363282,-0.0027647526979191223,-0.003480160743321812,-0.00414313876026156,-0.0046074496177742254,-0.005740358119207525,-0.006197545260449234,-0.005918583421705803,-0.005255874375673653,-0.005112723787717325,-0.004959528769357788,-0.004150670618361818,-0.0030311822400583143,-0.002150552167619653,-0.002163044850515533,-0.002508795898001131,-0.002538986033544898,-0.0026922699462344486,-0.0027193378595274697,-0.0025069049852640053,-0.0032999577379092928,-0.0034234399056687114,-0.0034795740144492092,-0.003375327987146733,-0.00315269093106958,-0.002481263294263891,-0.0021943560411399085
BGR,,,,,,,,,-0.01408559959805463,-0.01359186402459913,-0.013092910964624869,-0.019740051543535697,-0.021650127195779013,-0.013048029871000972,-0.02887873443827364,-0.025588707875062393,-0.02472067069909943,-0.01965858828154091,-0.04103880664849869,-0.03687142784976957,-0.03786260707445738,-0.04502775761481792,-0.04370109895639151,-0.05925320474080601,-0.06003592858604401,-0.0477756101262385,-0.054817362805925834,-0.061631242543387026,-0.06392947639945215,-0.06472942521524719
BIH,,,,,,,-0.0032833666354177967,-0.004137194949500877,-0.004686473489836854,-0.0034666527623859137,-0.004107525762439266,-0.0032487338580132886,-0.0037912424039831904,-0.002812782557801503,-0.0062634274650834945,-0.005080910264188487,-0.004901987038037173,-0.005998795269970854,-0.0060939970260858525,-0.006745745797583399,-0.0038560158388429187,-0.006148680154448536,-0.0065092322194364805,-0.00817673611215187,-0.0054772062620001075,-0.005764360611991301,-0.008404027124247737,-0.008284075030830488,-0.008845892099911679,-0.007618731495003549
