country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,-0.019118668753554082,-0.014999913691352663,-0.015706476050724505,-0.010034947604097106,-0.013017335209197461,-0.01359384713038898,-0.01013510341781739,-0.012612995286239955,-0.010605312504168614,-0.011862409392439306,-0.012389736051225671,-0.014712095257054811,-0.015908325593220533,-0.014623683355835113,-0.017367002421200275,-0.025015512109530093,-0.0226226180149194,-0.018775717158781954,-0.019893235185947867,-0.019855155953538817,-0.020838051209088354,-0.02059279951097099,-0.017416273393481715,-0.017936881399834206,-0.018855553122004154,-0.018278705101238885,-0.01784548443390959
ARG,,-0.005358491062569648,-0.006427595089110597,-0.007840560580026312,-0.009019914370095309,-0.013095474065789335,-0.012200882421669097,-0.02192006404313348,-0.022340944064314815,-0.021559435458596978,-0.029589685803198304,-0.035453041921313246,-0.013543430404680824,-0.011492268814566829,-0.013466515088989443,-0.014750577795596857,-0.011016366223887554,-0.012340158214296806,-0.01404145622329852,-0.006951114474439096,-0.006772338071085894,-0.011462716454069679,-0.010153942989381817,-0.00482320465851997,-0.0039831393358091514,-0.0054037031885853775,-0.0029395663620058595,-0.004336810932517389,-0.0027650441483842085,-0.0018059653628970198
ARM,,,,,,,,-0.005580025201172452,-0.007605709978955765,-0.006817717853394957,-0.005874724502459171,-0.007784303958972346,-0.008571027102398694,-0.0061790811424250565,-0.008858327478771893,-0.008686277063012468,-0.005160789047262725,-0.010290117978710349,-0.010233998533421721,-0.009377816706325162,-0.008799875636799225,-0.010945917735207342,-0.010890669072235654,-0.0140156611928868,-0.015252578835776395,-0.014521101681238874,-0.014611531362275493,-0.007141550875684616,-0.007547571205824462,-0.004427547540494809
AUS,,-0.00047103656159953454,-0.0004608926087947619,-0.0007626028709034768,-0.0011025998609362198,-0.0007051078061563165,-0.001551411763745965,-0.0023377258674523362,-0.0017335158910214252,-0.002114547523443349,-0.0023393459430040777,-0.0020062012797259486,-0.002431757677848942,-0.0012786171234702686,-0.0038928904873697535,-0.0035476666471176374,-0.0042122125034966046,-0.002083706626932384,-0.002705212359169384,-0.004149221490000877,-0.005177569501961363,-0.0075812995295048875,-0.008464468139669213,-0.006214276283481727,-0.006598737408797702,-0.005310847111226017,-0.005031285483382327,-0.007587597291418186,-0.0049507825324383355,-0.003958074826392083
AUT,,-0.00010510326436769982,-0.00015716512876000634,-0.00015119563939143148,-0.00023217822960556894,-0.0003202059655120363,-0.0003341997772824545,-0.00035637120929800636,-0.00038069819750223587,-0.00041510329968365387,-0.00035756425666221177,-0.00043308257794701777,-0.0004660569137715564,-0.0005002361395839657,-0.0008400721884543437,-0.0007515127795846645,-0.0007599054120503712,-0.0008604437239571414,-0.0011736091712846908,-0.0011080355700659053,-0.0011006945491560565,-0.00140078941513372,-0.0009761528528073363,-0.0013393631064571245,-0.0015819085898338557,-0.0013133093420688144,-0.0015371793058873379,-0.0011733881926160412,-0.0011920038453972137,-0.0013549932586927496
AZE,,,,,-0.08029570134255902,-0.014673551645686731,-0.016621535098180956,-0.02302848844570324,-0.0217065099391975,-0.02246902263344805,-0.02807815766289961,-0.035006686882761325,-0.03792748212163191,-0.033057249471547034,-0.034167773347138435,-0.029125189822395255,-0.023590510675787477,-0.01885982004784302,-0.023985666966383323,-0.03039683368644113,-0.018715998331240605,-0.02529074143372533,-0.02970271863750506,-0.03043733093477367,-0.02386688018234183,-0.02213311515577271,-0.01688338100003096,-0.016073286836365053,-0.018874422444366747,-0.02041425180792024
BDI,,-0.0022928827970197033,-0.0029930777067909697,-0.003574676205529729,-0.004084830414932155,-0.0060845303197698064,-0.006507942439306894,-0.007032660011844962,-0.005994802807460415,-0.0038978967334144417,-0.002932656230914334,-0.0038958428055404534,-0.0034759215692359755,-0.003214859443306272,-0.0030287651017281503,-0.003416714465274795,-0.003789107474291417,-0.0037302093517634417,-0.00351850562131085,-0.0036871987630450174,-0.003925580244685322,-0.004237332818156372,-0.0016107435125528907,-0.0023027139632339614,-0.002051107040550287,-0.002610311611912664,-0.003136968970482927,-0.0031588793618042284,-0.008901669384531706,-0.0018974622491771658
BEL,,,,,,,,,,,-0.0003086909417254147,-0.00028160036201887274,-0.00036570824255260947,-0.00046296254002847515,-0.00062244071766487,-0.000608785650981941,-0.0006066559452240965,-0.0006511062282683211,-0.0008711336784801679,-0.0009259354686612677,-0.0008860644879180502,-0.0008851204379801581,-0.0009409770435579528,-0.0010075940362818758,-0.0011544549500466803,-0.0010132427290629417,-0.00072625253901258,-0.0009319617722603015,-0.0009769347901857621,-0.0010821080718370478
BGD,,-0.0008670965852870984,-0.0012201982473139866,-0.00168652378121875,-0.0019211530615449012,-0.0024203790722847544,-0.0028833314158567347,-0.003208041115530902,-0.003998407481333247,-0.004318255801642786,-0.004125030536769027,-0.0036640216454616892,-0.003564982109024403,-0.003458839030653308,-0.0028952509037919313,-0.0021147172237128125,-0.0015005756292521969,-0.0015095138617836953,-0.0017510425572865211,-0.0017723375233419812,-0.0018795720562694792,-0.0018987001418046138,-0.00175057977913543,-0.0023046303369767536,-0.0023911276158646803,-0.002430588738674019,-0.0023580074902010053,-0.00220269193740316,-0.0017337562818093006,-0.001533431396142095
BGR,,,,,,,,,-0.013661273236726272,-0.013185307398288045,-0.012703845638508201,-0.019157016670146944,-0.021014370006991388,-0.01266706406713504,-0.028040294667106763,-0.024849918443358734,-0.024010891599404553,-0.01909726702744794,-0.039873418862528945,-0.035829896744048295,-0.03679892148942977,-0.04376980944905696,-0.04248700819303185,-0.05761618902463707,-0.058386477374939495,-0.046470216373359935,-0.05332773493098259,-0.05996568725962935,-0.062211490917193454,-0.06299972200745745
BIH,,,,,,,-0.0032203747519695325,-0.004060316165691875,-0.004601832416710934,-0.00340569461020603,-0.0040371380104878085,-0.0031944248182692136,-0.0037293953581724734,-0.00276803207210587,-0.0061662815438461634,-0.005004126911536606,-0.004829857814394318,-0.0059129167837423625,-0.006009168081141203,-0.006654417316270773,-0.003805336894148725,-0.006070343619659407,-0.006428922027681418,-0.008079129373716184,-0.005414009284924008,-0.005700124552850146,-0.008313656218470104,-0.008198251135675096,-0.008757766946724713,-0.007545860290178649
