country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-136.22785896289085,-261.9060733879745,-364.9761051952774,-564.1381783482499,-736.0769632772074,-904.3966964727634,-1162.8964223573143,-1576.0291709296982,-1859.8216832777907,-1830.298093379257,-1185.6171271654916,-1407.3068289435216,-2567.6173661655116,-3596.695611939988,-2661.5351196718343,-5102.504810823526,-4312.697241212645,-6154.398519744405,-3848.1427783545146,-7930.808347412766,-7570.849306399139,-6033.232633893913,-9569.542670341902,-10388.887829737008,-11432.708702425565,-10505.762934816237,-10796.962524199076,-10686.504955736405,-9465.048247472301,-13434.89671623888,Afghanistan
ALB,-38.529585393283575,-34.29666330008453,-42.321323917081074,-102.58011110958924,-114.51042598706111,-132.54080871844232,-104.0790321803039,-171.40148305369704,-196.8181247302157,-151.21855613188885,-208.9734462976489,-188.76627410284527,-214.27742422887525,-203.89757014123197,-214.1983741138346,-236.0597437936921,-224.77276190358404,-259.9496490265164,-373.06437733271696,-395.9981713098682,-373.97280874398785,-395.824085283509,-431.5522887894193,-448.56580927845243,-452.5230501994543,-469.35354781248367,-494.8710681284111,-520.9940806015014,-477.8975917738598,-486.5051085267667,Albania
ARG,-420.621584813012,-764.7765578448175,-968.4986101485468,-1244.4202600015255,-1476.1178730534302,-2053.605095558879,-2001.7940799105472,-3863.238865946098,-4067.5917302476328,-3778.1413587659026,-5100.206006607761,-5795.600234325213,-5995.342056561274,-5200.53440292466,-6637.645084804289,-7811.284974699123,-6593.598224579833,-8124.25315147981,-9753.6972149645,-5368.406166470469,-6063.008916492841,-11508.41476846995,-11182.515867153017,-6566.103676023969,-7851.524361070616,-12563.60746348753,-10754.307702585409,-18405.66438835774,-19433.920442102015,-21412.049200533413,Argentina
ARM,-7.357137944797647,-12.968569179165065,-18.601675660650372,-37.343533481396236,-32.191289176920435,-38.6970568704021,-59.32506201493643,-62.091912144098245,-93.07837246809498,-91.03811702352036,-83.10997846712688,-123.26584927881886,-157.40099372170823,-129.46742263792356,-187.58860441548924,-178.46559664448262,-108.48755988121364,-201.3654987842749,-191.03628011317588,-178.8990874590683,-176.70782093607664,-230.0106815000666,-265.50163163731975,-360.786478575866,-414.71852213453496,-469.73020619903224,-478.30853996561046,-253.63583100101593,-282.7462362721598,-178.1619112412804,Armenia
AUS,-583.6723636091841,-1004.7523364943414,-1000.2857479308478,-1810.8395286767418,-2479.3314634959174,-1607.407653180748,-3460.2359002702387,-5694.640814777995,-5201.001967167642,-6467.705317558105,-8207.131681271014,-7990.972945389227,-9516.835905098013,-4285.861172679451,-11900.104038245328,-10706.031465991515,-13169.694980718677,-6061.238623104857,-8118.371386362363,-13673.017215006746,-14859.270760265952,-19876.29337081023,-23065.68716017361,-18690.248020604664,-21910.649268180798,-21704.234576856783,-21463.47026441019,-32284.033218196342,-22289.395887964107,-19642.065224319296,Australia
AUT,-72.87056327133494,-126.79268899859822,-175.82961636660715,-176.33421224578143,-267.3517921747268,-331.53877634668896,-369.94520735724507,-463.2389680774618,-518.2828627913543,-609.8535602804525,-622.5888475986138,-780.4041683213845,-804.5568738260067,-722.264816363803,-1122.2798705662453,-1018.6809740349834,-1049.198658372431,-1125.059683303603,-1451.660845552544,-1396.8502451619413,-1484.2470521945183,-1857.0872174658466,-1414.3189970989565,-1878.7465409117815,-2246.7549902554188,-2269.492952013777,-2731.7678146928165,-2098.363980119571,-2094.3010776210185,-2565.7881826362723,Austria
AZE,-72.3789286927563,-127.91980206518792,-183.672280892552,-213.5363036561677,-230.66157178494706,-233.32402298061868,-331.40676658106537,-449.28162476708474,-450.99340252944637,-532.8076905860157,-797.5607061448604,-1129.9082285959626,-1388.146293524492,-1337.6227996213886,-1501.0354105307954,-1564.3915262575974,-1603.350803319349,-1533.5369505805822,-2065.6920861426274,-2807.8066091168153,-1817.404185966972,-2427.0718844518874,-2910.138208287556,-3162.011528087818,-2559.5699149867755,-3148.792050180953,-3643.382185350003,-3772.134347125399,-4454.314701180606,-4958.687238765803,Azerbaijan
BDI,-0.4997767292012598,-0.8004748347270768,-1.1031014870202083,-1.36589242544038,-1.5042824985398722,-1.994734526277835,-2.3449998356983017,-2.8728478740819816,-3.232152730638049,-2.5982028193756195,-2.4520643774176816,-3.791011620477425,-3.920311512305008,-4.125155026127926,-4.104833014541019,-4.552829585704058,-5.028280464205416,-5.357462543752145,-5.792676186107855,-6.546807300311002,-7.338750883036758,-8.46306209999291,-3.8562825857457907,-6.253472535793038,-5.797796498791964,-7.2332337707557,-9.136105375949215,-9.710401250815988,-28.742175168185533,-6.480746641792498,Burundi
BEL,-67.51456000889921,-115.25055746063371,-155.18151661579037,-211.52143995467952,-263.05403501292915,-306.41721545908734,-443.37368393146613,-454.98938003053286,-544.3411004789061,-504.2012066790984,-610.9769709343037,-574.0821658728744,-713.6485975526807,-753.673618243066,-944.9505511675118,-936.2328013406566,-941.6316715920743,-954.8942625645494,-1195.4856516256905,-1315.3087697207677,-1357.0408459542002,-1318.4318728315986,-1523.356623006476,-1586.7919256867965,-1857.1943236876655,-1984.0399192185102,-1449.302916390566,-1855.1689177675535,-1898.7833701549132,-2278.564952178304,Belgium
BGD,-48.73616677013508,-93.14974648396192,-139.40837314311352,-198.81180391324912,-233.67789589885956,-306.18929155397535,-393.0572686512044,-477.94730304492373,-666.7488400878498,-785.4249703600922,-832.9551103518327,-825.4482175349538,-858.2856881030604,-869.4451619957218,-778.394626961168,-650.3468029038444,-524.5929238623809,-562.5159893887372,-688.0118651329882,-738.3157107891344,-835.6197883273046,-959.9364050912928,-1045.3006503193262,-1397.1655323946695,-1535.8488459834434,-1677.2085962335052,-1767.9276095483112,-1810.6285817946682,-1592.0993852976833,-1544.0277403178854,Bangladesh
BGR,-363.41108444059324,-565.8608178934703,-630.7122797553152,-870.946740197692,-1115.5474507699641,-1224.022828332861,-753.6833002375494,-1718.8026123424802,-1738.5693959296632,-1600.697130110038,-1856.1315800459874,-2971.0310700441,-3258.561750524049,-1712.4547462060304,-3647.1096837267005,-3439.4663203904433,-3500.785316877601,-2712.79124761462,-5618.235913289078,-5149.079954508957,-5655.030188883484,-6563.9705215601125,-6979.374506566423,-9146.710775301108,-9410.802706135515,-9314.68444205296,-11097.077239178154,-12657.540423328657,-12895.634232752396,-14355.39828972473,Bulgaria
