country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-2460.2407202639615,-2670.665054693138,-2646.4772090138395,-3221.5004936718474,-3517.9195079089877,-3726.0387529850886,-4221.308106283224,-5142.5930438383775,-5548.359238709559,-5047.477405483954,-3056.197869405513,-3418.748743580714,-5913.066399528054,-7880.50317380051,-5567.719940031231,-10223.734690900577,-8295.369263524233,-11388.686659167071,-6863.53223339637,-13657.790986470838,-12606.91378293001,-9727.637343447457,-14967.661564937809,-15802.020188971754,-16935.601037722932,-15188.589302442264,-15256.037212325118,-14774.499491857661,-12831.230973736674,-17871.312441280075,Afghanistan
ALB,1206.559961640781,564.5715464410519,460.62794107666457,817.0239889617105,709.8944201714861,655.9473275664458,418.37812279940584,569.6849915048667,549.7227601463678,357.66274216061,422.90743895326904,328.8607913413942,321.95410410252896,263.08501336809593,236.1125199449954,220.7079648511917,175.98019051856562,167.5590408282729,193.16988472260545,158.91542146804844,109.74789973734426,76.54473897243334,44.034999621390654,9.231637603161237,-24.69011860403082,-57.19453995311986,-90.93134381111142,-125.70538076303194,-139.57390907119293,-165.43117295008085,Albania
ARG,1598.6750576414777,1390.988067013295,929.4740833024188,597.9403944853668,265.8151961419668,-77.58615111215012,-405.34848104631004,-1265.1873492248185,-1723.515294484779,-1896.2596968367704,-2880.031348789477,-3574.2918108839476,-3964.1112257809536,-3644.1584427566413,-4884.324266377091,-5992.901906931489,-5247.025483163821,-6676.7373058506955,-8249.238833328807,-4658.600699733248,-5385.209801438147,-10440.391153166873,-10338.82171267457,-6172.473042057349,-7493.221256121382,-12151.502425075016,-10528.596684672812,-18221.671150665883,-19428.32209447383,-21602.4456740595,Argentina
ARM,-688.1233757244813,-694.449532654695,-700.8006692189504,-1089.1201744981656,-771.0013156631445,-782.6712764778948,-1034.6310770156251,-952.703576918999,-1278.8590815035216,-1132.7731796996916,-947.9176658946662,-1300.2922313311892,-1545.4052519610877,-1187.288608887416,-1612.5489789207484,-1442.7761347880269,-826.5476627997793,-1448.8006255521634,-1300.196315398547,-1153.6269729175376,-1080.9666356070124,-1336.2791355646136,-1467.8829457864658,-1904.2462306161908,-2092.952000628336,-2273.1961061081556,-2223.4729557948094,-1134.0600900739666,-1219.9280505489953,-742.3096575609204,Armenia
AUS,-8286.92252091415,-8869.410159451441,-6624.999329654567,-9821.968360147092,-11610.773351710159,-6672.014555012811,-12980.018094333673,-19643.819406479568,-16738.020243777657,-19602.860579555512,-23643.165655360906,-22028.55119073576,-25226.923575025678,-10957.944380428708,-29433.05488984282,-25683.204578782104,-30701.763154130917,-13756.274216733613,-17965.36839659506,-29545.214728414892,-31391.16044960266,-41098.36107491732,-46747.79923419392,-37196.21343814407,-42865.134161464804,-41804.108978400065,-40742.18687126454,-60444.80164110347,-41221.53703670305,-35900.225076516566,Australia
AUT,2133.9572222777974,2003.670764481386,1847.9024022067135,1355.3290026152151,1593.5960246047578,1568.246496447541,1409.9544643874044,1445.4262895008756,1343.4186693479232,1320.4776200312895,1135.5930668402345,1203.5221752537143,1047.5688920674872,786.6617876047802,1010.5338145149531,745.952150470675,607.876916433866,495.1964103692657,453.60351559979136,272.51952460965634,128.19999306305814,-27.084654274591262,-151.00899532874246,-355.12396323785356,-595.2267479037216,-755.5980283638054,-1080.4308750678208,-952.0117577282728,-1057.7605170520574,-1420.4890849924432,Austria
AZE,339.03944743420914,281.40494516237084,223.55538816205467,147.60811527304378,85.18515736571653,32.5396058827267,-10.715088919920724,-72.59578150123659,-117.44832786929628,-181.32047641065034,-322.37200238373407,-516.3239761329485,-696.745383074877,-724.7077963996114,-866.2880886287077,-952.1082003948292,-1021.7172312876611,-1017.1961527081273,-1419.5395010883558,-1991.190938029244,-1325.800362168081,-1816.3815536444465,-2228.057421311715,-2469.5009254761308,-2035.2925983646378,-2543.807925906933,-2985.9121494957317,-3132.3646825824044,-3741.4957605168597,-4210.0048171753415,Azerbaijan
BDI,70.70589213057875,71.89166503568214,72.2471759322219,70.17174167801603,63.64390885632509,71.06822503465494,71.5609420465477,76.42285592310677,76.17278792494402,54.79056092552668,46.80455673312022,66.05501094810128,62.71613742739855,60.74901007188965,55.801544576234036,57.278736958895585,58.610276346800966,57.920322908336665,58.12228389018725,60.996568619584316,63.48959683122845,67.97147659631088,28.784582378010803,43.506615861362,37.617678079734766,43.886851309793464,51.8890430194459,51.64339459620196,143.68252669292332,30.438648652421872,Burundi
BEL,-565.5746641465086,-676.2432366946265,-731.4276093607585,-856.8363244851971,-954.4616995715342,-1016.8610613040233,-1366.6182166903766,-1320.3270182258555,-1503.6357453389535,-1335.352038915996,-1562.102139458814,-1424.0192196474368,-1723.6279472585184,-1776.4825747748268,-2178.443822024671,-2115.0262340187032,-2087.478730615171,-2080.07425012344,-2561.7890503741187,-2775.593294653174,-2822.5053274016536,-2704.9983015983926,-3086.1089410947943,-3178.005141492303,-3679.951189706716,-3893.31975094283,-2818.443392150192,-3577.273609021149,-3633.8237126795098,-4329.354011749559,Belgium
BGD,-3412.901629868403,-3885.113385616089,-4156.5589117575055,-4628.152331497678,-4490.335252695103,-4986.5823733585175,-5534.186823200722,-5931.714777771798,-7420.261278750284,-7924.510134344388,-7709.698773937667,-7070.604771125289,-6846.1752667572755,-6480.234669999527,-5439.944742909509,-4275.45242198681,-3250.737199697409,-3292.1945075248764,-3809.34863497719,-3873.2581068905233,-4158.528703947547,-4536.767292119127,-4700.945843249679,-5997.814061552648,-6303.283805935449,-6599.627808842091,-6681.201167948694,-6580.13322534149,-5582.104559787171,-5226.589480373095,Bangladesh
BGR,-15317.511315307333,-13337.047903828437,-10456.641216526668,-11250.078848436538,-11938.059876152678,-11177.526306793096,-6003.056641012621,-12187.410222336575,-11168.663844114879,-9422.528158187939,-10129.730877230375,-15162.883134611715,-15648.809159334707,-7766.984070957181,-15679.88953668755,-14063.473547178924,-13644.839246528732,-10101.482224257088,-20024.23027055506,-17597.398803626475,-18559.07162135441,-20715.157223921437,-21223.455235923506,-26875.721089090017,-26760.871562918153,-25697.62271439899,-29749.20193621416,-33014.2350270385,-32809.21976513464,-35653.94616591877,Bulgaria
BIH,-275.6441731178384,-298.1436351382137,-320.72847339786915,-333.26377592019287,-336.5403460553657,-273.05697512767443,-201.38334779600586,-370.0809037530016,-463.49174178340166,-369.20594324803795,-505.3915687383404,-401.8874085044692,-448.2192429228317,-276.523378046457,-573.2094931341164,-465.84903246946124,-455.34690528741993,-525.7232167174769,-513.5613855358579,-570.5129098537196,-338.7849554336948,-511.4263291556801,-572.8527310717747,-703.8091136244307,-472.13548385158845,-613.9951328831116,-919.5946009898272,-912.1991482777473,-957.7396498542968,-889.6761251684433,Bosnia and Herzegovina
BLR,-223.93434557337517,-246.85279034204558,-269.8578400983944,-314.1160348628157,-220.06978383247878,-450.83113824424953,-661.8740949308013,-876.7398838711587,-987.576154325645,-946.2522612389911,-1356.9760066327026,-1282.942786610311,-1580.7770504272464,-1298.5491601145613,-1919.5620151553562,-2109.038639285585,-2023.4850958293819,-2754.432158989033,-4227.6486051956535,-4287.461044240171,-3949.8899195652025,-5078.930236230503,-6374.461101004381,-5487.161308766325,-7988.046223580954,-8256.45968122314,-6956.596456499773,-8121.630509709959,-5848.933019906134,-7737.165160054305,Belarus
BOL,-284.9095364636295,-574.3846442631325,-510.7476549440628,-782.0828452722868,-447.9545874356095,-674.9672731379367,-548.7443322205396,-945.75998638255,-994.3566270862675,-859.1084636463652,-587.1243211778536,-658.0060913738583,-702.4197536997189,-672.7132740806768,-698.2994633714459,-797.8592043203427,-883.2328654086548,-1038.6845842469452,-1257.59925287627,-1282.4228105837217,-1555.4983669273395,-1194.1903357457225,-960.2695547348138,-1399.1790518330704,-1084.8699438652684,-2324.506350581647,-2298.984358893412,-1091.668344857696,-2162.8481120663546,-1723.1148809504887,Bolivia (Plurinational State of)
BRA,-1139.3466788582566,-1218.0384068238072,-1305.8477221297405,-1135.48394791357,-1185.272276533799,-945.6095051584847,-2205.826199921789,-1801.8478217394368,-1764.363704914417,-2047.2862449785055,-1527.0517659395443,-3156.718584100451,-3077.409861869158,-6438.088152625094,-6419.988817643029,-5414.082287447385,-3040.58076400305,-5298.209459408598,-8168.0764810257315,-7207.974575266538,-9258.14051253666,-8983.001714901022,-7334.730101445497,-9995.769343115546,-11438.50335936749,-10530.50889830746,-13660.015079431607,-9070.233678883294,-11901.934739204806,-12676.118571149394,Brazil
