country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-934.2723621628415,-1946.1057757360154,-2797.1434889957263,-4395.524166024188,-5842.8598661204815,-7232.613219509653,-9331.618374458018,-12672.657582764548,-15011.921509536814,-14826.09062454738,-9689.07892276551,-11592.4438730621,-21322.654897258515,-30108.983185403897,-22454.014666568404,-43331.60655626601,-36789.173826342005,-52609.94659366758,-32877.129081463885,-67320.67634062277,-63873.01257495074,-50506.335431076055,-79397.16253614798,-85544.86703063603,-93314.84340679347,-85041.03899607887,-86620.12836203858,-84950.47507520877,-74766.06488419493,-105291.97584349065,Afghanistan
ALB,-266.82825361132666,-258.98881900237956,-330.3795906060867,-815.1182953383136,-927.7311938881668,-1082.4572112848994,-853.3009552010451,-1408.6488161282607,-1624.2479137914581,-1252.7219739103236,-1746.9797432944295,-1591.011956269913,-1821.1647164782191,-1747.2856304888548,-1850.2641177385644,-2053.021433641964,-1964.0746182357066,-2276.700429603357,-3266.2550623581924,-3445.322123602456,-3234.46801865438,-3397.5972043558427,-3672.004896226414,-3788.6922651919726,-3789.3199212917343,-3898.5153925349755,-4074.6016385262083,-4251.248564821269,-3875.6929772533535,-3915.242976280601,Albania
ARG,-2330.024273390787,-4989.1295694925475,-6748.178996306212,-8985.812831569072,-10988.54529032681,-15535.30411660993,-15294.679192129042,-29724.70289257338,-31537.480070984286,-29489.321156680704,-40262.30026780887,-46213.65810796765,-48283.49406227911,-42288.575177277846,-54474.992177108936,-64616.638957361254,-54856.79672878324,-67810.98229551653,-81453.68603495533,-44586.98785688086,-50095.78272119192,-94435.90654945569,-91020.14474033174,-53081.58755554604,-62961.35996854667,-99980.51052441263,-84871.85384709945,-144011.23797025395,-151177.30057021108,-165342.40223807172,Argentina
ARM,-46.74585596834578,-92.22828145038416,-138.24975420759446,-284.19823156827243,-250.7077341606383,-304.6352522971917,-469.82172290214754,-493.72717677651735,-744.1426970188018,-731.4059514547085,-674.4046848279412,-1009.2411053533434,-1300.4100548452666,-1079.168348184052,-1577.1020877369651,-1511.4906534608338,-923.6489963545907,-1719.2447006813736,-1631.2952751018727,-1518.7874439286288,-1491.9986946064175,-1928.2318667114744,-2207.3020069560416,-2978.6027108966264,-3395.79282541265,-3816.57910236283,-3853.7296377786306,-2025.929417766708,-2245.3626384851073,-1404.4384560872113,Armenia
AUS,-3597.3898547999847,-7079.824316631984,-7429.788016088323,-13836.913169388084,-19441.7476374462,-12766.194343194615,-27686.38023055796,-45798.07206765819,-42088.56943559232,-52628.28911198852,-67482.113786581,-66318.31300273612,-79719.7774963064,-36229.556384749936,-101478.76853723665,-91983.18537790523,-113756.68145932253,-52507.66037152103,-70342.8722342107,-117790.68036507281,-127315.4263530568,-169092.43758972723,-194598.2672509305,-156583.86430536077,-182053.91800483465,-178940.72623823548,-175465.03179353406,-261633.7003439608,-179575.64005109575,-157072.76872534637,Australia
AUT,-510.2877671683145,-985.4680963660159,-1423.4236609011057,-1459.1203692793697,-2261.3854224576944,-2832.3434630045476,-3177.402857074221,-3992.9049512318743,-4489.9514430138315,-5307.506034381378,-5471.2015847488865,-6918.087516580933,-7195.399487482882,-6515.798511490067,-10209.857502351946,-9334.302290703246,-9662.922735918612,-10389.301679216756,-13405.325925684454,-12822.594585200564,-13548.73276680136,-16829.361910805248,-12709.038845759245,-16762.938810061278,-19879.87961338656,-19924.05995197597,-23779.061009111196,-18106.218325625825,-17964.642002564608,-21845.200978043318,Austria
AZE,-449.57932633869524,-894.8388459422749,-1345.1914650874414,-1602.6872978996178,-1772.3583929891415,-1812.5577850626805,-2590.118544103688,-3525.621807337898,-3558.1505882924525,-4223.951470539771,-6385.561289971507,-9126.602780051167,-11312.5293483861,-10996.210796667794,-12443.609296237199,-13062.124997661751,-13454.978673417909,-12902.698436013265,-17378.78851465926,-23480.149786879825,-15111.609259041868,-20032.71862321181,-23815.14429254051,-25690.201883028745,-20620.215127151212,-25165.475802126595,-28867.60365877475,-29623.058690248006,-34769.02261531717,-38412.32848357595,Azerbaijan
BDI,-2.2278055590874115,-4.6508688955575295,-7.129706455776475,-9.353556967030144,-10.767757383778003,-14.653077653325427,-17.52664517881503,-21.74340604613186,-24.756767870911034,-20.104024692944233,-19.24400910258506,-30.122755817839252,-31.523845972632184,-33.551870694216106,-33.74889132907226,-37.78214084363114,-42.019774140579386,-44.96675249036174,-48.69458106999206,-54.78367924052256,-61.14544644560976,-70.0841295273853,-31.699144020829177,-51.08765310742733,-47.010667342855314,-58.233792212614944,-72.97815659361908,-76.93543548432797,-226.49725006571458,-50.71423461481861,Burundi
BEL,-350.7983642998135,-748.7630447183093,-1103.935829158756,-1580.9743146036813,-2044.602289210126,-2435.409012646721,-3576.041555771562,-3708.956122719258,-4484.093075565432,-4190.983954223119,-5146.333270512509,-4892.290663717653,-6151.047869639966,-6567.419869130747,-8320.201894663114,-8317.778136660047,-8422.019823494858,-8576.163673033314,-10751.613066330834,-11773.684578009243,-12093.377376144887,-11676.800629919127,-13391.42220434085,-13862.654570814355,-16103.329600129662,-17081.26046531223,-12380.154335234996,-15718.901137281935,-16002.66581933196,-19070.704706642904,Belgium
BGD,-277.8882144020721,-622.4570921233554,-991.4302227353792,-1461.8859315003363,-1768.728251746562,-2352.2865102540613,-3046.858691265062,-3728.100741696136,-5237.570668115287,-6207.923869792878,-6655.8947293608935,-6660.053904110087,-6991.831005962824,-7149.222116731485,-6458.023421519812,-5437.071631174318,-4409.747721367853,-4742.678713852616,-5802.321203720893,-6191.063271294773,-6969.165457441466,-7949.222384203422,-8584.31206821934,-11393.610124347888,-12421.10081668773,-13458.557474824442,-14066.245771495891,-14280.082521295368,-12481.887554989718,-12014.178739473562,Bangladesh
