country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-1872.1874381758942,-3964.7281351207853,-5652.762346727117,-8857.578275841846,-11710.909827763837,-14455.404893139063,-18605.40514688638,-25215.282547357725,-29778.043255210185,-29338.723789659623,-19107.42094461362,-22812.44348017781,-41878.991029576515,-59042.34688622319,-43949.756558089095,-84718.56321642706,-71890.38869157057,-102859.11297015901,-64342.099279717404,-132132.09773098363,-125731.2756173255,-99771.21940912268,-157455.5347890666,-170181.0543161262,-186232.46768472713,-170244.17991419972,-173916.53276947082,-171046.16893916766,-150924.22091404724,-213157.4723195874,Afghanistan
ALB,-535.8735312896899,-529.5289390681411,-670.3661062720796,-1649.694682004479,-1867.9168384121629,-2173.681343009784,-1709.649284493835,-2817.008994187968,-3238.639382289559,-2492.1804769305277,-3463.9827056204194,-3148.4469755219984,-3597.3953175620745,-3446.477232383361,-3643.3493724158593,-4038.6338396846127,-3862.2518110067267,-4480.018986961242,-6434.564220468571,-6808.125432726765,-6411.218488036038,-6759.59181662764,-7335.414512834744,-7593.7088260163555,-7620.668593337729,-7865.927138973966,-8246.960350728848,-8630.416044929461,-7889.576433722542,-7994.617399974073,Albania
ARG,-4610.435001857008,-10313.214353170335,-13965.950694081026,-18631.5061492067,-22727.867089985593,-32105.257198045067,-31578.355517689593,-61316.03682392332,-64914.124129933305,-60598.042383018445,-82505.02393455125,-94552.30438223439,-98644.94914456415,-86300.30063765009,-111011.17024526052,-131582.4044181414,-111692.35719823552,-138188.36580873112,-166209.17987185778,-91274.00302737074,-102882.8326096373,-194691.81949860696,-188440.34368399216,-110273.96749087321,-131255.1046974174,-209131.16627776306,-178100.34895151746,-303138.94614014594,-319122.5850205273,-350125.9579294694,Argentina
ARM,-99.49288861096255,-200.82443995774497,-299.3095681304865,-614.2946848998306,-539.4420216108939,-654.0263491263864,-1006.7315878270418,-1056.2457219820462,-1587.6560221657942,-1557.2491948623192,-1431.3971691754778,-2138.1519415389425,-2750.452851056951,-2279.5442883401565,-3326.0920515056373,-3185.0227210402027,-1945.8692747231241,-3624.8827976031903,-3443.83119558045,-3216.5694286131825,-3170.0406084203855,-4112.720986332939,-4727.903119772518,-6402.14907095612,-7324.622041789815,-8260.390587557507,-8368.137316858449,-4413.084712358086,-4905.215621848993,-3078.0444597202145,Armenia
AUS,-7210.473595015966,-14658.235704740226,-15342.524265940965,-28571.93952886246,-40000.505054661015,-26224.1016386436,-56788.98343792706,-93817.30717652092,-86005.88128194764,-107341.03293836968,-137228.1113757193,-134631.14495818556,-161585.48426747683,-73345.10243106932,-205130.36088637527,-185789.38162190598,-229725.35022281483,-106125.31759491569,-142357.38361074455,-239145.357575199,-259319.02025751627,-345739.8626658205,-399573.1357038838,-322630.1789523809,-376427.309943109,-371247.3794598228,-365220.94342676015,-546283.037927222,-376021.7391003703,-329953.73091370414,Australia
AUT,-987.2376288156361,-1963.2827103503485,-2825.5455936029307,-2894.910953278867,-4469.251402721375,-5587.900575760866,-6258.8429702285,-7854.645649865934,-8810.417617142437,-10395.01429472774,-10683.84868677248,-13486.413523327594,-14005.576977029861,-12667.786456242253,-19820.62001716661,-18107.47746962399,-18742.51017745203,-20169.55971467508,-26060.306594263922,-25009.210798205342,-26512.97588963626,-33062.47227422867,-25075.52756169826,-33191.43584667295,-39504.94670527748,-39730.84183123704,-47576.75636294148,-36343.51315543941,-36165.95846661623,-44123.07887947402,Austria
AZE,-926.5439380727353,-1877.0466748860897,-2800.234181767964,-3327.5258246029034,-3660.6444408967523,-3733.578976505825,-5322.917548434064,-7231.416086854613,-7276.365922557603,-8617.88423293896,-12984.370414110741,-18520.05532833935,-22913.135343663977,-22238.973970334322,-25121.600126473593,-26342.75343091496,-27123.350705921996,-26025.696221825205,-35091.81373012736,-47553.75738894023,-30697.428978119493,-40842.09172402159,-48748.28542369444,-52757.248665818785,-42485.426020988365,-52015.86035705154,-59850.04759856923,-61596.304636232235,-72488.69094102913,-80324.2086352326,Azerbaijan
BDI,-4.816063715271352,-9.892644605356901,-14.88301979641088,-19.366397736214502,-22.104368061235395,-29.93259012593777,-35.66307439217003,-44.106029355293565,-50.02438751961596,-40.50026233265854,-38.61543025562433,-60.29366682036906,-62.9567719123149,-66.88454436313695,-67.13954371461841,-75.06751416224098,-83.4351287263937,-89.32639587385022,-96.82282929771215,-109.24559690851045,-122.28950254532707,-140.6677189438984,-63.87642619009476,-103.27697048845765,-95.34714103097173,-118.48587082159415,-148.93886690240734,-157.47688307496156,-464.8511934095239,-104.39746619354412,Burundi
BEL,-714.188060574982,-1545.56866221845,-2258.817389029215,-3224.869436158718,-4147.916487046165,-4926.94796377166,-7217.66208071189,-7471.650726431715,-9006.768419161817,-8399.234834917048,-10280.335035512098,-9754.057816761668,-12242.55267901884,-13053.582244999638,-16510.803989506414,-16491.64817299622,-16694.271627616763,-17013.479942367834,-21356.48520442469,-23461.792312425263,-24177.184871962294,-23435.112605349455,-26991.079285244836,-28038.953473762125,-32687.293312145626,-34792.35335501935,-25300.588958164408,-32226.855723031396,-32905.15497667898,-39342.50305104363,Belgium
BGD,-550.45977260041,-1259.0934890104975,-1992.3678221073362,-2931.737149441051,-3529.83881777464,-4682.873331170545,-6052.650568771791,-7392.56115603472,-10355.825649621533,-12247.00777556942,-13087.683846060163,-13069.923400334168,-13696.276576128928,-13984.276945569396,-12610.472945358828,-10606.272856372372,-8598.895274168952,-9254.02648689387,-11334.1444206248,-12130.051740315965,-13696.139397141964,-15679.44392248432,-17000.453360678173,-22637.888436472,-24761.524318344247,-26915.958426742625,-28217.763032219078,-28731.348049278677,-25180.754518781792,-24310.297716307603,Bangladesh
