country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-1826.6537731610451,-3849.1572968873834,-5479.636957070021,-8580.156593864796,-11339.758003721252,-13994.196428386844,-18009.568849358344,-24406.319765014487,-28822.212323595173,-28397.355493166157,-18494.994123606524,-22082.429644435317,-40541.560128681245,-57161.464501584254,-42553.66144030747,-82035.99812191812,-69621.98731581253,-99625.81197401442,-62327.65149269984,-128012.07042532343,-121828.12607504621,-96688.41128207147,-152613.8499514022,-164974.0073087169,-180563.17900682043,-165088.21500119945,-168676.68576513825,-165920.27143848146,-146426.17638453047,-206840.1266509437,Afghanistan
ALB,-463.6958572047664,-448.63525299283805,-564.1650996677292,-1383.75343307999,-1563.7874283962565,-1817.5234205241525,-1428.32800953839,-2352.1364028696644,-2703.140655455645,-2079.5469249127173,-2889.92249021268,-2626.387131035249,-3000.7218310027306,-2874.798304745319,-3039.0940045005177,-3369.0225061195333,-3222.1752258539072,-3737.997852373868,-5369.558380796508,-5682.156755005866,-5351.831625268915,-5643.735407165064,-6125.777322542544,-6342.8693248537065,-6366.846539179089,-6573.302847456265,-6893.384339008655,-7215.71072119661,-6598.0267577862805,-6687.651455340319,Albania
ARG,-4351.882998282282,-9552.088143315863,-12857.444381513422,-17101.22150585988,-20824.40355498506,-29382.675532166115,-28877.50785167703,-56040.65801516221,-59305.83030963798,-55346.63935503408,-75339.1783664869,-86327.18618116241,-90054.53914305882,-78779.69499458013,-101333.76807895061,-120111.11678437582,-101957.10815200901,-126148.96174926378,-151737.68368682388,-83333.11196128637,-93940.49532633567,-177788.3749708491,-172099.7564053876,-100724.28930667363,-119904.591095422,-191073.04458955105,-162745.40182225627,-277046.09250541835,-291700.60412936576,-320092.636263352,Argentina
ARM,-72.59791989778424,-147.71949044066685,-220.8065486296068,-453.9672932200359,-399.15274046908786,-484.4364305468345,-746.3620494232975,-783.71052491088,-1178.890004185489,-1157.1470957974293,-1064.384332480398,-1591.021361407436,-2048.042414027117,-1698.5876288674692,-2480.1830593147793,-2376.7119688394996,-1453.1076240646776,-2708.9657705942864,-2575.6041805644154,-2407.406876419216,-2374.4118031464136,-3082.9301276063366,-3546.8998635795165,-4806.765378748556,-5503.76196894435,-6211.839772246567,-6297.840583633303,-3323.932926222887,-3697.6063071752815,-2322.1538511164645,Armenia
AUS,-6300.022574072848,-12641.317367539616,-13177.776807945638,-24492.607497259163,-34252.03737860373,-22440.561653560344,-48575.574261607624,-80228.76622666436,-73538.88507483475,-91776.01948018643,-117329.17222474783,-115113.76889890234,-138171.49518642714,-62724.32893428417,-175451.03469709787,-158934.75637809333,-196557.1007197374,-90821.64938943436,-121856.2726783749,-204752.86862943685,-222081.30569173212,-296171.7835131799,-342382.6176464747,-276531.8216718142,-322737.1127585534,-318390.7912598491,-313316.6104188456,-468791.2221209789,-322784.4013368779,-283329.881641085,Australia
AUT,-814.904147273603,-1611.2099366724233,-2315.1537680698134,-2370.5511397502314,-3658.9905478562996,-4574.85186440261,-5124.82022461649,-6432.824816482002,-7217.452497257985,-8518.1019224782,-8757.723448198056,-11058.995128117242,-11489.108954583844,-10396.003937331046,-16273.249455718555,-14873.617659618621,-15402.731894589322,-16583.89660473364,-21438.574889880172,-20584.506743562466,-21834.19051834642,-27243.389891337134,-20674.14867900299,-27381.559727261756,-32609.226335203944,-32815.104366733416,-39318.57418849355,-30053.214692732698,-29924.73698493575,-36531.22537800321,Austria
AZE,-769.2369947171858,-1549.778833485205,-2308.2021925498393,-2740.825243765649,-3014.118320584164,-3073.635810564648,-4381.7681240126785,-5952.880512229197,-5990.225845513878,-7095.277345387996,-10691.579834743137,-15251.912064893419,-18872.764061119455,-18320.77012250814,-20699.58158552617,-21710.379384903004,-22358.763221512072,-21459.055205058005,-28941.564561826282,-39229.15955139189,-25330.389689130945,-33710.781868710554,-40247.98841997163,-43570.551796396,-35097.70692140186,-42983.62345925679,-49472.136004274376,-50931.013235693696,-59955.97876567127,-66457.58811165369,Azerbaijan
BDI,-4.428587634085805,-9.262403302751688,-14.017020231564613,-18.29514327418973,-20.921047930531916,-28.367506883465875,-33.83193261272963,-41.873643619327,-47.52186536987019,-38.49447000113088,-36.719965930949385,-57.357408753630295,-59.91291516316417,-63.67297604258277,-63.936686816363036,-71.50870269310848,-79.50329390563995,-85.14132852552348,-92.31190125251759,-104.18261774339513,-116.65219337684155,-134.2176237797908,-60.96275021580498,-98.59016928178058,-91.04196233798791,-113.16224162337345,-142.27926708220235,-150.46949721223183,-444.2667011650904,-99.79686102212867,Burundi
BEL,-549.6269796565919,-1192.6348951073403,-1745.0530083741353,-2493.4316688629992,-3209.3108256956543,-3814.4281008798635,-5591.210927210315,-5791.254943683768,-6984.939579169033,-6517.334022467489,-7981.350380751832,-7576.902425080665,-9515.209680324371,-10151.403439135389,-12847.578488296083,-12840.46044123222,-13006.319779594614,-13263.46479459723,-16659.96657537203,-18313.873341893926,-18884.8637646736,-18317.77782150888,-21111.88105492151,-21946.789844589355,-25603.058824502834,-27270.884908757158,-19844.828377628135,-25295.301976117855,-25846.177965820865,-30924.741066591014,Belgium
BGD,-354.20797996666823,-804.9770750260255,-1271.199458734816,-1868.6971349120367,-2248.658604614902,-2982.1364507958815,-3853.5441216759514,-4705.9251417656305,-6591.649924476287,-7794.974203008128,-8329.803411859422,-8318.43751273688,-8717.168390669745,-8900.68953024894,-8026.595913815985,-6751.25036474546,-5473.812886551417,-5891.25581156934,-7216.041186783011,-7723.385065137009,-8721.31390497294,-9985.186759483606,-10827.544937125556,-14419.529356022871,-15773.922795634866,-17148.270071318417,-17979.681360242765,-18309.054206627607,-16048.367630318466,-15495.500651049459,Bangladesh
