country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.059974169577254564,-0.12129650288894234,-0.18330281534318088,-0.24561450522614273,-0.3094581769232032,-0.3743250230656311,-0.44125496295926836,-0.508664678872591,-0.5766630988623903,-0.6460295836283009,-0.7184160586379664,-0.7907978378990093,-0.8649720394631559,-0.9428397272603184,-1.0239039334113738,-1.1071122400730424,-1.1924272257245763,-1.2789763174209725,-1.3663301082030201,-1.4492226211779355,-1.5364633187119208,-1.625172310098599,-1.7139358691772353,-1.8041147137038522,-1.8942226447677775,-1.9838229598490036,-2.0729672935925634,-2.1632736768149368,-2.255519202137537,-2.3470901111974554
ALB,-0.04571492331680884,-0.09352833390360005,-0.14188767004135394,-0.19049796271756736,-0.2403166762854835,-0.29094758556832784,-0.34320338417674434,-0.3958487314331309,-0.44896905739930165,-0.5031738635440153,-0.5597555318961126,-0.6163508559473113,-0.6743656531577221,-0.735288867018788,-0.7987343339409158,-0.8638805180298488,-0.9306998805251475,-0.9985104339000095,-1.0669766217320973,-1.1319695259958444,-1.2003962730978446,-1.2700005376746166,-1.3396737354790869,-1.4104845936044812,-1.4812667165319044,-1.551676810473317,-1.6217550299077448,-1.692773663547227,-1.7653452405526742,-1.8374140413754898
ARG,-0.02395629753782466,-0.04905651398633491,-0.07444302712112869,-0.09996099100460579,-0.12611302299646185,-0.15269111698792168,-0.18012187548962755,-0.2077568203370279,-0.2356407990156467,-0.2640937492695355,-0.29379404641920603,-0.3235012115014938,-0.35395316748505457,-0.38593144087066605,-0.4192333111796133,-0.4534275481277236,-0.48849969241078656,-0.5240917842038484,-0.5600277085846225,-0.5941403541887732,-0.6300550667607663,-0.66658758103673,-0.7031560616607666,-0.7403214568574336,-0.7774715985776789,-0.8144263343634278,-0.8512067647389547,-0.8884806722990704,-0.9265695604069177,-0.9643945186198102
ARM,-0.037392068643140056,-0.07514832338792,-0.113346028769955,-0.1517524499447328,-0.1911245402666228,-0.2311498252278557,-0.27247158586100756,-0.3141136545145985,-0.35614390474086355,-0.39904513781756296,-0.4438414824005459,-0.48866284211483957,-0.5346231068232075,-0.5829035172715921,-0.6332002321332988,-0.684863734906556,-0.7378736345851992,-0.7916900539064526,-0.8460474119215451,-0.8976663730510095,-0.9520327180920263,-1.0073558060948005,-1.0627550665728547,-1.119080821859268,-1.1754057766183192,-1.231456555418572,-1.2872647815776506,-1.3438439396049051,-1.4016831732779318,-1.4591445687744826
AUS,-0.025124417167073258,-0.051190120753092296,-0.0775557884337174,-0.1040606658648904,-0.1312269287433916,-0.1588386739411409,-0.18733930430842702,-0.21605522442476502,-0.2450331113451159,-0.27460559322244354,-0.3054780557055332,-0.33636128647019015,-0.3680225571029514,-0.401274856509224,-0.43590794325928844,-0.47147379643544035,-0.5079577438195745,-0.5449877100736936,-0.5823806487905803,-0.6178812585734965,-0.6552623824606723,-0.6932919205129084,-0.7313643344536004,-0.7700637778144499,-0.8087529391839969,-0.847244149198237,-0.8855592968810884,-0.9243940939120093,-0.9640837972439712,-1.0035042709671698
AUT,-0.036974940979390046,-0.07517530606396766,-0.11382177045308163,-0.15267884996090592,-0.19251235578255127,-0.23300611692827994,-0.2748109006417311,-0.31693909278498555,-0.35945934241193456,-0.4028600514914935,-0.44817720643867526,-0.49351892170017625,-0.5400119919022389,-0.5888512637625506,-0.6397292634640637,-0.691988876643602,-0.7456094010154014,-0.800044679406076,-0.8550260394997474,-0.907236566951798,-0.9622249099955071,-1.018179835909548,-1.074210687640353,-1.1311774541060773,-1.188142259937887,-1.2448286348709199,-1.3012685791341227,-1.3584870346955507,-1.4169786131570885,-1.4750869009850531
AZE,-0.051865536327012775,-0.10500275033872015,-0.15874196020726367,-0.21275526631712602,-0.26810634036350955,-0.32435465164566146,-0.3824026871421336,-0.440877858573028,-0.49987492066858835,-0.5600705538802058,-0.6228994055573206,-0.6857369443700166,-0.7501437976994831,-0.8177721953329858,-0.8881924751630949,-0.9604919801291792,-1.03463948770633,-1.109877680765627,-1.1858339147763803,-1.2579281526927988,-1.3338222265963111,-1.4110126432833217,-1.4882697361940471,-1.5667783122564682,-1.6452449469296333,-1.723289167233651,-1.800955633102875,-1.8796542762457693,-1.9600633323202368,-2.039904849939026
BDI,-0.030051486088811252,-0.05980477784486293,-0.08989688375073968,-0.12014424309696459,-0.1511426003069749,-0.18264536612323523,-0.21515814233712405,-0.24791227085733114,-0.2809608895858906,-0.3146831637960146,-0.34988303044984903,-0.38509026362705256,-0.4211793774678618,-0.45907647441788546,-0.49854119450085665,-0.5390624064652294,-0.580622891720739,-0.6227983979256391,-0.6653801985797791,-0.7058004645398408,-0.7483548922914474,-0.791640156027118,-0.8349668394450283,-0.8789995277426854,-0.9230129039373036,-0.9667935451906806,-1.0103664628975384,-1.0545227481868702,-1.0996431977763343,-1.1444496909685298
BEL,-0.02841340426492582,-0.05696557558176622,-0.08585192969950586,-0.11489647700361938,-0.14467168003747854,-0.17494125695955276,-0.2061917324019743,-0.23768488915142078,-0.26947207569449977,-0.30191845822650015,-0.3357986439815124,-0.36969828926591153,-0.4044598909122633,-0.4409769421444232,-0.4790197277479423,-0.5180970570964579,-0.5581935789415959,-0.5989009924697567,-0.6400184544656536,-0.679065340797679,-0.7201913525889754,-0.7620420459787574,-0.8039513277974175,-0.8465625037730646,-0.8891741018927397,-0.9315793116132387,-0.9738020569370572,-1.016609137177445,-1.0603707062593537,-1.1038475469086644
BGD,-0.032623328604602604,-0.06613001037258201,-0.10001404589167626,-0.13406864117874784,-0.16896433553781381,-0.2044232686559606,-0.2410142037824207,-0.2778717887902704,-0.31505569922557486,-0.352992323391532,-0.3925855612673473,-0.4321813292783217,-0.4727629302388873,-0.5153710785177369,-0.5597346479854864,-0.6052783453812453,-0.6519822363727356,-0.69936909696096,-0.7472041111172709,-0.7926031825549149,-0.8403911427487997,-0.8889912538564064,-0.9376292246829606,-0.9870508887371497,-1.0364419636701199,-1.085563029480787,-1.134442291745194,-1.1839670703613512,-1.234563996899639,-1.2847996287287426
