country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.1156162699654074,-0.23268002540409635,-0.3463312123572363,-0.4610897525595838,-0.5765701873817706,-0.6944418756262679,-0.8157619403017217,-0.9377270597330469,-1.0591699470763607,-1.1831402342286559,-1.3106450449408855,-1.4391410356638974,-1.5706192718132412,-1.7088595806231217,-1.8519224279035966,-1.9997610171188072,-2.1523671473608146,-2.3094061207683807,-2.4692008890683215,-2.6262683969504677,-2.7921557141833766,-2.963474687881863,-3.1372166865640323,-3.312351808931854,-3.488605124083643,-3.6646009272510534,-3.8402630605453507,-4.018588621522897,-4.200344846348191,-4.383186363032431
ALB,-0.08589171632732998,-0.18288200306413022,-0.2770814688936065,-0.3722353341527614,-0.46802487438705553,-0.5658363208823404,-0.666549788830417,-0.7678401804993389,-0.8687381522236202,-0.9717784570037152,-1.077801353188186,-1.1846944120426364,-1.2941161200221099,-1.409217645016811,-1.5283907955986724,-1.6516023666793527,-1.7788514618300957,-1.9098649070886786,-2.043248330038075,-2.1744249723730005,-2.3130426358991536,-2.4562800333822823,-2.6016273407600865,-2.7482257884036216,-2.8958471224801228,-3.043339786641815,-3.190639550838679,-3.3402613673786203,-3.4928535963597644,-3.6464506784286743
ARG,-0.04655814437767904,-0.09486158778941707,-0.14178089280918654,-0.18918137425341983,-0.23690445395724097,-0.2856410614002794,-0.33583025871128075,-0.38631376493419584,-0.43660852901494174,-0.4879782900261107,-0.540842549599445,-0.5941485047674687,-0.6487236637812994,-0.7061407228216634,-0.7655987116716731,-0.8270821823345668,-0.8905918562660594,-0.9559925784636634,-1.0225892868551822,-1.088097008859187,-1.1573346351008502,-1.228894980898044,-1.3015254036234383,-1.3747974993601284,-1.4485977412005508,-1.5223507601860113,-1.5960245564964508,-1.6708775697470923,-1.7472353048619425,-1.8241151165718292
ARM,-0.08328067159622943,-0.1597944365650115,-0.23414573894246654,-0.3092895012749136,-0.38497498311886547,-0.46229911882945784,-0.5419607934689984,-0.6221231515187735,-0.702019134405965,-0.7836570126682623,-0.8677059204569824,-0.9524938452560874,-1.0393386370698745,-1.1307471232853021,-1.2254493422039303,-1.3234251107897415,-1.424680100315886,-1.5290032904290976,-1.6352894823646509,-1.7398917762720287,-1.8505079488354217,-1.9648972457663019,-2.0810614150954514,-2.1983171637654215,-2.3164839836797744,-2.4346408480592814,-2.5527359149428355,-2.672787442562597,-2.7953206412129337,-2.9187609179074547
AUS,-0.05150336059450201,-0.10448249086826196,-0.15594979775537676,-0.20795121147299248,-0.2603129089987807,-0.3137932332394678,-0.36887447400307277,-0.42428579978524666,-0.4794970146539745,-0.535895563350297,-0.5939425484668515,-0.652482356849198,-0.7124241070010107,-0.7754960603601112,-0.8408194890294566,-0.9083783899189551,-0.9781745498521981,-1.0500604213367524,-1.123272807618137,-1.1952997427348808,-1.2714403672523962,-1.350148843710783,-1.4300483339860004,-1.5106680106894776,-1.5918832594632588,-1.6730609952867415,-1.7541659123348805,-1.8365836575322518,-1.9206733768812707,-2.0053534772230575
AUT,-0.0772157372309831,-0.1615609898554849,-0.2435071954029469,-0.32631156486915175,-0.4096974189331506,-0.49487264958089183,-0.582605883852874,-0.6708732738587423,-0.7588301634404796,-0.848686994830655,-0.9411789373018541,-1.0344649973966265,-1.1299941961744155,-1.2305217619583657,-1.334648232700773,-1.4423489946845092,-1.5536277872996571,-1.6682502187169408,-1.7849999792277607,-1.8998710956809535,-2.021315284043729,-2.146868304893345,-2.2743345026756128,-2.40296289900138,-2.532554656432784,-2.66209938000424,-2.791540358691232,-2.9230889780816236,-3.057318788947751,-3.192503404594874
AZE,-0.09670657668036794,-0.1996667755689976,-0.29965512065318844,-0.40064726090851693,-0.5023046866222002,-0.6060981555243449,-0.7129608664602547,-0.820425227835974,-0.9274627848275249,-1.036762257144707,-1.1492141334067016,-1.262577269548548,-1.3786099810672472,-1.5006524313527863,-1.6269977368694801,-1.757609213192467,-1.8924843873791206,-2.031332195049894,-2.1726736589194364,-2.3116589293564056,-2.4585090467807538,-2.6102326256121935,-2.764169684386777,-2.919409960214772,-3.0757112407574074,-3.2318540642037674,-3.387770512015576,-3.5461221799094558,-3.707594049753133,-3.8701052642446525
BDI,-0.049050636880720866,-0.10670818218220246,-0.16271052813997544,-0.21928417420503665,-0.27623977351890483,-0.33440178862066405,-0.3942939415836455,-0.45453384357140303,-0.5145450730780432,-0.575835414695558,-0.6389051084413011,-0.7024978958098282,-0.7676007764601311,-0.8360893553922888,-0.9070076300496055,-0.9803366705711025,-1.0560768104781126,-1.134066344690754,-1.213475990343671,-1.2915811321288606,-1.3741269712628124,-1.459434966998141,-1.5460113112351626,-1.6333450635468316,-1.7213007193395469,-1.8091924559363592,-1.8969821465511738,-1.9861691597865105,-2.077140889127571,-2.1687262802629337
BEL,-0.058262348134649304,-0.1212387112422983,-0.18243092898572308,-0.24427110564949797,-0.30655282304464954,-0.3701786086324055,-0.4357232419492515,-0.5016751840305644,-0.5674033842289851,-0.6345599135424678,-0.7036949079563677,-0.7734328225534405,-0.8448574011709932,-0.9200298305336546,-0.9979050715251003,-1.0784659924236708,-1.1617167155841788,-1.247483222312231,-1.3348565113424575,-1.4208387059218168,-1.5117570027066451,-1.605768818374665,-1.7012314471129169,-1.7975832209534628,-1.894675760148109,-1.991752358485583,-2.088770582429243,-2.187388456293305,-2.288037156427141,-2.3894231578584044
BGD,-0.0662404548022452,-0.12928185528985212,-0.190501054067589,-0.2523323341497691,-0.314568446572362,-0.37810977287499453,-0.4435274882381413,-0.5093109575654328,-0.5748306879506017,-0.6417325100614023,-0.710561384080038,-0.7799455142670753,-0.850961051973921,-0.9256520942181912,-1.0029737867442674,-1.0829035252403765,-1.1654396586938198,-1.2504039629082844,-1.3368913795725779,-1.4219344263567564,-1.5117872317416405,-1.6046193149708896,-1.6988031952151432,-1.793782077970221,-1.889407949008855,-1.9849349470860906,-2.0803217570912853,-2.1771968950370826,-2.275979581680642,-2.375397029578591
