country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.2268543750006771,-0.3117623842435961,-0.3940390263018081,-0.4769607568667276,-0.5602448528314163,-0.645088293014315,-0.7322390368964962,-0.8196738841506125,-0.906555217249023,-0.9950597521661806,-1.0858921491043274,-1.177229472959939,-1.2704769157367573,-1.3682906647731943,-1.4692680931841,-1.5733497850419402,-1.6805026873475417,-1.7904644495964026,-1.9020384500773733,-2.0113949169619616,-2.126553492049851,-2.245116073545781,-2.3649734293672338,-2.485400688624014,-2.606198587779627,-2.726419562946233,-2.8460118082962356,-2.967005898418338,-3.0898991551577937,-3.213087669255824
ALB,0.10072691599592859,-0.004371540437210044,-0.10636919700641607,-0.20932325550859818,-0.312886626631693,-0.41855441983682656,-0.5272709757156737,-0.6365214951844056,-0.7452599329740262,-0.8562153293234491,-0.9702851632533414,-1.0851910126287336,-1.2027103721697996,-1.3262151171630014,-1.453964314054079,-1.5859088755080215,-1.7220338148119125,-1.8620328786614873,-2.0044044510367915,-2.1442624445535254,-2.2918826124318348,-2.444236933865578,-2.598641554209065,-2.7541765633141932,-2.9105941310591463,-3.066671266194152,-3.222339721414604,-3.380251835206604,-3.541079593446748,-3.702741733341018
ARG,-0.02962678729425836,-0.0794434320910483,-0.12782035381116935,-0.1766811111216842,-0.22586188101196333,-0.27607411592433445,-0.3277691066644967,-0.3797530417680716,-0.4315283991669584,-0.48439568804159355,-0.5387854534900197,-0.5936135631530867,-0.6497303165057033,-0.7087508105169935,-0.7698492065164714,-0.8330074416727259,-0.8982239737706255,-0.9653577351697794,-1.0336933361946072,-1.1008859496256027,-1.1718766931180338,-1.2452189006996113,-1.319626379739467,-1.394658974755097,-1.4701994581471947,-1.5456583950040454,-1.6210029471446876,-1.6975191543806538,-1.7755377070486014,-1.8540529392865523
ARM,-0.5482207702679022,-0.6160512281030989,-0.682075225110789,-0.7489129315816418,-0.8163433112406704,-0.8853476465614674,-0.9565575994125843,-1.0283366591303658,-1.0999975034111367,-1.173343801058171,-1.248985049824352,-1.3254227321991217,-1.4038501895726938,-1.4865457717351713,-1.5723784582216427,-1.6613448004444267,-1.753465234893996,-1.848562513046233,-1.9456406321077826,-2.04136727895763,-2.1427964943529476,-2.247897958148877,-2.3548486429176143,-2.463024636869481,-2.572262209971422,-2.6817095522796217,-2.79131550575096,-2.9029555382950707,-3.0171271152856223,-3.1323692398169465
AUS,-0.10843513425153688,-0.16692861978385065,-0.2237568691291543,-0.28117868153919223,-0.33900207778878816,-0.3980645082842389,-0.4588987377596546,-0.5201012393521413,-0.5810862489635437,-0.6433862410834414,-0.707510648407253,-0.7721828613705629,-0.8384072174867758,-0.9080932698370826,-0.9802703420609893,-1.0549208303265398,-1.1320467521979014,-1.211485033955976,-1.2923921787116597,-1.3719918540147187,-1.4561401116521722,-1.5431284351360046,-1.6314348450953202,-1.7205385519697285,-1.81030138598901,-1.9000231407034405,-1.9896643151911233,-2.0807558788186693,-2.173694237838171,-2.26728338162845
AUT,0.06558046282669744,-0.02899064675121469,-0.12089646655647235,-0.2137887118227624,-0.307357026759175,-0.4029570881358405,-0.5014527496863058,-0.6005724091405573,-0.6993669225027167,-0.8003189026993486,-0.9042552748676841,-1.0091077027864865,-1.1165051115394093,-1.2295467140097793,-1.3466609780530365,-1.467821597810436,-1.5930340464049622,-1.7220355364663917,-1.8534574789873968,-1.9827889257878075,-2.119545231021377,-2.260952770951385,-2.40453831049127,-2.5494545850483306,-2.6954759048068433,-2.841461761734851,-2.98734600645617,-3.1356190360995946,-3.2869257230692246,-3.439318110610948
AZE,-0.0484452294602562,-0.1407093357939906,-0.2302329456432287,-0.32057755450651254,-0.4114381464291014,-0.5041256364296802,-0.5994667547155805,-0.6952550850165746,-0.7905733614058426,-0.8878132019953148,-0.9877594991838288,-1.0884145493350128,-1.1913343045639453,-1.2994688443535989,-1.4112902938757408,-1.5267525576522416,-1.6458393626222845,-1.7682795407049658,-1.8927571749732812,-2.015000096850125,-2.143987574478657,-2.27706823478785,-2.4118946066414417,-2.547661686868175,-2.68415196891799,-2.820297693979936,-2.9560393189435925,-3.0936885454792717,-3.2338283441351856,-3.3746429816168098
BDI,0.7503214789487345,0.6717110303273266,0.5954056424714915,0.5183703789519933,0.4408642409716501,0.36176738793238794,0.280371699391746,0.19855863672328944,0.11711131157434718,0.03398483911278838,-0.05149489541981245,-0.13762199073547032,-0.22572990820454164,-0.31834975357695194,-0.41417937111073444,-0.5131853734516745,-0.6153597939988487,-0.7204764122895502,-0.827410678593643,-0.9324934169025134,-1.0434481828481057,-1.1580050198309988,-1.274149954447279,-1.391193195393392,-1.5089504431482936,-1.6265019954885274,-1.7437972608429275,-1.8628367322787498,-1.9841305789214503,-2.106112277714489
BEL,-0.10864288752945636,-0.1814145012572692,-0.2521718779847236,-0.32372550158452934,-0.3958372992679678,-0.4695538069981727,-0.5455442091398808,-0.622058217544589,-0.6983634152449121,-0.7763785124933941,-0.8567460241238268,-0.9378693019095986,-1.0210110413497364,-1.1085764162093255,-1.199355249064535,-1.2933335032685727,-1.3905219531163164,-1.4907232170174631,-1.592879600895845,-1.6934850930748861,-1.799946442624176,-1.910115462209324,-2.0220718361113685,-2.135158467718041,-2.2492018223870995,-2.363312398180807,-2.477438584175362,-2.5935311555231424,-2.712100610896746,-2.831624944089267
BGD,-0.43033791297628554,-0.4815770200927626,-0.5312844870619705,-0.5814383529808416,-0.6318692115476059,-0.6833045050184408,-0.7362025089365011,-0.7893387600593635,-0.8422046109784799,-0.8961265578677292,-0.9515392891616297,-1.0073350515668342,-1.064376095397745,-1.124296633971264,-1.186248958525152,-1.2502068131241277,-1.3161604249270147,-1.3839590030133513,-1.452873511469834,-1.5205392271432678,-1.5919263649556026,-1.6655665334347638,-1.7401605822435857,-1.8152633134572393,-1.89075488209648,-1.966045296032178,-2.0411023371378154,-2.1172047652098698,-2.1946750728129114,-2.2725099330993244
BGR,-0.38809193053245955,-0.4959192027675275,-0.6004973725833366,-0.705988546557327,-0.8120355161575875,-0.9201666347416642,-1.031342959504069,-1.1429891973634934,-1.254036353307666,-1.3672696372378481,-1.4835993252063864,-1.6006975566478987,-1.720372011459951,-1.8460467083598073,-1.9759380696055815,-2.1099859223202424,-2.2481645528353496,-2.3901526422217847,-2.5344189706806737,-2.6760125953109837,-2.825329766216266,-2.979290056787607,-3.1351716793886806,-3.2920411822859963,-3.449645682497338,-3.6067521162028857,-3.7632928944958084,-3.921932496868174,-4.08333822769745,-4.245415524724788
