country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AGO,ssp126,gfdl-esm4,-12981715.577348707,-16884129.307557944,-15781059.589897774,-7918880.937640733,-9859145.172999557,-3992005.855950103,-10409063.574925432,-11679569.60759829,-12182292.44737412,-11623144.723517522,-11418886.976911519,-4978958.983656001,-13464098.633161776,-26543012.535988234,-11611507.862748383,-7186562.011008568,-4911641.611287687,-5359779.844641192,-10680691.582563134,-23449352.11392818,-3930905.1366468943,-9951683.83145374,-13769717.641485026,-16221197.302350612,-16773956.836958675,-6569435.602022962,-16536975.194161756,-10687571.59581887,-18032673.364740793,-15122057.341046145,-17899602.980265357,-23768534.756331224,-15991560.429352233,-10821992.43491461,-15273858.914132683,-10742044.448808022,-15841307.298349263,-15335972.730031395,-10430566.210607352,-26453286.275178924,-17664677.46736995,-11969081.605875183,-18132677.03533375,-12592383.040028058,-10757268.93761956,-24668515.29317684,-14342285.173762973,-20756784.018951252,-33345370.42580286,-26111581.853493568,-23893659.334090043,-24357901.055888057,-14719781.151229499,-9717850.5195582,-7002220.542976745,-13076336.121572066,-10841230.076603733,-20803696.97503771,-19404842.30755957,-23828899.41409604,-22430871.304547135,-24768645.733428065,-10391545.428736707,-13228375.93482065,-14516483.392969603,-29428001.58179741,-18780899.10586597,-21145633.79203912,-17066943.225914683,-9134800.4490039,-9784325.209168147,-8596834.737703402,-28701139.41752573,-14116231.212310456,-8384549.691009431,-13039331.8310664,-10882669.500637483,-20742011.057530742,-14899937.871630391,-15833616.923111988,-19693451.29777967
ALB,ssp126,gfdl-esm4,-5042307.656791224,-12671256.737508347,-8239655.425578997,-16936806.6879445,-15753696.539661061,-26485362.37231064,-3751004.7214860767,-12073420.07244214,-9090827.554358749,-3925978.5917374003,-21945452.40564534,-17016841.904632147,-14061385.568769809,-5598548.144941876,-1995706.3907472857,-21734895.008424826,-10308971.314345982,-8684711.922317004,648845.5472772315,-9522249.432907935,-5473510.352175158,-10932988.000128174,-9924548.909444878,-8048383.601464559,-16744725.58189689,-9294058.340131618,-8352904.6367231645,-28532522.479327627,-13716435.9257616,-6695620.382872946,-655575.7693359178,-3323987.0058339536,-7464038.960575177,-16829979.879782647,-11453493.73296633,-8062299.218642439,-6796956.027228983,-11697663.552199401,-7221923.209756716,-10325713.489545722,-7025924.391150762,-23573552.88283426,-22216107.308852907,-23595014.75662086,-24377295.95816732,-10637749.001372414,-3793149.034346801,-21049922.00662744,-32633868.398941696,-27397446.150240034,-20554306.988749728,-40829257.120248176,-12370031.972959386,-22440044.98304457,-26277034.782141395,-17294372.125598535,-21143685.073440064,-11478429.707738807,-5646926.712785104,-27526638.32563692,383995.92910471244,-9246672.73895321,-16163842.574043322,-969637.9107822602,-16145017.445425907,-27192002.047340374,-9370485.571541935,-16764513.13798951,-10040176.645676233,-21526531.71160578,-12384995.29602243,-14750371.078543995,-12995068.43864343,-22251422.822173078,-8348125.925783613,-7229725.302545894,-9678596.529405849,-12793293.085701546,-9774773.83079184,-11866944.43840217,1334470.6240469203
ARG,ssp126,gfdl-esm4,-70039293.95307036,-6261212.051362873,-7122926.702453209,-8756593.437623635,-33371136.298958976,-2509265.811218723,-5658570.114606893,-19136446.8992999,1507574.7986402865,-1245316.8914415436,-19293809.359300453,-1311408.044426508,-1679349.7652878892,-12129458.549437251,-9622559.103231965,-16321832.490167417,-18030924.73424837,-5120384.14210484,-24070138.972819015,-15082506.280566607,-32494812.995635647,-20141575.11250478,-23587262.222353976,-21990843.999684136,-5074175.682442914,-24060221.981685463,-37637959.31509313,-11454643.5070196,-25368553.374236975,-2551864.9816329465,-3236107.721273741,-19967944.22324269,-29734465.20612638,-21940020.743109804,-7083336.544253757,-16161599.39769896,-31903668.453168605,-31940899.357223067,-44213060.767880596,-32971624.545507766,-13142375.085974663,-20018277.70552892,-19026069.527407628,-7815277.211221987,-18998950.97158269,-11891631.141801978,-25249844.27248935,-2441068.8144675815,-10176780.3190502,-6365515.806523278,9534806.631693913,-12998711.838639386,-18970712.389420647,-8396753.652286908,-12058297.795859078,-15854986.403013937,5166177.04256747,-1332531.6110448774,9406252.451019334,-8769055.340823961,-6948532.254650134,-31328934.2261709,12547229.250412874,-19681322.762569707,-40742427.42624985,-2459544.0425882437,-10601378.392708594,9102885.743386578,-19066732.53855095,-20341582.061443616,-7354644.155574917,-16280450.777599322,-8106534.504191716,-22505855.296105742,-7499743.7309599025,4985930.283328061,-796786.3245960382,-15150570.998260293,-10446930.285736514,-13892167.76404682,-9524525.660228547
ARM,ssp126,gfdl-esm4,-12674.948192311755,-131106.4184361331,14078.193142192258,-56031.73900970299,35470.418380606236,-115001.12659002231,-114997.06666034657,-239425.61105776398,-123472.85949819343,-8600.73392684281,-88751.75736795757,-62081.48045543349,-222970.96054864832,-45882.68724130998,-225435.3562199901,-92842.26114584702,-188969.89640782896,-74626.38503299364,-76559.79523770467,-170218.7892946778,-112181.88297429077,-40365.08497108538,-157089.5210279749,-42930.94874640943,-179594.45087676749,-103835.8693289485,13622.07814993228,-43841.99396406454,-102550.98055956016,-108485.31072715108,-136249.57943094725,-151033.905041391,-115712.21935413839,-402338.2789977169,-311958.0483734904,-209679.67649058276,-273292.8818441447,-286802.2812570459,-157441.7083233997,-38259.61795751303,-46965.22928057539,-95948.59872756919,-26693.240072597127,-274912.52510442503,-293617.6834046067,-385158.77627195884,-29899.304905858833,1537.2693969230797,52372.33678411143,-37325.55651963631,-243395.87586867018,-186659.0564766848,-6684.753491067638,353.79108033795524,-27357.68152209385,-367919.3007797222,-1492.4485703723174,-147857.29929370657,-51558.458324934436,-78232.1900186767,-169619.25202747164,-120428.44359449019,-43788.70589745227,-199339.2903607146,-271839.876108813,-307433.2731806267,-138946.25404852012,-57399.74005639013,-214756.85249111961,-142389.27211854878,-191749.89888926168,-124298.38014837974,-308774.7130005197,-43903.0489252831,-73690.19663064094,-196189.63648782042,-113811.58073063644,-127676.18475965499,-318382.3318057865,-229396.7478193042,-216585.2431062961
AUS,ssp126,gfdl-esm4,-3978459.970111017,-15629088.382787092,-3891533.6521118726,-2470828.6477759196,-1949876.59209963,-1849605.2120281884,-9399808.718636448,1874889.1285646225,-2986472.0787207983,-13990318.615121184,-11035075.296628932,-11368287.282871183,-12243729.826861085,-5953812.367159042,-13385621.275015164,-6696509.2436754275,-5336154.483181504,-11264016.173790023,-12104959.203648997,-9065348.15262234,-8946967.11133438,-7273556.010177186,-3329805.048216123,-9672576.186353333,-3201205.704855435,-15221474.461296877,-20721173.912153754,-12986856.393269999,-4420453.513332474,-10904729.435829202,-2988768.9739727103,-5529424.191732294,-3964209.0741367247,160066.1150682041,-1491030.775119527,-18020681.789286386,-16707391.456418317,-22365640.285675786,-7770668.246423215,-8230423.457668126,-7557048.22652963,-17536660.327233054,-20630742.384949718,-13699639.718738887,-7802427.989325075,-10358650.873425063,-20440360.412715845,-11518798.827497361,-11749059.234998534,-13801345.88318128,-11883165.690957194,-7755178.338929018,-6497751.349446242,-5001125.130173585,-4504370.347508083,-13387989.100071542,-14343793.59967952,-11708666.98346029,-14629235.786069097,-11352268.556023905,-9835937.08587195,-18736087.018778425,-9661904.117697692,-10354213.282612663,-1432635.3406770655,2505178.336745513,-16550529.264378129,-11928916.782963058,-9067693.84632084,-12758078.163396522,-17536494.79668032,-11194065.868118407,-9624414.83801116,-13699848.846985038,-2580210.4027337236,-768119.1143586328,-3177946.5310411323,-10378005.059201818,-7989616.416810657,-10400014.13242517,-12701552.552166566
AUT,ssp126,gfdl-esm4,6675932.664677694,-799036.4987968487,2639089.41861398,-885781.9005504556,1412804.9324486614,-3944929.575199686,4043140.2655026307,-1627908.327036253,-653450.7079338016,4043208.71767476,-18691955.0434417,2889392.266112729,-4449921.575000508,-13012684.864823367,11144281.889715416,-19780791.075579666,-10980902.131694105,1834814.9537877876,10388083.469787637,4408403.282754271,-12726791.849590234,-4688155.892781758,-21224200.970066205,-571609.378452439,872909.1637491703,5401531.539437669,-12112971.709646564,-2109318.5828654747,-36361874.23064513,3945258.0954534933,9968797.816804647,9680003.844725415,4078551.479329897,-625759.5563705192,2468600.0124148433,2602598.3303418644,3740990.4062528736,4240724.111074278,4645380.866999131,-7613677.840008844,6226595.380340906,-10488990.109629387,-13676955.746335404,-2223832.49180796,-9449826.717793694,5433720.47076033,4030093.030464221,-8767372.237443194,-20653172.870830927,-25789402.509200234,-34299677.12959527,-40155012.28297742,11244032.49835966,-270600.849682912,-12056174.762924416,4658925.694992898,-8306776.9775220435,6637061.333132143,5885900.939937416,182657.49849947388,9344742.568047214,6985131.505116235,-13088305.485208517,11917299.30268973,-1942502.1886003143,-12958706.01996524,-6236799.257200424,4080277.749341292,2537953.9692816897,-1775566.0500032906,4575421.278174506,3418286.1124266493,-9392087.28885736,-7822249.840082135,3174082.1596946856,6623739.214095148,-3014404.0265604006,14551502.280676782,4405036.994853051,9025465.618899385,18378579.694706146
AZE,ssp126,gfdl-esm4,-3135363.4373711203,-7676136.477378924,-2274871.7516505644,-8501191.191811042,-707028.5679455849,-10112419.294566574,-9972283.07657353,-10758020.203344317,-7834700.01638699,-2856669.499989894,-5341393.9538554335,-4373298.476390738,-9822093.762727072,-5994441.764836676,-11870704.78544774,-8652207.925198207,-7528854.841156663,-2923173.5264384,-6513482.667800753,-11949963.90547052,-5553585.493901222,-3014147.362810924,-6081844.764380967,-2996812.013665167,-9650784.296080507,-5150238.51616525,-328040.05440402665,-3812087.015535645,-6436730.149871964,-5863673.990223562,-10308186.546411032,-6872793.4577570455,-8692753.794700066,-17037994.64354314,-14867240.445498012,-8010088.798950732,-8970485.861942086,-10648128.874103406,-4391457.08162453,-2944076.480722513,-3872906.7554726438,-6486900.840376338,-2931176.6524062394,-12155571.855421958,-12453521.566938164,-15326424.176620608,-2582009.847549486,-1656661.767052375,1830291.4389215035,-1818384.7027551588,-8577934.776101673,-10352322.113680804,-4808328.887196624,-2337825.4438056513,-2411001.785778996,-15148131.09480808,-4641768.301295256,-11088336.158679713,-3713628.1262970166,-4947739.672594427,-11154216.987519287,-10918130.402942317,-1566874.4468397088,-7003799.178839478,-12118585.838861607,-13188371.676635819,-6507414.438238189,-7221767.367752676,-11560090.834399195,-7817705.187052715,-8135538.00040437,-7685518.287126942,-12017579.375859844,-618551.638905373,-4311549.734334247,-7885554.7054325845,-4954036.524249522,-7684171.886797711,-15173708.90084639,-8451246.672711147,-7787972.968398769
BDI,ssp126,gfdl-esm4,-9184404.44449268,-8005459.127084999,-9519542.196509078,-5421635.917865692,-12125310.849802202,-7118527.469289844,-4938143.949313819,-3846942.5452836603,-3678422.7766347406,-3569403.1242453326,-1544991.8643989589,-1898696.4609190805,-3227563.149944639,-7370039.437558743,-1768650.5034415212,-7579501.86041262,-8195771.102424315,-4679109.69936309,-2503034.681941261,-5197007.72191569,-2660948.743983287,-4086777.85376538,-7166061.555967835,-4324428.56134749,-5705037.880829857,-2814153.7206616784,-6052332.756850009,-5501676.794841072,-10674320.905557822,-7648398.014535745,-2684601.2107488886,-9117155.25799275,-3892412.817428493,-4210876.793024291,-2855058.4794727494,-6800173.867558501,-2894216.81714313,-4537205.132659095,-4224274.985447648,-10219361.802925767,-6620271.792005279,-5561071.3160917405,-3367928.3362287553,-6910995.475243493,-7914587.285423359,-11601738.684656791,-5518568.732663914,-2645729.8939156746,-4143175.784151124,-4029594.1807765546,-3856640.1559239863,-6887695.220367184,-5794252.884760342,-8052729.850671179,-11728854.814277258,-7276930.920454431,-3847627.72289685,-10648235.50919875,-4394426.456043938,-4384417.55629364,-6566452.415972161,-4780155.085101371,-11274174.159775486,-6709762.728918119,-5523563.793214105,-3988343.589318239,-5913975.463970504,-4989712.5444821175,-8023821.419475235,-4535564.745502511,-6422126.544823554,-4004451.7327788924,-8654013.192226272,-5615954.169328774,-3689766.5007058145,-5873665.041892503,-1914982.349120654,-6884432.279982926,-4605232.553637768,-6224803.035074293,-5330938.845652473
BEL,ssp126,gfdl-esm4,1544325.2177890968,1912048.4333373804,3058025.3370621074,-1340808.9128729198,-5401021.98839551,3046335.08258239,1604752.0408003416,-2907570.411320114,1508123.9427570018,2789138.8748894385,-2588936.186765439,2317653.0975426417,1715306.6414597186,-1755334.2609251183,86994.16537893479,-620893.0798674482,168045.23424300514,-858625.5425427317,2177480.86947145,1066293.1480908426,-8854233.13845366,-8232889.901736483,-1084312.0328582001,384488.3766048918,-2496283.3922121353,2630065.4799832166,-3323044.5116798272,-2225986.6982710473,-5462630.342501242,1439617.0673442732,-938128.7742681048,-2129141.540365101,1268290.2287785383,1802824.6613863048,2302759.1960505275,-2576940.2342565157,1305947.095008084,1114748.080272346,1403854.4508040345,-4705354.443566488,537928.4990369023,770580.0176907278,-176732.54379266902,1185368.6398628047,240188.46304853167,-1058566.0539027909,-3273421.4912233423,-6040586.593655055,1438526.3746802963,-2852546.0470391335,-2284846.592551391,497688.514015737,1523046.1150685325,2513152.771050013,-263189.4328260917,2734523.4638876123,1879465.6259013377,2177758.7417915724,2001332.0529959134,1384853.2413097364,718783.8127054527,235313.5838099231,1371699.232894191,1706813.9872967678,2515459.212348466,-867109.4921585012,-1216407.7288779211,1554073.5877952909,1986262.7698020649,419392.9116459161,-1387431.9654778603,1563177.244290118,-149514.5730625889,-498989.622060286,3719677.6546273218,2210986.6773554,-1400370.9564104816,-805417.4490889806,-422791.93252870307,3217131.9090485624,1339319.4604603685
BEN,ssp126,gfdl-esm4,-49117830.76285288,-62997612.1793955,-18808775.477788582,-27113012.72235592,655289.7687124035,-22932604.647820104,-19997293.422752306,-9679112.040062767,-37459754.80417328,-43289028.86382113,-37827118.36915085,-79290979.4123646,-69976506.5000715,-69801924.88769627,-55947764.67971961,-45342797.1612,-25344371.692751896,-39924305.0930045,-73812636.07693794,-79550509.3634224,-23487234.495744072,-28305877.076920044,-72180009.18625069,-88914339.6901127,-87889771.37195212,-39193569.479586184,-55107353.5564651,-72735979.49929456,-49470144.596999034,-58953595.33519663,-60534866.671887085,-48460207.487320766,-89307587.99653164,-46929399.26558835,-50697185.6744831,-59140870.68465956,-88915104.54177572,-73693244.84118608,-59957911.75481552,-12060005.824253628,-98918190.27450524,-66864764.196907535,-74539864.59753348,-92102879.21414495,-79319034.81236844,-70295480.04538792,-63381045.49376822,-69015897.72119735,-82991756.16666658,-85503608.85814328,-73093486.89910503,-47088613.52992247,-85841762.12832175,-39861537.65079826,-64566368.26158668,-74960734.4405883,-51595240.31731902,-67558963.46655904,-106824586.22385229,-90131108.4368749,-34262759.66975322,-81523517.05029859,-71497023.34028715,-73591127.18492073,-52214734.90067768,-30213345.294831574,-102937358.20374733,-69513030.9535252,-69575101.01853481,-55513515.00114259,-71240718.65188742,-37585354.214020655,-62984193.38216375,-63095246.91204992,-45598904.96314409,-75195379.4112941,-41221827.13865958,-80945374.93808377,-93674320.20719992,-41117145.9764499,-40279905.1268195
