country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AGO,ssp126,gfdl-esm4,-15842847.609042877,-21069964.802247416,-17759513.07496496,-9253138.015168156,-11778907.029477373,-5357131.217213651,-13077714.516378412,-13751988.277772894,-14452583.93207715,-15076952.326027207,-14523176.924937917,-6688794.282258941,-17247607.64415032,-32508426.78390352,-14558004.69008719,-8960525.673859557,-7225606.307764878,-7246903.300566497,-13216856.846962985,-28619494.813962527,-4722920.079968376,-13153553.869407391,-17669289.669008408,-20738733.26651247,-20210841.13190892,-8063206.360852471,-20913094.045581494,-13262592.968044871,-22918323.252714418,-18707583.06875976,-22097703.37791442,-29585999.57453402,-20175698.03151793,-12679651.725890705,-18753756.60703241,-14337498.693448786,-19603519.49382861,-18872504.82218974,-14087399.925133964,-32718674.54018405,-21899146.457440335,-15744800.21654435,-22334555.37420774,-16045050.46353125,-13811423.883554902,-30133857.266326103,-17799436.508403268,-25527655.368598662,-41345640.721615925,-32088186.6294711,-29124565.692424737,-29416728.367663067,-18203861.051903125,-12442329.039035007,-9715016.731629923,-17142490.121584695,-13736423.683413817,-25944591.83829218,-24639311.42415229,-29024592.305531334,-28347413.445104178,-30787932.941634726,-14756686.653230894,-16881319.194513105,-18202527.72552502,-36292139.64819568,-23501888.431168605,-25901659.20256465,-20911372.62190082,-12005746.807142386,-13293200.250935948,-11433268.865514364,-35600352.18549937,-17467503.010613233,-10105741.380838327,-16936704.32058463,-13906125.808682516,-25613096.123386454,-18765165.58380902,-20007844.397182737,-24466649.23588097
ALB,ssp126,gfdl-esm4,-2916438.6246425007,-10529867.27940555,-5745568.2841865495,-14650267.710361501,-12257147.32689935,-22500007.45133211,-2609593.9292634176,-10129016.657139014,-6407624.080098868,-2413847.9783019735,-18037581.847862728,-13844103.382272162,-11221010.26890067,-4178931.1027252,-716950.1963734158,-18480416.440572258,-8832603.492831986,-7257110.262628222,1359129.0421352724,-7091775.848676566,-3676410.2519864356,-8205836.058392591,-8129853.135674159,-7321759.74669905,-13463505.798363464,-6795833.7364994995,-6573560.018970257,-25371473.998516675,-11807486.927829245,-4451082.715664152,72824.36980435954,-1834534.7315976294,-5181457.292707829,-13582822.599352112,-8894876.283439295,-5863774.752079399,-5429979.254243114,-8501549.623977683,-5189521.871573988,-7478189.65969966,-5000128.250151883,-20238938.415479977,-18736355.389785923,-20674639.826873615,-20922101.60331595,-8806176.353407918,-2161347.3313815137,-17500741.837479994,-28720362.39286465,-23495236.62158093,-17404638.39451299,-38682465.00682587,-9723545.065917745,-19181718.17099789,-22631608.274198286,-14384675.361911172,-18075998.9839306,-9365795.845504293,-4060917.753720754,-23961393.557974905,1153993.336124218,-6929283.071721139,-12959466.625085976,-562644.3015756451,-12750761.954440527,-24059171.60930948,-7060571.128419818,-13998305.959669134,-7743704.23600236,-17714719.263466515,-9715078.092114804,-11375978.296094501,-11275153.057290168,-19098027.66705839,-6069954.758060086,-5857462.459670062,-7355607.525249188,-9905300.607163334,-7653088.170432452,-9452316.07397754,1943637.1312541624
ARG,ssp126,gfdl-esm4,-89343328.98937057,-10583472.679537065,-13463919.97609158,-12816863.983761825,-41441102.338286735,-3981811.6696172217,-9441491.994035188,-25708237.001791824,807170.9263641259,-2776631.381683474,-24375247.63862867,-3330838.910010019,-2542978.8629271793,-17519524.879091047,-11945808.551290154,-20795015.77996158,-23136363.07413204,-6078982.818798614,-31611524.90250006,-19155321.9573938,-40347126.084281586,-26351967.829190984,-30226415.977342617,-28188195.77619674,-5762248.153418842,-31010794.772866413,-47581273.70716966,-15044199.134973396,-32853137.060533606,-4322627.9119626675,-5097528.952949554,-26572459.183456965,-37234549.16708808,-27091413.855274215,-9816752.536801552,-21782795.37291963,-40071042.43665121,-41275731.32776117,-54942211.2396167,-40640555.85307107,-16840106.069599494,-27056301.805083495,-24090100.190383613,-11191340.033758797,-24391829.732349835,-15065210.406674776,-31841137.77543626,-3780151.131425429,-14329339.993292125,-9526956.715828886,10899416.781071551,-17871970.806144483,-25160840.52116044,-10986565.082548348,-15048188.085731361,-21910237.47118817,4672031.936306661,-2939659.9298996334,11089415.820804691,-10597111.65948703,-9664377.332098417,-40543215.55510458,16246841.942183582,-27031741.869409572,-51781837.75035654,-2363140.434102338,-15220604.501883293,11228453.120549178,-25914533.0578479,-26218438.17950923,-10714746.863076666,-19891297.570616838,-10176072.322487362,-28753175.780181732,-9297876.518220607,5934894.313515337,-2980113.046847213,-21103995.423377156,-13530123.943013672,-19643044.71147215,-13101718.414224215
ARM,ssp126,gfdl-esm4,-2610.5428874127615,-119884.74959332813,22683.174510303998,-37239.51554046549,36568.52934441449,-99151.78720763006,-93729.89174774375,-225949.60401591193,-103125.87530002756,-229.55092070953498,-73756.28605800624,-48824.325036075796,-203291.95847703717,-39172.0434863743,-205618.7839750637,-75046.92981383721,-173503.18856647878,-65350.4042367961,-59843.719264802465,-152038.13994678055,-105318.52141929457,-46167.64335406135,-141383.98737755886,-45832.78791396432,-161426.8467968189,-86202.9476908037,6268.914586452449,-37549.679701047346,-83888.20942084532,-95634.10114486149,-113509.84804226429,-132022.95679321876,-94616.31380358312,-396924.5311714322,-293107.5082269785,-199368.70452206762,-268471.3928073173,-271680.32497576356,-154760.20800301665,-26140.021960271086,-33390.73646272111,-81955.3628261668,-15369.520051826312,-259708.59922475324,-288487.41922376066,-379589.1753505758,-20622.82110804468,2527.5656621376756,48898.96444214163,-28603.414627769598,-231695.5684051298,-167215.82865779015,-3848.920526814816,8497.31557044268,-16030.065432507652,-361389.339704378,12860.706653606849,-128195.1831077082,-46602.71209285029,-63798.58133973212,-147820.8742985233,-94903.93675293282,-35212.28534311383,-182989.02585603713,-251695.11804149183,-293480.98876426305,-126967.66538622403,-44705.88137827804,-191655.29778517518,-123396.45631925164,-174819.73993293443,-107026.18511660934,-295104.3488450871,-31957.411552087848,-59119.11214814686,-180958.13760026265,-104055.43888213912,-109579.19286953272,-300205.60574590764,-217061.98232839728,-204268.56456917487
AUS,ssp126,gfdl-esm4,-4779480.340474157,-18556657.059490215,-4337980.213095681,-3662252.754538,-2877238.742475311,-2868009.1081805765,-11230501.621276833,2472932.442322876,-4234671.478417899,-16234538.305031126,-12820879.443916822,-13415259.92958947,-14671893.557757383,-7665627.946794802,-16136042.35070568,-8317086.964556639,-6739239.16247483,-13132571.339902412,-13954825.506974801,-11278164.58351462,-10822035.93394816,-8878682.450128471,-4305065.542642767,-11565121.04741145,-4365037.622975688,-17933107.389156714,-24371648.168893594,-15267638.929047223,-4865994.956645826,-12609790.81176557,-3013375.886380399,-7120247.3143315185,-5009943.751584012,-291220.89507007983,-2081796.0483562273,-21216314.97700957,-19487968.923563056,-26527218.514824644,-9107420.676349588,-10272952.24068185,-9838846.494988527,-20674195.024352487,-24111480.15426605,-15912667.913511328,-9226855.104520362,-12238810.928411221,-24053432.400830213,-13479374.40678629,-13937706.952589568,-16512961.839985425,-13838280.269122336,-9371118.980558941,-7820625.5359187005,-6702906.135411785,-5432800.62570967,-15924294.484844677,-17199065.59039525,-13658167.26772033,-17301503.71334169,-13896663.96374167,-11774001.405628297,-22195682.507325243,-11182169.131696124,-12720823.463441897,-2105938.5865153633,2418033.851891404,-19453217.13672142,-13794852.70691966,-11028847.93398722,-15168032.483100494,-20789015.543371942,-13151774.773906993,-11386094.369449917,-16132826.674009448,-3160988.0046421173,-1515272.56017188,-3549790.6524539385,-12924509.423939915,-9729100.640847635,-12301353.653051088,-15284857.250361694
AUT,ssp126,gfdl-esm4,12137219.879895465,-2930853.5006662305,4496050.910920942,1602024.1086131001,4220116.566594532,-2049308.7323404003,3313726.8444516603,-1762021.0890058205,2326137.665871787,8573509.954110349,-17207539.539298017,3803601.6905263825,-487064.40804582386,-13409467.69611997,13195725.860580776,-19618636.413604114,-12338357.94409483,2917884.072400775,12770330.526192697,6259918.766506252,-10140711.061080351,-2093816.8008993836,-21985480.226580728,-250944.62966881186,3663944.37759829,7642779.134229154,-10408775.386456067,-1305724.7373752827,-39494375.95077226,6858357.731116559,11180857.51729972,11702325.952972077,6247776.581074682,1220333.2410732822,4805319.167448693,5933264.606799782,3769720.9316822826,7295165.803345456,6790834.53736484,-4454279.782945988,10249064.28581211,-8399868.946981393,-10934410.916704668,1548211.3503803762,-9333411.957502158,7117342.944402606,5763471.782088534,-8150652.534776583,-20256217.868349373,-27885604.027558688,-36391801.37418146,-43313221.10865469,14085527.910449883,2841620.2582985656,-9904237.2259748,6197154.48166415,-7272419.540966093,10107721.706307143,8463489.669172592,1370474.2746641552,10929040.30694656,9743254.819117581,-10988023.456375005,12888908.791911917,-779930.0568022039,-12392737.178773325,-4128327.3225074024,4677564.282526427,3113200.786559746,-791407.7361928653,4121573.2970008897,7355742.937672526,-7747223.655350272,-8104701.714676002,8037690.674727089,9389497.850900179,-352711.4310218612,17039698.77737949,4989336.387681568,10023944.530940352,22989813.50378014
AZE,ssp126,gfdl-esm4,-2831698.2237674906,-6662445.71903724,-1865356.67830802,-7575620.631568052,-509357.5052011233,-8996769.66813059,-8921014.890176663,-9863393.081062187,-6778593.366790758,-2369699.814907088,-4511043.538168115,-3711854.0065340465,-8583221.882142,-5194858.250770861,-10494768.7549007,-7822382.074134374,-6489792.570211309,-2499438.699979062,-5650585.065867573,-10886200.238301491,-4749413.358452322,-3269014.3593796818,-5281865.804299638,-2778262.981743994,-8675059.103340127,-4377426.958308824,-775210.7635563263,-3201836.2405652385,-5592818.655713782,-5048714.101239291,-9046659.45009133,-5948861.2109019775,-7699843.101811641,-15626281.483270667,-13717502.244330324,-7030671.070566822,-7935235.683144119,-9348767.304402985,-3969533.302407585,-2460761.235579103,-3296026.4988482744,-5557857.304013727,-2415667.34645417,-10801491.315475844,-11279227.405395562,-13878755.141994653,-2208047.4076286885,-1499394.30985233,1096693.0506630836,-1612043.102926446,-7526190.567735885,-9254725.723835597,-4297575.808110779,-2079853.499529198,-1980301.8263087943,-13688986.408275604,-4017801.3513468434,-9850617.669035854,-3174680.8946529734,-4182927.4695158256,-9762584.889567303,-9699179.734740239,-1374584.8680482944,-6135068.535684997,-10780454.29431483,-11907790.67001674,-5757480.117874351,-6246076.704905985,-10154003.609090256,-6777172.438054458,-7023579.541822385,-6880935.865129009,-10725133.275335329,-447757.6100703494,-3626990.008027686,-6835834.213680343,-4205016.04074069,-6843005.853124206,-13580599.45506347,-7332257.335591795,-6794593.673776898
BDI,ssp126,gfdl-esm4,-10855999.806162823,-9289363.758534769,-11095975.679973137,-6177945.07650285,-14788675.824642064,-8393575.496972337,-5684965.636564325,-4428581.795489261,-4138681.2197733386,-4354098.206199435,-2535991.327589577,-2826552.9636502913,-3664703.063588309,-8789202.485393291,-2537475.5351940147,-9146139.581249692,-9692389.169855928,-5331290.11263772,-3261164.967763938,-6235993.022386036,-3371063.0171001907,-5168563.8648197455,-8633740.778195208,-5363024.78665923,-6679117.195503466,-3262122.908653969,-7063525.893832382,-6367999.938804815,-12891794.719180528,-8977822.058298267,-3547262.0103756296,-11207367.82474293,-4701672.163372498,-4932304.851025163,-3377539.242604059,-7908024.612116355,-3853596.359464838,-5331760.144603652,-4974844.658706704,-12453612.017584259,-8195626.385124069,-6708816.6763247335,-4203849.383125543,-8059364.675865415,-9507696.135773577,-14126642.627914736,-6755041.773698058,-3488022.6915970496,-4894003.600352814,-4729513.144798405,-4318101.21225475,-8031223.619633803,-6798033.315542824,-9508711.393040527,-14221754.187073804,-8485616.109213445,-4363068.538551014,-12938182.437921556,-5924411.7347594835,-5141255.664927011,-7684428.341227682,-5621554.194665473,-13952206.175220117,-8259782.262421324,-6335524.865365887,-4576195.705219457,-7171330.524544352,-6054545.272490854,-9499156.740390077,-5363591.810220257,-7605623.963369039,-4829310.260116066,-10500290.62323339,-6618352.131025445,-4489627.231234402,-6807486.332338735,-2451335.52402318,-8128990.466455402,-5650296.080290808,-7411649.466273989,-6402495.441724603
BEL,ssp126,gfdl-esm4,2354899.1716182916,2322173.0561657595,3560833.2788370354,-1102787.4522920868,-5787257.9140504105,3537042.2145615853,2339464.4625270837,-2909956.701966306,1850244.3505349068,3451431.8746032054,-2378121.9235148556,2552315.6371581266,2648926.279632824,-1898365.0494311769,211484.71063716206,-358611.5140380199,510333.1212554167,-400750.30307594955,3224658.747552875,1105238.1355191635,-10317376.866755899,-9696360.316895766,-837917.5316104892,295395.33455350035,-2269109.430455426,3421373.6161653525,-2978622.1770875547,-2080339.996068463,-5770493.398739274,1603360.1867225755,-156130.89027844172,-1777222.548998772,2235359.7316508517,1864185.0365471372,2690088.0526536247,-2332291.1835632906,1922658.6126043822,1716720.2533322219,1625530.8173253138,-4728179.680580149,1210955.8561940012,1589843.1350622973,863518.041399364,1461401.5229767992,-54682.80952990697,-414772.67569154885,-3133714.1356300893,-6572483.60622964,1681372.2299290274,-3501184.4772993033,-2042604.502440995,1682882.1884906837,1813378.7485818078,2903165.200268382,350007.8942949,3629672.7701535244,1940094.1643996302,3271217.7325049075,2405648.686371065,1442435.8643348592,1015176.5731840183,472902.63777368725,1594488.3886290847,1361735.2333645762,2879751.410738225,-1002600.2490703503,-484965.8700995179,1371445.5905999974,2210316.20450482,346194.7971433391,-1476675.5030325681,2078291.3732337842,597037.6768897402,-1148810.6810773932,4640541.522954796,3175065.6960389395,-763476.4881967569,-116909.64967487776,-86753.95121200498,3967936.985375332,1826816.520971604
BEN,ssp126,gfdl-esm4,-61028370.80729741,-77602748.36989993,-22843920.73372833,-31792064.188890915,-117039.19018790947,-30244463.400027115,-24723542.134589612,-9384403.40355903,-46872132.71199332,-52291681.24961581,-47187982.161812924,-99122702.30124891,-87166390.16709264,-86995022.93704262,-69135288.32525831,-55848487.52220858,-32482918.42216309,-51894402.12874243,-92274749.35535996,-99720414.87906027,-30462461.17859844,-37995577.265431054,-90134396.50494121,-111629256.87653556,-110546732.55576877,-48579143.87478834,-68179051.93694362,-90609671.22125368,-61557102.55031416,-74239545.46491289,-74985957.26125675,-62659351.80006772,-112429226.74818207,-58128201.79769996,-64033042.427078,-74964685.77207837,-111808344.50898793,-91932675.32915555,-73799756.24215826,-15036113.752346426,-124461575.65003684,-84001980.32366365,-93078048.76033272,-115806784.55475818,-99274268.97024898,-87271396.27353264,-78485372.7143691,-86130923.26229893,-104204543.68260686,-107097522.28368627,-91344019.16343072,-57758606.95155899,-107951628.18573534,-51932577.24085695,-81386761.46516427,-93451854.2113608,-63182795.82660296,-85110795.91882148,-134632097.98425224,-113496567.5157335,-44563500.78216411,-102086269.60127792,-89250253.52889036,-92022190.71334168,-64452920.52026101,-36080789.31536861,-129662551.8605808,-86996085.99275482,-86936664.76879813,-68834473.98379457,-88498395.41054401,-47213083.476116836,-78352692.67919421,-78730453.33108461,-55848067.959810585,-94034185.2735869,-50243534.26235551,-101346115.48534828,-118065620.89804342,-51554824.57749757,-50980172.69650614
