country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AGO,ssp126,gfdl-esm4,-0.01584401229467371,-0.004248983046626023,-0.010211006588388138,-0.0055456063313212775,-0.00251018590952576,-0.003288264038515209,-0.006826965229853711,-0.0031259762819987142,-0.003985226568454266,-0.004414097228258207,-0.0034771751837300775,-0.0015881169761066119,-0.002329981822642809,-0.002678869970276313,-0.0007988134121338303,-0.0009758410705470398,-0.0013790200252594058
ALB,ssp126,gfdl-esm4,-0.03816332158327468,-0.1717625615552317,-0.12612726384188153,-0.11209785454704571,-0.025986049205576775,-0.04137228752951381,-0.002798149411719777,-0.03361932469666269,-0.02901665396282838,-0.04409527202297705,-0.08690137332075905,-0.07537497561295209,0.0017378543784921006,-0.12873100059248252,-0.06176210125000424,-0.03816514016308153,0.007493061125696895
ARG,ssp126,gfdl-esm4,-0.012671749390099542,-0.0004217913365416393,-0.0024976920808329407,-0.0016111907830391751,-0.0025999054218510047,-0.0016206716710521075,-0.00018883154476976978,-0.0008349852528662705,-0.0006115776434729272,-0.0005058490004162101,0.00037579672892431513,-0.0005868332589351211,-0.00024342739176171904,-8.190032502089141e-05,-0.00023365766856491783,0.00015171966676118636,-0.0002789627000506075
ARM,ssp126,gfdl-esm4,-9.995653313365685e-05,-0.0007654406431460879,-0.0005058071335684685,-0.0004541540605713957,-0.0004856279126634372,-0.0004071799787382476,-0.0004962396975713397,-0.0007243785423654504,-0.0001552732845108635,-0.0012222038913670126,-0.000752057125018743,-0.001122646663472856,-0.0005137759414495313,-0.0009283281451063281,-0.0005778032526105493,-0.0005882758302507338,-0.0006443494673123247
AUS,ssp126,gfdl-esm4,-0.0002555198653804939,-0.00010561932504822197,-0.0005534413411532591,-0.000295315566803608,-0.00035187293279294606,-0.0005385135642085293,-9.64742348247677e-05,-0.0005353284442718018,-0.00020690781198511095,-0.00026151195048315,-0.0002772237773370039,-0.0002901945487249952,-0.0001985922598713204,4.7263455520496036e-05,-0.00031014654097212763,-1.2772159385148547e-05,-0.0002002265873676005
AUT,ssp126,gfdl-esm4,0.001672829536268116,-0.000904501220715122,-0.003948842980286466,-0.003839436028958308,-0.00230191742471481,0.0009164252651021476,0.0016047651776101522,0.00040026559793245395,0.0009182992484007468,0.0007675513607024517,-0.00463230436755656,0.0006006355384737422,0.0011494884268947296,-0.0015212557596944911,0.0005136696712995986,0.0007123190875899175,0.0018979525124845974
AZE,ssp126,gfdl-esm4,-0.006015504850126377,-0.018401994827803227,-0.008917842618901358,-0.013488118562937674,-0.007977638591732237,-0.006788891261818033,-0.012547592902503454,-0.009002999531490391,-0.0039616262412530715,-0.014003533140537103,-0.007021025335527832,-0.011322927235845666,-0.007678137472355819,-0.00840144972662615,-0.00480016537486703,-0.004324225834411693,-0.00399945223078856
BDI,ssp126,gfdl-esm4,-0.2806257814685492,-0.18102766990525224,-0.02126369377744029,-0.0556999578305997,-0.011624345576345643,-0.007842211129864081,-0.005075850758666037,-0.009196062021298213,-0.006687295658959791,-0.009093149000629339,-0.002427539369499714,-0.0038053914772878047,-0.0029442666052765278,-0.0015821140290643821,-0.0023150206100378073,-0.001969470167741572,-0.0017011906955570388
BEL,ssp126,gfdl-esm4,0.0003147443789547108,0.0005795140554607723,-0.0004517545305863771,-9.825960378096623e-05,-0.001291618653864897,0.000357690904657099,-0.00012029331867377668,-0.0003135334583554416,6.229516788755649e-05,-0.00011686930386900623,-0.00024079132877945575,0.0002753738839315733,6.922415472355024e-05,-7.996670871882718e-05,-0.0001225810074322813,0.00018731523145034898,0.00010932502564475635
BEN,ssp126,gfdl-esm4,-0.31645129789326504,-0.1156017308375643,-0.14614244060657205,-0.13119441394364798,-0.05057536190994687,-0.062384223447685634,-0.07154653589260562,-0.05273895186360193,-0.0680392886865646,-0.038236984982154804,-0.03225486239413388,-0.0275332670681617,-0.01071190935456832,-0.00821172795175511,-0.017176850295451587,-0.01638964742104698,-0.008083082882244613
