country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AGO,ssp126,gfdl-esm4,-0.01933598612638706,-0.005701985553594425,-0.01298692732178855,-0.00691450902849006,-0.0030159484964487563,-0.004035955768156656,-0.0084281340087246,-0.004172267306516471,-0.004940540830698576,-0.00539204626850037,-0.004238413867319519,-0.002081950121327685,-0.002944556060675352,-0.0033037215520867053,-0.0010852855382074153,-0.0012675136954763964,-0.001713259841411424
ALB,ssp126,gfdl-esm4,-0.022073422069002376,-0.14591678454409013,-0.10366752996213817,-0.09531286133754532,-0.017454133008087017,-0.030251498006547462,0.0003108312983156007,-0.024451603939780926,-0.020650235204232852,-0.03650309306374242,-0.073584917237163,-0.06269349050257948,0.00522263966862863,-0.11389971320613326,-0.04844762734545377,-0.03092107464920893,0.010913534976510304
ARG,ssp126,gfdl-esm4,-0.016164301647430997,-0.0006693167612917152,-0.0031555128311660735,-0.0020527558886547937,-0.003228167888724845,-0.0020888550664017887,-0.00029744815364651073,-0.0011254030281916975,-0.0007836507722923509,-0.0006408474610760192,0.00042958030841384827,-0.0008109534585797939,-0.00033857138180216353,-7.869018251826972e-05,-0.0003404084165502435,0.00018059622504556393,-0.0003837346734647833
ARM,ssp126,gfdl-esm4,-2.0587130823996965e-05,-0.0006599483850263182,-0.0004203461062634129,-0.0003671051037288882,-0.0004559168768220159,-0.0003380345793294199,-0.0004134184699807432,-0.0006887573177912153,-0.00011039420869915187,-0.0012045301725299032,-0.0007159049118332847,-0.0011027215358747474,-0.00044774875464205114,-0.0008861977075702814,-0.0005267873148246895,-0.0005426040872654847,-0.000607706872735573
AUS,ssp126,gfdl-esm4,-0.00030696605781171027,-0.00016377396877359632,-0.0006430046486745034,-0.0003667829255089416,-0.000425617024795462,-0.0006344471819746624,-9.726851938359607e-05,-0.0006302590003323522,-0.0002693821899387706,-0.0003089780084870301,-0.000322834876481909,-0.0003451708406133029,-0.00023772270262183606,4.5619361196612724e-05,-0.0003676698984459056,-2.519570505235642e-05,-0.0002409496628913144
AUT,ssp126,gfdl-esm4,0.003041297886465414,-0.00046986954131626675,-0.00363524690487632,-0.003807961936285589,-0.0018341684036618116,0.0012966759229424542,0.001799881101945605,0.0009125041224552804,0.0015115335838566898,0.0010053749159455378,-0.004914853857426406,0.0007989462512998902,0.001344371475021421,-0.0014548152248027883,0.00046271743561771824,0.0010097496785272185,0.00237415377172047
AZE,ssp126,gfdl-esm4,-0.0054328931045550515,-0.01637180026631521,-0.007531512685252871,-0.012194484664803723,-0.006822457912655979,-0.005770194046981095,-0.011012004817360772,-0.00790217561166958,-0.003371530969923721,-0.01268081878333967,-0.006160174451699273,-0.010232245553150115,-0.006720191022956984,-0.0075856752541002955,-0.004144082828032332,-0.0037485873867804586,-0.003489310111392957
BDI,ssp126,gfdl-esm4,-0.3317007049982041,-0.21345277108866823,-0.03490280062612954,-0.06721280611449752,-0.014726477373536783,-0.009090568291776084,-0.0067069077129446805,-0.010694239032021208,-0.008278599197978789,-0.011072104775480963,-0.002718003306098297,-0.004437460184041492,-0.003445544764884669,-0.0018153058438501986,-0.0027416426793378467,-0.002282585260348763,-0.0020431421160816477
BEL,ssp126,gfdl-esm4,0.0004799450716301028,0.0006728628409317799,-0.0004149686495660085,-5.675216301040244e-05,-0.0015050559672052425,0.0004653094127313988,-2.0020175752244377e-05,-0.000283767279874646,0.0001402355489643801,-4.5792318479549344e-05,-0.0002152623523684572,0.00036551783201628014,9.776895212665507e-05,-9.246195873055551e-05,-0.0001304657635950881,0.00026899219783403406,0.00014911809235926125
BEN,ssp126,gfdl-esm4,-0.3931872977763197,-0.15246032323802552,-0.18230748673815866,-0.16159147756294664,-0.06559520658145135,-0.07732319884670177,-0.08862636985249103,-0.06684986048792128,-0.08560889612453952,-0.04747097632064166,-0.04030849934291015,-0.0343251020580064,-0.013932333107487092,-0.009806448880491347,-0.021337848889236618,-0.020495769211160014,-0.010230335944426803
BFA,ssp126,gfdl-esm4,-0.41940629695636666,-0.3923861150628668,-0.19004137636661148,-0.03939170354084071,-0.11580816755336831,-0.0747527418941611,-0.03387949135018621,-0.060439771002350845,-0.05648368647858911,-0.04185306202249273,-0.020938510441235878,-0.022118598935845283,-0.019925159170369525,-0.012692329527963009,-0.011506252527703863,-0.01540099282787839,-0.004593394273727843
