country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
AFG,ssp126,gfdl-esm4,-18392.36165761954,-28638.30587951847,-47959.93325500685,-37646.54453968568,-37056.14706479726,-32829.719157323896,-40337.131224447156,6242.724400062969,-40655.66425513671,-51275.28700362794,5919.064006137236,-34273.26909312284,-30126.540865023173,-19815.138024284992,-28306.477247563053,-30454.614345119367,-18255.33219532758,-5976.470890235467,-51996.689911358,1569.7046765896134,-13127.717691350836,-18497.429780303566,-10279.264787657396,-28428.699382488114,-7131.734165881859,-20171.839319699564,-24417.25914482877,-23455.98142669071,-26301.882908388885,-22889.81500557582,-75043.47145980636,-27885.746595405926,-22853.29632532587,-34364.519251638514,-11892.42979202491,-31706.612709906978,-20862.61696246486,-46835.523579845976,-25650.05687057742,-26233.1672637252,-28725.186569179437,-12066.318131021482,-60634.98972214247,-31521.652539057526,-51856.74464132869,-32929.77435768305,-36726.20862847561,-34291.588563862875,-34710.18922947747,-17859.159527982967,-44403.685693775915
AGO,ssp126,gfdl-esm4,-147084.0462200338,-251550.50677562825,-165137.10017079112,-130257.9723489632,-170785.83412028552,-66850.52911576064,-184012.40984233705,-187635.9043609186,-196144.84480919715,-213925.99941144366,-204442.79206263204,-91660.30949023733,-206555.72675695654,-287860.1103387344,-205385.07744177472,-117680.34996517198,-80690.16278146545,-92772.4118257928,-179467.39678476256,-261919.89311454716,-62631.60931688956,-166193.78664996914,-199901.61371913608,-287416.2840793899,-275600.14380614925,-105975.92985426915,-265316.831233341,-172634.75226616117,-305230.5438623277,-259722.6679876496,-322361.7528304867,-430800.7764035791,-286229.01521210343,-184374.59000745884,-267236.30291981116,-180602.5867659358,-273652.31088812335,-228956.04409640402,-206137.18357647993,-339437.18688253587,-310842.0400055589,-216463.83275275992,-322000.2115671074,-224904.18205285948,-180715.5892866038,-353762.9604763855,-252344.45924540434,-288921.05787505134,-134711.04331648018,-285619.1501104619,-387325.3390271219
ALB,ssp126,gfdl-esm4,-8186.193661568412,-32170.116283376105,-22944.146884521782,-41749.3875212082,-45332.532405469756,-75603.60487556884,-6069.252973291001,-31555.673788783577,-24147.459606233053,-3681.7160208276346,-62522.03597053177,-45965.54089237044,-34538.620303112344,-4700.363290206867,-315.54881402918136,-62326.9105839114,-28765.65693343713,-22344.643928108617,2861.5168729051716,-25244.57868956839,-10971.758228502073,-27479.461389271477,-21336.558238458292,-7277.403206568968,-46873.12622699577,-19087.015806752013,-17891.0184344384,-59618.16029958197,-33702.168737536726,-16087.293270819528,7506.488740933137,-17046.076244724005,-16376.809757816216,-45075.25611978815,-29239.07273258992,-14871.753568309898,-17647.75097780935,-27645.36505311488,-19369.731685923787,-26212.771327068745,-17336.672256394195,-67882.72996933557,-64480.43140083042,-62991.83579776733,-69595.70640103547,-24287.53811477093,-9200.221936699076,-57386.20386008559,-84072.97052330045,-81582.25098648142,-56486.587215504005
ARG,ssp126,gfdl-esm4,-3421524.435688885,60370.503831519185,52510.674812197576,-1460056.1581628802,-7566454.075678535,-114487.02718690023,-607294.1095422738,-4046544.8562753582,860092.0885724952,446436.39850393543,-3944812.131307543,408082.9497911528,1041084.8691427043,-2238446.280297398,-1641570.75512444,-3500961.021670148,-3935754.7503388827,-595397.4204373958,-5380090.962881432,-2812016.100562986,-5414456.231435617,-4284583.397376069,-5275110.602085389,-4864735.7434573285,-374851.0516267859,-5350550.0118486965,-8465316.38955448,-1977486.6472545401,-5864823.296843472,-128213.86000810852,-288703.5660610958,-4433494.066000121,-6013026.097922045,-4088527.744264377,-748212.4846678106,-3263099.9619127377,-6934099.787959962,-7275445.67778877,-8390196.525199536,-7363048.249240764,-2536011.986472567,-4504470.510573742,-3694477.243054141,-1429900.5984173215,-3913328.637174943,-2257907.961380163,-5618989.279112887,236238.36272387116,-2044849.8868955148,-647388.1509828628,3294935.7472757404
ARM,ssp126,gfdl-esm4,-95.53407193483257,-579.6518796708772,50.187785514122744,-181.90320045405645,191.1911229334654,-386.5671507338478,-428.7665706884347,-598.5876768027435,-447.3332389998933,-55.9359486224123,-340.6147322068362,-195.51632964951085,-855.4418366981332,-203.93535720167935,-885.0958212208242,-259.4221963584016,-715.4531386698488,-241.1305755008075,-284.66073529291276,-616.2902532386252,-428.3039715971385,-31.4112649207087,-508.090847104931,-65.3381492368334,-670.4593014923207,-357.191191086417,294.8014533732618,-107.6767292380559,-366.54074248198964,-438.614946099554,-519.9290747553374,-568.8831179280679,-439.2277232176745,-892.2983306900368,-580.1024337369738,-539.65890571042,-825.1311748500116,-1103.565000535197,-130.35459955789645,-120.79032897024756,-231.71676810396977,-375.57996705987483,-85.05238434193136,-1060.423322676275,-497.5829253244475,-681.6224777765998,-129.1801768002424,58.371028158901616,257.5138012025151,-144.76545355665002,-714.6626130707234
AUS,ssp126,gfdl-esm4,-17407.094289903467,-55654.11110748249,-16522.996556115308,-10714.4699698226,-5892.58387758499,-8249.947975395902,-42151.1520413737,17622.513899173926,-11461.547151227202,-68249.29276116616,-52855.805311029166,-55461.33881799916,-57792.26008862737,-28054.64666902876,-65745.55733067374,-29779.081888624754,-27023.079783699897,-54997.40609895893,-57156.10715922718,-43232.328579321394,-40732.56256433023,-32010.098391875435,-12564.962704084,-46353.77616088625,-17517.45663528243,-70642.770571949,-66474.71818430687,-63289.70169080089,-17390.02584805646,-52317.181795313685,-11720.176357022703,-25300.854206113483,-17049.518155463244,6132.8363411539885,-2003.3533650584118,-85307.91216767134,-81383.86800160076,-86377.70537047734,-33346.70598680544,-39189.902499244025,-37135.76178312637,-79982.83957327752,-98241.54600318673,-62306.2953198274,-37392.890742971016,-46832.04088634082,-101184.27334101577,-55200.481698468415,-55920.44348627857,-64268.96668153054,-57285.88540629975
AUT,ssp126,gfdl-esm4,28949.791990352882,27070.525813379394,1439.9225409213846,-24507.377856664956,-6895.101033351437,-53247.705998322956,66904.91224103737,-3423.097886642013,-22868.759612971313,10912.212491498543,-149136.008337385,-4573.522443735402,-50170.99244109525,-96850.47088138315,88809.89077342895,-163594.03690005786,-76686.21543674948,-19385.263732724314,51377.62341763077,10813.05113182601,-114930.28074957362,-56352.12321556376,-149249.97918589515,-17314.56070900556,-12654.13974649218,26335.02838763255,-96617.84491861815,-42521.81495571145,-143195.4920602757,-5701.619219652721,92560.74697162138,75914.86175319008,34453.28490730585,-24948.859780698636,16658.499801342674,11677.336288263887,37574.467387429446,19886.665979408743,32062.018205770302,-91320.62602566434,19888.08253574858,-89516.5233687239,-122129.39746048846,-22814.933333603778,-95912.95203650346,41274.47130148445,3951.747711999593,-72176.28239999151,-117980.83925245404,-197923.56562927063,-236479.71385687095
AZE,ssp126,gfdl-esm4,-13281.614213444884,-43105.31295578404,-6862.960397641732,-46729.93162523868,-2496.5580848937625,-60375.72011051356,-53193.322936039294,-25863.165177119983,-44807.42848349345,-9458.322365270285,-28245.289695154777,-21408.15984711023,-56450.70946769361,-31870.350532469445,-69666.64815573623,-23018.942080682747,-41916.41672182774,-13757.102875055696,-37463.956286584464,-37109.51049461335,-30516.066076971925,-19031.365791460357,-26315.7068039493,-8247.471933498415,-48211.31559995196,-26442.64047047714,16040.720227014937,-20668.681943233187,-34376.268477539634,-35013.624819112214,-60130.18911939806,-37976.48722665387,-49458.40121752131,-54615.1060402882,-25069.781084384384,-46803.4030916801,-46536.069273574554,-60699.416132114835,1975.993852098225,-11560.653982992502,-19267.28209213942,-36300.918395998,-10714.824014541178,-68109.97336500238,-43291.19429813215,-64068.20426672968,-9778.062424235448,-3820.383257027024,19691.05131941474,-4020.41988252635,-46697.957648226584
BDI,ssp126,gfdl-esm4,-27401.49523363623,-22212.875487046815,-13771.48588342785,-21839.75838569284,1466.9995185778462,-14684.91528554394,-21155.34389168149,-15141.073600621132,-14214.670100331467,-12296.106459332304,-2950.3591742459353,-9562.510535289714,-11475.430381074977,-25198.265741580548,-3875.4601410560576,-12739.862608991882,-22563.56930070272,-19876.144452272736,-11477.266009506739,-23367.857374184267,-12051.89475334933,-16356.930976424996,-30277.02486246517,-18541.919261477557,-24053.474204806556,-8546.105626329338,-25479.477695966943,-21261.396377512032,-10412.097465409312,-30444.433884796825,-10545.177191652685,-32388.790027326384,-10131.001853425407,-14375.069981541967,-9132.687606993537,-27067.42679225276,-13104.573338350749,-19810.72571004245,-16429.457895883614,-14083.176027341107,-7377.060979688339,-23465.515252834255,-12225.773189996125,-26143.686388086175,-35665.21639290558,-9118.244438626663,-11090.472066199354,-11215.662021319717,-16313.530149888893,-15084.987216549074,-14992.817152560587
BEL,ssp126,gfdl-esm4,7848.859863083293,11060.031216656218,26557.436431843926,-18962.968078169477,-16790.709129963143,33436.11421293017,5092.309137961694,-25831.02335215347,4994.3984802669775,14329.553325011368,-28831.52043995015,26302.983521847502,8683.058227125059,-15571.120331236405,-1213.5107711151788,-14135.370281459256,-4211.722466628574,-14057.80042205065,12400.58341674913,4109.492124696998,-15625.403455418074,-22775.56836106571,-12108.843362388185,-2423.4857411509265,-26767.771750585103,16752.383428140463,-29750.59219560663,-25561.31368246574,-11344.820511578995,4370.884321227945,-12746.20790447342,-23809.299106181843,10495.663970087571,19812.62627209971,10316.035597020435,-9789.8182573855,2165.493314211096,5295.791041637971,5261.180216873918,-44645.57966060276,-6326.215154658934,-3577.197031631573,-10458.800895664775,158.74402286657659,-10396.185858941244,-15450.829803720144,-35714.14985014834,-48639.18120498506,1723.6900138947103,-29915.858052292155,-27135.72367451772
