country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,ssp126,gfdl-esm4,-9.800968282682717,-15.494306569944385,-18.856538832246095,-14.738970955038578,-17.089827550495148,-15.650350662811375,-15.429882364532089,-26.264376123304004,-18.822104115720215,-19.70980745395558,-1.7328506891802826,-27.17029224259114,-12.709628250011932,-9.671858964562853,-10.460326216556014,-16.838650235225266,-9.165229880176783,-7.2803442385554815,-18.880953885006118,-22.25151148869569,-7.145134340671505,-8.788216659044675,-5.966591428343348,-11.549146986601874,-22.00337403193039,-9.283573009211628,-23.39553054404595,-12.401653511303286,-11.520984942244745,-10.108771358397872,-30.64948494998738,-15.99220487297631,-10.233794873868593,-27.165599404305127,-31.22288529602736,-12.897477640479343,-9.922193536614973,-20.716857938500883,-13.440593129537184,-11.210136844768455,-22.522195317985826,-6.701746561864755,-26.780020867292333,-13.952597878190392,-21.351953675347172,-35.542427829592164,-15.434857524284512,-15.581354265281774,-14.484563051893877,-8.356005204338572,-23.398559731637693,-29.274738757478993,-25.68459934733145,-28.98581775366403,-14.173387951529696,-24.552082834160828,-18.54023948995887,-17.49055104982308,-14.629856463136143,-16.24684951164569,-6.344338527924279,-23.901178964259913,-10.06816564783594,-22.645236740028547,-32.53387437003726,-16.646532451228243,-13.979123404762248,-15.128367795296956,-9.175443188834532,-11.956243650123614,-12.026363982372612,-25.1649366054116,-12.72178646541135,-8.107705329632754,-29.12202732289231,-18.973710067608668,-9.646157249012667,-18.536944301152698,-16.672276389872625,-8.20973547098255,-21.837056419141682
AGO,ssp126,gfdl-esm4,-7.423553742821852,-10.778106471274347,-6.374016359025897,-4.939947258061799,-6.288372591854631,-2.859996859894552,-6.981763360818571,-7.341736033151306,-7.715761101816342,-8.049090933345713,-7.7534483881130845,-3.5709281456971786,-9.207932698094279,-17.355184099902193,-7.772041790985876,-4.783731114873083,-3.85751450041767,-3.8688842671954773,-7.056046892883569,-15.279010720643486,-2.521412310163278,-7.022251506940953,-9.433054917070912,-11.071730300320336,-10.789905983141406,-4.304681729396615,-11.164815808292184,-7.080463909636425,-12.23534199166088,-9.98736574921861,-11.79723992360742,-15.794995950093462,-10.771144233113287,-6.769250677317823,-10.012016288680039,-7.654320863048298,-10.465676856127578,-10.075412070619594,-7.520801323757282,-17.467428489367595,-11.691236888393062,-8.405633043725397,-11.92368744527387,-8.565926814541735,-7.373466755997195,-16.087479224193547,-9.502536051077577,-13.628378927898636,-22.07308311847795,-17.130831648310863,-15.548651516781653,-15.704627597986288,-9.71844506610362,-6.642551869379708,-5.186529173861845,-9.151813896394676,-7.333426606111426,-13.850967650434947,-13.154121197668083,-15.495279000598098,-15.133755391061428,-16.436668800044377,-7.8781115823852055,-9.012383294261879,-9.717733246829464,-19.375184445580977,-12.546888323130215,-13.828047322671983,-11.163896796582064,-6.409474917990772,-7.096804135292482,-6.103847699050515,-19.005861781863416,-9.325327630585107,-5.395124264127462,-9.04195159868206,-7.424025011434481,-13.67399294788286,-10.018107167628624,-10.681532676543982,-13.061942511678136
ALB,ssp126,gfdl-esm4,-2.145875055831183,-7.111224335192291,-4.372766189999315,-9.927834130977562,-8.306122999673777,-15.24725324743383,-1.7684056149096765,-6.863983598802347,-4.342161542610443,-1.635757299440243,-12.22326610338059,-9.381532459921994,-7.603979048987148,-2.831875543359283,-0.48584522620927795,-12.52335538985621,-5.985462119542747,-4.917820505534653,0.921021237268602,-4.805780734637256,-2.49133953732004,-5.560729735750757,-5.509239492128659,-4.961630582401338,-9.123618423236916,-4.605233941899325,-4.454608940163325,-17.193118275752536,-8.001408168143438,-3.016300574024423,0.04934983294532665,-1.2431825058007282,-3.5112429052996506,-9.20447410674203,-6.027661617070374,-3.973619067649235,-3.6796551733077285,-5.761121652639237,-3.5167079113256356,-5.0676361694729595,-3.3883642867505035,-13.715027434880714,-12.696793820176014,-14.010282881980126,-14.177976709754958,-5.967553623811109,-1.464648853495742,-11.8594735308952,-19.46251083290889,-15.921675743996992,-11.79434850655742,-26.213384216419545,-6.589213554865111,-12.998596347433324,-15.336433265625,-9.747854021808173,-12.249299685988728,-6.346782836808038,-2.7519031512282734,-16.237569544371095,0.7820099028765104,-4.695666614609644,-8.782053517615783,-0.3812789917027999,-8.640623654797446,-16.30382937623842,-4.784634685094869,-9.48602868082611,-5.247563575920671,-12.00447650524121,-6.583475863706916,-7.708993981137301,-7.64066920599632,-12.941883019194163,-4.1133380776337765,-3.969341508135301,-4.984567714868219,-6.712381192586574,-5.186157102921986,-6.405413743371552,1.3171163443145195
ARG,ssp126,gfdl-esm4,-7.940540249443249,-1.2224052436561816,-2.1919965754292785,-4.729437756592855,-15.291815090012104,-1.4692931495401964,-3.483921556141323,-9.486369433720533,0.29784701312325856,-1.0245802178529568,-8.994494804227104,-1.2290834421031578,-0.9383621659543753,-6.464725111050284,-4.408017286216005,-7.673385073236033,-8.537344955183398,-2.243151749236796,-11.664689553292623,-7.068336140554138,-14.888136576526824,-9.723906859727512,-11.15358274464327,-10.401477113518338,-2.1262762883466166,-11.44301943490705,-17.557545485585987,-5.551327024831359,-12.122845887532279,-1.5950547404138136,-1.880994128200843,-9.80526842658107,-13.739592064302569,-9.996763305668676,-3.6223931340380147,-8.037876894952047,-14.786261388591987,-15.230792994278202,-20.273740019130425,-14.996412503397824,-6.214018778033119,-9.983806918201838,-8.889275063295559,-4.129617523411769,-9.000613616147682,-5.55908020859179,-11.749416971172694,-1.3948801757778604,-5.287543167906895,-3.5154581381492087,4.021897502739346,-6.594778069143288,-9.284379494012654,-4.054055327613628,-5.552798952312826,-8.084903177831718,1.7239852328596703,-1.08473794226299,4.092007369971202,-3.9103465603368512,-3.5661665058078493,-14.96049381993329,5.995103623172482,-9.974744273297212,-19.10755851607486,-0.8720015759966353,-5.616420810938966,4.143312295717421,-9.562492918980567,-9.674634263277271,-3.9537540876435444,-7.339912000102815,-3.754982553982419,-10.609955393848995,-3.430927278086328,2.1899829227562213,-1.0996651895916767,-7.787398921977784,-4.992631513335952,-7.248306405574503,-4.834549373620889
ARM,ssp126,gfdl-esm4,-0.16741964710060708,-8.143626088932027,1.6266140364155417,-2.405084413086557,2.3617493047185407,-6.403639104370725,-6.053470309994558,-14.592774983102174,-6.660302414527704,-0.014825363149750359,-4.763490915248539,-3.1532800956053952,-13.12944901519119,-2.5298951893037964,-13.279725184364095,-4.846846112945017,-11.205565066726425,-4.220603741421803,-3.864958884024865,-9.819262019757835,-6.801912715529968,-2.9817004278462256,-9.131172072641386,-2.9600740562910026,-10.425624164279549,-5.567348630730233,0.40487284917722327,-2.4251161180453096,-5.417853105542683,-6.176452155321851,-7.330943012983702,-8.526597377668285,-6.110719171559333,-25.635054302861853,-18.93011466890135,-12.876068787260344,-17.339010801547236,-17.546257126559055,-9.995064614351216,-1.688232471930875,-2.1565140857084213,-5.293021749648771,-0.9926281955279889,-16.773072766246568,-18.6317299050975,-24.515464171922957,-1.3319084547954008,0.1632408125840012,3.1581006221220713,-1.847328722833347,-14.9638735108379,-10.799500941122513,-0.2485794627535453,0.5487923496035347,-1.0352889921617885,-23.340042300877307,0.830598482954426,-8.279383666796008,-3.009798995378488,-4.120380497176216,-9.54689328108702,-6.12929507036702,-2.27415736748386,-11.8182003032241,-16.255528474686656,-18.954235611555355,-8.200105413685517,-2.8872936963789804,-12.37790456451318,-7.969461724094131,-11.29059348679407,-6.912200813578468,-19.059079027763985,-2.063943939415653,-3.81816071126168,-11.687037004835426,-6.720337537161887,-7.077084783306084,-19.388539636508533,-14.018775024192283,-13.19252234081954
AUS,ssp126,gfdl-esm4,-7.865690653530646,-24.492034913052077,-4.4073304724113465,-3.8847000518721195,-3.0520038460732444,-3.0422135985871614,-11.912648622262463,2.6231397532745686,-4.491887811808513,-17.22063331579916,-13.599626890611184,-14.230110382135129,-15.563072645452197,-8.131242510677765,-17.116154661669363,-8.8222715165147,-7.148584349238132,-13.930251128111713,-14.802449476934068,-11.963206659702148,-11.479372498765125,-9.417978628545328,-4.5665576511872885,-12.26759302102135,-4.63017246949591,-19.022374443861587,-25.851995821040372,-16.19500392651534,-5.161558234086479,-13.375716615917149,-3.1964100368623707,-7.5527351510765195,-5.314250559997187,-0.30890981644648946,-2.208245514189481,-22.505005911893043,-20.67167914460288,-28.138496725238266,-9.660610543605051,-10.896937152359644,-10.436463578895003,-21.929957287628017,-25.57602505450419,-16.879212335206354,-9.78729948628805,-12.982203205264542,-25.514451447793448,-14.298119208828924,-14.78429113190289,-17.51596845326042,-14.678825215618433,-9.940326031502854,-8.295654740763077,-7.110044433624282,-5.762791999092276,-16.89154511103833,-18.243746532341405,-14.487772048951491,-18.35240680463709,-14.740755168769583,-12.48916088997703,-23.543860778233128,-11.86138039001153,-13.493493453463945,-2.233854483729584,2.564906591504786,-20.6348165146331,-14.632759838800197,-11.698746376301022,-16.089347328877018,-22.051752069716215,-13.950620989525913,-12.0776921616932,-17.11274366295739,-3.352988198420909,-1.6073110698889153,-3.7654069382938036,-13.709551414054404,-10.320051699691527,-13.048544810264813,-16.213268098375295
AUT,ssp126,gfdl-esm4,3.0181389830473346,-0.6969355284503045,1.3853587165574668,0.4801923840496626,1.2649421592255894,-0.6142619455884771,0.9932599546858007,-0.528150046510835,0.6972389400367337,2.569832852329459,-5.157805922257754,1.14009555407402,-0.14599319575018121,-4.019367890419106,3.955300688791553,-5.880510624404873,-3.6983123316178927,0.8746096276414109,3.827792245763029,1.8763546068280936,-3.0395873533979216,-0.6276028406698168,-6.589950867604682,-0.07521840610092122,1.0982345248395926,2.2908546216621546,-3.1199372350187837,-0.39137930021269196,-11.838085608320359,2.0557313288009063,3.3513619414877263,3.5076674365086085,1.8727150954508232,0.3657839636841276,1.4403513996642354,1.7784429469062073,1.1299400999361642,2.1866606378219275,2.0354918559915016,-1.3351304869242822,3.0720652624528957,-2.517785515005539,-3.277491779331975,0.4640624915410971,-2.7976066746402397,2.13335982785583,1.7275490678102143,-2.443085126617169,-6.0716199573630565,-8.358460154666853,-10.908116655534258,-12.982750255263536,4.2220108870724165,0.8517502321344581,-2.9687064384140607,1.8575415743590673,-2.1798426493151117,3.0296990896498053,2.5368552569024954,0.4107873943291863,3.275881987138662,2.9204534031924227,-3.2935616581189704,3.86333501931185,-0.23377705201456958,-3.714612020369561,-1.2374291550758123,1.402058016665198,0.933154064090584,-0.237217383655228,1.235404696397277,2.2048180915050652,-2.3221609318034506,-2.4293117796778168,2.4092258203856227,2.814417919063813,-0.10572209371467056,5.107497156507567,1.495508913970505,3.0045876313689734,6.890990775909375
AZE,ssp126,gfdl-esm4,-5.170633190845268,-13.705454926709631,-3.9737521677044816,-16.13644055883057,-1.0849562703314635,-19.163557156798873,-19.002195793690603,-21.0095071943956,-14.438733703203084,-5.047575910306001,-9.608742234084067,-7.90642964484034,-18.282680250287306,-11.065300844897719,-22.35436810106932,-16.662054438383905,-13.823573954056224,-5.32392604832757,-12.03602113575145,-23.188136206936626,-10.116481549857998,-6.963159648765998,-11.25063116751655,-5.917835335483513,-18.47829800004321,-9.324132417485131,-1.6512366464822692,-6.820066986946824,-11.912975871333195,-10.754006695331931,-19.269824819905953,-12.671363838157676,-16.401040464850663,-33.28473990099472,-29.218947244912986,-14.975671477811133,-16.902438116791295,-19.91332924951554,-8.455299083177568,-5.2415411671924845,-7.020696820187366,-11.838506491067053,-5.145488989183624,-23.00770207956194,-24.025303196713185,-29.5624237631611,-4.703248417140621,-3.193782837324167,2.3360095606641313,-3.433730247822761,-16.031152117706263,-19.71301610704367,-9.154045582176128,-4.430189155245738,-4.2181392473135535,-29.15820712659648,-8.55811237603881,-20.98229494515513,-6.762224778832312,-8.909839042424515,-20.794780841399266,-20.659724776457615,-2.927932653319537,-13.067994500397969,-22.962892200872265,-25.36417353490813,-12.263712797811813,-13.304447302260131,-21.628521759585702,-14.435707055855396,-14.960566176526774,-14.656728204431902,-22.845055738642785,-0.9537454963830085,-7.725665198720086,-14.56065949229579,-8.956888773916381,-14.575935433267945,-28.92733764237597,-15.61806489686067,-14.472815135624476
BDI,ssp126,gfdl-esm4,-12.507889773778368,-10.253552901621028,-12.611629597397245,-8.885479891259005,-21.26993361562699,-12.072128413341291,-8.176448191213932,-6.369443885197247,-5.95249201785459,-6.262317255441227,-3.647410209489909,-4.06531285226482,-5.270789069135255,-12.641142156021516,-3.649544883181626,-13.154509845180666,-13.94015777099822,-7.667771484482953,-4.690397111712072,-8.968967822842544,-4.84845887745678,-7.433729131425142,-12.417548087757103,-7.713414138210365,-9.606294778781512,-4.691774878009762,-10.159173724244738,-9.158827846980234,-18.541728895453502,-12.912425795061854,-5.101878516547394,-16.119088176981226,-6.76221833402686,-7.093927677996104,-4.85777336160536,-11.373780893228169,-5.542466392471809,-7.668447511791356,-7.15511090333263,-17.911509051230613,-11.78742648882758,-9.64901029929041,-6.046220660282742,-11.59144697418746,-13.674521508442885,-20.317758971142048,-9.715493922581967,-5.016677083180668,-7.038840591846111,-6.802260852623164,-6.210544285322444,-11.550972870554556,-9.777326858262928,-13.675981710487127,-20.45455394679641,-12.204506574545416,-6.275218909104517,-18.60844641025344,-8.520833494774752,-7.3944528902140885,-11.052191733056087,-8.08524616774322,-20.06687432041641,-11.879699202581381,-9.112120307752305,-6.581750794749808,-10.314224613579944,-8.707999116736714,-13.662239653388497,-7.714229664471442,-10.938850693902252,-6.945794867636243,-15.102128625256437,-9.518898929219159,-6.457242981021136,-9.79092273676487,-3.525653309589886,-11.69158683534507,-8.126584419151783,-10.659865291472807,-9.20844128538687
BEL,ssp126,gfdl-esm4,3.9452726704632877,3.516448522860279,5.451918374409985,-1.6424375111249152,-8.619257922127094,5.267897090734765,3.484283559095535,-4.333946703079568,2.755663133225961,5.140393251807736,-3.5418580843399052,3.801293652721837,3.945180802366602,-2.827331740594054,0.31497494921430547,-0.5340983898149575,0.7600651057256962,-0.5968578342078232,4.802648485480899,1.6460874384537663,-15.36619477048971,-14.441283198092254,-1.2479532499992152,0.43994731448346214,-3.379500227066581,5.0956259568273605,-4.436213691903161,-3.098356295526033,-8.594289675756853,2.3879659757136165,-0.23253368571219568,-2.6469080456308034,3.329235081964877,2.776425706820458,4.0064851270515245,-3.4736000294421925,2.86351338135504,2.556798895671422,2.420985824889037,-7.041918776444878,1.8035382234314958,2.367834342332668,1.2860813929099595,2.176539708683986,-0.08144189290415516,-0.6177420678205312,-4.667200043674437,-9.78873453237837,2.504153284351797,-5.214492336608097,-3.0421549032216957,2.5064021425309093,2.7007573148906863,4.323831773749936,0.5212845808001881,5.405856494302812,2.889481036532977,4.871991152743007,3.5828550940364785,2.1482931874600015,1.5119541673666568,0.7043179805637652,2.3747527550249057,2.0281016281513136,4.288960424677198,-1.4932236074265515,-0.7222843667755219,2.042563757672945,3.2919364816679413,0.5156055410339392,-2.1992880249942846,3.095305177214131,0.8891986157808249,-1.7109822494450335,6.911394805401696,4.728787028381127,-1.1370844132021776,-0.17411949477607402,-0.12920707740439374,5.9096506158235,2.7207708736168827
