country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
AGO,ssp126,gfdl-esm4,-1482147.7810355462,-1454100.572216926,-1197927.9225287237,-384908.8211258263,-759185.8905290231,-984619.2803439025,-979306.3372251537,-688043.6995285641,-958708.716478908,-606135.6126272185,-464874.3402140788,-538057.0833439544,-620777.3200852276,-784806.1834309113,-773075.122583631,-449400.31257705676,-1072407.568550606,-1058008.5226603942,-659551.5058655624,-1349048.3821934082,-314004.3268448206,-685141.4494993769,-1194708.405480702,-969241.3085360732,-889444.8925364687,-973510.4408425185,-1348866.7835804373,-1214910.8968642862,-1284281.5990481493,-1422914.5259415254,-800328.7412839025,-963609.4187101775,-1037990.1887609446,-976334.6384833056,-847266.0550893206,-1462045.2431107408,-811157.1583506258,-2144109.166931533,-891980.2652324494,-1051907.0410273694,-1072464.3425763738,-1481655.2131328117,-1245983.8479135677,-958170.0969098881,-978590.5661475293,-1320229.5366663216,-1332945.4484918283,-1165836.9249517983,-1162287.106991621,-1405473.741197766,-1444733.3577508875
ARG,ssp126,gfdl-esm4,-159766621.76704472,41931355.34517573,-20807046.41355261,-25716522.466985676,-82387930.13864356,2466331.7049109377,-8575531.036237858,-43792407.9625675,1745387.7562892633,6757237.824230246,-53430447.24157301,9137091.936202817,-4991281.616148428,-32396234.961858615,-25973476.334731832,-21688919.16353747,-45498824.08242046,-4949582.684675702,-67067902.01008274,-7189065.420775597,-93802157.81634615,-26626312.397897057,-48404348.58787618,-53249741.61518497,9097339.260058044,-63822603.038796686,-84733183.71094772,-25463379.581967946,-69513007.27197173,-15813749.243739018,-1776032.3386731588,-50566938.95304959,-51444349.90497834,-26764966.557018384,-29959268.615727298,3439279.3098571454,-100344684.89077812,-93119447.34588577,-72916711.46560179,-80923208.6065513,-16488028.996738724,-49118363.82076299,-27203174.167337485,-5274882.312844061,-43359066.46704596,-29285582.588175498,-66950419.56998035,6783475.182970245,-13345631.656190563,-21043424.202443592,51009432.67537871
AUS,ssp126,gfdl-esm4,-189556.58760893505,-5287848.494808143,151323.1759740487,-401910.6458710111,-684021.9339039428,654825.7943379534,-2175011.5757462126,1320624.4587563511,-1359637.9194804877,-5232414.65303663,-3513095.124482238,-2175905.0055566467,-3219894.5935535254,-1675887.7787154033,-3708625.8673163876,-2016939.8195627755,-431194.2878931621,-3343141.4499835093,-3299043.739764725,-2000792.9570471686,-1210812.7884696692,-989938.1586643759,-638309.5394508545,-2515824.643623948,244317.2946062008,-3756708.307762953,-4913432.618636745,-4526336.837842595,1647925.2319058136,-342364.2586973234,1530852.6328105615,-3055441.982634977,-1694529.3917783494,430094.05113620864,-245855.5779826696,-6390023.307944821,-5885121.032579098,-7815558.871923606,-1599215.0360207618,-4308755.969229368,-1518224.7750375257,-2245062.6437663557,-7304828.488522876,-3013889.1269120458,-695993.2220988349,-3391761.1681510825,-6445145.864496797,-2282724.743783602,-5200514.079332397,-3771368.596786537,-2782874.9567442187
AUT,ssp126,gfdl-esm4,6782331.414060719,3362415.2232236303,3398581.7131101,3217095.750305654,6145445.999842316,4187848.187953444,5256216.346084148,1942967.5768125206,8117985.274627959,11080523.842005357,4016693.9962446275,12098381.081861444,6961315.787158647,-6972461.115203732,11100427.163366238,-9408772.522371301,3079094.0248305704,7758591.882833685,10815721.342488494,2992340.8812606875,569946.1362344457,-2225963.3135722224,-10626570.171474736,-842499.1883415347,3697021.3358535753,-597760.2123143566,3125938.4262920166,-93372.15656348191,-4299957.281318592,7284713.896645303,11473272.207526289,17135817.899597175,11669174.780562831,690183.9642657626,5241058.602633753,1371868.723138453,6541808.745989598,5525722.763953495,8885580.42945783,5423334.87999906,10050599.837849788,8482528.287544532,1793368.1233337626,539989.6625125188,-4463761.4014911335,3852877.3209480303,10058755.200179156,1850334.7488087278,1151207.586387935,-2062899.0425479778,-8026359.258056153
BDI,ssp126,gfdl-esm4,-92973.7151990623,-113659.24824922829,-122324.51327907207,-24633.861002369675,-110797.37883057407,-72659.05636006923,-80690.54300260168,-64284.75244261609,-21342.555344088625,-26336.56131896532,-23129.14115007945,-23099.505781165713,-63531.16005621142,-48813.71559707159,-28464.589119132408,-54336.02956244253,-97024.972952517,-84979.2561525286,-43032.931145512666,-54512.19270517263,-11427.154496570101,-17531.94366006406,-61540.22092901192,-53918.19299407349,-37096.92758422848,-36959.49325992372,-59868.03071870494,-50739.52082962113,-109362.36795983241,-97715.35535993947,-42563.570183742624,-36972.94470451028,-50148.51883883033,-28127.615511350163,-37080.42362289391,-68246.7044206197,-19386.298382804333,-90210.30553544678,-15804.527959614485,-77069.03631966696,-69189.27565396528,-75020.0264835069,-38841.06470959916,-52633.94321552559,-25695.736315564343,-142244.1247266535,-56614.32644288849,-31297.295435295844,-41770.50950902012,-44830.547874517804,-66780.63952843889
BGR,ssp126,gfdl-esm4,-532379.6783184329,-184147.7008483946,-342901.5917663535,-990066.6008424447,-736951.8457560657,-1846022.171595184,-652030.2592995246,-477591.4901568066,-661558.5910276328,-219270.75371414414,-1577602.8463720812,-893817.9981338431,247353.60811770146,-1364981.2803397223,-60795.961833193636,-696054.3716404226,117225.22857572067,-384075.77211374126,258716.77729050504,-998894.3349570443,-672499.1679424421,-647963.801801726,-875411.350789701,-160417.7359989566,-630027.3949249808,-1316854.338182427,-583408.0249482493,-1662950.9150414155,121931.20759585315,-862485.0466100661,407613.2158975155,860615.7011093488,-777432.9784156942,-818557.2690007315,-460291.10444005573,-640248.8146706278,-359032.8423452011,-1044950.161838506,-311097.3080280787,-1614271.5602848022,-1233138.5608577726,-75979.00415425819,-1107044.0969556705,-1522884.6034126373,-1056062.957332363,-48553.7631443544,-729885.7365542576,-1258388.17825109,-1743100.0331740596,-2279496.2847120725,-1389905.959708891
BIH,ssp126,gfdl-esm4,654156.9686459146,-614678.2957804046,-744706.9264320276,-236922.15612944888,-2234819.251079545,-3126332.4940591007,1132522.952539712,54671.05611699656,-194844.81038788822,579761.1223195703,-3147134.8800891126,-249132.29341948,-171977.2522834321,-612659.424761926,538475.8990366121,-3156803.858620701,-1211142.5455932594,429514.3103642397,825692.915612267,-635136.42719627,-793582.3604408277,-323225.01317891583,-1926013.3778458922,-2310275.1899043033,510061.08287317684,298241.39057605487,670521.1243898591,-2509851.626141234,278222.1973266873,951064.1158157748,1928571.5646281373,1822404.0171416502,1089717.829781499,-2058024.031142634,-50587.86697490053,-164349.0108187155,501854.3978519466,-24906.75958625046,435142.9558280593,-177114.42121110362,1056289.261250564,-2273364.9445273075,-2495751.4413157087,-1914631.2748350238,-1426331.7481032885,972514.5683835306,1236765.9570606244,-2073544.259657564,-4055519.021374403,-4670000.312718527,-3568066.8129491378
BOL,ssp126,gfdl-esm4,-38751108.72888292,-83998722.00218959,9291068.188647797,37525156.37348723,-189526590.87751412,-85847504.69932541,-199030068.73088613,31835471.4699919,44764137.38802548,-77683686.91821684,-280280579.443371,-146227342.14028972,-265077023.883792,-87586345.6921425,-166657195.1143859,-147700684.17418405,-62289413.32038942,-177228136.53767183,-45308875.77629127,66146135.924093194,10964128.523179252,-73508480.77875175,-213462328.48208505,-52753368.253540196,-41277337.81294937,-143534187.8421066,-320696944.1484083,-121950529.45211835,-94681424.40459418,-217736580.06766886,-305031261.0193566,-167256456.59592897,-248282410.00044957,-99796917.26889561,-300668151.669546,-196525130.2670587,-226219194.74615642,-263788029.14121032,-58868359.98300276,-404412111.7860101,-432971368.2981524,-276554181.45035625,-210935343.40481764,-120925559.93713453,-122283545.54350248,54076276.094219066,-300820281.1967852,-111007552.69487655,-138632589.429116,-188814591.09844345,2945715.092250031
BRA,ssp126,gfdl-esm4,-2709996784.6751266,-2024170031.8152285,-865797013.7077602,301879823.64786476,-2783176494.740333,-3492513616.8131046,-5456241114.111783,-2764753348.6656127,-3495963796.9450226,-3220967079.536119,-2867743312.0881586,-2579797266.9465766,-4212494689.8488626,-1604293636.2123475,-2019679226.6306005,-3014292084.335867,-3603369274.6271124,-1928443377.9355679,-2798236045.3319216,-3177762499.3834586,-1771676730.1484368,-3312027567.1215124,-3700359935.872555,-638150460.4879947,-746062126.0729661,-3240970547.1476307,-5795898714.691891,-2585786167.3434024,-4056154215.73204,-3132782939.614827,-4314309541.301544,-3070579477.7857018,-4320608610.105785,-2166889111.365042,-3583113595.58522,-3363159539.997288,-3490465688.857396,-3140294106.1181235,-2676462291.373203,-3822092578.254103,-7177925431.941654,-4741115056.037599,-3739651990.819886,-1636929500.9814599,-2455041170.1698484,-52246030.113340996,-3132865730.8680115,-2565697251.980805,-1930055551.7594023,-2794788440.276888,-2153034643.746854
BTN,ssp126,gfdl-esm4,8558.336702382332,-20.05219408389645,1148.139475561373,514.264636270109,8711.462091032523,3336.12533856562,650.5624597608188,793.8013852535153,3705.146100284782,2039.6092708062802,870.8798869623761,2205.7200448116178,-838.7552120341436,73.92849302785703,624.8422982547113,1456.8101101295138,-2673.0682864556943,257.3060263749002,1680.4000431165903,-165.65044799562693,2226.1087347256803,109.56075487765251,212.3489323758663,608.2110385328748,721.9498668804067,1587.1515762360584,3529.3639062040374,2750.955181325198,192.57817698293138,2298.2601685540553,2442.49671683819,1704.5801403736002,-460.89652597482905,3727.116688273795,2068.2902689593698,2253.6605197025838,1848.5479097932418,1241.6487964380983,3253.8847812661315,2554.886923467631,2992.0567672709103,955.8758826705904,2155.031868772936,3062.155296994198,2615.627517604085,2347.7175459625405,1139.3600114224798,206.13097652970876,-1555.7364180803006,2.8395915912887713,2317.811921200976
