country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AGO,ssp126,gfdl-esm4,-0.0024651141394178163,-0.0013293212645390426,-0.00037426916902290905,-0.0004365096623803837,-0.00026535747486219533,-0.00048352183665957587,-0.0003557942546347956,-0.0005326008048773274,-0.00023693722465377076,-0.00027279264186040846,-0.00024215280354833864,-0.00019563110756419668,-0.000159847719320317,-8.376525877814152e-05,-8.46659097403868e-05,-8.20326334975902e-05,-0.00011916051409298933
ARG,ssp126,gfdl-esm4,-0.036142063680952484,-0.000793855172532962,-0.008013241122654212,-0.0033238163060821174,-0.008615027051054235,-0.004632845149046476,-0.0002867572920301129,-0.00018337800569806555,-0.0013559927078913613,-0.0015174621807051301,0.0015108757169011108,-0.0015897008071825594,0.00010430446946375945,-0.0005004215325617892,-0.0006105073520801019,0.0008945689604696092,-0.0013164103945713108
AUS,ssp126,gfdl-esm4,-1.3059013705617033e-05,3.6129591278063924e-05,-0.00018113480318999653,-7.466527521857553e-05,-4.892460291290276e-05,-0.00012770083448258862,5.12771777842786e-05,-0.00021286665676850886,-2.974555664221167e-05,-7.478295076714785e-05,-6.631636064975661e-05,-7.896843141168592e-05,-3.526595819126006e-05,1.119117238931471e-05,-0.00010428980971125207,3.351128934859277e-05,-4.467512240266509e-05
AUT,ssp126,gfdl-esm4,0.001456422128111726,0.0007456573646541667,0.00010434596699241427,-0.0021368497318875667,-0.0004895384149008082,0.00016035501269471048,0.0016211446986263169,2.226847232218109e-05,0.0015719588813425367,0.0005478366551718998,-0.0016284377236362908,0.0008173549763404761,0.00034658640780760877,2.8780922551626284e-05,0.0009079391047849883,0.0008347790074983882,0.001302683816626368
BDI,ssp126,gfdl-esm4,-0.004159045129716318,-0.0029887447296755502,-0.0001344453550776116,-0.0005617411624127766,-6.203895695161225e-05,-0.00010714187380836339,-9.360912363667325e-05,-0.00010285158164760255,-0.00010389379788768384,-0.00016031094373053641,-6.491934083139506e-05,-7.429679112669364e-05,-4.9568899429599285e-05,-1.537264558432e-05,-1.0531849373821303e-05,-1.8987248551521297e-05,-2.1605598796984166e-05
BGR,ssp126,gfdl-esm4,-0.0012001628678105273,-0.003360920674391083,-0.001984444628717852,-0.0008257340404028424,-0.000809704845993615,-0.001287294598741649,0.00018813412431565354,-0.0006098827641435644,-0.001196411154269772,-0.00023201320656763267,-0.0012430305608092196,-0.0015963003747899835,-1.1152845225321436e-05,-0.0022028681923745566,-3.562295345681113e-05,-0.000598736663776973,0.0002394020622718492
BIH,ssp126,gfdl-esm4,-0.0030980045285353714,-0.016660304546120174,-0.015276582942724673,-0.012182433336330189,-0.004377715834243236,-0.0006847874012099378,0.003331629034973473,-0.0035305931494998438,0.001509255823696843,0.00153119043475534,-0.013873647833451457,-0.006919014136387051,0.0003543296328905514,-0.014949051522804489,-0.006706125114577791,-0.005144402938447066,0.008229631375479683
BOL,ssp126,gfdl-esm4,-0.14227687734856861,-0.281059112893697,-0.5510105553259336,-0.29319622448510224,0.01764195232091791,-0.10928899664779448,-0.20401045894219982,-0.12897631593137293,-0.19141675739892627,0.021813504528709657,-0.0027867674947227713,-0.07805416214228436,-0.05468514576122887,-0.015682953130613898,-0.10210782718904114,-1.0963807202724377e-05,-0.08616321222160422
BRA,ssp126,gfdl-esm4,-0.19507570355773934,-0.2072200804322524,-0.1759842027919531,-0.16922866436514206,-0.07628616409937457,-0.09639327643158556,-0.12008752494239962,-0.08934865455240154,-0.13641241115061628,-0.012343996136877415,-0.047986142039856426,-0.03338463395813108,-0.04472710545473911,0.0007154621397797733,-0.0639732294736667,-0.01421567547324982,-0.04254576100673182
BTN,ssp126,gfdl-esm4,0.00063769909572979,0.00015545917865182623,3.887039197085561e-05,2.498961283026317e-05,2.5807370466671092e-05,2.481743234832691e-05,3.116915851128907e-05,2.2455496012292655e-05,2.056681219946553e-05,1.6276324173781295e-05,1.4512799462388074e-05,1.2815020543018968e-05,-2.65700970566417e-05,1.3862171271596646e-06,1.9047109192578562e-05,7.700399650931514e-06,1.4502656584939331e-05
CAN,ssp126,gfdl-esm4,-0.004003671122184478,-0.016090808342325104,-0.006910515864058443,0.000800930530673029,0.0021376905837359357,-0.0018636345501225372,-0.002458306202732714,-0.009850176408057814,-0.0031862873588067303,0.00034047222028355445,-0.005042184837581026,-0.0019984553681271556,-0.006015409334760114,-0.002803118993418178,-0.0020492881752277514,-0.0032670218344342007,-0.0035553485507646195
CHN,ssp126,gfdl-esm4,-0.006573515904962753,-0.0025195214715435315,-0.002970355759491801,-0.003174277084443714,-0.0029686041163111466,-0.005121605444459187,-0.004077783564675246,-0.005476761648737836,-0.0020078855527956812,-0.0020915266973283095,-0.0036962508977879493,-0.0012657233017412024,-0.0017600638204182029,-0.002218786656534001,-0.0020157838379528488,-0.0010561889657560017,-0.0017389548972048577
