country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AGO,ssp126,gfdl-esm4,-11169.395765151714,-9103.144926149645,-6612.466083802973,-3784.672917792488,-5403.151685591168,-8179.602276133115,-5679.84599552531,-6648.629506268346,-7621.79800034995,-4880.783015957564,-2741.1659883216466,-2853.605781265446,-3760.007659714272,-5576.075037470337,-4505.942170759861,-3704.7769474597853,-8054.112162537253,-5957.0853692617675,-4336.477348248341,-11409.115116685643,-2721.5358861452037,-5505.538740578752,-6907.774187498356,-6926.7169692381485,-7837.351558161526,-6326.645972743614,-9822.531615037673,-10356.696892651707,-9995.592025574448,-9358.912428477426,-6109.570797952548,-7151.126729980437,-7678.092556461747,-8678.932024624317,-6057.466466213958,-11986.686546991046,-5746.21608170978,-16835.448294188347,-7696.861646166132,-7999.802947264927,-6878.3149216108895,-10552.443482005227,-9632.573110691219,-7034.033326545033,-8881.462317681511,-9984.580713436206,-10154.15191684177,-8865.49300217737,-8843.323336633151,-9207.594313471338,-10897.870958667687,-14886.855540740396,-5771.677748436129,-4972.138195722367,-5827.630174845445,-10549.638172361087,-3341.756958073433,-11206.93177125432,-11719.29413903938,-9358.381915971459,-10078.505070338437,-5586.637132483094,-9741.618158361034,-5964.981618915935,-5710.135106050713,-6026.555147010006,-7596.736030566528,-5993.344106768903,-9574.532785835565,-5295.714996566586,-6791.882657972078,-7154.725141550286,-9284.156834376747,-12386.05900868036,-9314.834601619168,-7178.917505030327,-2422.919815385751,-9421.077495297264,-6339.036675462126,-5895.277487801729,-11144.990239741315
ARG,ssp126,gfdl-esm4,-4965518.924595172,822145.5606356581,-1262278.8931514022,-3239323.948011512,-9978429.888846695,-492933.1662265413,-2036727.3226846848,-4904428.418284464,-191139.46619273056,82417.88541414129,-6460781.3576915935,366549.5558432516,-2040271.1093392635,-3688882.067443183,-3518162.027399587,-3514444.6559947454,-5155188.47689526,-1217362.6104570988,-7183504.071259008,-1627208.779522976,-11238565.594116926,-3392757.103512164,-5770404.24203708,-5924994.833116028,-131193.01088942483,-7178771.340053302,-9755605.666614475,-3561115.139609414,-7293228.884029702,-1903970.7246291873,-512933.0005339274,-5836651.525847865,-6308868.973386739,-4291121.068227379,-3768599.8302403726,-370467.8496999173,-11161178.00601865,-10173248.439193336,-9688799.353586921,-10009457.833247917,-3041426.724350056,-5400026.246603152,-4208208.680514596,-1154719.6404561272,-5513241.556581596,-3723369.6683268934,-8054569.10323578,33853.0921830501,-1666847.6382006053,-2516057.4901870666,4001155.0618431405,-3503229.9457958997,-4773414.62987429,-5524701.290928626,-2763117.520318415,-4482954.13856615,78641.04184104083,-2602107.0783396647,4544426.929669398,-3244884.849028426,310759.41653956054,-11363030.804664195,2456015.469282069,-6946562.77627755,-12854316.781762524,-1568565.7002604334,-4810021.070695672,1056577.4825325364,-6032153.430706433,-7724928.865843423,-2005719.8430761823,-4514425.779954646,-2189033.0907279784,-4820304.941056895,-1960035.4506170386,3068427.6915611518,-667802.1963412911,-5439263.699547904,-4856239.28250255,-1390666.4141645997,-4691225.055072332
AUS,ssp126,gfdl-esm4,-513.0172053685812,-13089.528206988498,968.4780490135297,-412.7853774291349,-1052.0893720613788,1653.624197288775,-6196.1960499117195,3694.643309270526,-2402.237224892826,-13781.419277755176,-9439.38554043503,-6864.228162339395,-7867.611040301546,-4695.32698390053,-9130.632029892417,-4425.057516570108,-420.7048383018293,-8258.745983025947,-9130.90274055896,-5228.582810534975,-3251.287744245057,-1995.3553099939454,-1540.485848074448,-6677.188326397117,1321.4370907139912,-9433.914351931067,-15862.569863963712,-12000.296056986423,4232.887805134538,-606.7881948345628,4151.8651090355825,-6865.348261451629,-4006.777052255087,1339.1473869809465,-528.443374414417,-18728.226568224163,-16354.335823106429,-22481.10737706767,-4882.252391934523,-9670.066584906455,-2839.4584856858187,-6241.382656573495,-18995.24435380112,-8940.375258277678,-1395.4199994409348,-7741.985807220592,-16372.044529400884,-6099.551703038289,-14334.944495775439,-11149.96510928539,-7429.515242050045,-5115.62252599002,-3070.629440607341,-984.6454496606831,-4584.008194351002,-9521.77092432914,-10622.32498269881,-3390.333709026265,-10673.189741659962,-10903.046070880488,-4565.067778527012,-16715.647657172314,-7797.652993254764,-5481.7744004066735,-2187.7114301770425,1550.3397419641615,-16226.632782002347,-9172.21980049465,-7478.330134957118,-10889.729036340674,-15411.887891330241,-6529.851247828123,-10637.112626024787,-13712.531693464925,1620.537744649368,5267.366023102146,3260.8577070019824,-13616.500602183254,-1996.1667540214012,-4740.219637663728,-7406.9418051853545
AUT,ssp126,gfdl-esm4,15952.464116213483,8628.148304943106,9506.968127689064,7354.803230145282,21403.296721585346,9427.838565094771,15922.465424256807,5051.306830129658,21193.955894736122,32651.745042533898,1431.8689099453225,39229.63645352199,11306.397167232428,-19024.11307991983,25989.262411553816,-31914.8590817442,12307.477910977474,27199.28976938603,35172.195629329064,8019.451635519617,-7846.187939353382,-6961.513661192555,-33163.49120297332,1410.4208218701228,12057.7236957098,2739.9657332592997,2312.063819057841,3001.030802586263,-32223.431475632708,23794.42436968903,29194.147973937535,44533.56226096852,35392.12727135615,3951.825032164029,15200.55401589032,419.751285334348,14464.451613164814,17381.869469250367,23442.31826643328,12046.148273247345,30899.41992527059,24546.681049017232,-5175.950898683696,-2226.9530031960176,-15279.342443164598,11243.037590046857,27947.334421816668,6420.424333196286,-9261.911599808107,-5762.125437072747,-34954.800498557066,-40135.85588506941,42171.08370472008,10423.653858778933,-17921.498384123497,18379.267492608004,7155.429521413999,18173.624739166768,27391.142793118957,13245.34732327272,8168.023790177973,21608.85555421952,-13717.383355754504,29705.47397799727,12219.692602728643,710.7335904123216,-7339.832355034117,13843.676016200498,1151.215143700178,10151.673138967577,23444.804368872312,13288.50517780975,12694.157684714908,4421.898227179889,25765.707735754466,22503.128023874346,-11065.41326460038,22324.528356248135,17020.92439712629,23301.85977224708,36568.60136499448
BDI,ssp126,gfdl-esm4,-341.00880203736443,-372.88539450834867,-507.8865630532011,-133.97106250994509,-610.0556342065514,-395.7494711160782,-378.25746364294247,-280.1468487555506,-48.63452337711614,-72.60377596582953,-32.89422101359097,-33.01472802817162,-280.0507203002038,-159.13006027940347,-81.71444182934368,-257.39989307270866,-517.6424045606575,-346.26265932373644,-203.64533949095502,-143.93494081478082,-47.82101614489072,-25.958382395365696,-241.93508952942065,-223.15759036878154,-153.82859290526756,-129.46573460814264,-244.39552192806894,-275.4738344155946,-508.5240900144509,-443.49369341831937,-166.7152902207087,-102.33586130433052,-243.47244825230726,-142.96128790056025,-162.9812215009214,-256.1034423557621,-38.176358303820926,-351.88513575817774,-64.32537211145717,-330.79264429660435,-346.3388681462191,-248.69952517779427,-133.786623176022,-268.69765190122615,-99.12364650917867,-688.7446820005237,-279.2048092230098,-85.22197262049907,-159.8075630316787,-156.30517815589576,-347.2987773866336,-343.4266668063161,-267.8782336033008,-202.0870187362112,-571.4762033588545,-478.4155466229874,-164.56614821241962,-615.4730862219545,-290.0683889713078,-81.73151059796183,-372.2624753543628,-250.9796726761677,-427.6552310160359,-404.46284454302753,-249.6637722749113,-130.49375075132616,-116.19468323097337,-185.59284944529207,-247.12320458558943,-312.47472148986503,-98.38184262301036,-301.2082684203076,-50.514905921764885,-518.2372820925283,-118.12531530626427,-190.68130745770847,-35.70001063465009,-288.9996823201595,-144.12126875964785,-68.03504451212072,-227.98345190859345
BGR,ssp126,gfdl-esm4,-1278.336266195563,-349.6341362343022,-821.1769685124335,-2421.7393521440968,-1565.1263960277754,-4347.087231940256,-1614.8650011493382,-1045.5051122777668,-1956.6180411369817,-1043.9006093932737,-3061.1388703963376,-2473.306072564442,94.18363569246267,-2598.3204403671884,-335.9215047640656,-1489.842151029204,-215.4337132443714,-973.820830796954,251.67780961707922,-1926.5273313869884,-1619.1959093508508,-1520.4051835430653,-2191.7768330822287,-1152.6329363445982,-1199.0935625317334,-2752.3155799688802,-1397.4977472113433,-3737.64766887814,-49.51967392519955,-1611.216418266491,418.684434540814,245.84505118313726,-1790.6272351958164,-1759.0588222050399,-1278.570248792709,-1390.7513198294132,-876.7314993023498,-2002.589252571097,-1141.578711099932,-3818.38430166348,-2777.480954857419,-305.61899145691024,-2568.363926167143,-3510.565492659763,-2651.750514844289,-543.218778717887,-1524.5780916919164,-2885.1226826895727,-4102.174134868907,-4530.086473424371,-2890.345534055065,-5616.93084566759,-988.4678726630082,-1931.2737483868425,-4024.6522748327343,-3638.38655636032,-3225.91306009594,-1507.1938504967031,-926.8936900587458,-3134.166789160883,-24.82239213979007,-634.9679535944491,-933.961375398234,92.6928139335915,-3346.664520154745,-4784.793098404384,-2189.6655541438895,-3198.9869491145782,-1951.7286990991256,-2479.6606659430904,-75.76130301219644,-2400.2646352375073,-423.22894899225605,-4097.028757889257,-1354.1621460801878,-1251.8047784673806,-1630.8202765683166,-1601.380742551334,253.96483270964546,-895.3509307071382,492.6580367531655
BIH,ssp126,gfdl-esm4,-1646.3241912396438,-2365.7796345848833,-3854.0906539588086,-3174.687030369619,-8781.30081235371,-10527.145507365067,624.174322280131,-1689.7053010598136,-2685.608235100258,-1486.2512700088791,-11473.65874007844,-3094.91164890925,-2078.771943676735,-3547.327739775792,98.38829360411033,-10653.303385232965,-4405.856557650224,61.85975955095717,1033.4900389434479,-2770.1218248596206,-4205.533365704809,-2125.633667891448,-6515.935567000404,-7313.987592889024,55.61678006820912,-690.8882316390418,354.5911247121154,-10120.332072278878,-397.0123105882808,1626.2655644839977,3389.7580374110735,3409.5489924854924,1044.483925652995,-8224.197261614025,-1614.7607142116851,-3524.330044664072,-708.0721396784304,-1089.7258379149912,232.59973999896638,-1694.561774294725,1458.5536065800989,-8289.354455210729,-8484.934358578286,-8331.176055060416,-5531.180497340439,1398.9583641206784,2236.4665590667933,-8405.441536363756,-15479.83194253257,-14995.431271146877,-11801.46981807542,-17412.844293310667,3544.137450796575,-1990.1070701282454,-6812.377332973239,-5403.759087753202,-10649.481441483265,363.6419677575806,-310.0275241110837,-4368.296979378455,250.47286561154132,4073.2717168560575,-9813.23089626473,-3.0476696150134592,-1566.721807448589,-9492.990475417533,-2722.8553939867534,-7860.646946787623,-2404.353681024523,-7850.931336635854,-3815.0974597540767,-11468.917100352399,-3864.492148936759,-7212.575815921225,-2953.9797648008625,-2621.5507427579096,-5110.623231668346,-2435.938115879255,-2154.594413745357,-3898.752020463975,3754.1684146728776
BOL,ssp126,gfdl-esm4,-179191.04836440337,-320001.230217535,53195.0230661191,121645.87758956352,-742705.5241984443,-408710.0029194321,-938034.552945754,57418.043417954155,58254.68349862188,-265141.4744771814,-1099910.6957947067,-573025.8929792857,-1154892.045352972,-395359.47542336,-784579.9068772425,-822724.5256479274,-240983.5950020314,-847788.8971479102,-416717.3181948921,34152.68546142956,66339.66341084742,-194839.89230966,-747292.2331202728,-232133.26829530596,-323300.6969101742,-532253.6192385972,-1348214.6162335905,-733269.7986588744,-332520.3284157152,-839500.5127162203,-1244941.9561698616,-790544.598749439,-1081722.3676115342,-545183.2950578198,-1169429.6129424225,-957965.6879325291,-1051365.6737111611,-1055310.660362202,-373483.9485567672,-1577771.910951916,-1685057.4640667108,-1157384.2945538121,-907292.2914904682,-728487.3504679159,-732275.8214522143,221965.3054757839,-1014805.8391566038,-689038.4058661108,-590823.8712578359,-815953.928454725,-32026.26051468099,-171924.52050396666,-373295.0445804698,-975841.9387714914,-636764.2571032906,-992621.2877513651,-736146.7947372742,-385920.0876290908,-1718739.7316381768,-873258.8756081167,-758081.7487028614,-1063488.0736506095,-466428.3943750534,-1023232.0997861199,-1005887.8797832422,-233532.86821988833,-1010458.2494897665,-1099423.6268654228,-1033801.3612213209,-486084.7873256073,-1610249.392929336,-978824.6165774305,68115.75649298215,-10191.838653661087,-422808.82195938064,-180.71989987966316,8140.297104204507,-627433.9477726466,-299761.6909984132,-464481.96654783486,-1465803.63009103
BRA,ssp126,gfdl-esm4,-17595563.933406115,-15008522.531365238,-7323709.363420552,-2162729.6766172443,-19197216.591880016,-19565856.23605917,-32282289.599821378,-16935837.38589238,-23088809.88686872,-19675121.914647244,-20108479.086178098,-17575266.350927103,-25638506.080264926,-12513760.904551268,-17014010.056687992,-23724591.874911543,-24602213.88730409,-13785549.287345551,-18836578.958298266,-21108035.334085032,-12943221.247906704,-17605288.48506445,-24375362.174124196,-7993288.840191487,-8422949.557902312,-19315359.01257606,-33822941.024508655,-21899942.578152016,-21645222.16142933,-21752897.783936344,-27730505.030001353,-23127390.4490529,-29191724.572425775,-18437933.140359387,-22528251.536553677,-23345431.100334253,-25135593.164587468,-20882798.019414306,-19635673.028585847,-26261025.91032406,-39707858.77520632,-28007715.66006783,-25525200.553541552,-15576992.931731004,-19853746.498015467,-3939959.8888163483,-16897540.605267968,-18943768.282457348,-13798728.812149515,-19393104.86293051,-16574186.380727377,-5943502.485212246,-9965573.50827591,-7582677.220140841,-7025502.09389091,-12374741.10726893,-8246253.240718955,-22059277.493704982,-37404082.26448158,-21534266.210664157,-17639201.928067714,-14365537.938612299,-23834403.831061505,-20345888.33421962,-11266343.017661072,297855.8401412282,-20895243.952831637,-17678175.85486128,-8021622.889466555,-17947936.00144385,-27993106.83014589,-20051384.208743203,-12039321.87000706,-3059750.468004239,-6448397.628472004,-6519770.216195848,-11359201.034179842,-12560472.080952995,-9966747.511658005,-15880982.326136183,-20387725.381445337
BTN,ssp126,gfdl-esm4,9.864021656084084,-0.2910275211004668,-0.015591582893679689,-0.1006334796028939,1.494082544044777,3.3594531769699416,-0.5754967013659289,-0.7585749659897971,1.5506894380420144,3.091746490291841,1.3640044525793606,1.9729120535818157,-1.9132816449459669,-1.5061381420471518,-0.11808581875449801,1.3228720495394908,-4.7334050840985435,-0.7730019254126245,2.4723977928074885,-1.6052988814632874,1.8566647366936502,-0.9767831032054621,-0.2913176224974254,1.2184377902534829,0.5167906901325942,2.2822451820325957,3.7727337452708434,1.8090549140626455,1.2201471394667482,1.8506014151355457,3.4850337606840407,1.6246346522999575,-2.5586589833684905,3.3299012239497148,1.9744618678784307,2.9390643231165985,2.6122446688812517,0.5473748091590978,3.887385425757395,3.1670151331771152,3.0643129542395915,-0.9147603685000483,1.6825322259356699,3.8434402608472475,3.346325788786652,2.6991519382150644,0.6541363540513637,-1.8328521576571355,-4.221259645101362,-1.8436145979800642,2.6266025460257705,2.169576911338497,2.173218152939097,3.512400868017571,0.7583029251299798,2.4871208091478096,3.1164324048149523,2.0882386071205405,0.8644597406535748,-3.030940003337318,-5.4517445004380205,1.4769899226636185,1.5630077879065485,1.8759566360078008,0.1795002790568406,0.29688108850588835,3.404687921658402,2.377838294147711,-4.051959764687244,-2.404266956601333,4.2114949363615,4.22875237204563,1.7360280793821514,3.3775071453267573,3.3178520663348796,1.7460923811432654,2.682837695579026,-1.2928194366270325,2.8668988539265614,-1.4774124125357773,3.3530145151482857
