country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AGO,ssp126,gfdl-esm4,-29.42252421169228,-24.392935803969728,-17.693330478454815,-10.126852499309635,-14.457503023350593,-21.88660091708331,-15.197868842264128,-17.790094889311924,-20.394054071678458,-13.05977313161516,-7.334684989383189,-7.635546179485431,-10.060854344160951,-14.920203319044301,-12.056791359481522,-9.913070562422888,-21.550820283429996,-15.939693117654263,-11.603345236481587,-30.527981794979063,-7.282159671183919,-14.731465562840729,-18.483502224582427,-18.534188442591827,-20.970822297909343,-16.928546263568766,-26.282675146815993,-27.711969855803765,-26.745742177717602,-25.042144400797383,-16.347706565100662,-19.13465368643331,-20.54468443753602,-23.222684330716103,-16.208288207542942,-32.07342067690223,-15.375458844823353,-45.04751278069291,-20.59490589844194,-21.40550220063596,-18.404676485381078,-28.235739513230918,-25.774392979164883,-18.8213405809182,-23.764605508313785,-26.716278618707356,-27.17000939077635,-23.721875553536165,-23.662554989301967,-24.63725439724219,-29.16001835617247,-39.83355854369087,-15.443587993345576,-13.30421709034586,-15.593302904391603,-28.228233195618234,-8.941718488764483,-29.986988963769168,-31.357944456478627,-25.040724880005584,-26.967597062626204,-14.948464883676493,-26.0661706670969,-15.960821536749492,-15.27891504131188,-16.12557713133188,-20.32699441372342,-16.03671256808543,-25.61909136616102,-14.170028906987387,-18.17340503760635,-19.144282149444834,-24.842116844546258,-33.14204301221697,-24.924202993236054,-19.20901495513071,-6.483136620000874,-25.208482807303966,-16.96170073200467,-15.774310451189733,-29.821248682683155
ARG,ssp126,gfdl-esm4,-10.17931629088814,1.7788764220563675,-2.877933682389536,-7.385498996088497,-22.750328497356822,-1.1238633315879483,-4.643637943722044,-11.181855146615634,-0.43578856524858006,0.18790871791613542,-14.730263165087113,0.8357149269861781,-4.651717602687863,-8.410469358124741,-8.021236078406561,-8.012760654762872,-11.753575724999276,-2.775526770925667,-16.378035342605532,-3.7099558427833474,-25.62337581697473,-7.73531903079431,-13.15623735710369,-13.508696287899777,-0.2991136007908249,-16.36724494864387,-22.242300249484153,-8.11916705789359,-16.628202509449533,-4.340959441232389,-1.169461968392955,-13.307277900109115,-14.383910413777498,-9.78354460687452,-8.592221929512508,-0.8446484439203361,-25.44693592908998,-23.19450519320343,-22.089985147408537,-22.821070681807562,-6.934303076774041,-12.311793776482578,-9.594508448082204,-2.6327038858177483,-12.569919104979263,-8.489099388894125,-18.364020697093267,0.07718338219488241,-3.800330487514212,-5.736487108454979,9.122436399291518,-7.9871916680717305,-10.883150164246997,-12.59604673465563,-6.299771804210324,-10.220914555401363,0.17929770065908102,-5.932675929676444,10.36106949027859,-7.3981775764147955,0.7085161582208681,-25.90715036447223,5.5995942591339976,-15.837820864429714,-29.30720891480695,-3.57625251147963,-10.966611045676483,2.408944601333842,-13.753012610573217,-17.61245719760872,-4.572942417990384,-10.292668347121602,-4.990887590572812,-10.99005776340144,-4.468784254108369,6.995863951645287,-1.5225561042426408,-12.401253235920224,-11.071986291369411,-3.170650904492415,-10.695761983277501
AUS,ssp126,gfdl-esm4,-2.961436550859415,-32.54563082912356,1.693171563187727,-0.7216647434339117,-1.8393476326291758,2.890999408711814,-10.832690490334576,6.459273902749304,-4.199785179811248,-24.093790504833862,-16.5026963567315,-12.000598195843104,-13.754793200763903,-8.208749942351368,-15.962908527138854,-7.736243026011985,-0.7355101847003216,-14.438606905229976,-15.9633818053953,-9.14103085721699,-5.684163887765718,-3.4884413464803092,-2.6932018068035184,-11.673600044750946,2.3102430734671136,-16.49313118300228,-27.73222608411103,-20.979887003344327,7.400276412168625,-1.0608361412201126,7.258625989479864,-12.002556443597628,-7.004971327766958,2.341205644116373,-0.9238673971235831,-32.74219863480978,-28.59197106089424,-39.303288038993074,-8.535548041330271,-16.905991594102446,-4.9641707085796325,-10.91168936647286,-33.20902069842265,-15.630286269225936,-2.439585971167239,-13.535165019734753,-28.62293085182513,-10.663729035776448,-25.061508007170467,-19.493269747111864,-12.988878734961586,-8.943544562348535,-5.368322446976552,-1.7214367190725772,-8.01413344164108,-16.64672914030764,-18.570806652730788,-5.92725527613879,-18.65973253342488,-19.061585936970083,-7.981020276607762,-29.223645597562047,-13.632486891399006,-9.583680848557227,-3.824733855155011,2.7104291801422598,-28.36871028802462,-16.035615627348093,-13.074220874222767,-19.038304021379155,-26.944307451487816,-11.416013461461553,-18.59665960540391,-23.973355664936612,2.833154999338919,9.20883480250484,5.700894869760917,-23.805466353345473,-3.489859978481113,-8.287234906285555,-12.949414029053548
AUT,ssp126,gfdl-esm4,7.7868956374070954,3.6278239462198156,3.8269430379936185,2.9606087492226867,8.6157012707576,3.7950901565489303,6.409442777617212,2.03335734870432,8.531433036224957,13.143661227277292,0.5763857291448344,15.791531231873382,4.55128673440169,-7.657982663595995,10.461739801021247,-12.847034525729189,4.954262628639365,10.948825243050958,14.158245550711575,3.228156883759155,-3.15841116810358,-2.8022936315527796,-13.349659962058961,0.5677519975244876,4.853726354351831,1.1029481372403214,0.9307001366681904,1.2080374923433759,-12.971247519677206,9.578227828431963,11.75183716179908,17.926578038617663,14.24677702099585,1.590771010387852,6.118843945140863,0.1689670394939704,5.822532657722515,6.99691252344936,9.436490738079776,4.849066773946223,12.438278783816607,9.881041872096908,-2.083531678098651,-0.896439556444752,-6.150559505683619,4.525781916299446,11.249943773825253,2.58448307313963,-3.7282977747832033,-2.319490875458702,-14.070735129825813,-16.15632157279755,16.97558391075138,4.195946492039615,-7.214135205921503,7.398405972289281,2.880352686896577,7.315626363372356,11.026053922439747,5.331793379739391,3.2879632452902854,8.69844709812146,-5.521807165830352,11.95766676647423,4.918925455975187,0.28609930412776086,-2.954582360419249,5.572645120807379,0.4634111233196206,4.086463141704289,9.437491495870587,5.3491661792204575,5.10991703372015,1.7799946742154327,10.371749911640057,9.058428298841733,-4.45428086922368,8.986534636695183,6.851617387049329,9.37995045633765,14.72035590351215
BDI,ssp126,gfdl-esm4,-13.649633832500676,-15.360780094069357,-21.078117722563505,-5.560016807740861,-25.318300208253138,-16.42424617552474,-15.698299439493265,-11.6265494841535,-2.018411755099414,-3.0131746894632405,-1.365163627776198,-1.3701648647147298,-11.62255999704026,-6.604156100535672,-3.3912821283520627,-10.682513857712536,-21.483000999137406,-14.370463066157345,-8.451612528666416,-5.973533949482262,-1.9846498829484314,-1.0773150538332392,-10.040699379136544,-9.261402649047959,-6.384136589205027,-5.373038378301699,-10.142811322077801,-11.432611795027231,-21.104576127487135,-18.40570898920714,-6.918955469698737,-4.247104548002502,-10.10450226446592,-5.933125771279075,-6.763985549670406,-10.628709046124246,-1.5843809092118302,-14.603804975155786,-2.669607476445427,-13.728432302532749,-14.373625856135739,-10.32143445128727,-5.5523622756545405,-11.151389208848137,-4.113792413900465,-28.584023567632563,-11.58745331266427,-3.536850356200109,-6.63227356575068,-6.486918901753109,-14.413463649541416,-14.252764767972135,-11.117382017864657,-8.386939684950008,-23.717191133445674,-19.8550226479758,-6.8297625838289076,-25.543133270680592,-12.038309526395397,-3.3919905099878154,-15.449497683186834,-10.416064277889888,-17.748387060757626,-16.78586533266447,-10.361452272795464,-5.4157027188513975,-4.8222681796405045,-7.702404855046529,-10.256014585065069,-12.968208737978951,-4.083006347134464,-12.500632626714527,-2.0964506864727728,-21.50768938343311,-4.902392548194976,-7.913584131708746,-1.481608456680317,-11.993956463639865,-5.9812668619919,-2.8235649095841744,-9.461683745357043
BGR,ssp126,gfdl-esm4,-20.618669410081534,-12.442146154407123,-8.066412924229715,-23.78872077310953,-15.374220506746187,-42.70139321369183,-15.862802313798728,-10.269985975499171,-19.219838914137064,-10.254224960150818,-30.06953567116891,-24.295260137958408,0.9251648856845902,-25.523274988381253,-3.299753489755266,-14.634704141659338,-2.1162031516509634,-9.565832015058193,2.4722285379175184,-18.924258181440326,-15.905344780562766,-14.934924496012506,-21.529801311194557,-11.322301490585627,-11.77868374424602,-27.035967662412133,-13.727606011781138,-36.714874647631085,-0.4864312481601496,-15.826962321629154,4.112732898575803,2.4149334117516084,-17.589312932907173,-17.2792167364594,-12.55938241677677,-13.661335924926947,-8.612124509364746,-19.671413651707205,-11.213715949587748,-37.50794976192491,-27.28316688137187,-3.0020922128927743,-25.229012457192812,-34.48424876387264,-26.048118060983956,-5.336032481855828,-14.975914929882677,-28.3405304678648,-40.29561437760463,-44.49899288250104,-28.391834483164033,-55.175053983886265,-9.709709756812325,-18.970882186861182,-39.53411794299458,-35.73983375926131,-31.688110843558476,-14.805149707242519,-9.104867193755977,-30.786888166842328,-0.24383010294287022,-6.23728368395954,-9.174292994226379,0.9105205588651646,-32.87425119501331,-47.00097344260804,-21.50906223987632,-31.423615932050236,-19.171810957536447,-24.357681243424395,-0.7442025010529895,-23.57777484958554,-4.157373617338127,-40.24507139240149,-13.30192084713648,-12.29646547678219,-16.019530820301334,-15.73034658013923,2.4946939422569834,-8.795022992742167,4.839374833040269
BIH,ssp126,gfdl-esm4,-4.4253442816178685,-9.507574549813429,-9.038250208617814,-7.444976854672902,-20.593079152839238,-24.68726961063052,1.4637548010884363,-3.9625376414328923,-6.298035352704511,-3.4854164204513842,-26.906943248624454,-7.257895147763355,-4.874940067718998,-8.318858730302969,0.2307309544676852,-24.98312317722659,-10.332199609892179,0.14506767869930393,2.423643447641874,-6.49622865920834,-9.862420537744029,-4.984835767298551,-15.280558057784354,-17.152074463883082,0.13042723152809232,-1.620205974483002,0.8315536905213532,-23.73324907902743,-0.9310358580467163,3.8137647495051765,7.949341113013164,7.995752995838592,2.4494252747361633,-19.28661240470434,-3.7867846588145144,-8.26492670293155,-1.6605040562788576,-2.5555223439683674,0.5454709910392721,-3.973926584810105,3.4204624702877418,-19.439412914991625,-19.898068473754247,-19.53748898987012,-12.971203267530694,3.2807053236730885,5.244750619264559,-19.711649398160866,-36.301843118363514,-35.16587231168069,-27.675694897226727,-40.83496152457827,8.311377165228121,-4.667011561672167,-15.975745351937618,-12.672386585416259,-24.97416031490846,0.8527788747187763,-0.7270473338752491,-10.244118426383507,0.5873853609388427,9.552252982636972,-23.01306434094257,-0.007147107581758599,-3.6741283416551496,-22.262066684061566,-6.385383879711911,-18.434048465802782,-5.638463676714327,-18.41126433243247,-8.946807044121,-26.89582360197082,-9.062642814447631,-16.914253121151035,-6.927394973971349,-6.147813758167791,-11.984951999597454,-5.712532516953367,-5.05275177933811,-9.142985836649254,8.803921989289615
BOL,ssp126,gfdl-esm4,-6.3332068846262874,-9.64408609801757,1.5386889649281372,3.5186594287854667,-21.48307733328496,-11.822112955308043,-27.133053660770425,1.6608416483842363,1.6850418232415705,-7.669331403724085,-31.81539084816524,-16.57502088211134,-33.405750076640544,-11.435943194489582,-22.694311896731975,-23.797661431911063,-6.970554329818605,-24.522659178259374,-12.053728000154189,0.9878811440093836,1.918903351173317,-5.635827845248316,-21.61574986534839,-6.714554816053553,-9.351611974506358,-15.395665294618716,-38.99768874571136,-21.21014490602046,-9.618293788717569,-24.282914086951273,-36.01048255122728,-22.866843179433694,-31.28928561777266,-15.769661739331369,-33.82625548367798,-27.70957032896559,-30.411205165431326,-30.52531560428198,-10.803184153295486,-45.63773241601506,-48.74101327123267,-33.47783945873212,-26.2438205007549,-21.071810531249685,-21.181393686994255,6.420442109931559,-29.353696196617197,-19.930732809346797,-17.08983507330357,-23.601818990519412,-0.9263733861079897,-4.972990841101902,-10.79772002437879,-28.226648587696854,-18.418680530463718,-28.711998487478255,-21.293363257340154,-11.162904834929774,-49.71528737506289,-25.25938928071586,-21.927841252980922,-30.761850807451083,-13.491642300107447,-29.597429416360878,-29.0957403788255,-6.755038846986153,-29.227940292045382,-31.801302169498495,-29.903149857868545,-14.060211936513381,-46.57715757737263,-28.312923828525882,1.970277608926135,-0.2948033249130135,-12.229927371486099,-0.005227400979639134,0.23546160154696122,-18.14879731246824,-8.670736085106217,-13.43534103645262,-42.3990016428659
BRA,ssp126,gfdl-esm4,-14.44376056891275,-11.134098691856078,-6.067620933971663,-1.7918001942987551,-15.904704499698562,-16.210118807000978,-26.745558357456083,-14.031174143833884,-19.128851140622725,-16.300644343428868,-16.659676483480816,-14.560934731195646,-21.241249275315106,-10.367527418060838,-14.095939430145352,-19.655590243536693,-20.382691420039453,-11.421191542632327,-15.605919779208696,-17.48779897080596,-10.723331074425085,-14.58580777305666,-20.19474701434354,-6.622360922768215,-6.978330587308519,-16.002584329363266,-28.021972858975808,-18.14388630762246,-17.932852956062106,-18.022061146718222,-22.974449760395384,-19.160814755662166,-24.185055731329488,-15.275645653060618,-18.664434079225906,-19.341459283526614,-20.824590887644725,-17.30119207834329,-16.26796133062616,-21.757000811216457,-32.8975691404423,-23.204116031767633,-21.147376764574137,-12.905384923242796,-16.448633048002584,-3.264217886607302,-13.999445639016225,-15.694725076482555,-11.432110648871,-16.06699599915129,-13.73154985498769,-4.9241331558716,-8.2563793068936,-6.2821732476544,-5.820559154008362,-10.25235088792163,-6.8319394322399765,-18.275893712770255,-30.9889130359984,-17.84092704581585,-14.613904725911919,-11.901706416620788,-19.746568365533697,-16.856367702623132,-9.334054008846989,0.24677062418306328,-17.311503411357542,-14.646194239648343,-6.645835402979606,-14.869687858978862,-23.192012760343744,-16.612373940963657,-9.974459359916427,-2.5349730677626328,-5.342433799532412,-5.401565284125168,-9.410985959168567,-10.406227166742998,-8.257351957110078,-13.1572371366049,-16.891029283383045
BTN,ssp126,gfdl-esm4,4.216156021402195,-0.32256395372860514,-0.027216901208104716,-0.17566731301477123,2.6080929226566463,5.864311908184039,-1.0045956830345926,-1.3241798506971936,2.7069067667753854,5.396999096280863,2.381026653061391,3.443944904168905,-3.3398531674986853,-2.6291373555453856,-0.20613237828611686,2.309225312708585,-8.262702987268433,-1.3493637676876613,4.315854710380629,-2.802233831176837,3.2410218423459147,-1.7050872514339566,-0.5085284159895287,2.126923301609951,0.9021175883501042,3.983921457854911,6.585740673651763,3.157913421095837,2.1299071672626457,3.230437617192816,6.083527260718147,2.835986643077515,-4.4664335398427735,5.8127255752669305,3.446650283275665,5.130474812724484,4.559973517067317,0.9555056857458277,6.785878368613485,5.528389169466252,5.349110703831261,-1.5968194344557318,2.9370535169528367,6.709167028906071,5.841396542262478,4.711680151336206,1.1418702415431303,-3.1994542468319453,-7.368694219049132,-3.218241324258575,4.5850368429954935,3.787246032807956,3.7936022388195045,6.131299694198922,1.3237049720875804,4.341555428771593,5.440091199333441,3.6452606676637744,1.5090139032188699,-5.290854379638654,-9.516647058355943,2.578255786126582,2.7284098632599507,3.2746980714581486,0.31333838233305045,0.5182400857898006,5.943274357715622,4.150790229701484,-7.073161805746642,-4.1969244997090644,7.351648796854926,7.381773635706956,3.0304366819736472,5.895827186429514,5.791692384815383,3.048005078244165,4.683201764431044,-2.256765020366147,5.004501686135909,-2.578993290791143,5.853072483431121
