country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
ALB,ssp126,gfdl-esm4,-8156479.666442204,-8520120.40126412,-7671854.156268384,-14727418.364994917,-14958279.287542105,-20209157.015724752,-6407292.00811878,-3106875.3426416726,-7503957.108769612,-2385381.672640193,-18369463.368232436,-12157912.440791143,-10998831.218912205,-7179248.815576897,-4469313.2140313815,-12942434.530611861,-2756124.5119503764,-2967430.0398772885,571036.9064183956,-7087509.602240051,-7693631.691630006,-8723985.98278154,-7776068.790438455,-8381421.839398429,-12914905.51552143,-7114675.536422013,-3255620.8745469386,-22273062.72698138,-4614462.141329761,-7454858.51270961,2070759.6497158876,24853.228590543345,-10561046.107402349,-11765093.083807219,-9666310.377291298,-7884762.510514123,-4972685.753627766,-14428108.56712916,-4087520.8397543486,-10174755.743763788,-6732364.448798474,-15291238.556333696,-12493187.807909323,-17784895.811143883,-14393025.483709456,-6516004.862543974,-7659181.488133485,-12524936.563581947,-21709087.139426667,-19723219.85416308,-11698694.297749272
ARG,ssp126,gfdl-esm4,-13204116.39757899,4300121.4425273705,-1182540.5977842766,4506424.089405837,-12654860.408181038,5550631.549206909,5636800.404291766,4131666.407804962,1492772.03780467,2063672.914996752,-3459638.447480894,-2404712.568977539,2027572.0678979359,-1591338.851406494,-1328917.3134925675,-9890706.078915508,-4718334.92456495,-4244726.67162437,-8257924.575032519,-215246.99021329128,-17937468.416253086,-6218317.301459873,-8978052.889102114,-5747145.518633479,-2700526.550763716,-6853902.83181812,-7242320.126063727,-1770602.814343006,-16563206.155829836,-5347300.1938936,-3887842.00315178,-926412.0739633003,-10546927.988314394,-6267941.040360697,-3125656.4020742103,-3717443.0825796044,-18023875.114550423,-7326494.695553714,-7506738.040250545,-11663024.274850713,-3070573.4446017533,105301.14951775268,1519075.042725343,-2769961.184479689,-2522402.9318948532,-316743.76242855104,-11227140.155705046,-3086472.2521095877,-3516255.6188717587,-1833570.959169582,4570615.008498845
ARM,ssp126,gfdl-esm4,-1099082.6494362918,-2176075.0106947846,-981554.8876134403,-2558981.5546668996,458830.2622213843,-2521935.285303283,-2036355.313654695,-4995812.399633094,-4313257.533781847,471342.35427256266,-903110.3702839008,-1987536.6127948659,-6309383.897336225,-922108.8295374463,-3870340.1180817233,-4999463.46403876,-4854023.414363521,-3041908.1700196913,-2880761.7421819596,-5292342.397972591,-3384928.878147754,937478.1484036034,-4126683.917612488,162303.74638395075,-4709147.46799309,-2083662.1853368895,228360.59021360477,-1196621.5044711,-3079197.838229937,-2454853.3658877616,-5639329.629857978,-4642750.064549033,-2884017.7714982857,-10146748.22681176,-9208785.27059539,-5747928.387512463,-7360399.292653362,-5754887.078190243,-4246179.755355449,-703217.535624573,-1126887.9000231866,-3513498.529777523,-796768.7475753436,-5020933.748531833,-8242164.777659425,-8646492.588075483,-315579.751509016,-162015.357977521,2799494.051791106,-383862.68203642854,-4781355.991858857
AUS,ssp126,gfdl-esm4,-169928030.02912554,-620591311.1739182,-44089420.73777121,219119602.09745657,125674611.28514168,-361797515.0688675,-375436356.55888575,-199977886.643512,54782407.400289334,-379744674.8767139,-622050601.4266948,-211484630.32485217,-160396309.7612017,-454642978.8260642,-278504142.31573397,88853503.87536411,-597778903.6754847,-714124896.6606551,-188613717.18971127,-821248249.8137037,-214198253.4421637,-550140473.1496454,-514998473.16199666,-328517351.46929634,-272434073.9821024,-1193041235.8428154,-817437643.8400811,-434888449.7042672,-511876660.1554959,-821214540.3719282,-601322019.071866,-476333197.91123426,-409713351.40868384,-364635305.7660023,-591440592.7360486,-1003389749.6287284,-877521627.2346134,-572245863.431289,74546147.46815856,-652565971.6360927,-1064190496.3564395,-993411854.3873888,-716342776.2828376,-400202292.11479205,-354873400.7091049,-1035601752.6954964,-966140777.06261,-484762380.84388524,-657933049.172766,-804560835.5103593,-548342101.9180675
AUT,ssp126,gfdl-esm4,-23621315.259332426,170594.00956233594,-12745044.815716634,-25506448.97850023,-32035195.03811701,-19594540.89392779,-10033239.559086405,11498337.40981955,-14034198.782040166,-14246270.257119238,-48209828.67762191,-18356131.119357213,-25312065.756326042,-30888648.6097148,-4307836.70759579,-32478394.21310998,-5801124.009903131,-16014673.81679093,-9613888.401970247,-2556190.6600648663,-32473015.972162005,-32569292.302190375,-30153984.367636148,-18814207.942598917,-17915855.42707902,-13947867.431042653,-20799367.24874844,-25392719.919089656,-35249824.36522143,-28480008.18214555,1104421.6435016978,5609051.583967246,-26709807.71105577,-14624861.40651418,1333545.5021682694,-13843375.691973194,-5230241.739936193,-28144497.43198381,-4481164.237202352,-46361807.63604859,-18459696.041849624,-33192094.452167947,-29049661.839353465,-28580059.583424095,-27367251.087095793,-8238940.0153544815,-27518429.361701645,-17274169.66637674,-31462070.108504754,-30294031.763139468,-39487113.27948436
AZE,ssp126,gfdl-esm4,-16335371.840613298,-40797066.873609744,-9992673.522117276,-41065559.71138625,999485.6071087682,-40590808.123388216,-39316335.63917167,-46416150.198417775,-41831305.72698335,-5219886.816837049,-11945831.600639591,-16703886.173446164,-45348526.09514945,-18696323.613206223,-43967831.88998937,-55749713.6581188,-44834428.65984763,-14317429.643297175,-32510350.327139698,-68522557.24414568,-24137133.12274333,5498318.5092303,-22134845.110335153,-3514396.8502132315,-59190141.574858755,-25396993.47880239,17032271.652074255,-16555126.106208581,-27585294.737770185,-34809374.62647572,-51389292.71409994,-38521729.1442953,-47274430.71101325,-83550005.19924171,-81216141.41387466,-44807819.13500915,-68893676.8796098,-55521589.26332298,-41145244.853728905,-8381195.778833541,-9638331.943851167,-37598116.6218284,-11130272.918660527,-53356879.431606874,-69801770.20510332,-73375215.50746876,-14364176.757288257,-10910237.755393077,16453282.165956046,-1110778.5924002337,-32162691.685904346
BDI,ssp126,gfdl-esm4,-602935.983666639,-445925.5996326609,-798615.6325220289,-109702.11152465332,-660746.3287251552,-302944.57835761074,-456749.5831816471,-347771.0131913593,-141772.28048429822,-142992.5498485398,-160256.73075215865,-124807.47596993326,-392445.29556032293,-279148.0445076905,-175317.83851924943,-422570.67217801075,-559877.4892679022,-459691.76785721804,-206591.00410259643,-316011.67861343914,-45593.25704109959,-49086.364221981654,-405760.61092168157,-340469.6026872562,-231376.3812749724,-244098.41593878643,-332943.1883748826,-300462.19343797374,-683610.0914730474,-538876.1542785766,-268010.6609842081,-245078.5256701381,-261344.66179523076,-188025.8198948852,-287720.4993712538,-322529.49302994105,-89891.15428087972,-513338.4827216951,-112479.05405961805,-525937.3990822588,-360740.0348148586,-348458.7862318811,-223614.70750376504,-329932.8074377397,-165639.62778752128,-902836.5857354049,-224168.5264484888,-170590.25658759297,-250077.83293127583,-297774.23251563805,-392821.9156843284
BEL,ssp126,gfdl-esm4,-10501962.382887864,4646732.111336008,4722305.885586434,-25955598.63627439,-56373576.541831985,18744387.78108914,-7107429.5510957055,-13292407.915661594,-4512634.544764294,-13047553.9445632,-30312352.91583672,-499559.62220696145,-8270578.297708124,-14052059.01308786,-10547096.309371969,-23401704.886468153,3670513.8448670413,-14877600.070218887,-1521869.4516278505,-15899627.839046435,-58859667.562714025,-79272066.73992603,-23261237.904385325,-6385141.290747154,-15913249.521941436,4004415.9159454107,-41749950.10412687,-27162282.568491075,-43571224.96194196,-15070771.844153402,-12147495.006339738,-25651476.81758351,-10882193.94956137,4728301.047606054,9160937.767728653,-4733771.169379059,-16807946.552962724,-22706993.166027706,-15024704.13763562,-56371791.18587557,-27280826.731185306,-31277957.703458592,-35138879.12280696,-14073578.488349942,-24528707.34777514,-26245416.596321836,-44401634.96364417,-45105166.68825402,-17794042.522722997,-11578332.778693605,-33836839.502571456
BGD,ssp126,gfdl-esm4,-18193197.438688397,-11510580.613125239,-6160965.444610246,-3235458.4134727637,-11491959.035123317,-27181049.097278275,-13172530.625115396,-12765726.183922837,-5100156.767150845,-8458987.295062443,-21583575.877996635,-843332.1311322486,-7504310.905803823,-27530785.481764592,-14211808.04044276,-75601.01659098224,-1272773.2664105068,-18965525.91246698,-2851571.8946163184,-20774039.10833352,-22150716.58521846,-27404792.097929724,-16853247.393263638,-2642736.889140532,-5909847.761829987,4930966.458085079,-12998674.433405971,-9605844.658087932,-11032022.317762224,-23168824.067488786,-6243515.468842821,-3874869.2787274956,-15488210.447122725,15133852.544811394,-14238885.585682044,-211372.46366193448,-6167039.80249014,-1009219.0348711376,-9392075.676588127,-17686390.248095367,-13310327.212645695,-10882777.266386032,-16285756.41661038,-5891628.332361971,-761967.6831916308,-14511046.48785963,-6587894.838893728,-26990262.23370227,-52363771.45544749,-6037656.494847296,-4560293.102081896
BGR,ssp126,gfdl-esm4,-125110472.4084892,-162498759.99692762,-106036197.88119084,-197020439.22659206,-149704038.42056504,-303277043.5459787,-142461851.70924276,-98852355.15017293,-120939663.81213951,-76228056.87446295,-234813716.3078983,-202884972.1651581,-25995540.729577497,-149772495.59901214,-85087918.7793797,-156163782.86071652,-46586544.40799874,-90888468.64062926,-2904231.986955347,-147067433.54916602,-99773214.08914346,-80355988.80995907,-146170764.2364226,-45652108.26491467,-101907652.69058499,-221266489.09720156,-80209679.7692525,-297681755.0623094,35265087.210088946,-153408992.1367402,10984100.146624139,63048862.50286206,-169184496.67448163,-137757569.3423478,-106789588.9232388,-119245184.28710921,-106317164.38949037,-207126721.48086643,-150728116.13644746,-271212350.30669284,-183734853.30868563,-49562884.039022185,-192912126.9541048,-240598399.73493922,-248626828.11459285,-44257640.92001515,-132727084.94963716,-192866553.22942662,-289367539.1511987,-329058206.61428595,-197146636.5428234
