country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070
ALB,ssp126,gfdl-esm4,-0.06173331293631599,-0.13106018815592035,-0.10557495512294947,-0.06675068561107968,-0.03652630192410831,-0.03167081496584203,0.00883848239469717,-0.032879006820300434,-0.027804268689324313,-0.027009944197766735,-0.049460806491339854
ARG,ssp126,gfdl-esm4,-0.0023889340463645555,0.0009330252256747054,-0.00044786964522653,-0.0009763495907520339,-0.0014351743275445579,-0.000461671806857258,-0.00022686117846132278,-0.00019206082739345952,-0.00014288848545832085,-1.3473720610902897e-05,0.00018014231811024165
ARM,ssp126,gfdl-esm4,-0.008667529807470467,-0.016785850921592984,-0.005146936592989407,-0.024455744666803635,-0.014653132056856316,-0.008170832774899606,-0.020539213711438332,-0.019857317870071556,-0.0037256410368365616,-0.027437455768527075,-0.014773680236343598
AUS,ssp126,gfdl-esm4,-0.010913767559210372,-0.020659981436684734,-0.031197659269615572,0.003918433008096292,-0.008424147166288162,-0.042208058739319036,-0.019410025391200524,-0.029807033937326442,-0.02913694878424457,-0.026144546966628424,-0.01279233772548654
AUT,ssp126,gfdl-esm4,-0.005918938347054125,-0.004492674918540957,-0.010184758261615608,-0.006304030836181877,-0.0058734520201781095,-0.0023663988657249557,0.00017778847835621923,-0.0021290365801561882,-0.0027224388233829085,-0.0011638084170064664,-0.005332887729981802
AZE,ssp126,gfdl-esm4,-0.031341026486619655,-0.07386480122954178,-0.019944427819166558,-0.08690946336143512,-0.03467261373850033,-0.0334775615854524,-0.06255338139457856,-0.050362085215888856,-0.009859124208635552,-0.06704187814534646,-0.026325109607341718
BDI,ssp126,gfdl-esm4,-0.018422466324794464,-0.007704030274112076,-0.0022056103511025687,-0.0031053714418485586,-0.000199173988974898,-0.0006802298325790283,-0.0005067352690747653,-0.0004361654980251417,-0.0003643921797506291,-0.0007076204541797403,-0.0002472594348895224
BEL,ssp126,gfdl-esm4,-0.002140374054591905,0.0035658047738267896,-0.005289331901058205,-0.0037034431925612055,-0.008586203163559935,0.0005446036087310419,-0.0015576352926875768,-0.0005759526845320537,-0.003159274298300271,-0.0028975835339283113,-0.0035659363618032935
BGD,ssp126,gfdl-esm4,-0.0064380078547212225,-0.007149874048191639,-0.004320766211736387,-1.1544527317966507e-05,-0.0026356399994401395,0.00046563525697864957,-0.00047837424969560523,-1.344162044808404e-05,-0.0007181088041006006,-0.0006796013946028991,-0.00018922541542798962
BGR,ssp126,gfdl-esm4,-0.21279455904208974,-0.4477060932749113,-0.2906517724432356,-0.16526230743382378,-0.09526532723957319,-0.19760090242777537,0.009424076549198634,-0.09984614199866568,-0.15111739933839302,-0.03609273166491886,-0.16188811785713736
BIH,ssp126,gfdl-esm4,-0.038193834755198934,-0.05024476795534214,-0.04971174916509394,-0.023574681099871573,-0.020395691546981166,-0.008101406362527812,0.007385721975266361,-0.017724694963564314,-0.0098966945002134,0.0005753796398981943,-0.02630989392374186
BLR,ssp126,gfdl-esm4,-0.040022373653154385,-0.024734441373730556,-0.006169348058642708,-0.007488059721476973,-0.00917518700416671,-0.00954518367710316,-0.006325698452182239,-0.00788129246914442,-0.0074830221788133675,-0.0007301324221829558,-0.009599774728943635
BOL,ssp126,gfdl-esm4,-0.0073734882131315715,-0.00037980809773485865,-0.006923120443460017,-0.016987249045147333,0.0008937429320093708,-0.004077263752364388,-0.00851537350531468,-0.005708188063228891,-0.004424388501541033,-0.0004678241063378224,-0.001895697534272372
BRA,ssp126,gfdl-esm4,-0.003283990841777919,0.00078133286765211,-0.0016869814428739575,-0.006743083343995173,-0.0018685546817337432,-0.0029262721652763457,-0.003062032348971063,-0.00166847556943334,-0.0009800836215338553,-0.000500864553716671,-0.00022678835199956774
BTN,ssp126,gfdl-esm4,-0.0022346770142599275,0.00041709051580503904,-0.00021933689631317964,-0.00024381352826052414,3.1261857867851874e-05,-0.00012599882972732477,-1.648625602382571e-05,-2.3267538402330853e-05,-2.6704295126299918e-05,-3.312923283280813e-05,-3.573671235868095e-05
CAN,ssp126,gfdl-esm4,-0.031458105361633557,-0.010393738354124396,-0.01809880903364186,-0.06154938525933639,0.002611223715672339,-0.013531083025644246,-0.035344622377982825,-0.022819889980769115,-0.02329529714161469,-0.010563141840598865,-0.02179832267614178
CHE,ssp126,gfdl-esm4,-0.0015018468228589698,-0.001028447754541969,-0.0036667848089941596,-0.0036424169990165772,-0.0026529584444516794,0.00041413121083712666,0.0006277273295074077,0.00012809036162999112,-1.0235161106486998e-06,-0.0005174765477490824,-0.001955512763333375
CHL,ssp126,gfdl-esm4,-0.0072374261476714314,0.0013785452282720867,-0.0031886429955628147,-0.001474363579785571,8.538081523566141e-05,-0.0033809290241358088,-0.0015385572569875583,-0.0009424319694712541,-0.001322385118537705,-0.0014399313688621775,-0.00037276153041375745
CHN,ssp126,gfdl-esm4,-0.01327744033767645,-0.004939381349460871,-0.002527189968993199,-0.008826016089807579,-0.011428805888232975,-0.014559996871266011,-0.016560980612914767,-0.01373788857144171,-0.008170666208010744,-0.00847996645584886,-0.013472383685218914
CZE,ssp126,gfdl-esm4,-0.040970120098411826,-0.014548696135753204,-0.04872508919163079,-0.029883275388036038,-0.03110069819513064,-0.011865169265110154,0.0008784439886032404,-0.004600819418798137,-0.015910043760985784,-0.007028638670766549,-0.02867144070118818
DEU,ssp126,gfdl-esm4,-0.008790614232886617,0.0009051544910761521,-0.011639341769497597,-0.00898746184520382,-0.012557274883783472,2.108028514908862e-06,-0.005084216316351031,-0.001215795606975447,-0.008530354821867089,-0.004443316348461212,-0.01187109768791308
DNK,ssp126,gfdl-esm4,-0.008766673937666976,0.009898304597974736,-0.006950168792960489,-0.007512127323428415,-0.015568789577013475,0.0014145251242033436,-0.00752375883269769,-0.004581775073151732,-0.014786160463721283,-0.009993522712810938,-0.009244716378733097
DZA,ssp126,gfdl-esm4,0.022403286186095276,-0.13337445162641537,-0.10911311180306055,-0.05326750275444316,-0.018845743600847353,-0.009586616548917508,-0.00022655568105275014,-0.00042630426753863753,-0.01638121204078467,-0.012518851138235431,-0.02143558824751194
ECU,ssp126,gfdl-esm4,-0.0008210111139199724,-0.0002868039044350678,-0.0002983067074305494,4.147677498224479e-05,-0.00012373853251380955,-0.00015240595991698557,-6.658713965212825e-05,-0.00010765339351827293,-0.00010617590866931155,-7.244327402759324e-05,-4.996991695340983e-05
