country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,ssp126,gfdl-esm4,-324527.8174839199,-635886.3511998017,-679174.7545261442,-402324.14079678216,-627935.0798931633,-711511.2054821872,-462359.5255222175,-1694839.2918423805,-983605.8280299075,-669530.5393579636,97197.82977777682,-1349895.6487028236,-440200.0254924829,-163118.50754392013,-372645.7200074912,-891276.1985954255,-238354.8779589704,-459124.3773353912,-721399.2876767406,-1478019.3730110195,-157632.4694350792,-244729.2355455628,-229362.14847896225,-249312.64885275523,-1321332.5414003623,-186196.0532202417,-1216709.4921060735,-585162.3688504724,-370870.7403525039,-300427.15550212114,-1413088.1417373922,-641282.1546385454,-403086.69578720257,-1394648.7623190305,-1738348.2208879804,-418395.77249405085,-208651.45203951298,-815702.0637444579,-650535.09186369,-398318.84278548753,-1121883.6490428294,-184097.4033432527,-1121474.5794428638,-546667.9443015285,-827039.0149941901,-1826113.5219525567,-499221.32470469037,-535505.0860704327,-439084.584119772,-219298.4304847319,-1142724.978835176,-1685856.6615761681,-1016011.7707573563,-1613050.8383320237,-559630.3454256734,-1376418.934513898,-747722.0582410926,-830286.6689798163,-471014.7238056635,-690126.0916327527,-468195.0528912968,-1181955.2601441005,-331785.7096096896,-1157634.38165582,-1871786.1160877673,-737411.3625761583,-454705.0751639913,-606376.3532112838,-309298.6247052638,-333478.4037519335,-430673.3357128486,-1106067.303810249,-536483.8879408723,-146197.18651629018,-1690282.179199256,-644274.3945438422,-220644.95549330438,-718321.7989270586,-1154899.4056701958,-335906.14213380945,-826203.5706064105
ALB,ssp126,gfdl-esm4,-17668.981670211404,-19310.829930375567,-16862.997471114664,-41299.83577545452,-33122.626078996065,-47404.57015402399,-16566.701465030546,-7853.596620189071,-17663.261389046434,-3033.775125158498,-41906.92079543873,-27328.753675923406,-23641.108220011163,-16563.880655813875,-11176.876240359863,-30682.43933124312,-13633.63924640523,-12023.86754590405,-2007.1546585779352,-28831.60335916217,-16694.962646226337,-18152.442927184176,-27642.840867329305,-37526.70982831904,-30721.838694673563,-14185.42424770196,-8196.34978324931,-69475.1262366959,-10197.469243753301,-15705.787884795665,6211.043394749559,-15249.947746838632,-21257.00547661353,-26293.384542920194,-23621.4370376163,-16524.988204578956,-16473.906772476934,-31447.921820437397,-8833.475609247042,-22095.4759638823,-13986.152411821058,-35901.236569996596,-27179.44418660124,-48840.9338247794,-31836.228360506037,-18534.4191248868,-20144.24248279618,-28035.507987929497,-61642.4981486775,-44552.10271585951,-26653.7052838519,-75610.30062225077,-25556.06150076339,-23283.904480239216,-43519.99805195475,-25204.200443921083,-25318.913516262608,-33784.770316657516,-12803.590188647635,-45373.275065880625,3986.8215512937,-28527.255810893887,-29801.083313134754,-14464.42874793973,-26403.15943508459,-63632.1697794657,-9197.287559312941,-27518.1806862029,-32467.346943277735,-28112.32807630804,-18671.368349775366,-25922.60744505389,-14894.990851973365,-32808.39485088958,-19114.918438195404,-38388.891750677896,-8423.667438611854,-11188.453833124311,-5796.892341025681,-15873.559803139791,-12097.728660976276
ARG,ssp126,gfdl-esm4,-478605.29529215785,358149.2013898063,-631092.4400524268,438572.03384727513,-2892595.154375912,606946.2551951174,-148930.99813936805,531189.1738806926,-311617.9951789299,-3508.7379947257446,-648843.8743105932,-1183446.4303698165,312247.52576230146,-386282.7779464446,-151561.0377941283,-1940316.6361049225,-812696.2325158213,-217539.75792349977,-1492252.2829141414,78930.02333596098,-5873922.700409084,-1061630.3138499812,-1477854.9958938295,-719195.7670950587,-45398.40469416733,-1122398.6569638143,-1486568.4447648495,-124524.80860030414,-2984687.6782254633,-1182449.4275610822,-600913.6489409362,-232837.00093745382,-1671539.0936784085,-1150266.1426362237,-560374.618294794,-721500.3388900505,-3940630.713848388,-1292481.8022841006,-2141585.468338398,-2463836.465359096,-544354.3802115999,-466853.6845622806,422057.97101774334,-683733.7117048628,-645250.0918329878,315689.6762494483,-2370887.5305494587,-322894.0039937554,-646758.3034122672,-705539.5071787299,415055.8885031073,-917369.4977373591,-1308477.8103161296,-432864.63026894885,-1052105.7283722917,-864597.5858669721,262354.3367924879,-1569840.65494269,814433.9418870712,-1736068.4668638844,513515.3054289299,-3028957.611592904,-7247.059876199345,-1221004.0463243339,-3091490.5475833314,348357.2241783242,-784162.3904005481,-990694.6613691667,-1054992.0253357287,-2135385.9694389408,-773615.2679758657,-1302197.8051134504,-294006.10622495844,-1246455.4799525107,9930.802060953169,143114.28351854312,-39871.152138927624,-1837656.8087903513,-223558.51879718897,-827214.9487827204,-293563.4118779793
ARM,ssp126,gfdl-esm4,-4906.567003310087,-6745.6360891322,-815.1761377319073,-7899.8755334815105,-1682.2742465024762,-6337.748596553654,-4608.87286348385,-23329.07483073861,-11567.943499110721,2076.2219152096077,440.6504784178009,-6439.452242823882,-17820.210713246754,-2844.6623993571634,-11647.951733699734,-32761.56693307449,-14755.78657968093,-10499.52392650808,-5426.566563077953,-25301.382134402033,-10512.812714777836,-2579.421694319121,-14115.178051093011,-4481.910469900138,-12426.776853255746,-4978.1160013217595,-7350.497182044929,-9569.907921881915,-9363.032974393807,-7460.973649266425,-15589.722895561461,-19224.043411109735,-5022.104344227219,-38274.05809752318,-51983.94958081588,-27694.45217145258,-23686.76554737148,-14376.149468878639,-28562.204913007423,-6752.437147625937,-12076.38599891811,-7954.410847845137,-40.4303281685022,-12938.604628298895,-33791.86545868471,-38417.709678302585,654.4255742691319,-8924.760530608912,-5907.6106302225135,-3274.6255577339766,-13941.572493730595,-31214.192340392492,-5489.550265227782,-7284.118709556678,-2725.131643508183,-30950.177985863716,-20676.124643743682,-10454.43489123135,-2136.0037223938043,-1642.1232293522244,-15700.274850332326,-18054.59671457801,-6386.231467943617,-19222.19454196693,-34795.21614223083,-35276.37264388985,-29406.65082265561,-6449.413455852641,-12549.773877630201,-10629.751880102198,-10111.560506094034,-12126.96753681732,-20449.147992489456,1245.4415461691285,-126.69798538670778,-8591.564407887683,-2192.5683862275264,-18124.78002129421,-23236.946648017933,-6480.234008973268,-17088.407926312484
AUS,ssp126,gfdl-esm4,-802811.1221900578,-3533210.000903292,91920.2112745527,414595.30506906717,682444.2866952791,-2899333.062629163,-2076291.9074031531,-1097907.0902631083,-255525.7727676536,-1961530.5266856914,-3872055.543942864,-971875.6424338056,-210696.81602211896,-1791635.2907453128,-1823753.8455746642,259696.26420372282,-2953852.482858454,-3630707.8836709578,-580702.0785351158,-5388347.303732045,-1781136.3215695655,-2774036.0167171005,-2763177.270326557,-1646325.5093984648,-1330801.6147291297,-6926114.557452368,-5875036.017443356,-2119703.0746840485,-2579342.33569948,-4189993.088503639,-4878822.041077796,-2258176.252724478,-3855319.1883912385,-1599345.1067351776,-2682251.030078769,-7516004.504868584,-6164354.431455658,-4073873.8085352466,492966.54316413624,-4700230.361544016,-7854864.910917462,-6883936.452038217,-5168267.452924447,-2167320.7740337937,-2168437.73668059,-8060342.993271576,-7804932.501714937,-2919517.881646669,-3561000.296212484,-4677095.73796004,-3150500.2510079807,-3406901.39067458,-1099836.2054074542,-1901181.5343578733,-5288977.6337069115,-3940249.534280042,-778647.9245722766,-5075498.38291924,-6553844.3327679,-1863316.0745207248,-1808520.840901545,-3119928.4549963865,-5085955.906007427,-2422287.1120432173,49181.704650957894,-3570782.377427205,-3165966.633116349,-2124768.956482785,-1183924.6515769393,-2636582.8312204964,-5268236.69846533,-2620167.6300226985,-3991450.6024771817,-3347323.273539517,-1370319.4752392357,-1251402.523985905,-1952939.5966545052,-1140588.0196383356,-2544157.864616302,-3035095.0296454616,-2253476.252753884
AUT,ssp126,gfdl-esm4,-140926.9302690523,-185434.5660311681,-90877.80452480132,-143949.54851168752,-194277.0855811515,-119508.09030508844,-121760.61645752183,-46908.61776099614,-94046.69399413519,-58354.11461518303,-368011.87501243904,-123419.7613003323,-186901.57147248503,-178247.69033485386,-143997.26180055694,-186741.30611168582,-46516.77523691057,-100983.92425597893,-93915.24210064518,-187190.7501327481,-207926.5748236336,-228035.72617116992,-197437.0209245505,-101262.46585791124,-105944.42118692104,-82248.68777035388,-159935.12349289068,-193940.23955322616,-385009.89441858797,-178343.62945629298,-65651.52172496673,-98320.46950573754,-174457.48857509828,-78928.70254176909,14885.798392976,-91174.75128871221,-192675.7323116876,-170095.78695738298,-142104.9145140512,-301928.67807763343,-99424.26962678881,-184481.9115639377,-220281.14159249567,-159333.4402846875,-170224.68435740808,-40993.67054047012,-196127.36960028595,-113026.88853653605,-247912.9542785908,-187789.2357668394,-281926.9994013602,-696912.2822149538,-32864.70319841007,-130581.77623245983,-201160.7364175608,-58927.715007361185,-115430.58964392675,-116021.13859187976,-98257.72270491188,-170559.43467054318,-46477.24169799671,-29398.066515240997,-129574.87999830116,45572.23945638428,-82052.63940505548,-101880.1403104897,-208081.20408979527,-99083.04341721353,-125084.5346645208,-271144.1804032318,-129533.45388534133,-121220.43483540941,1769.858106257652,-140239.59573144605,-119672.67962627963,-113188.3395073696,-185705.2987768489,-111655.90474012845,-34852.94126358759,-74700.1419200789,8546.492949072452
AZE,ssp126,gfdl-esm4,-194298.89250333168,-241666.34127443528,-60440.01008056005,-292745.5678384344,-8926.691239215152,-253876.86903456016,-338974.3567969587,-375303.2009610912,-225259.53851022423,-75696.49811252362,-55326.549066263455,-103300.64044694036,-247959.83148137934,-117627.17646303885,-290783.36333357746,-515026.5151842146,-308296.77308011154,-106708.33364656742,-172695.13866360916,-581653.2245217676,-150819.75818284968,-34391.43774032,-141243.6825490278,-43248.00606402934,-410591.7462083378,-166053.62849408173,-90569.96257690575,-134094.24201708197,-180956.7031178647,-203814.5108835922,-274812.80602803704,-299584.9484145448,-288946.08998814656,-595707.6515729383,-679560.4873583248,-306577.26782216923,-467869.6647980865,-338472.2016835775,-424789.8993323788,-61540.942154578486,-175906.52219393355,-201000.9527623814,-72156.61772717925,-356859.0621599005,-502482.6284627496,-558258.7211090456,-105479.88773517655,-101072.37045962914,-76645.79020510752,-61805.45301268489,-181840.31468386602,-352554.90654518065,-178393.9540473836,-92329.97508894188,-91309.9673927956,-425833.08395249606,-468599.79114691203,-359216.56122966163,-137530.9240165782,-41919.156064409435,-274418.9433696595,-422359.33969020715,-141332.9916682604,-306436.89671501715,-547477.8457112475,-554471.5411621153,-403483.2228046164,-187955.52792005014,-247511.67475903212,-260756.9695741049,-173858.26839246883,-267510.02604258264,-341043.9171169382,-101175.32903302959,-74686.20056702029,-162756.59932311322,-50296.55779320982,-353986.33800329396,-541554.8814370561,-236273.67361919317,-387277.41741442564
BDI,ssp126,gfdl-esm4,-1461.5584168339942,-630.6278654143216,-2754.0981799696006,-67.50005984688784,-3088.509749037634,-1015.3506453618028,-1441.297861356304,-866.8056835966437,-93.25151936003998,-120.97463320477793,-281.6983868823698,-410.3432644106564,-1082.426257262891,-365.0228261929603,-274.35318533996474,-1322.6647326319296,-2112.325783583125,-1007.4544860052014,-264.5836676504516,-460.98296982209365,47.980270267722766,-300.63083432944785,-954.7831362683147,-617.4438509487784,-290.00922057141474,-319.4916710471203,-602.4210523424222,-621.6827255471861,-2311.4821725992438,-1587.1390068984058,-379.8331087637769,-388.71978959775066,-494.5440756693315,-294.74496658146194,-464.2333363388089,-534.358497412321,-119.7950521229498,-1219.9340642121138,-22.120649994965138,-1460.6631363788006,-950.7846790126978,-559.4326277158209,-345.9408986320925,-878.4231956443836,-147.78667148390647,-3729.148398023001,-451.0524515819684,-196.78732462232477,-353.111324853473,-438.0678326201692,-1234.4477314227424,-1284.882649600189,-647.9280968765091,-621.6701469640701,-2549.170038623588,-1595.4234965262053,-378.81142095258906,-3003.629229380568,-692.4351184203373,-656.1680338146158,-1003.3385650659076,-460.402989895743,-1600.6042239858946,-1215.871657847234,-535.6039334291949,-433.5173553592027,-271.63849177229577,-184.64601457526416,-667.6539785881475,-853.8803152100674,-151.38013501934904,-703.9568401849918,-184.40027641692376,-2473.3710927684383,-82.67992788219031,-300.2584561922593,37.276969455823135,-602.2020931234085,-153.86284213301548,-113.71732450628308,-367.70301888068553
BEL,ssp126,gfdl-esm4,-14985.859365887447,-22857.087854195135,29056.56230807635,-103831.05418469592,-517842.5341696071,28704.864456193707,-31211.6128215624,-161772.32088440956,-45972.72878041939,-129296.59683879749,-153397.4981961504,-113238.62099294193,-2106.737982824905,-31084.36177082243,-7958.237975840852,-79201.4745770743,50921.591261806876,-49028.70454502478,28780.76693199545,-164521.82389525534,-528066.7490472819,-784781.1293203966,-81173.01075450586,-74497.87303931067,-107436.41887150539,41676.40380824842,-388690.8029764636,-119022.67624665571,-537008.8490482758,-143500.52358430933,-89136.53078658984,-210166.09169471983,-1980.749183131357,-66190.0990461922,32343.5221081864,13512.739299437788,-46521.84429909854,-98318.46044224143,-237719.37217247928,-400819.595460844,-119392.56728360523,-168205.36162761255,-162783.27473245747,-28052.786413268255,-168590.04951219185,-125329.50035677358,-233805.11958611864,-375520.77240629424,-63946.23174599937,-60114.86203345697,-205615.46612221125,-167506.56429845738,54054.602215247534,-252470.46510378967,-104405.97471491301,20081.055927064746,-113390.13181017371,-125785.57952449803,-33732.92761913347,-214210.86545892517,29407.422391332653,2726.472437870959,-230830.32101891405,-15074.478167141657,-136516.05794840096,-95371.15463511215,-250779.96621840433,22149.997947150994,-52533.60856002095,-273258.12764523714,-111831.94689313766,-36230.864353578916,-30077.611699494195,-184642.0996310258,-70921.12208502865,-32335.188859101054,-228350.4943562879,-40279.76825504869,9348.69647875864,50204.59489243338,-27125.32184848243
BGD,ssp126,gfdl-esm4,-20179.338640558388,-33514.60722879104,-25672.103226152936,-14408.680395524118,-61664.403547345864,-43787.39784720677,-20860.1884184684,-39772.493731357215,-26433.174920541387,-30686.70934752584,-30362.717720409833,-35346.37553965601,-1983.649131566283,-47306.3865859558,-24060.31110567411,1329.6309066883002,16641.599067733754,-22612.319641593906,-25822.947998189753,-24824.59247551729,-27472.813351597237,-59217.19520045415,-47246.004065515604,-20948.03253257098,-20307.574070701452,-5206.365293945289,-73496.70217326068,-25890.302003214994,-40479.69031530848,-34135.41494264104,-39425.16949836711,-24160.842812732062,-7565.2068342059765,-42837.19180671751,-38018.82134556116,-22372.40752512618,-24813.967661971914,-15731.565140241639,-46969.854085557294,-35021.20002454894,-9007.470044495856,-31828.17561193958,-52905.95757043938,-43287.921029736084,-13925.659046019737,-24892.532429368915,-10763.948028297498,-26443.851308877336,-87992.73391533789,-29884.102519351654,-45934.34570128129,-24851.951123474733,-54732.423338038774,-52661.778094662586,-44266.97372843933,-30316.545930223783,-57510.30146377095,-53872.99661442955,-32111.171847909718,-20500.685410533486,-46089.95956590649,-25583.962758803762,-29259.23660813269,-25454.615831171377,-72297.32134033441,-15994.381604210083,-72411.97456091609,-31685.921702339045,-47760.14931731299,-13213.9182148715,-55512.47439905708,-33487.089197933434,-45340.98290441265,-19495.120310468836,-51460.142897315745,-39794.961369305165,-21013.072023685134,-48829.365679761,-158.26996261376016,-62543.01279888095,-53606.672336946336
