country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,ssp126,gfdl-esm4,-6.151009787234903,-14.631855189108816,-16.740755436017267,-10.33175519514557,-15.457593974207272,-15.840668187910651,-11.637644755851698,-36.84290169765498,-22.498951175020917,-16.9246126179196,1.8140768052641014,-30.516987081453088,-10.247213801590537,-4.356252289457899,-9.64022672569618,-20.41896179263417,-6.179032348436404,-11.24543633608652,-16.985834106310083,-31.442550170560043,-4.37615654350119,-5.916399023932616,-4.864125277959279,-6.238333298750937,-28.33683836145909,-5.102648676030806,-26.588025188945615,-12.580127426103735,-9.10361781354738,-7.270634726153532,-33.648949092780754,-14.844052425295107,-10.224350362409634,-32.09553844335788,-38.2273401041038,-10.57544801906696,-5.499086460742534,-19.851400233212456,-14.802742342130122,-9.705363292889244,-24.81880912941166,-4.6605858453054685,-26.464146097053593,-13.394098648429207,-20.289824000741557,-40.59758543767896,-12.20400156577756,-12.29430948855844,-10.917157085752788,-5.354784869319837,-26.752476283239368,-36.679042419976625,-24.440381526259362,-35.93137870193526,-13.914437519448327,-30.30376335923853,-18.206448321458126,-19.65088315825645,-11.533943016169854,-16.79494285579708,-12.182774916987626,-26.671218515773205,-8.047252559761521,-26.33981436171285,-41.155944529112546,-16.71614318494573,-11.3163684726095,-14.780035780239395,-7.4613528263896844,-8.534997174576032,-11.090823424332783,-25.67119242334699,-13.361758564674748,-4.066497660715836,-36.881097873118215,-15.463508793945522,-5.416277998252587,-17.8256467666043,-24.381209285154252,-7.938287389674377,-20.37138049892426
ALB,ssp126,gfdl-esm4,-9.278364640928645,-9.59716316649743,-8.520384805558024,-19.813897416801993,-16.16609089625556,-22.365499224139107,-6.914991387262176,-3.174713101198644,-7.65201350642434,-2.4189515647833466,-18.878848469322953,-13.817063232624681,-11.380297476188044,-7.7524236274440605,-4.766570001943448,-14.126106359432509,-4.904401953026795,-4.536452157835538,-0.19391470633753793,-12.001005850899386,-7.541509553411177,-9.537760642360881,-11.483397839679338,-16.041642375573637,-15.586598769128926,-7.0355670263059,-3.4167360619654716,-31.722003245488747,-4.59293622177073,-7.446696836082836,2.2866636087297736,-6.029344065787498,-10.670256403022929,-13.270447150606103,-12.330957731211335,-7.766647404111564,-6.619286424083015,-14.543511479182431,-3.980569244835303,-10.078419231009317,-7.947991873851012,-15.837973128991745,-13.440864286195845,-23.31972159975278,-15.914926291446161,-10.295105797923314,-8.487901580721436,-13.945679335156912,-28.71649700859947,-20.65842590319087,-11.87606299883997,-34.6108543630208,-12.77449098387176,-11.90169716847102,-20.871339979221556,-12.41015227981034,-12.919766806906912,-17.13119407726734,-5.311158934113823,-21.86989294824182,1.94252175811502,-14.6081118775544,-14.728455149795524,-5.6730232699758405,-13.346975159209745,-29.275738286644632,-4.474322595517338,-12.776717148159678,-14.0979742630962,-12.463193730714174,-7.819147686255985,-12.483765334116447,-8.35732096129118,-14.553846384320696,-8.998322154627388,-16.58116900613833,-5.3011631752106005,-5.030059995815688,-3.0291711299002912,-7.538914486584908,-4.551342780495594
ARG,ssp126,gfdl-esm4,-2.23554551915653,1.6722542164662089,-2.0623022668797244,2.3354345570757657,-11.31116229661562,2.9367645414116943,-0.35659218882239735,2.5163569006286406,-1.7540103750130664,0.23079210134463743,-2.737306666465196,-5.238761633184853,1.4702727352766458,-1.1873017545138826,-0.7665595549807869,-8.2922777889306,-3.168365722144822,-1.883848022988921,-6.426014134895675,0.1152556358387467,-20.681684056066004,-4.669952185647483,-6.348905384618696,-3.2704478201752822,-0.9492366608069503,-4.820451389799323,-6.034691803833583,-0.8017309019643419,-12.572807130444152,-4.805889866909847,-2.7032947284180024,-0.7161836752592375,-7.631617046494216,-4.841531732798097,-2.339129707669903,-3.1673404539116072,-15.815799071976206,-5.505276465177118,-7.845704708050119,-10.023419894308349,-2.576144147434578,-1.4539122752578626,1.4921692391419346,-3.100691419237067,-2.5150504953101596,0.6023185344536653,-9.46468858416257,-1.8027405999509998,-2.98809190702351,-2.5951176293435885,1.6907617330757971,-3.6354949821868825,-5.910675271466899,-1.85752513359053,-4.723652843188774,-3.469457793377651,1.4833087285470035,-7.648075718867899,3.621334889582022,-7.861430742926297,2.060462504707648,-11.821196192087346,-0.7276037837115312,-4.903566038070446,-12.179701568954531,0.9837160751727108,-2.935140882836067,-4.852484743180409,-4.4222580370879365,-8.536890507651993,-2.600879270614664,-5.4661459754849675,-1.7517946802297408,-5.183376087582024,-0.5945754356414329,1.0466441257985373,-0.33010163246396895,-7.627795060216125,-0.8457236712930768,-2.803677850941977,-1.424542977391682
ARM,ssp126,gfdl-esm4,-4.479369417467744,-7.849799573874579,-1.6835918273674961,-6.072449710481008,-0.4711637262347973,-5.151673738049487,-4.251255619608454,-15.534196239812298,-9.412394032485075,1.2455954344593538,-0.8230652421738628,-4.921528531648194,-13.935824403730884,-2.613520001974743,-8.365119174433321,-19.674787405625004,-11.220716465909577,-7.622347293312773,-5.141967372656444,-16.484434997315702,-7.07142934401202,-1.8995086369356362,-10.386546706153613,-2.7389220890466124,-10.439271984090261,-4.170713894225488,-4.752046323884781,-6.459786616249109,-7.033597230793647,-5.864427339243079,-11.89782572649206,-13.133660129749508,-5.907044145927768,-26.232499259422433,-32.010307389242925,-18.363303171663528,-17.88971727948178,-11.89358252121071,-17.757970925247474,-4.707599665551067,-8.74387336712677,-6.781938869762905,-0.7584470093011011,-10.835218792150934,-23.168787644871646,-25.46122287982368,-0.33651435145925435,-6.451537529564196,-4.885353605170233,-2.575535105695014,-11.065655351064745,-21.038172158261613,-4.774176839220778,-4.445026582458082,-2.5472290395484247,-21.682440081355082,-14.162157691033993,-9.029721216451547,-2.5342978256735615,-1.68281931259846,-10.787026335026756,-13.726776879190078,-3.4214164674762877,-14.846584703332784,-23.274680222399148,-23.311836943325762,-18.863218584619776,-5.318338323997262,-9.717460153861067,-7.640592441077988,-8.036504165461423,-9.235779331211644,-15.610535523608787,-0.356634102429609,-1.5961862989207531,-7.2966203138604175,-2.397641319731823,-13.168132870165621,-17.592779178749343,-5.414902833735829,-13.273380962427971
AUS,ssp126,gfdl-esm4,-5.489104742258096,-10.000698604892387,-0.4754393321617649,0.9300706187234026,1.3205176225044613,-7.91945531185911,-5.619547065551428,-2.8774336347273684,-0.735996846977069,-5.374421476462378,-9.876252136861654,-3.0522514141660833,-1.3468012407073,-5.343841435279144,-4.686787143620394,0.5306120222489344,-8.136880041838703,-9.811109939495479,-2.157643397389663,-13.084735896476724,-5.235074159715657,-7.480857918375059,-7.355048653901968,-4.572339946508227,-3.7909690160353726,-17.57052928823847,-13.922420404755448,-5.966019799215066,-6.960691433602751,-11.155665246417461,-11.474346898715693,-6.023377248102779,-8.711361521378885,-4.838098381863673,-7.4340414486900235,-17.59097419354775,-14.564490958372584,-9.88868139536749,0.8955975656213145,-10.93633500762267,-18.122366881249064,-16.48007985073886,-12.474288131754427,-5.942973257736729,-5.619606338920527,-18.46315000742836,-17.752460051561002,-7.626045093682251,-9.43544669514293,-11.811214133262402,-7.8463257855517865,-9.243227265791841,-3.75474505317032,-5.341825851824138,-13.27894251971083,-9.773849311884032,-2.4561935200676497,-13.15390749159547,-15.252207304390511,-5.152397198850084,-5.502707804818239,-8.154919218120186,-12.068362662031541,-5.739128550576111,0.2554679215604552,-9.659191778214277,-8.439691964164103,-5.61025059252994,-3.9040333343620848,-7.145669857961137,-13.180343796953359,-6.8120029249644976,-10.432707899799647,-8.329711495749253,-3.9927197916299213,-3.6848290929802254,-5.654382743433801,-3.7233037234582613,-6.683101739725251,-8.451756595692611,-5.823883597346678
AUT,ssp126,gfdl-esm4,-9.827190323311115,-11.419473561483763,-6.1052751046401035,-9.617576787472565,-12.1870481792909,-7.8512832845331655,-6.633222905190927,-2.169400037931985,-6.531953496771976,-5.327268662507324,-20.684170318076813,-7.7074867368004965,-11.556088969600012,-11.378617433646756,-9.19252770305342,-11.93590435795509,-2.9167568960216195,-6.482417840030562,-5.63165577782523,-11.031468304766276,-13.321785284371893,-13.855144375585942,-11.999330983715952,-6.9318448238614,-7.0697314322162494,-5.729387593256859,-9.715085170848202,-10.975574073936519,-19.827152142242127,-11.210052198888585,-3.7133278242223517,-5.487281240853058,-11.089223565594976,-5.557640612720497,-0.26027943675124005,-6.567595863794562,-11.236743557766554,-10.718740194497377,-8.018008327457872,-18.143535606320185,-6.958603437146361,-12.047523964417348,-13.25572452554747,-10.943557605985564,-10.69804677121414,-3.5711986342635504,-11.941663397781419,-7.157177672812148,-14.583215202207555,-11.463804703383433,-16.397403892545615,-35.45021912007132,-2.8678607802324607,-9.33047055074619,-13.212446120116653,-3.771093249638385,-7.803337096228233,-7.821290964828304,-6.480186343131706,-9.933037040579402,-2.6294984300568505,-3.4193660489220723,-8.998108089544015,2.144101959212702,-5.156534671813496,-6.802713938852948,-12.474198626659305,-6.284318718775443,-7.397915948321421,-15.850973671064997,-6.628106142327265,-8.620382106940212,-1.0942283962474013,-8.871533712230503,-8.292680657278233,-7.699638856782533,-11.498476781318688,-6.5923773744008685,-2.1644340163751368,-4.563571319868457,-0.5895388175097341
AZE,ssp126,gfdl-esm4,-10.892682452679297,-15.159140266318605,-4.231397682406649,-19.66606292851487,-0.7920036833214937,-17.16980511088182,-22.33086981995028,-24.314654717919723,-14.853476536621004,-6.515560994937813,-4.325009391754443,-6.261123528894387,-16.115997151328074,-8.323848675202361,-19.564238215524092,-32.04910379065732,-20.74464186616221,-6.139719589707641,-12.229462634334132,-35.91390792634772,-10.312261149037314,-2.249127200051903,-9.67239109300898,-2.455812123116183,-26.642774517265767,-11.933421121238768,-6.0060507977047815,-8.19953624420736,-12.299933407010771,-12.326578660105348,-17.513625795465504,-19.934169677034077,-19.70108982863396,-37.17678423021842,-41.216061765425735,-20.07899642623949,-30.18872836017469,-22.605942980242723,-26.78385307756151,-3.827535768132632,-10.831142932114455,-12.768508619370804,-6.315922730459071,-23.97720622967148,-32.09947147754658,-34.81677447161234,-7.967541887447301,-5.817336045803428,-4.667948637651624,-3.477201766924617,-11.816215495059547,-23.288914985387805,-11.732306623210185,-5.701548502387481,-7.034579637775279,-27.30281088998847,-30.264961633844628,-24.117962983093925,-9.850066774766871,-2.5297555959493856,-18.398867494845884,-27.182274470133905,-9.83279137402422,-19.88071724586319,-34.41132494494822,-34.86141000453339,-26.285888923092966,-12.476200552424192,-16.85859053150124,-17.961006801727915,-11.846140576552147,-17.831492035885844,-22.18513682531399,-8.15480865396308,-4.915483120777232,-11.11222630854468,-3.7830447407965933,-23.51020143975489,-34.38929810579902,-16.20584964963359,-25.784426834006386
BDI,ssp126,gfdl-esm4,-13.896777688194295,-7.058454237137591,-22.93021290395173,-1.045326854875428,-25.36036261259361,-9.044791700753208,-13.035404009075425,-8.41943267640497,-1.3464219299210378,-1.5035914516658866,-2.683814364774162,-3.467115456673564,-10.11882909097116,-4.35972952326511,-2.8991297167060504,-11.925205480867717,-18.19917459974285,-10.227027895250451,-3.246064232441981,-5.225843277669084,0.3910283350982757,-2.2955699420902143,-9.394954907037445,-6.705938718306759,-3.6436158237451832,-3.818726721052079,-6.567604543106443,-6.466191493811479,-20.48880490760656,-14.658685277464855,-4.421244312565776,-4.072206975271753,-5.29573651555173,-3.409458725377257,-5.273034554271739,-5.981064838661842,-1.043723249323547,-11.982205931934553,-0.7405744769157563,-13.666248037495809,-9.064727821271578,-6.176760243286061,-3.7730072237924905,-8.210372353115837,-1.9505209236960974,-31.602212219686898,-4.7501782611519605,-2.159436668243375,-4.225726108014771,-5.05454345411075,-11.177775680505974,-12.445746819571713,-6.390639398149645,-6.201308491283908,-21.389799957885934,-14.287283616358204,-4.074626273706439,-25.886929557955185,-7.633136680449026,-6.13161172152481,-9.717517138699405,-4.946138965588565,-15.512757752116201,-11.206664616427265,-5.576072516813413,-4.548819588921338,-3.0168787528338736,-2.5434612751604857,-6.838349382170106,-8.276359879634876,-2.0370088324141333,-6.638186537396972,-2.260862562448984,-20.697017750365642,-1.58709616270023,-3.729105818466183,-0.2842020788669908,-6.459392370429528,-2.196723078717988,-1.3421115706906184,-4.425975104194302
BEL,ssp126,gfdl-esm4,-2.8411358512729183,-1.5541654354569214,0.3624027419297982,-6.925047567319188,-23.741745847749627,0.9332070307398446,-2.3581054038571274,-7.579566427357534,-3.071893571761283,-7.556566534177115,-9.337006936294948,-6.063479320830642,-1.8477159495446789,-3.383066231174645,-2.3866776180862694,-6.152202519543715,1.4255756095245298,-4.356252531723566,-0.13218676719995098,-8.448710141749345,-24.400661896306303,-34.74747418931244,-6.040248991672867,-4.490064014556777,-6.358930256233434,1.0113715313374732,-18.04882541080401,-7.600655685564485,-22.867152418157165,-7.995221756360322,-5.241073870416091,-10.385581741382023,-2.270087672129538,-3.6807640273079323,0.8262962873191334,-1.267076669503356,-4.303192865577025,-6.601060821749641,-12.636563128100772,-20.093564537485186,-7.724315549706874,-10.408793703790224,-10.343313142636934,-3.3331805289122385,-9.147092411993045,-7.974911386685978,-13.641700331590622,-18.015445874042427,-4.811453585391904,-3.6728446383741,-11.275333798198776,-9.664593870432903,1.628834290596974,-13.89020781405989,-7.390807068774102,-0.33237767563198917,-6.144220519008434,-7.74325802883352,-2.8290050037575463,-12.272226874561802,0.7674258113170717,-1.4344441083755937,-12.667057082095457,0.11029405334620214,-7.459469113132066,-5.499240135847142,-12.547824492312428,1.1734506481095794,-2.53424795449022,-14.79159148335376,-4.8966690325077105,-3.6738032113482393,-3.117178678820092,-9.677938137461377,-4.6531348330847475,-2.7408476373875157,-12.84095285656717,-3.6889268872606853,-1.068134805440752,1.7817259001384638,-2.9657024613013583
BGD,ssp126,gfdl-esm4,-8.506904371727607,-3.676193767526943,-1.9882676627109956,-1.5768055756738841,-6.663232475343277,-14.336170342739086,-6.191563613526572,-5.043724279937918,-2.0795639282024845,-3.096501407392808,-13.962797838465345,-2.3656681386194163,-4.266996544694715,-17.92298875643694,-6.7793683048180275,0.03503246898739172,-1.4054543580915744,-10.063517089409705,-1.3319829780804877,-12.135340560820767,-11.302062169397486,-13.18890160249642,-6.938899561501079,-1.5800570355827748,-2.531236096206539,1.0088942653304787,-7.204587911313611,-4.068735428765216,-5.086689937130489,-12.603752134777364,-2.816691814847643,-1.2791706078619047,-8.606891782610543,-10.69133813137798,-7.066410606916882,-0.7324144422661717,-2.2141743031453265,-0.3699597354826521,-3.988770887495809,-7.885063036679322,-7.851351491805709,-4.573662638137776,-8.553036782563167,-3.1541596153450486,-0.36060510318697325,-7.322109143915228,-3.616229291009364,-18.048072883190898,-34.7992423194908,-4.4456734936850415,-3.544148394227037,-6.3068175485061895,-5.424467645242265,-5.534923156873628,-5.181924179105913,-6.257060422718362,-5.471670120078785,-6.416332268725528,-7.577708423461168,-0.6952015362843995,-21.885642195510155,-16.81913470693017,-13.290429927519158,-4.00038069032033,-11.577473349028866,-0.5940126531506662,-8.339441005476967,-7.8002334086141465,-21.143489177872148,-11.979244752218383,-7.318629825272268,-3.8834541215483673,-9.995773045763345,-5.114390446930971,-5.24668017644225,-2.755910400631683,-4.246137106104494,-4.532016593157627,-6.880142278468338,-17.602322200892043,-5.516512841620022
